聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	新註	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習				
心	開	三	之	去	精	止	思	1	0	0										si3			si3	si1				
							思	1	0	0													soi1					
心	開	三	之	平	精	止	絲	0	0	0		s	i	55					sii1	si1	si1	si1	si1					
心	開	三	之	去	精	止	伺	1	1	0		ts	i	33				窺伺	zii6	zi6	zi6	zi6	zi6					
心	開	三	之	去	精	止	伺	1	1	0		s	i	33				伺候					si6					
心	開	三	之	平	精	止	司	0	0	0		s	i	55					sii1	si1	si1	si1	si1					
邪	開	三	之	平	精	止	詞	0	0	0		tsʰ	i	51					cii4	ci4	ci4	ci4	ci4					
邪	開	三	之	平	精	止	辭	0	0	0		tsʰ	i	51					cii4	ci4	ci4	ci4	ci4					
邪	開	三	之	平	精	止	祠	0	1	0		tsʰ	i	51					cii4	ci4	ci4	ci4	ci4					
徹	開	三	之	平	知	止	痴	0	1	0		tsʰ	i	55					chi1	chi1	ci1	ci1	ci1					
澄	開	三	之	平	知	止	持	0	0	0		tsʰ	i	51					chi4	chi4	ci4	ci4	ci4					
澄	開	三	之	平	知	止	治	0	0	0		ts	i	33					zhi6	zhi6	zi6	zi6	zi6					
章	開	三	之	平	章	止	芝	0	0	0		ts	i	55					zhi1	zhi1	zi1	zi1	zi1					
章	開	三	之	平	章	止	之	0	0	0		ts	i	55					zhi1	zhi1	zi1	zi1	zi1					
昌	開	三	之	平	章	止	嗤	0	1	0		tsʰ	i	55					-	chi1	ci1	ci1	ci1					
常	開	三	之	平	章	止	時	0	0	0		s	i	51					shi4	shi4	si4	si4	si4					
書	開	三	之	平	章	止	詩	0	0	0		s	i	55					shi1	shi1	si1	si1	si1					
日	開	三	之	平	日	止	而	0	0	0		ŋ	i	51					nji4	ji4	ji4	ji4	ji4					
見	開	三	之	平	見	止	居	0	0	0		k	y	55					gyu1	gyu1	geoi1	geoi1	geoi1					
見	開	三	之	平	見	止	基	0	0	0		k	i	55					gi1	gi1	gei1	gei1	gei1					
見	開	三	之	平	見	止	箕	0	1	0		k	i	55					gi1	gi1	gei1	gei1	gei1					
溪	開	三	之	平	見	止	欺	0	0	0		h	i	55					hi1	hi1	hei1	hei1	hei1					
疑	開	三	之	平	見	止	疑	0	0	0		ŋ	i	51					nji4	ji4	ji4	ji4	ji4					
曉	開	三	之	平	影	止	熙	0	1	0		h	i	55					hi1	hi1	hei1	hei1	hei1					
曉	開	三	之	平	影	止	熹	0	2	0		h	i	55					hi1	hi1	hei1	-	hei1					
曉	開	三	之	平	影	止	嘻	0	2	0		h	i	55					hi1	-	hei1	hi1	hei1					
曉	開	三	之	平	影	止	嬉	0	1	0		h	i	55					hi1	hi1	hei1	hei1	hei1					
曉	開	三	之	平	影	止	禧	0	2	0		h	i	55					hi1	hi1	hei1	hei1	hei1					
影	開	三	之	平	影	止	醫	0	0	0			i	55					ji1	ji1	ji1	ji1	ji1					
以	開	三	之	平	以	止	姬	0	2	0		k	i	55					gi1	gi1	gei1	gei1	gei1					
以	開	三	之	平	以	止	怡	0	2	0			i	51					ji4	ji4	ji4	ji4	ji4					
以	開	三	之	平	以	止	台	1	0	0										ji4			ji4					
透	開	一	咍	平	端	蟹	台	1	0	0		tʰ	ɔi	55					toi1	toi1	toi4	toi4	toi1					
以	開	三	之	平	以	止	貽	0	2	0			i	51					ji4	ji4	ji4	ji4	ji4					
以	開	三	之	平	以	止	飴	0	3	0			i	51					ji4	ji4	ji4	ji4	ji4					
以	開	三	之	平	以	止	頤	0	2	0			i	51					ji4	ji4	ji4	ji4	ji4					
群	開	三	之	平	見	止	期	1	0	0		kʰ	i	51					gi1	ki4	gei1	gei1	kei4					
群	開	三	之	平	見	止	期	1	0	0													gei1					
群	開	三	之	平	見	止	淇	0	2	0		kʰ	i	51					ki4	ki4	kei4	kei4	kei4					
群	開	三	之	平	見	止	琪	0	2	0		kʰ	i	51					ki4	-	kei4	kei4	kei4					
群	開	三	之	平	見	止	其	0	0	0		kʰ	i	51					ki4	ki4	kei4	kei4	kei4					
群	開	三	之	平	見	止	旗	0	0	0		kʰ	i	51					ki4	ki4	kei4	kei4	kei4					
來	開	三	之	上	來	止	里	0	0	0		l	i	213					li5	li5	lei5	lei1	lei5					
來	開	三	之	上	來	止	李	0	0	0		l	i	213					li5	li5	lei5	lei5	lei5					
來	開	三	之	上	來	止	理	0	0	0		l	i	213					li5	li5	lei5	lei5	lei5					
來	開	三	之	上	來	止	鯉	0	1	0		l	i	213					li5	li5	lei5	lei5	lei5					
精	開	三	之	上	精	止	子	0	0	0		ts	i	213					zii2	zi2	zi2	zi2	zi2					
精	開	三	之	上	精	止	梓	0	2	0		ts	i	213					zii2	zi2	zi2	zi2	zi2					
邪	開	三	之	上	精	止	巳	0	2	0		ts	i	33					ji5	zi1	zi6	zi6	zi6					
邪	開	三	之	上	精	止	似	0	0	0		tsʰ	i	213					cii5	ci5	si5	ci5	ci5					
邪	開	三	之	上	精	止	祀	0	2	0		ts	i	33					zii6	zi6	zi6	zi6	zi6					
邪	開	三	之	上	精	止	耜	0	3	0		ts	i	33					zii6	zi6	zi6	zi6	zi6					
邪	開	三	之	上	精	止	姒	0	3	0		tsʰ	i	213					cii5	ci5	ci5	ci5	ci5					
徹	開	三	之	上	知	止	恥	0	0	0		tsʰ	i	213					chi2	chi2	ci2	ci2	ci2					
徹	開	三	之	上	知	止	祉	0	3	0		ts	i	213					zhi2	zhi2	zi2	zi2	zi2					
澄	開	三	之	上	知	止	峙	0	2	0		ts	i	33					shi6	shi6	zi6	ci5	ci5	zi6				
崇	開	三	之	上	莊	止	仕	0	2	0		s	i	33					sii6	si6	si6	si6	si6					
崇	開	三	之	上	莊	止	士	0	0	0		s	i	33					sii6	si6	si6	si6	si6					
生	開	三	之	上	莊	止	史	0	0	0		s	i	213					sii2	si2	si2	si2	si2					
生	開	三	之	上	莊	止	使	1	0	0		s	ɐi	213				使用	shai2	shai2	si2	si2	si2	sai2				
生	開	三	之	去	莊	止	使	1	0	0		s	i	213				使者		si3			si3					
生	開	三	之	上	莊	止	駛	0	0	0		s	ɐi	213					-	shai2	sai2	si2	sai2					
章	開	三	之	上	章	止	止	0	0	0		ts	i	213					zhi2	zhi2	zi2	zi2	zi2					
章	開	三	之	上	章	止	趾	0	1	0		ts	i	213					zhi2	zhi2	zi2	zi2	zi2					
章	開	三	之	上	章	止	址	0	0	0		ts	i	213					zhi2	zhi2	zi2	zi2	zi2					
昌	開	三	之	上	章	止	齒	0	0	0		tsʰ	i	213					chi2	chi2	ci2	ci2	ci2					
常	開	三	之	上	章	止	市	0	0	0		s	i	213					shi5	shi5	si5	si5	si5					
常	開	三	之	上	章	止	恃	0	1	0		tsʰ	i	213					shi6	shi6	ci5	ci5	si5	ci5				
書	開	三	之	上	章	止	始	0	0	0		tsʰ	i	213					chi2	chi2	ci2	ci2	ci2					
日	開	三	之	上	日	止	耳	0	0	0		ŋ	i	213					nji5	ji5	ji5	ji5	ji5					
見	開	三	之	上	見	止	己	0	0	0		k	i	213					gi2	gi2	gei2	gei2	gei2					
見	開	三	之	上	見	止	紀	0	0	0		k	i	213					gi2	gi2	gei2	gei2	gei2					
溪	開	三	之	上	見	止	杞	0	2	0		k	i	213					gi2	gi2	gei2	gei2	gei2					
溪	開	三	之	上	見	止	起	0	0	0		h	i	213					hi2	hi2	hei2	hei2	hei2					
疑	開	三	之	上	見	止	擬	0	1	0		ŋ	i	213					nji5	ji5	ji5	ji5	ji5					
曉	開	三	之	上	影	止	喜	0	0	0		h	i	213					hi2	hi2	hei2	hei2	hei2					
云	開	三	之	上	影	止	矣	0	2	0			i	213					ji5	ji5	ji5	ji5	ji5					
以	開	三	之	上	以	止	已	0	0	0			i	213					-	ji5	ji5	ji3	ji5					
以	開	三	之	上	以	止	以	0	0	0			i	213					ji5	ji5	ji5	ji5	ji5					
來	開	三	之	去	來	止	吏	0	1	0		l	i	33					li6	li6	lei6	lei6	lei6					
從	開	三	之	去	精	止	字	0	0	0		ts	i	33						zi6	zi6	zi6	zi6					
邪	開	三	之	去	精	止	嗣	0	2	0		ts	i	33					zii6	zi6	zi6	zi6	zi6					
邪	開	三	之	去	精	止	寺	0	0	0		ts	i	33					zii6	zi6	zi6	zi6	zi6					
邪	開	三	之	去	精	止	飼	0	0	0		tsʰ	i	33					zii6	zi6	zi6	zi6	zi6					
知	開	三	之	去	知	止	置	0	0	0		ts	i	33					zhi3	zhi3	zi3	zi3	zi3					
澄	開	三	之	去	知	止	植	0	0	0		ts	ɪk	3					zhik6	zhik6	zik6	zik6	zik6					
澄	開	三	之	去	知	止	值	0	0	0		ts	ɪk	3					zhai6	zhi6	zik6	zik6	zik6					
莊	開	三	之	去	莊	止	事	0	0	0		s	i	33					sii6	si6	si6	si6	si6					
初	開	三	之	去	莊	止	廁	0	0	0		tsʰ	i	33					cii3	ci3	si3	-	ci3					
章	開	三	之	去	章	止	織	0	0	0		ts	ɪk	5					zhik1	zhik1	zik1	zik1	zik1					
章	開	三	之	去	章	止	誌	0	0	0		ts	i	33					zhi3	zhi3	zi3	zi3	zi3					
書	開	三	蒸	入	章	曾	識	1	0	0		s	ɪk	5						shik1	sik1		sik1					
章	開	三	之	去	章	止	識	1	0	0									zhi3	zhi3		zi3	zi3					
章	開	三	之	去	章	止	志	0	0	0		ts	i	33					zhi3	zhi3	zi3	zi3	zi3					
昌	開	三	之	去	章	止	熾	0	2	0		tsʰ	i	33					chi3	chi3	ci3	ci3	ci3					
常	開	三	之	去	章	止	侍	0	0	0		s	i	33					shi6	shi6	si6	si6	si6					
書	開	三	之	去	章	止	試	0	0	0		s	i	33					shi3	shi3	si3	si3	si3					
書	開	三	之	去	章	止	幟	0	0	0		tsʰ	i	33					chi3	chi3	ci3	ci3	ci3					
日	開	三	之	去	日	止	餌	0	1	0		n	i	33					-	ni6	-	ji6	ji5	nei6				
見	開	三	之	去	見	止	記	0	0	0		k	i	33					gi3	gi3	gei3	gei3	gei3					
溪	開	三	之	去	見	止	亟	1	2	0													kei3					
見	開	三	蒸	入	見	曾	亟	1	2	0									gik1	gik1	gik1	gik1	gik1					
影	開	三	之	去	影	止	意	0	0	0			i	33					ji3	ji3	ji3	ji3	ji3					
以	開	三	之	去	以	止	食	0	0	0		s	ɪk	3					shik6	shik6	sik6	zi6	sik6					
以	開	三	之	去	以	止	異	0	0	0			i	33					ji6	ji6	ji6	ji6	ji6					
群	開	三	之	去	見	止	忌	0	0	0		k	i	33					gi6	gi6	gei6	gei6	gei6					
見	合	三	微	平	見	止	歸	0	0	0		kʷ	ɐi	55					gwai1	gwai1	gwei1	gwai1	gwai1					
見	開	三	微	平	見	止	嘰	0	1	0		k	i	55					-	-	-	gi1	gei1					
見	開	三	微	平	見	止	饑	0	0	0		k	i	55					gi1	gi1	-	gei1	gei1					
見	開	三	微	平	見	止	譏	0	1	0		k	i	55					gi1	gi1	gei1	gei1	gei1					
見	開	三	微	平	見	止	機	0	0	0		k	i	55					gi1	gi1	gei1	gei1	gei1					
見	開	三	微	平	見	止	磯	0	2	0		k	i	55					gi1	gi1	gei1	gei1	gei1					
疑	合	三	微	平	見	止	巍	0	1	0		ŋ	ɐi	51					ngai4	ngai4	ngai4	ngai4	ngai4					
曉	合	三	微	平	影	止	揮	0	0	0		f	ɐi	55					fai1	fai1	fai1	fai1	fai1					
曉	合	三	微	平	影	止	輝	0	0	0		f	ɐi	55					fai1	fai1	fai1	fai1	fai1					
曉	開	三	微	平	影	止	希	0	0	0		h	i	55					hi1	hi1	hei1	hei1	hei1					
曉	合	三	微	平	影	止	徽	0	1	0		f	ɐi	55					fai1	fai1	fai1	fai1	fai1					
曉	合	三	微	平	影	止	暉	0	2	0		f	ɐi	55					fai1	fai1	fai1	fai1	fai1					
曉	開	三	微	平	影	止	稀	0	0	0		h	i	55					hi1	hi1	hei1	hei1	hei1					
影	開	三	微	平	影	止	依	0	0	0			i	55					ji1	ji1	ji1	ji1	ji1					
影	開	三	微	平	影	止	衣	1	0	0			i	55					ji1	ji1	ji1	ji1	ji1					
影	開	三	微	去	影	止	衣	1	0	0													ji3					
影	合	三	微	平	影	止	威	0	0	0		w	ɐi	55					wai1	wai1	wai1	wai1	wai1					
云	合	三	微	平	影	止	圍	0	0	0		w	ɐi	51					wai4	wai4	wai4	wai4	wai4					
云	合	三	微	平	影	止	違	0	0	0		w	ɐi	51					wai4	wai4	wai4	wai4	wai4					
云	合	三	微	平	影	止	韋	0	2	0		w	ɐi	51					wai4	wai4	wai4	wai4	wai4					
幫	合	三	微	平	幫	止	飛	0	0	0		f	i	55					fi1	fi1	fei1	fei1	fei1					
幫	合	三	微	平	幫	止	非	0	0	0		f	i	55					fi1	fi1	fei1	fei1	fei1					
幫	合	三	微	平	幫	止	扉	0	2	0		f	i	55					fi1	fi1	fei1	fei1	fei1					
並	合	三	微	平	幫	止	肥	0	0	0		f	i	51					fi4	fi4	fei4	fei4	fei4					
明	合	三	微	平	幫	止	微	0	0	0		m	i	51					mi4	mi4	mei4	mei4	mei4					
滂	合	三	微	平	幫	止	妃	0	2	0		f	i	55					fi1	fi1	fei1	gei1	fei1					
滂	合	三	微	平	幫	止	菲	1	1	0		f	i	55				芳菲	fi2	fi2	fei1	fei1	fei1					
滂	合	三	微	上	幫	止	菲	1	1	0		f	i	213				菲薄					fei2					
群	開	三	微	平	見	止	祈	0	1	0		kʰ	i	51					ki4	ki4	kei4	kei4	kei4					
群	開	三	微	平	見	止	幾	1	0	0		k	i	213				幾個		gi2			gei2					
見	開	三	微	平	見	止	幾	1	0	0		k	i	55				幾乎	gi1	gi1	gei1	gei1	gei1					
見	合	三	微	上	見	止	鬼	0	0	0		kʷ	ɐi	213					gwai2	gwai2	gwei2	gwai2	gwai2					
溪	開	三	微	上	見	止	豈	0	0	0		h	i	213					hi2	hi2	hei2	hei2	hei2					
曉	合	三	微	上	影	止	卉	0	2	0		w	ɐi	213					wai2	wai2	wai2	wai2	wai2					
云	合	三	微	上	影	止	偉	0	0	0		w	ɐi	213					wai2	wai5	wai2	wai5	wai5					
云	合	三	微	上	影	止	瑋	0	2	0		w	ɐi	213					wai2	wai2	wai2	wai5	wai5					
云	合	三	微	上	影	止	葦	0	1	0		w	ɐi	213					wai2	wai2	wai2	wai5	wai5					
云	合	三	微	上	影	止	煒	0	2	0		w	ɐi	213					wai2	wui1	wai2	wai5	wai5					
幫	合	三	微	上	幫	止	匪	0	0	0		f	i	213					fi2	fi2	fei2	fei2	fei2					
明	合	三	微	上	幫	止	尾	0	0	0		m	i	213					mi5	mi5	mei5	mei5	mei5					
明	合	三	微	上	幫	止	娓	0	2	0		m	i	213					-	-	mei5	mei5	mei5					
滂	合	三	微	上	幫	止	悱	0	2	0									fi2	fi2	fei2	fei2	fei2					
滂	合	三	微	上	幫	止	斐	0	2	0		f	i	213					fi2	fi2	fei2	fei1	fei2					
見	開	三	微	去	見	止	溉	0	0	0		kʰ	ɔi	33					koi3	koi3	koi3	koi3	koi3					
見	開	三	微	去	見	止	既	0	0	0		k	i	33					-	gi3	gei3	gei3	gei3					
見	合	三	微	去	見	止	貴	0	0	0		kʷ	ɐi	33					gwai3	gwai3	gwei3	gwai3	gwai3					
溪	開	三	微	去	見	止	氣	0	0	0		h	i	33					hi3	hi3	hei3	hei3	hei3					
疑	合	三	微	去	見	止	魏	0	1	0		ŋ	ɐi	33					ngai6	ngai4	ngai6	ngai6	ngai6					
疑	開	三	微	去	見	止	毅	0	0	0		ŋ	ɐi	33					ngai6	ngai6	ngai6	ngai6	ngai6					
曉	合	三	微	去	影	止	諱	0	1	0		w	ɐi	213					fai3	fai3	-	wai5	wai5					
曉	開	三	微	去	影	止	愾	0	2	0		kʰ	ɔi	33					hi3	hi3	hei3	hei3	hoi3					
影	合	三	微	去	影	止	蔚	0	1	0		w	ɐi	33					wai3	wai3	wai3	wat1	wai3					
影	合	三	微	去	影	止	慰	0	0	0		w	ɐi	33					wai3	wai3	wai3	wai3	wai3					
影	合	三	微	去	影	止	熨	1	2	0		w	ɐn	33				熨斗	tong3	tong3	tong3		wan6	tong3				
影	合	三	文	入	影	臻	熨	1	2	0		w	ɐt	5				熨貼				wat1	wat1					
影	合	三	微	去	影	止	尉	1	1	0		w	ɐi	33				太尉	wai3	wai3	wai3		wai3					
影	合	三	文	入	影	臻	尉	1	1	0		w	ɐt	5				尉遲				wat1	wat1					
影	合	三	微	去	影	止	畏	0	0	0		w	ɐi	33					wai3	wai3	wai3	wai3	wai3					
云	合	三	微	去	影	止	胃	0	0	0		w	ɐi	33					wai6	wai6	wai6	wai6	wai6					
云	合	三	微	去	影	止	渭	0	2	0		w	ɐi	33					-	wai6	wai6	wai6	wai6					
云	合	三	微	去	影	止	謂	0	1	0		w	ɐi	33					wai6	wai6	wai6	wai6	wai6					
云	合	三	微	去	影	止	彙	0	0	0		w	ɐi	33					leoi5	leoi5	-	leoi6	wai6	wui6				
云	合	三	微	去	影	止	蝟	0	1	0		w	ɐi	33					wai6	wai6	wai6	wai6	wai6					
云	合	三	微	去	影	止	緯	0	1	0		w	ɐi	213					wai2	wai2	wai2	wai5	wai5					
幫	合	三	微	去	幫	止	芾	1	2	0		f	ɐi	33					fai3	fai3	fai3		fai3					
幫	合	三	文	入	幫	臻	芾	1	2	0		f	ɐt	5								fat1	fat1					
幫	合	三	微	去	幫	止	沸	0	0	0		f	ɐi	33					fai3	fai3	fai3	fat1	fai3					
並	合	三	微	去	幫	止	翡	0	2	0		f	i	213					-	fi6	-	fei1	fei6	fei2				
明	合	三	微	去	幫	止	未	0	0	0		m	i	33					mi6	mi6	mei6	mei6	mei6					
明	合	三	微	去	幫	止	味	0	0	0		m	i	33					mi6	mi6	mei6	mei6	mei6					
來	開	三	魚	平	來	遇	廬	0	1	0		l	u	51					lyu4	lyu4	-	lou4	lou4					
來	開	三	魚	平	來	遇	蘆	0	0	0		l	u	51					lu4	lou4	lou4	lou4	lou4					
來	開	三	魚	平	來	遇	櫚	0	2	0		l	y	213					-	lyu5	-	leoi4	leoi4					
來	開	三	魚	平	來	遇	驢	0	0	0		l	u	51					lyu4	lyu4	-	lou4	leoi4	lou4				
精	開	三	魚	平	精	遇	且	0	0	0		tsʰ	ɛ	213					zyu1	che2	ce2	ce2	ce2					
清	開	三	魚	平	精	遇	蛆	0	1	0		tsʰ	y	55					cyu1	cyu1	-	zeoi1	ceoi1					
從	開	三	魚	上	精	遇	沮	1	1	0		ts	y	55				沮水		zyu2			zeoi2					
清	開	三	魚	平	精	遇	沮	1	1	0		ts	y	213				沮喪	zyu1	zyu1	zeoi1	zeoi1	zeoi1					
精	開	三	魚	去	精	遇	沮	1	1	0													zeoi3					
邪	開	三	魚	平	精	遇	徐	0	0	0		tsʰ	y	51					cyu4	cyu4	ceoi4	ceoi4	ceoi4					
知	開	三	魚	平	知	遇	豬	0	0	0		ts	y	55					-	-	zyu1	zyu1	zyu1					
澄	開	三	魚	平	知	遇	涂	0	0	0		tʰ	u	51					tou4	tou4	tou4	tou4	tou4					
澄	開	三	魚	平	知	遇	躇	0	2	0		tsʰ	y	51					chyu4	chyu4	ceoi4	cyu4	cyu4					
澄	開	三	魚	平	知	遇	除	0	0	0		tsʰ	y	51					chyu4	chyu4	ceoi4	ceoi4	ceoi4					
澄	開	三	魚	平	知	遇	儲	0	0	0		tsʰ	y	213					-	chyu4	cyu4	cyu4	cyu4	cyu5				
澄	開	三	魚	平	知	遇	屠	0	0	0		tʰ	u	51					tou4	tou4	tou4	tou4	tou4					
知	開	三	魚	去	知	遇	著	1	0	0		ts	y	33				顯著	zhyu3	zhyu3			zyu3					
知	開	三	陽	入	知	宕	著	1	0	0		ts	œk	3				著衫		zhoek3		zoek3	zoek3					
澄	開	三	陽	入	知	宕	著	1	0	0											zoek6		zoek6					
初	開	三	魚	平	莊	遇	初	0	0	0		tsʰ	ɔ	55					cho1	cho1	co1	co1	co1					
崇	開	三	魚	平	莊	遇	鋤	0	0	0		tsʰ	ɔ	51					cho4	cho4	co4	co4	co4					
生	開	三	魚	平	莊	遇	疏	1	0	0		s	ɔ	55				疏通	sho1	sho1	so1	so1	so1					
生	開	三	魚	去	莊	遇	疏	1	0	0		s	ɔ	33				註疏		sho3			so3					
生	開	三	魚	平	莊	遇	蔬	0	0	0		s	ɔ	55					sho1	sho1	so1	so1	so1					
生	開	三	魚	平	莊	遇	梳	0	0	0		s	ɔ	55					sho1	sho1	so1	so1	so1					
章	開	三	魚	平	章	遇	諸	0	0	0		ts	y	55					zhyu1	zhyu1	zyu1	zyu1	zyu1					
章	開	三	魚	平	章	遇	藷	1	3	0									-	-	-	syu4	syu4					
							藷	1	3	0													zyu1					
書	開	三	魚	平	章	遇	舒	0	0	0		s	y	55					shyu1	shyu1	syu1	syu1	syu1					
書	開	三	魚	平	章	遇	紓	0	2	0		s	y	55					shyu1	shyu1	syu1	syu1	syu1					
書	開	三	魚	平	章	遇	書	0	0	0		s	y	55					shyu1	shyu1	syu1	syu1	syu1					
日	開	三	魚	平	日	遇	如	0	0	0		ŋ	y	51					njyu4	jyu4	jyu4	jyu4	jyu4					
日	開	三	魚	平	日	遇	茹	0	2	0		ŋ	y	51					njyu6	jyu4	jyu4	jyu4	jyu4					
見	開	三	魚	平	見	遇	車	1	0	0		k	y	55				車馬炮	gyu1	gyu1		geoi1	geoi1					
昌	開	三	麻	平	章	假	車	1	0	0		tsʰ	ɛ	55				汽車	che1	che1	ce1		ce1					
見	開	三	魚	平	見	遇	据	0	0	0		k	y	55					-	gyu1	-	geoi1	geoi1					
溪	開	三	魚	平	見	遇	墟	0	2	0		h	y	55					hyu1	hyu1	heoi1	heoi1	heoi1					
疑	開	三	魚	平	見	遇	魚	0	0	0		ŋ	y	51					njyu4	jyu4	jyu4	jyu4	jyu4					
疑	開	三	魚	平	見	遇	漁	0	0	0		ŋ	y	51					njyu4	jyu4	jyu4	jyu4	jyu4					
疑	開	三	魚	平	見	遇	衙	0	1	0		ŋ	a	51					ngaa4	ngaa4	ngaa4	ngaa4	ngaa4					
曉	開	三	魚	平	影	遇	虛	0	0	0		h	y	55					-	hyu1	heoi1	heoi1	heoi1					
曉	開	三	魚	平	影	遇	噓	1	2	0		h	y	55					hyu1	hyu1	heoi1	heoi1	heoi1					
							噓	1	2	0													syu4					
影	開	三	魚	平	影	遇	於	0	0	0			y	55					jyu1	wu1	wu1	jyu1	jyu1					
以	開	三	魚	平	以	遇	予	1	0	0			y	51				古代第一人稱	jyu4	jyu4	jyu4	jyu4	jyu4					
以	開	三	魚	上	以	遇	予	1	0	0			y	213				給予		jyu5			jyu5					
以	開	三	魚	平	以	遇	餘	0	0	0			y	51					jyu4	jyu4	jyu4	jyu4	jyu4					
以	開	三	魚	平	以	遇	輿	0	1	0			y	51					jyu4	jyu4	jyu4	jyu4	jyu4					
以	開	三	魚	平	以	遇	與	1	0	0									jyu4	jyu4	jyu4	jyu4						
							與	1	0	0			y	213					jyu5	jyu5			jyu5					
以	開	三	魚	去	以	遇	與	1	0	0													jyu6					
以	開	三	魚	平	以	遇	譽	0	0	0			y	33					-	jyu6	-	jyu6	jyu6					
以	開	三	魚	平	以	遇	余	0	0	0			y	51					jyu4	jyu4	jyu4	jyu4	jyu4					
以	開	三	魚	平	以	遇	蜍	0	2	0		s	y	51					jyu4	chyu4	-	ceoi4	ceoi4					
群	開	三	魚	平	見	遇	渠	0	0	0		kʰ	y	51					kyu4	kyu4	keoi4	keoi4	keoi4					
娘	開	三	魚	上	知	遇	女	0	0	0		n	y	213					njyu5	nyu5	neoi5	neoi5	neoi5					
來	開	三	魚	上	來	遇	旅	0	0	0		l	y	213					lyu5	lyu5	leoi5	leoi5	leoi5					
來	開	三	魚	上	來	遇	侶	0	1	0		l	y	213					lyu5	lyu5	leoi5	leoi5	leoi5					
來	開	三	魚	上	來	遇	呂	0	1	0		l	y	213					lyu5	lyu5	leoi5	leoi5	leoi5					
從	開	三	魚	上	精	遇	咀	0	2	0		ts	y	213					zyu2	zyu2	zeoi2	zeoi2	zeoi2					
邪	開	三	魚	上	精	遇	嶼	1	0	0		ts	y	33					-	syu5	-	zeoi6	zeoi6					
							嶼	1	0	0													jyu4					
邪	開	三	魚	上	精	遇	序	0	0	0		ts	y	33					zyu6	zyu6	zeoi6	zeoi6	zeoi6					
邪	開	三	魚	上	精	遇	敘	0	0	0		ts	y	33					zyu6	zyu6	-	-	zeoi6					
邪	開	三	魚	上	精	遇	緒	0	0	0		s	y	213					syu5	syu5	-	seoi5	seoi5					
邪	開	三	魚	上	精	遇	抒	0	1	0		s	y	55					shyu1	shyu1	-	cyu5	syu1					
知	開	三	魚	上	知	遇	貯	0	1	0		tsʰ	y	213					chyu5	chyu5	cyu5	cyu5	cyu5					
澄	開	三	魚	上	知	遇	杼	0	3	0		tsʰ	y	213					chyu5	chyu5	cyu5	cyu5	cyu5					
澄	開	三	魚	上	知	遇	佇	0	2	0		tsʰ	y	213					chyu5	chyu5	cyu5	cyu5	cyu5					
莊	開	三	魚	上	莊	遇	阻	0	0	0		ts	ɔ	213					zo2	zho2	zo2	zo2	zo2					
莊	開	三	魚	上	莊	遇	俎	0	2	0		ts	ɔ	213					zo2	zho2	zo2	zo2	zo2					
初	開	三	魚	上	莊	遇	楚	0	0	0		tsʰ	ɔ	213					cho2	cho2	co2	co2	co2					
初	開	三	魚	上	莊	遇	礎	0	0	0		tsʰ	ɔ	213					song2	cho2	co2	co2	co2					
生	開	三	魚	上	莊	遇	所	0	0	0		s	ɔ	213					sho2	sho2	so2	so2	so2					
昌	開	三	魚	上	章	遇	杵	0	2	0		tsʰ	y	213					chyu5	chyu5	cyu5	cyu5	cyu5					
昌	開	三	魚	上	章	遇	處	1	0	0		tsʰ	y	213				處理	chyu2	chyu2	syu3	cyu2	cyu2					
昌	開	三	魚	去	章	遇	處	1	0	0		tsʰ	y	33				住處	chyu3	chyu3			cyu3					
常	開	三	魚	上	章	遇	墅	0	1	0		s	y	33					syu5	shyu5	seoi6	seoi3	seoi5	seoi6				
常	開	三	魚	上	章	遇	野	0	0	0		j	a	213					je5	je5	je5	je5	je5					
書	開	三	魚	上	章	遇	鼠	0	0	0		s	y	213					shyu2	shyu3	syu2	syu2	syu2					
書	開	三	魚	上	章	遇	暑	0	0	0		s	y	213					shyu2	shyu2	syu2	syu2	syu2					
書	開	三	魚	上	章	遇	黍	0	1	0		s	y	213					shyu2	shyu2	syu2	syu2	syu2					
日	開	三	魚	上	日	遇	汝	0	2	0		n	i	213					njyu5	jyu5	-	nei5	jyu5					
見	開	三	魚	上	見	遇	莒	0	2	0									gyu2	gyu2	geoi2	geoi2	geoi2					
見	開	三	魚	上	見	遇	舉	0	0	0		k	y	213					gyu2	gyu2	geoi2	geoi2	geoi2					
見	開	三	魚	上	見	遇	櫸	0	2	0		k	y	213					-	-	-	geoi2	geoi2					
溪	開	三	魚	上	見	遇	去	0	0	0		h	y	33					hyu3	hyu2	heoi3	heoi3	heoi3					
疑	開	三	魚	上	見	遇	禦	0	0	0		ŋ	y	33					njyu6	jyu6	jyu6	jyu6	jyu6					
疑	開	三	魚	上	見	遇	語	1	0	0		ŋ	y	213					njyu5	jyu5	-	jyu5	jyu5					
疑	開	三	魚	去	見	遇	語	1	0	0													jyu6					
曉	開	三	魚	上	影	遇	許	0	0	0		h	y	213					hyu2	hyu2	heoi2	heoi2	heoi2					
群	開	三	魚	上	見	遇	距	0	0	0		kʰ	y	213					kyu5	kyu5	-	keoi5	keoi5					
群	開	三	魚	上	見	遇	巨	0	0	0		k	y	33					gyu6	gyu6	geoi6	geoi6	geoi6					
