來源		黃磊.邵東湘語語音研究[D].長沙:湖南師範大學,2005							
轉錄者		DaiDzao							
地點		湖南省-邵陽市-邵東市(縣城)							
分片		湘語-婁邵片B-武邵小片							
									
拼音	IPA	調號	單字		1阴平55	2阳平12	3上声32	5阴去35	6阳去24
	ɕin	5	信性姓杏=兴[高~]讯-迅-焮[把冷了的饭菜再热一热]						
	ʑin	2	行[人~道]型形刑						
	ʑin	6	幸						
	in	1	因阴音姻殷鹦缨英鹰樱莺婴荫						
	in	2	淫吟=赢营=萤=盈银迎寅						
	in	3	隐引饮影颖瘾						
	in	5	印应映硬=						
	tuən	3	准-						
	tʰuən	1	吞=						
	duən	6	盾=						
	nuən	2	轮=伦=仑=						
	nuən	5	论=						
	tsuən	1	尊=遵=						
	tsʰuən	1	村=						
	dzuən	2	纯=唇=存=						
	suən	1	孙=						
	suən	3	笋=损=						
	suən	5	舜=						
	zuən	6	顺=润=闰=						
	kuən	3	滚						
	kuən	5	棍						
	kuən	3	昆崑坤						
	kʰuən	3	捆						
	kʰuən	6	困胭						
	ɣuən	2	横-[~直]						
	uən	1	温瘟						
	uən	3	稳吻勿						
	ʨyn	1	军均钧君						
	ʨyn	3	准=窘-						
	ʨyn	5	俊=峻=竣=						
	ʨʰyn	1	春椿						
	ʨʰyn	3	蠢倾-顷-						
	ʥyn	2	裙群琼						
	ʥyn	6	郡菌						
	ɕyn	1	熏薰勋						
	ɕyn	5	迅=讯=训汛殉瞬舜-						
	ʑyn	2	询循=旬=巡=荀=纯-寻=						
	ʑyn	6	顺-闰-润-逊=						
	yn	1	晕						
	yn	2	云匀芸耘营-萤-荣-						
	yn	3	允尹永-						
	yn	5	运孕韵蕴熨泳-咏-						
	puŋ	1	崩绷						
	puŋ	3	捧[抱]						
	puŋ	5	蹦						
	pʰuŋ	1	膨[头发~起]						
	pʰuŋ	3	棒						
	pʰuŋ	6	碰						
	buŋ	2	棚鹏篷朋						
	muŋ	2	蒙盟=萌檬						
	muŋ	3	猛懵						
	muŋ	5	孟梦						
	fuŋ	1	风丰封疯蜂峰锋枫蜂						
	fuŋ	3	讽						
	vuŋ	2	缝-逢-冯-						
	vuŋ	6	凤-奉-俸-						
	tuŋ	1	冬东中-忠-终-钟-						
	tuŋ	3	懂董肿-种-						
	tuŋ	5	冻栋众-中-[射~]						
	tʰuŋ	1	通熥囱-冲-[~动]舂=逞[~ 狠]						
	tʰuŋ	3	统桶捅充-						
	tʰuŋ	6	痛铳-冲-[脾气~]						
	duŋ	2	同铜筒桐童瞳虫-重-[~复]						
	duŋ	6	洞动仲重[轻~]						
	nuŋ	1	聋弄[~坏]						
	nuŋ	2	农浓脓龙垅隆笼胧						
	nuŋ	3	拢垄						
	nuŋ	5	弄[~子]						
	tsuŋ	1	宗棕鬃踪中=忠=终=钟=						
	tsuŋ	3	总种=肿=						
	tsuŋ	5	粽综纵众=中=[射~]						
	tsʰuŋ	1	聪匆葱塑丝一动立						
	tsʰuŋ	3	搡[:推]宠						
	tsʰuŋ	6	冲=[:刺鼻，脾气~]铳=						
	dzuŋ	2	崇从丛松-[~树]重=[~复]虫=						
	dzuŋ	6	颂-诵-仲=重=[轻~]						
	suŋ	1	松[~鼠]篙兄-						
	suŋ	3	耸怂搡[推]						
	suŋ	5	宋送嗅讼通=颂=						
	zuŋ	2	戎绒熊-雄-茸						
	kuŋ	1	功公蛤工攻宫恭弓躬龚						
	kuŋ	3	拱巩汞						
	kuŋ	5	贡供~[:钻]						
	kʰuŋ	1	空[~军]						
	kʰuŋ	3	孔恐						
	kʰuŋ	6	空[~缺]控						
	guŋ	6	共						
	ŋuŋ	1	翁嗡						
	ŋuŋ	5	蕹[~菜]						
	xuŋ	1	轰烘峰-枫-讽-蜂-疯-封-丰-风-锋-						
	xuŋ	3	哄[~:擤鼻涕]						
	ɣuŋ	2	宏洪弘鸿虹红冯逢缝						
	ɣuŋ	6	凤奉傣						
	ʨyŋ	3	窘=						
	ʥyŋ	2	穷琼						
	ɕyŋ	1	兄=胸凶匈						
	ʑyŋ	2	熊=						
	yŋ	1	拥庸=						
	yŋ	2	容蓉融溶熔榕庸-荣=雄=						
	yŋ	3	永=勇涌泳=咏=恿						
	yŋ	1	用						
	pan	1	斑班颁扳						
	pan	3	板版						
	pan	5	扮跘[:跌倒]						
	pʰan	1	攀潘=						
	pʰan	6	襻盼=						
	ban	6	办瓣						
	man	2	蛮						
	man	3	满[~~:父亲的兄弟姐妹]晚[~妹子]						
	man	5	漫曼馒蔓慢~[瓣:一~橘子]						
	fan	1	翻番帆=						
	fan	3	反返						
	fan	5	泛乏-贩						
	van	2	烦凡帆-繁						
	tan	6	范犯饭万						
	tan	1	单担[~当]丹耽~[拿]						
	tan	3	胆						
	tan	5	担[挑~]旦蛋石[一~]						
	tʰan	1	摊滩贪瘫探[侦~]						
	tʰan	3	坦毯						
	tʰan	6	探[试~]叹炭碳						
	dan	2	坛痰谈弹[~琴]谭潭檀						
	dan	6	但淡掸诞弹[~子]						
	nan	2	篮蓝栏兰拦岚南男难[好~]楠						
	nan	3	懒缆揽览榄						
	nan	5	烂难[患~]滥						
	tsan	1	簪栈蘸						
	tsan	3	攒盏斩崭展						
	tsan	5	站战占颤赞~[:缝补]						
	tsʰan	1	参搀餐掺						
	tsʰan	3	惨产阐铲						
	tsʰan	6	灿						
	dzan	2	蚕残馋谗缠惭禅[~宗]蝉~[刺眼]						
	dzan	6	暂錾						
	san	1	三衫删珊山煽[~风]						
	san	3	散[~架]伞颡[颈~:脖子]						
	san	5	散[分~]扇疝						
	zan	2	然燃						
	zan	6	善膳禅[~让]						
	kan	1	干[~净]甘柑肝尴艰-间[中~]奸-						
	kan	3	感敢橄赶杆秆竿擀简-减-						
	kan	5	干[~部]间[~断]监-[~狱]舰-						
	kʰan	1	刊堪勘嵌						
	kʰan	3	砍坎槛盒						
	kʰan	6	看						
	ŋan	1	安鞍庵						
	ŋan	2	严-						
	ŋan	3	眼-埯						
	ŋan	5	暗措岸案按谚晏[晚:来~了]						
	xan	1	憨鼾酣						
	xan	3	喊罕						
	xan	5	汉						
	ɣan	2	含函咸衔-闲-韩寒						
	ɣan	6	撼憾汗焊旱苋翰陷-限-						
	piɛn	1	边鞭编						
	piɛn	3	扁贬匾蝙=						
	piɛn	5	变便[方~]						
	pʰiɛn	1	篇偏翩						
	pʰiɛn	6	骗片遍						
	biɛn	2	便[~宜]						
	biɛn	6	辫辨辩						
	miɛn	2	棉=眠绵						
	miɛn	3	勉免娩缅腼						
	miɛn	5	面						
	tiɛn	1	颠癫掂						
	tiɛn	3	点典碘						
	tiɛn	5	店						
	tʰiɛn	1	天添						
	tʰiɛn	3	舔腆						
	diɛn	2	田填甜						
	diɛn	6	垫电殿奠淀佃						
	niɛn	2	镰廉连联莲帘怜						
	niɛn	3	脸敛						
	niɛn	5	链练炼恋						
	ʨiɛn	1	尖歼肩坚煎艰=奸=监=						
	ʨiɛn	3	剪检俭=拣茧减=简=						
	ʨiɛn	5	见剑建鉴贱=箭荐饯=舰=						
	ʨʰiɛn	1	千签牵谦铅迁笺						
	ʨʰiɛn	3	浅=遣						
	ʨʰiɛn	6	欠歉~[水凉]						
	ʥiɛn	2	钳钱前潜乾虔						
	ʥiɛn	6	渐件俭-饯-键健腱践=						
	ȵiɛn	1	研-拈蹑-						
	ȵiɛn	2	年严=鲇						
	ȵiɛn	3	捏碾撵						
	ȵiɛn	5	验-砚-念						
	ɕiɛn	1	先仙鲜=掀=						
	ɕiɛn	3	显险						
	ɕiɛn	5	现[出~]线宪献腺馅阉-羡=						
	ʑiɛn	2	闲=衔=嫌贤涎=						
	ʑiɛn	6	限陷现[~在]						
	iɛn	1	烟淹研=阉=						
	iɛn	2	炎盐檐阎延涎-言严=颜=岩=						
	iɛn	3	演掩眼=						
	iɛn	5	厌艳焰咽宴雁燕筵脸验=砚=						
	uan	3	晚						
	ʨyɛn	1	捐专砖圈[猪~]						
	ʨyɛn	3	卷[~起]转[~学]						
	ʨyɛn	5	眷卷[~子]券绢转[~圈]						
	ʨʰyɛn	1	圈[圆~]川穿旋-[~转]						
	ʨʰyɛn	3	浅-犬						
	ʨʰyɛn	6	劝串						
	ʥyɛn	2	全泉传船拳权颧						
	ʥyɛn	6	践-贱-倦篆旋[头上~]						
	ɕyɛn	1	宣喧掀-						
	ɕyɛn	3	选鲜[~少]癣鲜-[新~]						
	ɕyɛn	5	绚楦[鞋~子]						
	ʑyɛn	2	弦玄眩悬旋=[~转]						
	ʑyɛn	6	县羡-						
	yɛn	1	冤鸳渊						
	yɛn	2	圆=员缘沿原园元源袁援						
	yɛn	3	远阮软						
	yɛn	5	怨愿院						
	paŋ	1	搬帮邦梆般						
	paŋ	3	绑榜						
	paŋ	5	磅傍谤半						
	pʰaŋ	1	潘-						
	pʰaŋ	3	~[~肉：一种卤肉]						
	pʰaŋ	6	判叛胖盼-						
	baŋ	2	旁螃庞傍-盘						
	baŋ	6	拌绊棒蚌伴						
	maŋ	2	瞒馒-盲芒茫氓						
	maŋ	3	满莽蟒						
	faŋ	1	欢荒慌方芳						
	faŋ	3	缓谎仿访纺						
	faŋ	5	放						
	vaŋ	2	妨防房忘亡王凰桓完玩还[~原]环黄簧皇蝗肪						
	vaŋ	6	唤焕患宦忘						
	taŋ	1	当[~时]张-章-樟-装[~饭:盛饭]						
	taŋ	3	挡党长-涨-掌-						
	taŋ	5	当[~真]瘴-账-障-						
	tʰaŋ	1	汤昌-娼-猖-						
	tʰaŋ	3	躺倘厂-						
	tʰaŋ	6	趟烫唱-倡-畅-						
	daŋ	2	堂棠膛蜂唐糖塘长[~短]场-肠-常-尝-螗[~虾:蜻蜓]						
	daŋ	6	荡丈-杖-仗-氹[~~:水洼]						
	naŋ	1	~[猪~子：公猪]						
	naŋ	2	郎狼廊榔螂						
	naŋ	3	朗						
	naŋ	5	浪晾[~衣服:晒衣服]						
	tsaŋ	1	脏张=章=樟=						
	tsaŋ	3	长=涨=掌=						
	tsaŋ	5	账=胀=障=葬=						
	tsʰaŋ	1	昌=娼=猖=仓=苍=						
	tsʰaŋ	3	厂=						
	tsʰaŋ	6	唱=倡=畅=						
	dzaŋ	2	长=场=肠=常=尝=偿=藏[隐~]						
	dzaŋ	6	丈=杖=仗=藏[西~；宝~]						
	saŋ	1	伤商桑=						
	saŋ	3	晌偿-赏嗓=						
	zaŋ	6	上让壤						
	kaŋ	1	岗钢刚缸纲冈肛						
	kaŋ	3	讲港						
	kaŋ	5	杠虹[天上~]						
	kʰaŋ	1	糠康慷=						
	kʰaŋ	3	慷-						
	kʰaŋ	6	抗炕亢						
	gaŋ	2	扛						
	ŋaŋ	2	昂						
	ɣaŋ	2	行[银~]航杭						
	ɣaŋ	6	项-巷-横[床~子]						
	tiaŋ	1	~[粘]~[蛰]						
	tiaŋ	5	~[~重:很重]						
	tiaŋ	2	凉良量[~长短]粮梁粱						
	niaŋ	3	两						
	niaŋ	5	辆亮量[质~]靓谅						
	ʨiaŋ	1	将[~来]江姜僵疆=						
	ʨiaŋ	3	进=奖蒋颈-						
	ʨiaŋ	5	酱将[大~]降[下~]						
	ʨʰiaŋ	1	枪腔疆-						
	ʨʰiaŋ	3	抢强[勉~]						
	ʨʰiaŋ	6	呛						
	ʥiaŋ	2	强[~大]墙详-祥-降[投~]						
	ʥiaŋ	6	擎匠象-						
	ȵiaŋ	2	娘						
	ȵiaŋ	3	抑[~菜:炒菜]						
	ȵiaŋ	5	酿						
	ɕiaŋ	1	湘香相厢乡箱镶						
	ɕiaŋ	3	想响享饷						
	ɕiaŋ	5	向像象=巷=项=						
	ʑiaŋ	2	详=详=降[下~]						
	iaŋ	1	央秧殃萦[~毛线]						
	iaŋ	2	洋羊阳杨扬疡						
	iaŋ	3	痒氧养仰=						
	iaŋ	5	样[~摇:~脑壳]						
	tuaŋ	1	端						
	tuaŋ	3	短						
	tuaŋ	5	锻						
	duaŋ	2	团糰						
	duaŋ	6	缎段断						
	nuaŋ	2	孪圆-莺圞[~夜:一整夜]						
	nuaŋ	3	暖卵=						
	nuaŋ	5	乱						
	tsuaŋ	1	藏-[西~]装庄桩莊妆						
	tsuaŋ	5	葬-壮钻						
	tsʰuaŋ	1	窜仓-苍-疮窗汆[~汤]						
	tsʰuaŋ	3	闯撞-						
	tsʰuaŋ	6	创						
	dzuaŋ	2	藏-[隐~]床						
	dzuaŋ	6	撞						
	suaŋ	1	酸栓拴閂桑-霜孀双						
	suaŋ	3	爽嗓-						
	suaŋ	5	算蒜丧[~气:疝气]						
	kuaŋ	1	光官棺观冠[衣~]关~[扫~:扫帚]						
	kuaŋ	3	广管馆						
	kuaŋ	5	惯贯冠[~军]罐灌						
	kʰuaŋ	1	宽筐框眶匡						
	kʰuaŋ	3	款						
	kʰuaŋ	6	况旷矿						
	guaŋ	2	狂						
	guaŋ	6	逛						
	uaŋ	1	汪弯湾豌						
	uaŋ	3	碗腕挽宛枉往网惘						
	uaŋ	5	幻晃[~眼]旺望妄						
	m	3	姆						
	n	3	你						
	ŋ	5	不						
