來源		黃磊.邵東湘語語音研究[D].長沙:湖南師範大學,2005							
轉錄者		DaiDzao							
地點		湖南省-邵陽市-邵東市(縣城)							
分片		湘語-婁邵片B-武邵小片							
									
拼音	IPA	調號	單字		1阴平55	2阳平12	3上声32	5阴去35	6阳去24
	ua	3	瓦哕[干~：干呕]						
	ua	5	滑划[计~]						
	ya	3	~[把:一把米]						
	ya	5	~[丢：扔]						
	po	1	波玻菠钵拨播剥驳卜[萝~]						
	po	3	跛						
	po	5	簸勃泊帛博波[打~：接吻]						
	pʰo	1	泼坡						
	pʰo	6	破魄迫=						
	bo	2	婆						
	bo	6	薄[~荷]簿						
	mo	1	摸木						
	mo	2	磨[~刀]魔摩模摹蘑馍膜						
	mo	3	母拇么[~子：什么]						
	mo	5	磨[推~]慕墓莫沫漠末穆牧目幕睳陌墨						
	to	1	多脚-角-觉-[知~]						
	to	3	躲朵						
	to	5	跺剁垛夺踱						
	tʰo	1	拖脱托託						
	tʰo	3	椭妥唾-						
	tʰo	6	驼[压：莫~倒我]着[睡~]唾=						
	do	2	驮驼鸵坨[矮~~：很矮]						
	do	6	舵惰墮						
	lo	1	烙乐-[音乐]啰[啰嗦]						
	lo	2	罗萝螺锣骡脶踝-箩						
	lo	3	裸络[：哄人开心]卵-						
	lo	5	糯赂诺落骆洛乐[快~]略-掠-虐-疟-						
	ʦo	1	桌卓捉						
	ʦo	3	左						
	ʦo	5	做作着[~衣]酌啄琢镯						
	ʦʰo	1	搓撮						
	ʦʰo	6	浊=错=措锉戳凿绰						
	ʣo	6	坐座昨						
	so	1	嗦蓑梭索						
	so	3	所=锁琐缩=						
	so	5	塑说术勺芍学-						
	zo	6	弱若						
	ko	1	哥歌锅戈郭割鸽国=聒=各阁搁胳						
	ko	3	果裹嗰[~只：这个]						
	ko	5	个过廓-						
	kʰo	1	科蝌颗=棵=窠叩磕-壳						
	kʰo	3	可颗-棵-渴课						
	kʰo	6	阔扩括=廓=渴-						
	ŋo	2	鹅蛾俄						
	ŋo	3	我						
	ŋo	5	愕饿沃=						
	xo	1	喝豁获-鹤-霍[~人：刺人]						
	xo	3	火伙夥						
	xo	5	荷货盒合活霍藿或惑获=鹤=						
	ɣo	2	河荷[荷花]何和禾						
	ɣo	6	贺祸和[~面]						
	o	1	恶[~人]窝=蜗阿屙[~粪]						
	o	5	卧握[~笔]						
	ʨio	1	脚=觉=[知觉]						
	ʨʰio	1	雀[打喷~：打喷嚏]						
	ʨʰio	6	确-						
	ʥio	2	觉-[~得]						
	io	1	约乐=[音~]						
	io	2	~[萎：花~了]						
	io	5	药钥跃-岳-[~阳]						
	pɛ	1	伯柏北百						
	pʰɛ	1	拍-						
	pʰɛ	6	迫-						
	bɛ	6	白						
	mɛ	1	~[~黑：很黑]~[~：看]						
	mɛ	5	麦-脉-						
	tɛ	1	得褶摺折-[~米：黏米]						
	tɛ	5	遮-哲-德						
	tʰɛ	1	车-						
	tʰɛ	6	特						
	lɛ	5	勒肋捋						
	ʦɛ	1	蔗=折=摘=遮=侧-						
	ʦɛ	3	者						
	ʦɛ	5	哲=浙则窄=责						
	ʦʰɛ	1	车=拆-						
	ʦʰɛ	6	撤侧=测择=策册泽						
	ʣɛ	6	贼						
	sɛ	1	涉赊=虱塞色						
	sɛ	3	捨						
	sɛ	5	摄赦舍舌设涩						
	zɛ	2	蛇=佘=						
	zɛ	3	惹=						
	zɛ	6	社麝热射=						
	kɛ	1	隔膈[ɕia55~落：胳肢窝]						
	kɛ	5	锯革格[~外]						
	kʰɛ	1	客磕=克刻						
	kʰɛ	6	去-						
	gɛ	2	嗝						
	ŋɛ	5	额=						
	xɛ	1	黑						
	xɛ	5	核狭-吓=						
	ɛ	2	而儿						
	ɛ	3	耳铒						
	ɛ	5	扼二						
	piɛ	1	瘪憋鳖别=[区~]瘪[~淡：很淡]						
	piɛ	3	蝙-瘪[~了：陷了]						
	pʰiɛ	1	撇别[区~]						
	pʰiɛ	6	别-[~离]						
	miɛ	1	咩搣[捏，揪，掰，撕，剥]						
	miɛ	2	棉-						
	miɛ	5	灭蔑						
	tiɛ	1	跌						
	tiɛ	5	碟叠谍牒						
	tʰiɛ	6	铁贴帖						
	tʰiɛ	1	蝶						
	liɛ	5	劣猎烈列裂例						
	ʨiɛ	5	接揭洁=节结[~果子]阶=皆=街=						
	ʨiɛ	3	解=姐=且=						
	ʨiɛ	5	借=界=介=捷=洁=劫=杰=截=结[结论]						
	ʨʰiɛ	1	劫-切[~开]窃-						
	ʨʰiɛ	3	且=						
	ʨʰiɛ	6	妾捷-杰-怯窃=切[一~]截-						
	ʥiɛ	2	茄						
	ȵiɛ	1	聂镊蹑=						
	ȵiɛ	5	业-孽						
	ɕiɛ	1	蝎歇些蟹=械=						
	ɕiɛ	3	写[租：写屋]						
	ɕiɛ	5	协泻=卸谢懈袭-穴泄狭-						
	ʑiɛ	2	斜=邪=						
	iɛ	1	噎						
	iɛ	2	爷=[祖父]						
	iɛ	3	也野=治						
	iɛ	5	叶页夜=业=乙=腋液翼[~胛：翅膀]						
	kuɛ	1	国-						
	lyɛ	5	掠=略=						
	ʨyɛ	1	觉=[知觉]						
	ʨyɛ	5	绝蕨掘诀决倔						
	ʨʰyɛ	1	缺						
	ʨʰyɛ	6	却确=雀=鹊=						
	ʥyɛ	6	觉=[觉得]						
	ȵyɛ	5	虐=疟=						
	ɕyɛ	1	薛血恤-穴靴削						
	ɕyɛ	5	学=						
	yɛ	1	乐=						
	yɛ	5	悦阅月越跃=粤岳=						
	pai	1	跛						
	pai	3	摆						
	pai	5	拜						
	pʰai	6	派						
	bai	2	排牌簰						
	bai	6	稗败						
	mai	2	埋						
	mai	3	买						
	mai	5	卖迈麦=脉=						
	vai	2	怀槐淮						
	vai	6	坏						
	tai	1	呆						
	tai	3	逮歹						
	tai	5	戴带贷						
	tʰai	1	胎苔						
	tʰai	6	太态泰汰						
	dai	2	台抬薹[菜~]						
	dai	6	大待代袋黛怠						
	lai	1	奶[奶奶：祖母]						
	lai	2	来						
	lai	3	奶[吃~]乃						
	lai	5	耐奈癞赖㸊[：烫]						
	ʦai	1	灾栽斋						
	ʦai	3	宰崽						
	ʦai	5	再载[~重]债宅						
	ʦʰai	1	猜钗差[出~]						
	ʦʰai	3	彩采踩睬						
	ʦʰai	6	菜蔡						
	ʣai	2	才材豺裁财柴						
	ʣai	6	在寨						
	sai	1	腮鳃筛						
	sai	5	赛晒						
	kai	1	该概丐街-阶-械-皆-						
	kai	3	改-解-						
	kai	5	溉=盖钙疥介-界-届戒						
	kʰai	1	开揩						
	kʰai	3	凯楷						
	kʰai	6	溉-概						
	ŋai	1	挨哀埃						
	ŋai	2	癌捱呆-岩-崖-						
	ŋai	3	矮蔼						
	ŋai	5	爱碍艾隘						
	xai	1	嬉						
	xai	3	海						
	ɣai	2	鞋还[~有]孩						
	ɣai	6	亥害						
	suai	1	摔衰						
	suai	3	甩						
	suai	5	率[元~]帅蟀						
	kuai	1	乖						
	kuai	3	拐[~常：事情变糟]						
	kuai	5	怪						
	kʰuai	6	快块筷会[~计]						
	uai	1	歪						
	uai	3	崴[~脚]						
	uai	5	外						
	pei	1	杯碑卑背[~东西]						
	pei	5	辈贝						
	pʰei	1	胚坯呸						
	pʰei	3	培-						
	pʰei	6	配佩沛						
	bei	2	培=陪赔裴剖						
	bei	2	背[~书]倍惫备=被[~打]						
	mei	1	痗[无精打采的样子]						
	mei	2	梅枚眉=媒霉煤楣						
	mei	3	美每						
	mei	5	妹魅昧媚没						
	fei	1	灰恢挥辉徽非绯飞菲痱妃						
	fei	3	毁贿匪诽翡						
	fei	5	晦费废肺狒惠						
	vei	2	肥回茴危为[行~]唯维违围微						
	vei	6	汇绘会末味						
	tuei	1	堆						
	tuei	5	对碓						
	tʰuei	1	推						
	tʰuei	3	腿						
	tʰuei	6	退褪蜕						
	duei	6	队兑坠-隧-						
	luei	1	磊[很壮]						
	luei	2	雷蕾						
	luei	3	累[~积]垒磊						
	luei	5	内累[劳~]泪类擂						
	ʦuei	1	追						
	ʦuei	3	嘴						
	ʦuei	5	最缀赘醉卒锐坠=						
	ʦʰuei	1	吹崔催炊猝[仓~]						
	ʦʰuei	6	脆翠粹						
	ʣuei	2	随垂锤槌谁						
	ʣuei	6	罪瑞遂卒						
	suei	1	虽绥=术-						
	suei	3	髓水						
	suei	5	碎岁睡税穗述-隧=						
	kuei	1	圭闺规归龟骨-						
	kuei	3	鬼轨诡						
	kuei	5	桂贵瑰鳜癸						
	kʰuei	1	窥盔亏						
	kʰuei	3	跪-						
	kʰuei	6	溃愧						
	guei	2	奎魁逵						
	guei	6	柜跪=						
	uei	1	微=危=薇威煨萎						
	uei	3	尾伟委萎纬苇						
	uei	5	卫伪喂为[~什么]未位魏畏慰胃谓						
	paɯ	1	褒包胞						
	paɯ	3	保堡宝饱						
	paɯ	5	报暴豹爆鲍雹曝						
	pʰaɯ	1	抛鳔						
	pʰaɯ	3	跑						
	pʰaɯ	6	泡炮瀑						
	baɯ	2	袍刨浮-						
	baɯ	6	抱菢鉋						
	maɯ	1	无猫						
	maɯ	2	毛矛茅锚						
	maɯ	3	卯						
	maɯ	5	帽貌冒茂=贸=						
	taɯ	1	刀叨招-召-诏-昭-沼-朝-						
	taɯ	3	倒[打~]导捣岛						
	taɯ	5	倒[~水]到道[国~]照-						
	tʰaɯ	1	涛滔掏超-						
	tʰaɯ	3	讨						
	tʰaɯ	6	套						
	daɯ	2	桃淘萄陶逃朝[~代]						
	daɯ	6	道[~士]稻盗导-赵-						
	laɯ	1	~[~软：很软]						
	laɯ	2	劳捞唠牢涝						
	laɯ	3	老脑恼						
	laɯ	5	闹						
	ʦaɯ	1	糟遭朝=[~阳]沼=昭=召=招[:干果类炒得香脆]						
	ʦaɯ	3	早枣蚤澡藻找爪-						
	ʦaɯ	5	灶罩照=错-造=						
	ʦʰaɯ	1	操抄钞超=造-						
	ʦʰaɯ	3	草炒吵						
	ʦʰaɯ	6	躁燥糙						
	ʣaɯ	2	䐬[肚~：肚子饿]曹槽皂-巢朝[朝代]潮						
	ʣaɯ	6	皂=[~水：泼水]兆赵=						
	saɯ	1	骚臊烧						
	saɯ	3	嫂稍少[多~]						
	saɯ	5	扫哨潲邵少[~年]绍[介~]						
	zaɯ	2	韶绕饶淆						
	zaɯ	3	扰						
	kaɯ	1	高膏糕蒿羔跤-胶-						
	kaɯ	3	搞稿						
	kaɯ	5	告教-[~书]觉[睡~]叫[~花子：乞丐]						
	kʰaɯ	1	敲-						
	kʰaɯ	3	考烤拷						
	kʰaɯ	6	铐靠犒						
	ŋaɯ	2	熬						
	ŋaɯ	3	袄咬-[~菜：腌菜]						
	ŋaɯ	5	傲奥澳沃-懊坳扷						
	xaɯ	1	蒿						
	xaɯ	3	好[~看]						
	xaɯ	5	好[爱~]耗						
	ɣaɯ	2	豪豪嚎壕						
	ɣaɯ	6	号浩						
	piaɯ	1	标镖彪膘						
	piaɯ	3	表裱婊						
	pʰiaɯ	1	飘						
	pʰiaɯ	3	膘漂漂[~白]						
	pʰiaɯ	6	票漂[~亮]						
	biaɯ	2	嫖瓢[~:嘴能说会道]						
	miaɯ	2	苗描瞄						
	miaɯ	3	藐渺秒						
	miaɯ	5	庙妙						
	tiaɯ	1	叼刁雕貂						
	tiaɯ	3	鸟-屌						
	tiaɯ	5	掉吊钓						
	tʰiaɯ	1	挑						
	tʰiaɯ	3	斢[：换]						
	tʰiaɯ	5	跳眺粜						
	diaɯ	2	调[~台]条						
	diaɯ	6	调[音~]						
	liaɯ	2	撩辽疗撩[~一下：菜过热水]撩[~：惹别人]						
	liaɯ	3	了[~解]						
	liaɯ	5	廖料						
	ʨiaɯ	1	蕉椒交娇骄胶=跤=浇郊						
	ʨiaɯ	3	焦剿缴绞矫搅狡侥较铰[~伙：合伙]饺						
	ʨiaɯ	5	教[~育]叫						
	ʨʰiaɯ	1	悄敲=缲鹊-						
	ʨʰiaɯ	3	巧						
	ʨʰiaɯ	6	翘俏撬窍						
	ʥiaɯ	2	桥乔樵瞧侨荞						
	ʥiaɯ	6	轿						
	ȵiaɯ	3	鸟=杳						
	ȵiaɯ	5	尿						
	ɕiaɯ	1	肖萧潇销箫宵霄嚣屑硝						
	ɕiaɯ	3	小晓						
	ɕiaɯ	5	笑孝酵						
	ʑiaɯ	6	校[~对]校						
	iaɯ	1	效妖邀腰要[~求]么[~二三]校[学~]						
	iaɯ	2	摇肴窑窑瑶谣尧姚						
	iaɯ	3	舀咬=						
	iaɯ	5	要[重~]耀						
	pʰəɯ	1	剖=						
	məɯ	2	谋						
	məɯ	3	某亩牡						
	məɯ	5	茂-贸-						
	fəɯ	3	否=						
	təɯ	1	都[~要]兜逗周-州-舟-洲-宙-邹-粥						
	təɯ	3	陡斗[~笠]抖肘						
	təɯ	5	斗[~争]昼-皱-咒-						
	tʰəɯ	1	偷抽-						
	tʰəɯ	3	丑-						
	tʰəɯ	6	透[~明]臭						
	dəɯ	2	投头绸-稠-筹-仇-酬-						
	dəɯ	6	豆纣-						
	ləɯ	2	楼						
	ləɯ	3	搂蒌屡-缕-						
	ləɯ	5	漏陋						
	ʦəɯ	1	宙=邹=洲=舟=州=周=帚						
	ʦəɯ	3	走肘=						
	ʦəɯ	5	奏咒=昼=皱=[~纹]骤						
	ʦʰəɯ	1	抽=						
	ʦʰəɯ	3	丑=						
	ʦʰəɯ	6	凑轴臭=						
	ʣəɯ	2	绸=愁稠=酬=仇=筹=						
	ʣəɯ	6	纣=						
	səɯ	1	搜飕馊收						
	səɯ	3	手道守						
	səɯ	5	瘦嗽兽赎-熟-						
	zəɯ	2	揉柔						
	zəɯ	6	受寿授售肉						
	kəɯ	1	勾沟钩						
	kəɯ	3	狗苟						
	kəɯ	5	够购构						
	kʰəɯ	1	抠眍						
	kʰəɯ	3	口						
	kʰəɯ	6	寇扣						
	ŋəɯ	1	欧欧殴						
	ŋəɯ	3	呕偶藕=						
	ŋəɯ	5	怄沤						
	xəɯ	3	吼否-						
	ɣəɯ	2	候喉猴浮=						
