#注释	瑞安话语音研究，落橙抄
#调值	[1]55[2]31[3]35[4]214[5]53[6]22[7]434[8]323
#ɿ	
ts	[1]知蜘资姿脂兹滋之芝[3]紫只旨指子滓[5]智致至置志痣
tsʰ	[1]雌=[3]扯此耻齿[5]刺翅次
dz	[2]迟持[4]痔[6]疵治
s	[1]筛斯撕施私师狮=尸司丝思诗[3]死使史驶=始[5]赐四肆试
z	[2]驰瓷餈慈词辞祠时鲥而禅=锄[4]是氏尔似祀巳士仕柿市耳=[6]自示视字伺寺嗣饲事侍
#i	
p	[1]标彪鞭编边[3]表扁[5]变遍[7]笔
pʰ	[1]飘篇偏[3]漂{~白}[5]票{车~}漂{~亮}骗片[7]撇匹
b	[2]嫖{~赌}便{~宜}[4]辨辩辫[6]便{方~}[8]别{区~}别{离~}
m	[2]苗描棉绵眠[4]秒免勉娩[6]庙妙面[8]灭蔑密蜜默
t	[1]颠
tʰ	[1]天[7]铁
d	[2]田填[6]电奠
ȵ	[2]泥倪宜仪尼疑严言年研[4]你染[6]谊义议毅验[8]业热译
l	[2]镰联连莲怜[4]敛[6]练恋[8]立笠=列烈裂劣栗律肋勒
tɕ	[1]鸡稽饥基几机讥饥尖歼煎肩坚[3]几{茶~}己纪检剪=展[5]计继系寄记剑箭溅践战建荐见[7]激击接劫哲蛰折节结洁即
tɕʰ	[1]溪欺签迁千牵谦[3]启起杞浅遣[5]契{~约}器弃气汽欠[7]吃妾揭切乞
dʑ	[2]茄{~子}奇骑岐企其棋期旗祈钳钱缠乾虔[4]技妓件[6]健[8]撤彻杰极
ɕ	[1]牺嬉希稀仙鲜先[3]喜髓陕险鲜{~少}廨显[5]戏线扇宪献[7]胁歇蝎
∅	[1]伊医衣=淹篶烟[3]野倚椅以掩[5]易意厌燕宴[7]噎忆亿益亦
j	[2]爷耶兮移炎盐阎檐然燃延筵前贤弦沿[4]渐善演[6]夜焰艳羡膳现[8]捷叶页腌协舌翼液
#u	
p	[1]菠波{~浪}
pʰ	[3]普谱[5]讣赴
b	[2]菩脯蒲孵[4]部簿[6]薄{~荷}捕[8]卜{萝~}仆{~人}薄
m	[2]蟆模{~范}摩[4]某[6]募墓慕[8]目穆牧木幕
f	[1]呼敷孵俘[3]火虎浒斧□{食上生白毛}辅[5]荷{薄~}货[7]福幅复{~杂}河何荷{~花}和{~气}
v	[2]禾胡湖狐壶胡{~须}无葫[4]祸负户抚武鹉侮[6]贺互护[8]服
k	[1]歌哥锅戈姑孤箍[3]果古股鼓[5]过故固雇顾[7]谷
kʰ	[1]科棵窠枯[3]颗估{~计}苦[5]课裤库[7]酷{残~}哭
h	[1]花[5]化
∅	[1]乌污阿{~膠}诬[3]坞[5]恶[7]屋
#y	
ȵ	[2]危完玩{古~}元原源螟渔鱼愚[4]软女语[6]愿遇[8]月
tɕ	[1]闺规龟焦蕉椒招骄娇浇专砖捐居车{~马炮}拘驹[3]诡轨鬼转{~送}卷举[5]桂季贵照叫绢眷据锯句[7]拙决诀
tɕʰ	[1]川穿圈{圆~}区驱[3]犬[5]劝[7]缺
dʑ	[2]瘸{~腿}朝潮侨桥传{~达}拳权渠俱[4]跪赵巨拒矩[6]柜召轿倦具惧[8]剧
ɕ	[1]挥=辉消销烧嚣欢宣喧昏婚荤虚[3]毁小=少选许[5]笑[7]雪说血忽恤
∅	[1]妖邀要{~求}腰冤温瘟[3]舀{~水}碗稳[5]要{重~}腕怨
j	[2]□{鸟巢之意}桡摇窑姚丸{药~} 拴全泉船圆员缘园援玄魂[4]绍扰绕{围~}缓阮远[6]绕{~线}耀旋{~吃~做}院悬[8]绝悦阅越穴术述
#a	
p	[3]摆[5]拜[7]百柏伯迫檗擘
pʰ	[1]□{有点像柚子的水果}[5]破派[7]拍魄
b	[2]排牌彭膨[6]败[8]白
m	[2]埋盲虻[4]买猛[6]卖迈孟[8]麦脉
f	[5]□{形容一个人把手伸得很开}
v	[2]横{~直}怀槐[6]坏[8]获划物佛或惑
t	[3]打[5]带
tʰ	[1]拖{鞋拖}[5]太泰[7]脱-
d	[6]大{~黄：药名}[8]夺-
n	[1]奶
n	[2]□{形容将东西据为己有}[4]乃奶[6]奈
l	[4]冷[8]落{记性不好，容易落东西}
ts	[1]姐{~~}斋争筝[5]债[7]执汁质卒摘责
tsʰ	[1]差{出~}钗撑[5]蔡[7]辑缉七漆拆策册
dz	[2]□{将东西硬夺过来}[6]寨[8]秩侄择泽宅
s	[1]狮-生牲笙甥[3]洒驶-省[5]晒帅[7]湿瑟虱失室膝
z	[2]豺柴[4]□{形容推挤别人以致摔倒}[6]瘦-[8]集习袭十什{~物}拾入实日疾
k	[1]阶秸{麦~}街更{五~}庚耕[3]解{~开}解{晓也}拐哽梗[5]介界芥届戒懈怪更{~加}[7]格革隔
kʰ	[1]揩铅坑[3]□{形容影碟机质量不好，常常会卡住}[5]快[7]磕客
ɡ	[4]□{锯子锯东西这一动作}
h	[1]亨[3]蟹{螃~}[6]□{形容敲击某个物品}[7]吓蛤=
ɦ	[2]鞋行{~为}衡[4]幸也[6]械行{品~}
ŋ	[4]蚁[6]外硬[8]额
∅	[1]埃{~及}挨[3]矮也[7]轭
ʔʋ	[1]歪
#ia	
tɕ	[7]急级给{供~}吉橘
tɕʰ	[7]泣屈
dʑ	[8]及掘
ȵ	[8]孽逆
ɕ	[5]卸[7]吸
∅	[7]乙一
#ɛ	
p	[3]保堡宝[5]报
b	[2]袍[4]抱[6]暴爆[8]瀑{~布}
m	[2]毛谋矛[4]牡亩[6]帽冒茂贸
f	[3]否
v	[2]浮[8]复{~原}
t	[1]刀[3]祷岛倒[5]到倒[7]啄-
tʰ	[1]涛[3]讨[5]套
d	[2]掏桃逃淘陶萄[4]道稻[6]导盗
n	[4]脑恼
l	[2]劳牢[4]老
ts	[1]遭糟[3]早枣蚤澡[5]躁竈
tsʰ	[1]操[3]雌-草[5]糙
s	[1]□{形容小孩很顽皮}[3]扫{~地}嫂[5]扫{~帚}
z	[2]曹槽[4]造皂
k	[1]高膏羔糕[3]稿搞[5]告
kʰ	[1]□{形容一个被烤的面包}[3]考烤[5]靠
ɡ	[6]□{形容把一个东西靠在墙壁上}
h	[3]好
ɦ	[2]豪毫号[4]浩[6]号{~数}
ŋ	[2]熬[6]傲
∅	[1]□{猪食的制作手法}[5]奥
#iɛ	
t	[1]□{形容一个人踮起脚尖}[3]点典[5]店
tʰ	[1]添[3]舔
d	[2]甜[4]簟[6]垫
l	[2]良凉量{~长短}粮梁粱[4]两{几~}[6]亮谅辆量{数~}
tɕ	[1]将{~来}浆张章樟疆僵缰姜[3]者奖桨蒋长{生~}涨掌[5]将{大~}酱帐账胀障涨
tɕʰ	[1]枪昌腔[3]抢厂[5]畅唱倡
dʑ	[2] 长{~短}场肠强[4]丈仗杖强{倔~}
ȵ	[2]娘[4]仰[6]念让
ɕ	[1]相{互~}箱厢镶商伤香乡[3]想赏晌享[5]相{~貌}饷向
∅	[1]衣-央秧殃[3]养
j	[2]墙详祥偿裳常烊扬阳杨洋羊降{投~}[4]象像橡上{~山}痒[6]匠尚上{~面}样
#e	
p	[7]北
m	[8]墨
t	[5]戴[7]得德
tʰ	[5]态贷
d	[4]待{~遇}[6]代袋[8]特
l	[6]赖
ts	[1]灾栽[3]宰载=[5]再载{~重}最[7]则
tsʰ	[1]猜[3]彩采[5]菜[7]测
s	[7]塞色
z	[2]才材财裁[4]在[8]杂贼
k	[1]该[3]改敢[5]概溉盖[7]鸽国
kʰ	[1]开[3]凯[7]克刻
h	[3]海[7]蛤-黑
ɦ	[2]孩[4]亥[6]害[8]合核
ŋ	[2]呆[6]耐艺
∅	[1]哀庵[5]爱艾暗
#ø	
p	[1]□{形容拨饭的动作}[5]半[7]拨泼{活~}
pʰ	[1]潘[5]破{~产}判[7]泼
b	[2]般搬盘[4]伴拌绊=[6]叛[6]钹
