	參考《安徽省方言志》《廬州方言考釋》						
#调值	①212 ②55 ③24 ⑤51 ⑦4  調值以合肥老派实验语音为准						
#ɿ							
p	①屄｛俗字丨女陰｝③彼比｛文讀｝鄙⑤篦閉避幣匕痹蔽秘弊泌鄙｛訛音丨其字「敝」｝						
pʰ	①㱟｛~開｝胚｛肧｝坯批披砒②皮疲啤｛~酒｝枇脾③痞｛俗字｝㱟｛又音｝丕⑤屁髀譬媲斃庇痺						
m	①瞇②瞇迷縻泥埿洣謎糜彌醚獼眉｛畫~｝③米麋羋⑤妹｛又音｝						
ts	①雞低姬機滋飢肌基屐孜箕訾齜兹鷀笄咨躋資譏姿淄幾｛~乎｝輜羈奇畸稽輜③几幾｛~箇｝擠濟績己紫仔籽滓姐｛又音｝底砥邸⑤暨字紀借｛又音｝自漬祭劑驥技冀際伎繼徛寄騎｛一~｝計薊忌既繫髻季覬地蒂帝娣偙諦薺｛~菜｝						
tsʰ	①差｛參~不齊｝妻凄朞溪谿嵠欺梯｛新音｝②期疵詞糍蹊瓷祠臍辭慈歧齊磁奇｛~怪｝騎｛~馬｝崎琦岐耆祁鰭旗琪麒騏祈｛又音：祈~｝題提堤蹄啼③起體此豈祈｛又音：~禱｝啓綺杞取｛舊音｝⑤氣棄汽｛新字｝憩企器砌次契｛~約｝賜刺屜涕替剃						
s	①司絲撕思螄些｛舊音｝硒獅師斯溪嬉犧羲曦熙熹奚希稀晞浠晳西犀②齊｛白讀｝③死使｛新音：大~｝屣洗喜史｛新音｝駛徙⑤四駟戲婿侍細伺泗嗣事飼｛~料｝兕似祀姒汜士仕寺柿肆廁侍｛~衛｝						
z	①衣依伊漪猗旖禕翳醫黟②眙泥｛新音｝霓誼｛又音｝倪驪梨罹釐璃灕蠡籬離黎犁狸迻胰移迤蛇｛逶~｝宜儀姨彝貽怡疑沂頤③椅鯉｛新音｝裡里禮醴澧裏俚娌擬劙旎倚蟻以已矣尾｛城北音｝⑤義縊勚｛損也｝意曳毅羿肄懿螠易｛容~｝億憶｛舒化｝艾｛懲~｝异誼藝裔例利厲吏隸儷荔｛文讀｝莉麗離｛~開｝痢隷蠣詈犡膩						
