#来源：湖南省宜章县栗源镇土话语音研究，作者：王颖，湖南师范大学硕士论文，2018年6月，导师：罗昕如 教授			
#转录者：DaiDzao			
IPA	調號	調值	單字
ɕiaŋ	3	55	想享响醒
ɕiaŋ	5	22	相向项
Øiaŋ	1	35	央秧殃痒
Øiaŋ	2	41	赢羊洋杨阳扬
Øiaŋ	3	55	养
Øiaŋ	5	22	样
ʦuaŋ	1	35	装
ʦuaŋ	5	22	状
suaŋ	3	55	爽
kuaŋ	1	35	光
kuaŋ	3	55	广□[甘蔗]
kuaŋ	5	22	逛
kʰuaŋ	1	35	筐旷-
kʰuaŋ	2	41	狂-
kʰuaŋ	3	55	哐[用力关门]
kʰuaŋ	5	22	况矿
xuaŋ	1	35	荒慌晃
xuaŋ	2	41	簧黄=
xuaŋ	3	55	谎
Øuaŋ	1	35	望=
Øuaŋ	2	41	黄-蝗王横-[~过去:横着直走]
Øuaŋ	3	55	网往
Øuaŋ	5	22	旺□[丢掉]
poŋ	2	41	嘭
poŋ	3	55	捧[抱着]嘣
poŋ	5	22	蹦□[~起屁股:撅起屁股]
pʰoŋ	1	35	蜂
pʰoŋ	2	41	蓬□[用手撑着再用力一跳]
pʰoŋ	3	55	棒=
pʰoŋ	5	22	碰=
moŋ	1	35	梦[名词]□[~一拳:揍别人一拳]
moŋ	2	41	蒙
moŋ	3	55	懵
moŋ	5	22	梦[动词]
foŋ	1	35	风枫疯凤丰封
foŋ	2	41	缝冯
foŋ	3	55	讽
toŋ	1	35	东冬中[~间]咚
toŋ	3	55	懂
toŋ	5	22	冻栋动
tʰoŋ	1	35	通
tʰoŋ	2	41	同铜桐筒童瞳
tʰoŋ	3	55	桶捅统
tʰoŋ	5	22	痛
noŋ	1	35	哝[咕~，带着不满情绪地一直嘟囔着]
noŋ	2	41	脓齈农
noŋ	5	22	弄=
loŋ	1	35	聋
loŋ	2	41	龙笼隆
loŋ	3	55	拢
loŋ	5	22	□[骗]
ʦoŋ	1	35	鬃忠终钟综中=[~国]□[~紧:塞]
ʦoŋ	3	55	总
ʦoŋ	5	22	种[~树]中-[射~]
ʦʰoŋ	1	35	春聪葱充冲重[轻~]
ʦʰoŋ	2	41	虫从重[~复]松[~树]
ʦʰoŋ	3	55	揰推
ʦʰoŋ	5	22	铳
soŋ	1	35	松
soŋ	2	41	怂□[好~:脾气差]
soŋ	5	22	送宋
koŋ	1	35	公工功攻弓宫恭供
koŋ	3	55	汞拱龚
koŋ	5	22	蚣共贡
kʰoŋ	1	35	空=[~气]
kʰoŋ	3	55	孔恐
kʰoŋ	5	22	控空-[~闲]
xoŋ	1	35	空-[~的:里面没有东西]烘
xoŋ	2	41	红洪
xoŋ	3	55	哄
Øoŋ	3	55	甕[~出来:突出来]
Øoŋ	5	22	□[闭塞不通风]
ʨʰioŋ	2	41	穷
ɕioŋ	1	35	兄胸凶
ɕioŋ	2	41	熊雄
ȵioŋ	2	41	浓
Øioŋ	1	35	庸
Øioŋ	2	41	荣绒融容
Øioŋ	3	55	勇永泳
Øioŋ	5	22	用
m	2	41	鱼
m	3	55	唔五
