#来源：湖南省宜章县栗源镇土话语音研究，作者：王颖，湖南师范大学硕士论文，2018年6月，导师：罗昕如 教授			
#转录者：DaiDzao			
IPA	調號	調值	單字
to	2	41	驮[~起来]驼[~子:驼背之人]
to	3	55	朵躲
to	5	22	舵剁垛
tʰo	1	35	拖脱
tʰo	2	41	驮
tʰo	3	55	妥椭
no	2	41	挪
no	5	22	糯
lo	1	35	啰
lo	2	41	锣箩骡螺摞脶
ʦo	1	35	捉
ʦo	2	41	桌作
ʦo	3	55	左
ʦo	5	22	座
ʦʰo	1	35	搓坐错
ʦʰo	5	22	着[睡~]昨浊
so	1	35	梭刷索唆
so	3	55	锁
so	5	22	蓑[~衣]
ko	1	35	歌哥郭
ko	2	41	鸽
ko	3	55	渠[他]果
ko	5	22	过
kʰo	1	35	科课
kʰo	3	55	可
kʰo	5	22	去
ŋo	1	35	我饿
ŋo	2	41	鹅蛾恶
xo	1	35	贺货祸
xo	2	41	何荷
xo	3	55	火
xo	5	22	学和合盒
Øo	1	35	屙
Øo	2	41	禾
Øo	5	22	镬[锅]
tio	1	35	着[~衣:穿衣]
ʨio	1	35	脚
ʨio	2	41	角
ʨʰio	2	41	确=[~实]觉=[~得]茄
ȵio	2	41	弱
ɕio	2	41	学=
Øio	5	22	药
ȵyoɛ	5	22	月虐疟
pɛ	1	35	北百柏
pɛ	2	41	白=
pʰɛ	1	35	拍
pʰɛ	2	41	魄
mɛ	2	41	默[~一下:想一下]
mɛ	5	22	麦
tɛ	1	35	得□[给]
tɛ	2	41	德得[厉害]
tʰɛ	1	35	忒
tʰɛ	2	41	特
nɛ	1	35	呐[语气词]
lɛ	1	35	□[刺]
ʦɛ	1	35	侧责
ʦɛ	2	41	蛰[惊~]
ʦʰɛ	2	41	厕撤
ʦʰɛ	5	22	测
sɛ	1	35	赊色塞涩
sɛ	5	22	设涉
ɕiɛ	5	22	社
xɛ	1	35	黑
xɛ	2	41	核[~桃]
xɛ	5	22	□[~到:碰到]
Øɛ	3	55	耳饵
piɛ	1	35	憋逼
piɛ	2	41	笔
pʰiɛ	5	22	别
miɛ	1	35	灭
miɛ	5	22	篾
tiɛ	1	35	跌叠
tiɛ	2	41	点碟蝶谍
tʰiɛ	1	35	贴铁
tʰiɛ	2	41	帖
liɛ	2	41	历栗-
liɛ	5	22	力裂
ʨiɛ	1	35	节织急截接
ʨiɛ	2	41	结=绩集籍浙-[~江]
ʨiɛ	3	55	解=
ʨiɛ	5	22	界=介=戒=
ʨʰiɛ	1	35	切七
ʨʰiɛ	5	22	直戚侄妾
ȵiɛ	1	35	捏
ȵiɛ	5	22	热
ɕiɛ	1	35	湿熄谢=
ɕiɛ	2	41	习
ɕiɛ	5	22	十石
kiɛ	1	35	结-[用绳、线等绾成的疙瘩]格隔革
kiɛ	5	22	割
kʰiɛ	3	55	咳
Øiɛ	1	35	噎偃
Øiɛ	2	41	一□[~呱嘿:水果不甜]
Øiɛ	5	22	叶页
kuɛ	1	35	骨
kuɛ	2	41	国
xuɛ	2	41	活=[~动]
xuɛ	5	22	活-[活的、有生命的]
ʨyɛ	1	35	蕨撅
ʨyɛ	2	41	绝=决诀觉=
ʨʰyɛ	1	35	缺出
ʨʰyɛ	3	55	缺
ʨʰyɛ	5	22	绝-[~种]
ɕyɛ	1	35	雪血
Øyɛ	1	35	约
Øyɛ	2	41	越
pai	5	22	粤
pai	1	35	败𨃅[~子:跛子]
pai	3	55	摆
pʰai	5	22	拜
pʰai	2	41	排牌
pʰai	3	55	□[~起:用木棍一头把袋挑起来架在肩上]
pʰai	5	22	派
mai	2	41	埋
mai	3	55	买
mai	1	35	卖
tai	1	35	呆待
tai	5	22	带戴贷代
tʰai	1	35	胎
tʰai	2	41	台抬
tʰai	5	22	态
nai	1	35	奶-
nai	3	55	奶=
nai	5	22	哪耐奈
lai	1	35	拉□[~ɕie:形容丢三落四]□[~呔]
lai	2	41	瀨[~尿:小孩尿裤子、尿床]□[丢失]
lai	5	22	癞赖火赖
ʦai	1	35	灾裁=在=
ʦai	2	41	□[~嘻:语气词，表惊讶]
ʦai	3	55	崽
ʦai	5	22	寨债
ʦʰai	1	35	猜差出~
ʦʰai	2	41	才材财裁豺柴
ʦʰai	3	55	踩彩
sai	1	35	腮筛赛鳃
