# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.428 (2024-06-19)
#
U+E080		^⿰斑鳥$
U+E109		^⿵門穿$
U+E10A		^⿰曹阝$
U+E10B		^⿰草阝$
U+E10C		^⿰岑阝$
U+E10D		^⿱艹阐$
U+E10E		^⿱艹闡$
U+E10F		^⿰礻長$
U+E110		^⿰氵鼂$
U+E111		^⿱艹车$
U+E112		^⿰车页$
U+E113		^⿻𠂇人$
U+E114		^⿰⿸厂臣阝$
U+E115		^⿱陳土$
U+E116		^⿱𨹚土$
U+E117		^⿱艹⿷匚豕$
U+E118		^⿳亠口冂$
U+E119		^⿵门束$
U+E11A		^⿱此隹$
U+E11B		^⿰崔页$
U+E11C		^⿰崔頁$
U+E11D		^⿰山炎$
U+E11E		^⿵门石$
U+E11F		^⿱艹邓$
U+E120		^⿰䔲阝$
U+E121		^⿱豆廾$
U+E122		^⿰⿱一句阝$
U+E123		^⿱帶口$
U+E124		^⿰車冬$
U+E125		^⿰重阝$
U+E126		^⿰賣阝$
U+E127		^⿰米这$
U+E128		^⿰貝亅$
U+E129		^⿺毛晏$
U+E12A		^⿰飠畾$
U+E12B		^⿰虫絲$
U+E12C		^⿰齒蚩$
U+E12D		^⿰舌羅$
U+E12E		^⿰虫鉗$
U+E12F		^⿰忄費$
U+E130		^⿱雨澄$
U+E131		^⿱雨𣷠$
U+E132		^⿱雨總$
U+E133		^⿱雨跛$
U+E134		^⿱雨鳥$
U+E135		^⿱雨⿺鬼雲$
U+E136		^⿳雨唋土$
U+E137		^⿱雨⿰口𫆀$
U+E138		^⿱雨梵$
U+E139		^⿱雨𭋳$
U+E13A		^⿱雨仙$
U+E13B		^⿱雨玃$
U+E13C		^⿱雨𡂪$
U+E13D		^⿱雨叹$
U+E13E		^⿱雨鏡$
U+E13F		^⿱雨啊$
U+E140		^⿰口獨$
U+E141		^⿰口韓$
U+E142		^⿰口功$
U+E143		^⿱雨⿺鬼維$
U+E144		^⿱雨⿺鬼冏$
U+E145		^⿱雨𮫣$
U+E146		^⿱雨⿺鬼水$
U+E147		^⿱雨⿺鬼永$
U+E148		^⿱雨⿺鬼開$
U+E149		^⿱雨⿺鬼攝$
U+E14A		^⿱雨⿺鬼化$
U+E14B		^⿱雨亘$
U+E14C		^⿱雨⿺鬼𤰜$
U+E14D		^⿱雨𩵄$
U+E14E		^⿱雨車$
U+E14F		^⿱雨𤰜$
U+E150		^⿱雨⿺鬼扇$
U+E151		^⿰口𦸰$
U+E153		^⿱雨⿰訁⿵冂⿱𠃍一$
U+E152		^⿰訁⿵冂𠃌$
U+E154		^⿰口明$
U+E155		^⿱雨訛$
U+E156		^⿰女邪$
U+E157		^⿼？米$
U+E158		^⿰口娑$
U+E159		^⿰口訶$
U+E15A		^⿱雨⿰飠知$
U+E15B		^⿱雨⿰飠化$
U+E15C		^⿱丅冂$
U+E15D		^⿱雨哈$
U+E15E		^⿱雨⿰口明$
U+E15F		^⿱雨啼$
U+E160		^⿱雨𠯐$
U+E161		^⿱雨森$
U+E162		^⿱雨炎$
U+E163		^⿱雨圭$
U+E164		^⿱雨釗$
U+E165		^⿱雨潤$
U+E166		^⿺鬼旨$
U+E167		^⿺鬼天$
U+E168		^⿺鬼尊$
U+E169		^⿺鬼勝$
U+E16A		^⿺鬼化$
U+E16B		^⿺鬼元$
U+E16C		^⿺鬼聿$
U+E16D		^⿺鬼星$
U+E16E		^⿺鬼白$
U+E16F		^⿺鬼飛$
U+E170		^⿺鬼輔$
U+E171		^⿺鬼弼$
U+E172		^⿰飠荅$
U+E173		^⿰羊羅$
U+E174		^⿰飠宋$
U+E175		^⿰口電$
U+E176		^⿰飠穸$
U+E177		^⿰口霜$
U+E178		^⿰口僧$
U+E179		^⿰口滅$
U+E17A		^⿰口水$
U+E17B		^⿰口佑$
U+E17C		^⿰口馘$
U+E17D		^⿵門耑$
U+E17E		^⿱例土$
U+E17F		^⿸鹿酉$
U+E180		^⿱秋全$
U+E181		^⿺辶閕$
U+E182		^⿰飠旁$
U+E183		^⿰巫阝$
U+E184		^⿺瓦缶$
U+E185		^⿰月刮$
U+E186		^⿰口⿰纟泵$
U+E187		^⿰口靄$
U+E188		^⿰釒般$
U+E189		^⿱𥫗彡$
U+E18A		^⿰忄𠫵$
U+E18B		^⿺辶雇$
U+E18C		^⿱艹瑳$
U+E18D		^⿰骨衆$
U+E18E		^⿰口𦂥$
U+E18F		^⿰木盒$
U+E190		^⿰山勘$
U+E191		^⿱冖盅$
U+E192		^⿱雷䖵$
U+E193		^⿲彳𡼡亍$
U+E194		^⿰墨刂$
U+E195		^⿸尸可$
U+E196		^⿰訁孔$
U+E197		^⿱𥫗⿰皮欠$
U+E198		^⿱⿰山匕一$
U+E199		^⿱伟大$
U+E19A		^⿱止夗$
U+E19B		^⿰𧾷貪$
U+E19C		^⿰衤⿱土石$
U+E19D		^⿰丅長$
U+E19E		^⿰口桻$
U+E19F		^⿰口炕$
U+E1A0		^⿰丨见$
U+E1A1		^⿰丰彡$
U+E1A2		^⿰仑禾$
U+E1A3		^⿰儿乌$
U+E1A4		^⿰光宗$
U+E1A5		^⿰口傜$
U+E1A6		^⿺𠃊米$
U+E1A7		^⿰口右$
U+E1A8		^⿰口币$
U+E1A9		^⿰口萧$
U+E1AA		^⿰扌幸$
U+E1AB		^⿰口选$
U+E1AC		^⿰合寻$
U+E1AD		^⿰喜鸟$
U+E1AE		^⿰女巫$
U+E1AF		^⿰女衮$
U+E1B0		^⿰女香$
U+E1B1		^⿰导虎$
U+E1B2		^⿰少鸟$
U+E1B3		^⿰巾乙$
U+E1B4		^⿰彳夏$
U+E1B5		^⿰彳隹$
U+E1B6		^⿰忄刺$
U+E1B7		^⿰意意$
U+E1B8		^⿰手八$
U+E1B9		^⿰斑鸟$
U+E1BA		^⿰日里$
U+E1BB		^⿰日𬜯$
U+E1BC		^⿰昔页$
U+E1BD		^⿰月胥$
U+E1BE		^⿰月芦$
U+E1BF		^⿰月𠇄$
U+E1C0		^⿰月𢆉$
U+E1C1		^⿰木凹$
U+E1C2		^⿰石入$
U+E1C3		^⿰木园$
U+E1C4		^⿰木季$
U+E1C5		^⿰木岜$
U+E1C6		^⿰木窑$
U+E1C7		^⿰木窝$
U+E1C8		^⿰木笕$
U+E1C9		^⿰木筒$
U+E1CA		^⿱艹越$
U+E1CB		^⿰木芕$
U+E1CC		^⿰木赘$
U+E1CD		^⿰木㐫$
U+E1CE		^⿰木𤯚$
U+E1CF		^⿰木𭻍$
U+E1D0		^⿰束页$
U+E1D1		^⿰架鸟$
U+E1D2		^⿰每口$
U+E1D3		^⿰气奏$
U+E1D4		^⿰氵丈$
U+E1D5		^⿰氵士$
U+E1D6		^⿰氵六$
U+E1D7		^⿰氵劣$
U+E1D8		^⿰氵匆$
U+E1D9		^⿰火罩$
U+E1DA		^⿰氵恋$
U+E1DB		^⿰氵搏$
U+E1DC		^⿰氵爹$
U+E1DD		^⿰氵电$
U+E1DE		^⿰氵苦$
U+E1DF		^⿰氵菁$
U+E1E0		^⿰氵那$
U+E1E1		^⿰氵颜$
U+E1E2		^⿰氵𡰷$
U+E1E3		^⿰氵𡸺$
U+E1E4		^⿰洪鸟$
U+E1E5		^⿰火幸$
U+E1E6		^⿰牜穴$
U+E1E7		^⿰犭了$
U+E1E8		^⿰犭五$
U+E1E9		^⿰犭可$
U+E1EA		^⿱⿿虤貝$
U+E1EB		^⿰糹墜$
U+E1EC		^⿰田蜀$
U+E1ED		^⿰白亚$
U+E1EE		^⿰矢主$
U+E1EF		^⿰矢盛$
U+E1F0		^⿰石上$
U+E1F1		^⿰石下$
U+E1F2		^⿰石乙$
U+E1F3		^⿱宀丶$
U+E1F4		^⿰石商$
U+E1F5		^⿰石壬$
U+E1F6		^⿰石奉$
U+E1F7		^⿰車春$
U+E1F8		^⿰石寨$
U+E1F9		^⿰石寮$
U+E1FA		^⿰石尕$
U+E1FB		^⿰石幻$
U+E1FC		^⿰石弯$
U+E1FD		^⿰石普$
U+E1FE		^⿰石淼$
U+E1FF		^⿰石炎$
U+E200		^⿰石片$
U+E201		^⿰石牛$
U+E202		^⿰石特$
U+E203		^⿰石窊$
U+E204		^⿰石管$
U+E205		^⿰石者$
U+E206		^⿰糹哥$
U+E207		^⿰玄欠$
U+E208		^⿰石茶$
U+E209		^⿰石菓$
U+E20A		^⿰石费$
U+E20B		^⿰石𬙙$
U+E20C		^⿰禾产$
U+E20D		^⿰禾入$
U+E20E		^⿰禾召$
U+E20F		^⿰禾岙$
U+E210		^⿰禾差$
U+E211		^⿰禾𭖔$
U+E212		^⿰窑鸟$
U+E213		^⿰米云$
U+E214		^⿰米母$
U+E215		^⿰纟奋$
U+E216		^⿰纟就$
U+E217		^⿰缶几$
U+E218		^⿰缶半$
U+E219		^⿰缶曾$
U+E21A		^⿰缶青$
U+E21B		^⿰羊厉$
U+E21C		^⿰羊肖$
U+E21D		^⿰羊胡$
U+E21E		^⿰羊蚤$
U+E21F		^⿰耒𪩡$
U+E220		^⿰耳玄$
U+E221		^⿰耳𠃓$
U+E222		^⿰胃鸟$
U+E223		^⿰臣鸟$
U+E224		^⿰舌长$
U+E225		^⿰虫伐$
U+E226		^⿰虫右$
U+E227		^⿰虫壳$
U+E228		^⿰虫𬆢$
U+E229		^⿰衤裴$
U+E22A		^⿰身屯$
U+E22B		^⿰身犬$
U+E22C		^⿰车尤$
U+E22D		^⿰钅卉$
U+E22E		^⿰青疋$
U+E22F		^⿰青皮$
U+E230		^⿰革啦$
U+E231		^⿰𤣩布$
U+E232		^⿰𤣩弯$
U+E233		^⿰𤣩遗$
U+E234		^⿰𧾷罙$
U+E235		^⿰𧾷鸦$
U+E236		^⿳⺈田电$
U+E237		^⿴囗恋$
U+E238		^⿰巾鸟$
U+E239		^⿲彳鱼亍$
U+E23A		^⿰犭责$
U+E23B		^⿵门七$
U+E23C		^⿵门下$
U+E23D		^⿵门车$
U+E23E		^⿵门𭔰$
U+E23F		^⿱宀东$
U+E240		^⿰马叉$
U+E241		^⿰车丸$
U+E242		^⿰车冈$
U+E243		^⿰车旁$
U+E244		^⿰车曹$
U+E245		^⿱文见$
U+E246		^⿰火鲁$
U+E247		^⿰鱼行$
U+E248		^⿰石聂$
U+E249		^⿰石难$
U+E24A		^⿱龙山$
U+E24B		^⿰钅言$
U+E24C		^⿰钅豖$
U+E24D		^⿰禾岂$
U+E24E		^⿰禾丽$
U+E24F		^⿰白鸟$
U+E250		^⿰要鸟$
U+E251		^⿱敏鸟$
U+E252		^⿱穴贡$
U+E253		^⿰衤齐$
U+E254		^⿱老鸟$
U+E255		^⿰虫罗$
U+E256		^⿰虫赖$
U+E257		^⿰冫巨$
U+E258		^⿰冫有$
U+E259		^⿰冫曳$
U+E25A		^⿰冫皂$
U+E25B		^⿰釒割$
U+E25C		^⿰冫朋$
U+E25D		^⿰冫祭$
U+E25E		^⿰讠⿺廴大$
U+E25F		^⿰讠迏$
U+E260		^⿰讠並$
U+E261		^⿰阝尼$
U+E262		^⿰阝㓜$
U+E263		^⿰阝合$
U+E264		^⿰阝⿱少鸟$
U+E265		^⿰阝莫$
U+E266		^⿰阝瞿$
U+E267		^⿰考阝$
U+E268		^⿰氵嘯$
U+E269		^⿰⿱吅王阝$
U+E26A		^⿰⿹？米阝$
U+E26B		^⿺廴上$
U+E26C		^⿺廴下$
U+E26D		^⿱山八$
U+E26E		^⿰山亏$
U+E26F		^⿰山千$
U+E270		^⿰木新$
U+E271		^⿺元山$
U+E272		^⿱山毛$
U+E273		^口厦$
U+E274		^⿰山长$
U+E275		^⿱山化$
U+E276		^⿱山公$
U+E277		^⿱山册$
U+E278		^⿱白山$
U+E279		^⿰山瓜$
U+E27A		^⿰山屳$
U+E27B		^⿱山印$
U+E27C		^⿰山⿸尸㔾$
U+E27D		^⿱山邦$
U+E27E		^⿰山耳$
U+E27F		^⿱山光$
U+E280		^⿰山因$
U+E281		^⿱山廷$
U+E282		^⿱山𠆿$
U+E283		^⿺九未$
U+E284		^⿱山兊$
U+E286		^⿰山充$
U+E287		^⿰山赤$
U+E288		^⿱山坞$
U+E289		^⿱山轩$
U+E28A		^⿱山肖$
U+E28B		^⿱山足$
U+E28D		^⿱汾山$
U+E28E		^⿱山矣$
U+E28F		^⿱𪣆山$
U+E290		^⿱岩丌$
U+E291		^⿱山软$
U+E292		^⿰山尚$
U+E293		^⿱⿰山东山$
U+E294		^⿱山罔$
U+E295		^⿱山舍$
U+E296		^⿱山官$
U+E297		^⿱山郎$
U+E298		^⿰山咸$
U+E299		^⿰山⿱田令$
U+E29A		^⿰山㟖$
U+E29B		^⿱山难$
U+E29C		^⿱山堕$
U+E29D		^⿰山畬$
U+E29E		^⿱山番$
U+E29F		^⿱山登$
U+E2A0		^⿰山𤲞$
U+E2A1		^⿰禾𰢫$
U+E2A2		^⿰山麓$
U+E2A3		^⿰土刂$
U+E2A4		^⿺九土$
U+E2A5		^⿰土了$
U+E2A6		^⿰土三$
U+E2A7		^⿰土万$
U+E2A8		^⿰土与$
U+E2AA		^⿰土⿱亠了$
U+E2AC		^⿰土丑$
U+E2AD		^⿱双土$
U+E2AE		^⿰土甩$
U+E2AF		^⿰土囚$
U+E2B0		^⿰土⿱𠆢下$
U+E2B2		^⿰土⿹？几$
U+E2B3		^⿱加土$
U+E2B4		^⿰土戍$
U+E2B5		^⿱列土$
U+E2B6		^⿰土贞$
U+E2B7		^⿱光土$
U+E2B8		^⿰土团$
U+E2B9		^⿰土乓$
U+E2BA		^⿰土臼$
U+E2BB		^⿰土𠂢$
U+E2BC		^⿰土舟$
U+E2BD		^⿰土凫$
U+E2BE		^⿱坞几$
U+E2BF		^⿱⿰冫历土$
U+E2C0		^⿰工贡$
U+E2C1		^⿰土𡰪$
U+E2C2		^⿰土走$
U+E2C3		^⿰土芜$
U+E2C4		^⿰土苈$
U+E2C5		^⿰土辰$
U+E2C6		^⿰土豕$
U+E2C7		^⿰土连$
U+E2C8		^⿰土邑$
U+E2C9		^⿰土囤$
U+E2CA		^⿰土岜$
U+E2CB		^⿰土囦$
U+E2CC		^⿰牜尔$
U+E2CD		^⿺廴⿱山正$
U+E2CE		^⿰土岛$
U+E2CF		^⿰土库$
U+E2D0		^⿰土这$
U+E2D1		^⿰土㐬$
U+E2D2		^⿱冻土$
U+E2D3		^⿰土⿱㓁土$
U+E2D4		^⿰土𡛒$
U+E2D5		^⿱邽土$
U+E2D6		^⿱垅土$
U+E2D7		^⿰土苟$
U+E2D8		^⿰土斩$
U+E2D9		^⿰土黾$
U+E2DA		^⿰土𡇈$
U+E2DB		^⿰土岩$
U+E2DC		^⿰土⿱山瓜$
U+E2DD		^⿱和土$
U+E2DE		^⿰土贪$
U+E2DF		^⿰土劵$
U+E2E0		^⿰土贯$
U+E2E1		^⿰土贲$
U+E2E2		^⿰土歪$
U+E2E3		^⿰土查$
U+E2E4		^⿰口⿱罒龰$
U+E2E5		^⿳亠二几$
U+E2E6		^⿰土贱$
U+E2E7		^⿰土班$
U+E2E8		^⿱埔土$
U+E2E9		^⿰土都$
U+E2EA		^⿱都土$
U+E2EB		^⿰土晋$
U+E2EC		^⿰土索$
U+E2ED		^⿰土𧆠$
U+E2EE		^⿰土圂$
U+E2EF		^⿰土⿱𥫗历$
U+E2F0		^⿰土羞$
U+E2F1		^⿰土𤲅$
U+E2F2		^⿰亻囱$
U+E2F3		^⿸厂禹$
U+E2F4		^⿰土⿱罒缶$
U+E2F5		^⿰土旋$
U+E2F6		^⿰土望$
U+E2F7		^⿱深土$
U+E2F8		^⿰土散$
U+E2F9		^⿰土⿱刚缶$
U+E2FA		^⿰土畲$
U+E2FB		^⿰土鲁$
U+E2FC		^⿰土蛮$
U+E2FD		^⿰土⿳⿱亠口冖㠯$
U+E2FE		^⿱冖八$
U+E2FF		^⿰土䆣$
U+E300		^⿰土献$
U+E301		^⿰土赖$
U+E302		^⿰土寨$
U+E303		^⿰土𦉍$
U+E304		^⿰土赞$
U+E305		^⿰土⿱𫁒寸$
U+E306		^⿱𥫗廣$
U+E307		^⿰土长$
U+E308		^⿰土肅$
U+E309		^⿸户馬$
U+E30A		^⿰衤套$
U+E30B		^⿰忄刁$
U+E30C		^⿰口𭃶$
U+E30D		^⿰口鎻$
U+E30E		^⿰衤𡘷$
U+E30F		^⿰虫袁$
U+E310		^⿰讠㿽$
U+E311		^⿰鼻冓$
U+E312		^⿰亻𩋘$
U+E313		^⿰日罩$
U+E314		^⿰口㦗$
U+E315		^⿱殸向$
U+E316		^⿰魚遲$
U+E317		^⿺辶萊$
U+E318		^⿰钅莽$
U+E319		^⿰扌⿸虍耳$
U+E31A		^⿰钅㬎$
U+E31B		^⿺辶⿱夂𠮷$
U+E31C		^⿱木罒$
U+E31D		^⿱小弱$
U+E31E		^⿰饣豈$
U+E31F		^⿰镸帚$
U+E320		^⿰火責$
U+E321		^⿱日鼎$
U+E322		^⿰卑巴$
U+E323		^⿰忄驚$
U+E324		^⿰口徏$
U+E325		^⿰土贵$
U+E326		^⿰忄磨$
U+E327		^⿰木廩$
U+E328		^⿰虫拐$
U+E329		^⿰口載$
U+E32A		^⿰山險$
U+E32B		^⿱疋䖵$
U+E32C		^⿰昔頁$
U+E32D		^⿱制二$
U+E32E		^⿰扌处$
U+E32F		^⿰扌仝$
U+E330		^⿰舟敖$
U+E331		^⿱艹贑$
U+E332		^⿺風都$
U+E333		^⿰木栾$
U+E334		^⿰牜厉$
U+E335		^⿰口盟$
U+E336		^⿰鱼希$
U+E337		^⿱斩石$
U+E339		^⿱献土$
U+E33A		^⿰纟罔$
U+E33B		^⿰纟𨸁$
U+E33C		^⿰纟廛$
U+E33D		^⿱艹稣$
U+E33E		^⿰舟⿱𠘧工$
U+E33F		^⿷匚金$
U+E340		^⿰口機$
U+E341		^⿰口𱸑$
U+E342		^⿰口烟$
U+E343		^⿰口仙$
U+E344		^⿰口憲$
U+E345		^⿰口鞭$
U+E346		^⿰口編$
U+E347		^⿰口綿$
U+E348		^⿰钅荣$
U+E349		^⿰豆页$
U+E34A		^⿺风昜$
U+E34B		^⿰口毡$
U+E34C		^⿰口迁$
U+E34D		^⿰口箭$
U+E34E		^⿰口慳$
U+E34F		^⿰口欄$
U+E350		^⿰口跌$
U+E351		^⿰口秩$
U+E352		^⿰口薛$
U+E353		^⿰口撇$
U+E354		^⿰口𥯣$
U+E355		^⿰口靝$
U+E356		^⿰口剦$
U+E357		^⿰口鉗$
U+E358		^⿰口鹹$
U+E359		^⿰口閃$
U+E35A		^⿰口簾$
U+E35B		^⿰口獵$
U+E35C		^⿰口刦$
U+E35D		^⿰口涉$
U+E35E		^⿰口恊$
U+E35F		^⿰口鴨$
U+E360		^⿰口碟$
U+E361		^⿰口摺$
U+E362		^⿰口拂$
U+E363		^⿰口鈪$
U+E364		^⿰口域$
U+E365		^⿰口砵$
U+E366		^⿰口濶$
U+E367		^⿰口抹$
U+E368		^⿰口嫐$
U+E369		^⿰口甖$
U+E36A		^⿰口搬$
U+E36B		^⿰口污$
U+E36C		^⿰口坏$
U+E36D		^⿰𤣩⿱山⿰己几$
U+E36E		^⿰口科$
U+E36F		^⿰口埠$
U+E370		^⿰口梯$
U+E371		^⿰口維$
U+E372		^⿰口梳$
U+E373		^⿰口賒$
U+E374		^⿰氵𮗺$
U+E375		^⿰臣责$
U+E376		^⿰身致$
U+E377		^⿰火𦾓$
U+E378		^⿰亻⿱羽止$
U+E379		^⿱艹叏$
U+E37A		^⿱夹贝$
U+E37B		^⿰木𢑴$
U+E37C		^⿰车𦏾$
U+E37D		^⿰木魚$
U+E37E		^⿰口洼$
U+E37F		^⿰口挐$
U+E380		^⿱亠𮖄$
U+E381		^⿰豕𥯦$
U+E382		^⿰豕建$
U+E383		^⿰羽取$
U+E384		^⿱彭金$
U+E385		^⿱𫂁巾$
U+E386		^⿱共巾$
U+E387		^⿱雥⿵冂⿱䒑八$
U+E388		^⿰𤣩瞿$
U+E389		^⿰釒𧙘$
U+E38A		^⿱流食$
U+E38B		^⿱辟山$
U+E38C		^⿰氵禽$
U+E38D		^⿰石朶$
U+E38E		^⿰氵砰$
U+E38F		^⿰氵𥔀$
U+E390		^⿰木野$
U+E391		^⿺虎黑$
U+E392		^⿹？甲$
U+E393		^⿱𡷈亏$
U+E394		^⿰土甾$
U+E395		^⿰扌遀$
U+E396		^⿰羊冓$
U+E397		^⿱⿰臣⿱𠂉丶黍$
U+E398		^⿰大老$
U+E399		^⿰丫要$
U+E39A		^⿰久闹$
U+E39B		^⿰钅介$
U+E39C		^⿰氵劵$
U+E39D		^⿺辶睿$
U+E39E		^⿸鹿非$
U+E39F		^⿰止曷$
U+E3A0		^⿰口襪$
U+E3A1		^⿰口潘$
U+E3A2		^⿰口灣$
U+E3A3		^⿰口㷛$
U+E3A4		^⿰口甜$
U+E3A5		^⿰口碧$
U+E3A6		^⿰矢鲁$
U+E3A7		^⿱敌刀$
U+E3A8		^⿰氵毁$
U+E3A9		^⿱娬贝$
U+E3AA		^⿰口屐$
U+E3AB		^⿰口𨩨$
U+E3AC		^⿰口捧$
U+E3AD		^⿰口橋$
U+E3AE		^⿰口丹$
U+E3AF		^⿰口歸$
U+E3B0		^⿰口泥$
U+E3B1		^⿰咅舍$
U+E3B2		^⿰平米$
U+E3B3		^⿱微血$
U+E3B4		^⿱津血$
U+E3B5		^⿰亚厘$
U+E3B6		^⿰亚页$
U+E3B7		^⿰囟页$
U+E3B8		^⿰口泡$
U+E3B9		^⿰钅乃$
U+E3BA		^⿰钅刀$
U+E3BB		^⿰钅加$
U+E3BC		^⿰钅卤$
U+E3BD		^⿰钅司$
U+E3BE		^⿰钅奈$
U+E3BF		^⿰钅妥$
U+E3C0		^⿰钅康$
U+E3C1		^⿰口萹$
U+E3C2		^⿰钅息$
U+E3C3		^⿰钅悉$
U+E3C4		^⿰钅替$
U+E3C5		^⿰钅秃$
U+E3C6		^⿰钅米$
U+E3C7		^⿰钅肯$
U+E3C8		^⿰钅虜$
U+E3C9		^⿰钅豆$
U+E3CA		^⿰口攣$
U+E3CB		^⿰钅轧$
U+E3CC		^⿰鱼东$
U+E3CD		^⿰魚嘉$
U+E3CE		^⿰鱼嘉$
U+E3CF		^⿰鱼加$
U+E3D0		^⿰口瀝$
U+E3D1		^⿰鱼边$
U+E3D2		^⿱大日$
U+E3D3		^⿸疒耒$
U+E3D4		^⿰扌巳$
U+E3D5		^⿰扌⿱凹工$
U+E3D6		^⿰女𡉵$
U+E3D7		^⿰古乚$
U+E3D8		^⿱不悦$
U+E3D9		^〾身$
U+E3DA		^⿲亻睡女$
U+E3DB		^⿰𧾷奀$
U+E3DC		^⿸疒腎$
U+E3DD		^⿰口份$
U+E3DE		^⿰月隻$
U+E3DF		^⿰纟堇$
U+E3E0		^⿰冫更$
U+E3E1		^⿱她心$
U+E3E2		^⿰礻𫨻$
