简体	声母	韵母	声调	注释	录者注	[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²
种	tɕ	yo	[5]	～田		
壮	tɕ	yo	[5]	白读		
纵	tɕ	yo	[5]			
足	tɕ	yo	[7]			
捉	tɕ	yo	[7]			
卓	tɕ	yo	[7]			
桌	tɕ	yo	[7]			
烛	tɕ	yo	[7]			
窗	tɕʰ	yo	[1]			
筐	tɕʰ	yo	[1]			
闯	tɕʰ	yo	[3]			
恐	tɕʰ	yo	[3]			
曲	tɕʰ	yo	[7]			
触	tɕʰ	yo	[7]			
戳	tɕʰ	yo	[7]			
狂	dʑ	yo	[2]			
重	dʑ	yo	[2]	～复		
重	dʑ	yo	[4]	～量		
共	dʑ	yo	[6]			
状	dʑ	yo	[6]			
撞	dʑ	yo	[6]			
局	dʑ	yo	[8]			
浊	dʑ	yo	[8]			
镯	dʑ	yo	[8]			
浓	ȵ	yo	[2]	白读		
玉	ȵ	yo	[8]			
狱	ȵ	yo	[8]			
凶	ɕ	yo	[1]			
匈	ɕ	yo	[1]			
胸	ɕ	yo	[1]			
双	ɕ	yo	[1]			
霜	ɕ	yo	[1]			
爽	ɕ	yo	[3]	文读		
况	ɕ	yo	[5]			
粟	ɕ	yo	[7]			
束	ɕ	yo	[7]			
王	ɦ	yo	[2]			
床	ɦ	yo	[2]			
从	ɦ	yo	[2]			
勇	ɦ	yo	[4]			
涌	ɦ	yo	[4]			
踊	ɦ	yo	[4]			
往	ɦ	yo	[4]			
用	ɦ	yo	[6]			
讼	ɦ	yo	[6]			
颂	ɦ	yo	[6]			
诵	ɦ	yo	[6]			
浴	ɦ	yo	[8]			
俗	ɦ	yo	[8]			
续	ɦ	yo	[8]			
赎	ɦ	yo	[8]			
属	ɦ	yo	[8]			
包	p	ɔ	[1]			
胞	p	ɔ	[1]			
班	p	ɔ	[1]			
斑	p	ɔ	[1]			
颁	p	ɔ	[1]			
扳	p	ɔ	[1]			
板	p	ɔ	[3]			
版	p	ɔ	[3]			
饱	p	ɔ	[3]			
扮	p	ɔ	[5]			
豹	p	ɔ	[5]			
抛	pʰ	ɔ	[1]			
攀	pʰ	ɔ	[1]			
跑	pʰ	ɔ	[3]			
炮	pʰ	ɔ	[5]			
泡	pʰ	ɔ	[5]			
盼	pʰ	ɔ	[5]			
爿	b	o	[2]	柴～		
鲍	b	ɔ	[4]			
棒	b	ɔ	[4]			
办	b	ɔ	[6]			
刨	b	ɔ	[6]			
拔	b	ɔ	[8]			
猫	m	ɔ	[1]			
蛮	m	ɔ	[2]			
矛	m	ɔ	[2]			
茅	m	ɔ	[2]			
锚	m	ɔ	[2]			
卯	m	ɔ	[4]			
晚	m	ɔ	[4]	白读		
慢	m	ɔ	[6]			
漫	m	ɔ	[6]			
貌	m	ɔ	[6]			
万	m	ɔ	[6]	白读		
骂	m	ɔ	[6]			
方	f	ɔ	[1]			
芳	f	ɔ	[1]			
妨	f	ɔ	[1]			
番	f	ɔ	[1]			
翻	f	ɔ	[1]			
仿	f	ɔ	[3]			
访	f	ɔ	[3]			
纺	f	ɔ	[3]			
反	f	ɔ	[3]			
返	f	ɔ	[3]			
放	f	ɔ	[5]			
泛	f	ɔ	[5]			
法	f	ɔ	[7]			
发	f	ɔ	[7]			
凡	v	ɔ	[2]			
帆	v	ɔ	[2]			
矶	v	ɔ	[2]			
房	v	ɔ	[2]			
防	v	ɔ	[2]			
繁	v	ɔ	[2]			
烦	v	ɔ	[2]			
范	v	ɔ	[4]			
犯	v	ɔ	[4]			
饭	v	ɔ	[6]			
乏	v	ɔ	[8]			
伐	v	ɔ	[8]			
罚	v	ɔ	[8]			
筏	v	ɔ	[8]			
丹	t	ɔ	[1]			
单	t	ɔ	[1]			
担	t	ɔ	[1]	负～		
耽	t	ɔ	[1]			
胆	t	ɔ	[3]			
掸	t	ɔ	[3]			
旦	t	ɔ	[5]			
担	t	ɔ	[5]	～子		
搭	t	ɔ	[7]			
他	tʰ	ɔ	[1]			
它	tʰ	ɔ	[1]			
坍	tʰ	ɔ	[1]			
摊	tʰ	ɔ	[1]			
滩	tʰ	ɔ	[1]			
毯	tʰ	ɔ	[3]			
坦	tʰ	ɔ	[3]	～白		
叹	tʰ	ɔ	[5]			
炭	tʰ	ɔ	[5]			
塔	tʰ	ɔ	[7]			
塌	tʰ	ɔ	[7]			
榻	tʰ	ɔ	[7]			
獭	tʰ	ɔ	[7]	水～		
谈	d	ɔ	[2]			
痰	d	ɔ	[2]			
谭	d	ɔ	[2]			
潭	d	ɔ	[2]			
弹	d	ɔ	[2]	～琴		
坛	d	ɔ	[2]			
檀	d	ɔ	[2]			
淡	d	ɔ	[4]			
但	d	ɔ	[6]			
蛋	d	ɔ	[6]			
弹	d	ɔ	[6]	子～		
达	d	ɔ	[8]			
踏	d	ɔ	[8]			
难	n	ɔ	[2]			
闹	n	ɔ	[6]			
难	n	ɔ	[6]	患～		
拿	n	ɔ	[8]			
捺	n	ɔ	[8]			
拉	l	ɔ	[1]			
兰	l	ɔ	[2]			
栏	l	ɔ	[2]			
拦	l	ɔ	[2]			
阑	l	ɔ	[2]			
蓝	l	ɔ	[2]			
