简体	声母	韵母	声调	注释	录者注	[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²
提	d	ei	[2]			
题	d	ei	[2]			
啼	d	ei	[2]			
蹄	d	ei	[2]			
弟	d	ei	[4]			
第	d	ei	[4]	～一		
地	d	ei	[6]			
递	d	ei	[6]			
第	d	ei	[6]	及～		
敌	d	ei	[8]			
笛	d	ei	[8]			
狄	d	ei	[8]			
离	l	ei	[2]			
篱	l	ei	[2]			
梨	l	ei	[2]			
犁	l	ei	[2]			
黎	l	ei	[2]			
狸	l	ei	[2]			
厘	l	ei	[2]			
来	l	ei	[2]			
李	l	ei	[4]			
礼	l	ei	[4]			
里	l	ei	[4]			
理	l	ei	[4]			
鲤	l	ei	[4]			
利	l	ei	[6]			
痢	l	ei	[6]			
吏	l	ei	[6]			
丽	l	ei	[6]			
厉	l	ei	[6]			
励	l	ei	[6]			
隶	l	ei	[6]			
荔	l	ei	[6]			
力	l	ei	[8]			
历	l	ei	[8]			
西	s	ei	[1]			
牺	s	ei	[1]			
洗	s	ei	[3]			
舍	s	ei	[3]			
细	s	ei	[5]			
世	s	ei	[5]			
势	s	ei	[5]			
赦	s	ei	[5]			
卸	s	ei	[5]			
泻	s	ei	[5]			
泄	s	ei	[5]			
息	s	ei	[7]			
熄	s	ei	[7]			
设	s	ei	[7]			
锡	s	ei	[7]			
薛	s	ei	[7]			
惜	s	ei	[7]			
识	s	ei	[7]			
式	s	ei	[7]			
适	s	ei	[7]			
释	s	ei	[7]			
齐	z	ei	[2]			
脐	z	ei	[2]			
徐	z	ei	[2]			
邪	z	ei	[2]			
蛇	z	ei	[2]			
匙	z	ei	[2]			
社	z	ei	[4]			
射	z	ei	[6]			
谢	z	ei	[6]			
誓	z	ei	[6]			
逝	z	ei	[6]			
食	z	ei	[8]			
石	z	ei	[8]			
蚀	z	ei	[8]			
席	z	ei	[8]			
籍	z	ei	[8]			
藉	z	ei	[8]			
波	p	u	[1]			
玻	p	u	[1]			
坡	p	u	[1]			
菠	p	u	[1]			
补	p	u	[3]			
谱	p	u	[3]			
播	p	u	[5]			
布	p	u	[5]			
铺	pʰ	u	[1]	动词		
普	pʰ	u	[3]			
颇	pʰ	u	[3]			
破	pʰ	u	[5]			
铺	pʰ	u	[5]	店～		
婆	b	u	[2]			
蒲	b	u	[2]			
葡	b	u	[2]			
部	b	u	[4]			
簿	b	u	[4]			
步	b	u	[6]			
埠	b	u	[6]			
捕	b	u	[6]			
孵	b	u	[6]	白读		
卜	b	u	[8]			
仆	b	u	[8]			
模	m	u	[2]			
魔	m	u	[2]			
摩	m	u	[2]			
磨	m	u	[2]	动词		
母	m	u	[4]			
某	m	u	[4]			
暮	m	u	[6]			
墓	m	u	[6]			
慕	m	u	[6]			
募	m	u	[6]			
幕	m	u	[6]			
磨	m	u	[6]	石～		
木	m	u	[8]			
目	m	u	[8]			
睦	m	u	[8]			
牧	m	u	[8]			
呼	f	u	[1]			
敷	f	u	[1]			
孵	f	u	[1]	文读		
夫	f	u	[1]			
肤	f	u	[1]			
麸	f	u	[1]			
虎	f	u	[3]			
火	f	u	[3]			
伙	f	u	[3]			
斧	f	u	[3]			
甫	f	u	[3]			
脯	f	u	[3]			
辅	f	u	[3]			
府	f	u	[3]			
俯	f	u	[3]			
腑	f	u	[3]			
货	f	u	[5]			
付	f	u	[5]			
傅	f	u	[5]			
富	f	u	[5]			
复	f	u	[7]			
腹	f	u	[7]			
福	f	u	[7]			
幅	f	u	[7]			
河	v	u	[2]			
荷	v	u	[2]			
何	v	u	[2]			
胡	v	u	[2]			
湖	v	u	[2]			
猢	v	u	[2]			
糊	v	u	[2]			
蝴	v	u	[2]			
葫	v	u	[2]			
禾	v	u	[2]			
和	v	u	[2]			
无	v	u	[2]			
狐	v	u	[2]			
壶	v	u	[2]			
符	v	u	[2]			
浮	v	u	[2]	文读		
户	v	u	[4]			
沪	v	u	[4]			
武	v	u	[4]			
鹉	v	u	[4]			
祸	v	u	[4]			
负	v	u	[4]			
舞	v	u	[4]			
侮	v	u	[4]			
父	v	u	[4]			
妇	v	u	[4]			
护	v	u	[6]			
贺	v	u	[6]			
雾	v	u	[6]			
务	v	u	[6]			
扶	v	u	[6]			
腐	v	u	[6]			
附	v	u	[6]			
互	v	u	[6]			
服	v	u	[8]			
伏	v	u	[8]			
哥	k	u	[1]			
歌	k	u	[1]			
姑	k	u	[1]			
锅	k	u	[1]			
孤	k	u	[1]			
辜	k	u	[1]			
裹	k	u	[1]	包～		
果	k	u	[3]			
古	k	u	[3]			
股	k	u	[3]			
鼓	k	u	[3]			
裹	k	u	[3]	动词		
故	k	u	[5]			
固	k	u	[5]			
过	k	u	[5]			
雇	k	u	[5]			
顾	k	u	[5]			
谷	k	u	[7]			
科	kʰ	u	[1]			
蝌	kʰ	u	[1]			
枯	kʰ	u	[1]			
估	kʰ	u	[1]			
柯	kʰ	u	[1]			
棵	kʰ	u	[1]			
颗	kʰ	u	[1]			
窠	kʰ	u	[1]			
苦	kʰ	u	[3]			
库	kʰ	u	[5]			
裤	kʰ	u	[5]			
课	kʰ	u	[5]			
哭	kʰ	u	[7]			
酷	kʰ	u	[7]			
乌	Ø	u	[1]			
窝	Ø	u	[1]	燕～		
屙	Ø	u	[5]	粪便	录者以为涴也	
恶	Ø	u	[5]	可～		
屋	Ø	u	[7]			
握	Ø	u	[7]	把～		
居	tɕ	y	[1]			
拘	tɕ	y	[1]			
驹	tɕ	y	[1]			
龟	tɕ	y	[1]			
车	tɕ	y	[1]	～马炮		
规	tɕ	y	[1]	～定		
追	tɕ	y	[1]			
租	tɕ	y	[1]			
朱	tɕ	y	[1]			
珠	tɕ	y	[1]			
株	tɕ	y	[1]			
蛛	tɕ	y	[1]			
诸	tɕ	y	[1]			
举	tɕ	y	[3]			
轨	tɕ	y	[3]			
鬼	tɕ	y	[3]			
愧	tɕ	y	[3]	惭～		
主	tɕ	y	[3]			
祖	tɕ	y	[3]			
嘴	tɕ	y	[3]			
贵	tɕ	y	[5]			
桂	tɕ	y	[5]			
季	tɕ	y	[5]			
据	tɕ	y	[5]			
著	tɕ	y	[5]			
注	tɕ	y	[5]			
驻	tɕ	y	[5]			
蛀	tɕ	y	[5]			
醉	tɕ	y	[5]	白读		
区	tɕʰ	y	[1]			
驱	tɕʰ	y	[1]			
粗	tɕʰ	y	[1]			
取	tɕʰ	y	[3]			
娶	tɕʰ	y	[3]			
趣	tɕʰ	y	[5]			
