简体	音標	注释	[1]⁵⁵
珠	tsɿ1	眼儿珠：眼睛	[2]³¹
知	tsɿ1		[3]³⁵
咨	tsɿ1		[4]¹³
资	tsɿ1		[5]⁵²
姿	tsɿ1		[6]²²
鸱	tsɿ1		[7]³²²
兹	tsɿ1		[8]³²²
滋	tsɿ1		
辎	tsɿ1		
芝	tsɿ1		
之	tsɿ1		
紫	tsɿ3		
姊	tsɿ3		
脂	tsɿ3		
指	tsɿ3		
旨	tsɿ3		
子	tsɿ3		
梓	tsɿ3		
址	tsɿ3		
止	tsɿ3		
趾	tsɿ3		
齿	tsɿ3		
智	tsɿ5		
致	tsɿ5		
至	tsɿ5		
置	tsɿ5		
志	tsɿ5		
志	tsɿ5		
痣	tsɿ5		
只	tsɿ7		
雌	tsʰɿ1		
疵	tsʰɿ1		
赐	tsʰɿ1		
痴	tsʰɿ1		
嗤	tsʰɿ1		
此	tsʰɿ3		
侈	tsʰɿ3		
耻	tsʰɿ3		
刺	tsʰɿ5		
翅	tsʰɿ5		
次	tsʰɿ5		
眙	tsʰɿ5	看	
驰	dzɿ2		
迟	dzɿ2		
持	dzɿ2		
雉	dzɿ4		
稚	dzɿ4		
峙	dzɿ4		
痔	dzɿ4		
治	dzɿ6		
梳	sɿ1	头梳：梳子	
腮	sɿ1		
斯	sɿ1		
撕	sɿ1		
厮	sɿ1		
筛	sɿ1		
施	sɿ1		
私	sɿ1		
师	sɿ1		
狮	sɿ1		
尸	sɿ1		
司	sɿ1		
丝	sɿ1		
思	sɿ1		
诗	sɿ1		
死	sɿ3		
矢	sɿ3		
屎	sɿ3		
始	sɿ3		
史	sɿ4		
使	sɿ4		
豕	sɿ5		
四	sɿ5		
肆	sɿ5		
试	sɿ5		
豉	zɿ2		
瓷	zɿ2		
糍	zɿ2		
磁	zɿ2		
慈	zɿ2		
辞	zɿ2		
词	zɿ2		
祠	zɿ2		
时	zɿ2		
鲥	zɿ2		
而	zɿ2		
□	zɿ4	在…	
是	zɿ4		
氏	zɿ4		
铈	zɿ4		
巳	zɿ4		
祀	zɿ4		
似	zɿ4		
俟	zɿ4		
士	zɿ4		
市	zɿ4		
恃	zɿ4		
耳	zɿ4	土耳其	
饵	zɿ4		
□	zɿ4	又…	
尔	zɿ4		
锄	zɿ6	锄头	
自	zɿ6		
示	zɿ6		
嗜	zɿ6		
视	zɿ6		
字	zɿ6		
伺	zɿ6		
寺	zɿ6		
嗣	zɿ6		
饲	zɿ6		
事	zɿ6		
侍	zɿ6		
石	zɿ8		
飙	pi1		
标	pi1		
彪	pi1		
编	pi1		
鞭	pi1		
边	pi1		
表	pi3		
表	pi3		
贬	pi3		
蝙	pi3		
扁	pi3		
匾	pi3		
变	pi5		
遍	pi5		
别	pi7		
憋	pi7		
鳖	pi7		
碧	pi7		
飘	pʰi1		
漂	pʰi1		
篇	pʰi1		
偏	pʰi1		
漂	pʰi3		
票	pʰi5		
骗	pʰi5		
片	pʰi5		
撇	pʰi7		
匹	pʰi7		
嫖	bi2		
瓢	bi2		
便	bi2		
骈	bi2		
鳔	bi4		
辨	bi4		
辩	bi4		
辫	bi4		
票	bi6		
便	bi6		
汴	bi6		
别	bi8		
弼	bi8		
□	mi0	语气词	
描	mi2		
苗	mi2		
绵	mi2		
棉	mi2		
眠	mi2		
藐	mi4		
渺	mi4		
秒	mi4		
免	mi4		
勉	mi4		
娩	mi4		
庙	mi6		
妙	mi6		
谬	mi6		
缅	mi6		
面	mi6		
面	mi6		
灭	mi8		
篾	mi8		
密	mi8		
蜜	mi8		
颠	ti1		
梯	tʰi1		
天	tʰi1		
铁	tʰi7		
蹄	di2		
钿	di2		
田	di2		
填	di2		
佃	di2		
电	di6		
殿	di6		
奠	di6		
佃	di6		
迭	di8		
跌	di8		
鸡	tɕi1		
稽	tɕi1		
羁	tɕi1		
肌	tɕi1		
饥	tɕi1		
基	tɕi1		
姬	tɕi1		
机	tɕi1		
讥	tɕi1		
饥	tɕi1		
尖	tɕi1		
歼	tɕi1		
沾	tɕi1		
瞻	tɕi1		
占	tɕi1		
蒹	tɕi1		
间	tɕi1	一间	
煎	tɕi1		
毡	tɕi1		
笺	tɕi1		
肩	tɕi1		
坚	tɕi1		
将	tɕi1	麻将mʊ²¹tɕi³⁵	
几	tɕi3		
己	tɕi3		
纪	tɕi3		
几	tɕi3		
检	tɕi3		
俭	tɕi3		
剪	tɕi3		
展	tɕi3		
茧	tɕi3		
计	tɕi5		
继	tɕi5		
繋	tɕi5		
系	tɕi5		
寄	tɕi5		
冀	tɕi5		
记	tɕi5		
既	tɕi5		
占	tɕi5		
剑	tɕi5		
僭	tɕi5		
箭	tɕi5		
溅	tɕi5		
战	tɕi5		
颤	tɕi5		
建	tɕi5		
荐	tɕi5		
见	tɕi5		
接	tɕi7		
捷	tɕi7		
辄	tɕi7		
折	tɕi7		
劫	tɕi7		
哲	tɕi7		
折	tɕi7		
孑	tɕi7		
揭	tɕi7		
节	tɕi7		
截	tɕi7		
结	tɕi7	一种意思同打za8(残疾)，一种就是正常的打结。	
洁	tɕi7		
棘	tɕi7		
戟	tɕi7		
击	tɕi7		
激	tɕi7		
溪	tɕʰi1		
欺	tɕʰi1		
签	tɕʰi1		
签	tɕʰi1		
佥	tɕʰi1		
纤	tɕʰi1		
谦	tɕʰi1		
迁	tɕʰi1		
千	tɕʰi1		
牵	tɕʰi1		
启	tɕʰi3		
企	tɕʰi3		
起	tɕʰi3		
杞	tɕʰi3		
岂	tɕʰi3		
潜	tɕʰi3		
浅	tɕʰi3		
遣	tɕʰi3		
契	tɕʰi5		
器	tɕʰi5		
弃	tɕʰi5		
气	tɕʰi5		
汽	tɕʰi5		
欠	tɕʰi5		
歉	tɕʰi5		
妾	tɕʰi7		
怯	tɕʰi7		
撤	tɕʰi7		
揭	tɕʰi7		
切	tɕʰi7		
隙	tɕʰi7		
赤	tɕʰi7	*赤着卵：裸露全身	
吃	tɕʰi7		
茄	dʑi2	绿茄	
奇	dʑi2		
骑	dʑi2		
岐	dʑi2		
祈	dʑi2		
鳍	dʑi2		
耆	dʑi2		
棋	dʑi2		
其	dʑi2		
旗	dʑi2		
期	dʑi2		
钳	dʑi2		
干	dʑi2		
钱	dʑi2		
缠	dʑi2		
虔	dʑi2		
企	dʑi4		
妓	dʑi4		
件	dʑi4		
技	dʑi6		
忌	dʑi6		
缠	dʑi6		
键	dʑi6		
健	dʑi6		
腱	dʑi6		
彻	dʑi8		
辙	dʑi8		
杰	dʑi8		
竭	dʑi8		
极	dʑi8		
剧	dʑi8		
屐	dʑi8		
□	dʑi8	抱	
黏	ȵi1		
粘	ȵi1		
泥	ȵi2		
倪	ȵi2		
宜	ȵi2		
议	ȵi2		
谊	ȵi2		
尼	ȵi2		
呢	ȵi2		
疑	ȵi2		
沂	ȵi2		
黏	ȵi2		
粘	ȵi2		
严	ȵi2		
言	ȵi2		
年	ȵi2		
研	ȵi2		
仪	ȵi4		
腻	ȵi4		
你	ȵi4		
拟	ȵi4		
染	ȵi4		
俨	ȵi4		
碾	ȵi4		
撵	ȵi4		
捻	ȵi4		
