繁體	简体	吳拼	備註
囚	囚	dʑiʏ²⁴	
泅	泅	dʑiʏ²⁴	
苬	苬	dʑiʏ²⁴	
汓	汓	dʑiʏ²⁴	
㨨	㨨	dʑiʏ²⁴	
酋	酋	dʑiʏ²⁴	
遒	遒	dʑiʏ²⁴	
蝤	蝤	dʑiʏ²⁴	
崷	崷	dʑiʏ²⁴	
煪	煪	dʑiʏ²⁴	
宙	宙	dʑiʏ²⁴	
懤	㤽	dʑiʏ²⁴	
棸	棸	dʑiʏ²⁴	
鮋	鲉	dʑiʏ²⁴	
殧	殧	dʑiʏ²⁴	
慒	慒	dʑiʏ²⁴	
鮂	鮂	dʑiʏ²⁴	
求	求	dʑiʏ²⁴	
球	球	dʑiʏ²⁴	
毬	球	dʑiʏ²⁴	
俅	俅	dʑiʏ²⁴	
絿	絿	dʑiʏ²⁴	
逑	逑	dʑiʏ²⁴	
捄	捄	dʑiʏ²⁴	
觩	觩	dʑiʏ²⁴	
脙	脙	dʑiʏ²⁴	
裘	裘	dʑiʏ²⁴	
賕	赇	dʑiʏ²⁴	
梂	梂	dʑiʏ²⁴	
殏	殏	dʑiʏ²⁴	
莍	莍	dʑiʏ²⁴	
蛷	蛷	dʑiʏ²⁴	
銶	𨱇	dʑiʏ²⁴	
虬	虬	dʑiʏ²⁴	
虯	虬	dʑiʏ²⁴	
觓	觓	dʑiʏ²⁴	
仇	仇	dʑiʏ²⁴	
犰	犰	dʑiʏ²⁴	
