繁體	简体	吳拼	備註
艽	艽	dʑiʏ²⁴	
厹	厹	dʑiʏ²⁴	
叴	叴	dʑiʏ²⁴	
扏	扏	dʑiʏ²⁴	
肍	肍	dʑiʏ²⁴	
訅	訅	dʑiʏ²⁴	
釚	𫟲	dʑiʏ²⁴	
巰	巯	dʑiʏ²⁴	
朹	朹	dʑiʏ²⁴	
璆	璆	dʑiʏ²⁴	
訄	訄	dʑiʏ²⁴	
頄	頄	dʑiʏ²⁴	
鼽	鼽	dʑiʏ²⁴	
蟉	蟉	dʑiʏ²⁴	
鷚	鹨	dʑiʏ²⁴	
葤	荮	dʑiʏ²¹³	
棸	棸	dʑiʏ²¹³	
咎	咎	dʑiʏ²¹³	
麔	麔	dʑiʏ²¹³	
臼	臼	dʑiʏ²¹³	
桕	桕	dʑiʏ²¹³	
舅	舅	dʑiʏ²¹³	
齨	齨	dʑiʏ²¹³	
倃	倃	dʑiʏ²¹³	
蟉	蟉	dʑiʏ²¹³	
岫	岫	dʑiʏ²¹³	
胄	胄	dʑiʏ²¹³	
冑	胄	dʑiʏ²¹³	
伷	伷	dʑiʏ²¹³	
䛆	䛆	dʑiʏ²¹³	
䩜	䩜	dʑiʏ²¹³	
駎	𩧨	dʑiʏ²¹³	
紂	纣	dʑiʏ²¹³	
𩋰	纣	dʑiʏ²¹³	
䈙	䈙	dʑiʏ²¹³	
售	售	dʑiʏ²¹³	
籀	籀	dʑiʏ²¹³	
