来源：	管文慧 2018《孝义下堡方言语音研究》Hynuza 整理
说明：	
#符号说明：-白=文*俗?待考	
#调值	［1］324［2］22［3］312［5］53［7］2［8］312
#ɿ	
p	［3］比瘪彼［5］毙币弊闭被{~子}避备-{准~}碧蓖{~梳}弼{~马温}陛婢
pʰ	［1］砒披批［2］皮啤{~酒}疲琵［3］脾{~气}［5］屁
m	［1］眯［2］谜迷眉-{~眼}明-鸣名-{~字}［3］米［5］命-
t	［1］钉{~~}低［3］底抵［5］第地帝递弟钉-{~住}
tʰ	［1］梯听-{~话}［2］题蹄提［5］替屉{抽~}涕{鼻~}剃
l	［2］离璃篱厘梨狸铃-［3］李里理礼鲤［5］例励厉丽隶利莉吏
ts	［1］资芝之基机几{茶~}肌精-{~明}脂咨姿滋支枝饥鸡{~精}［3］指旨紫籽纸址只{几个}挤济{~南}梓子止姊{~妹}［5］既季镜-井-际祭继计寄妓技自寂至剂{冲~}字志纪记忌冀济{~公}
tsʰ	［1］欺妻清-{~汤寡水}青-{~菜}［2］瓷期旗棋疵祁奇齐骑其辞雌词祠慈磁［3］杞此企祈岂启起［5］气汽伺契刺赐翅次器弃
nᶻ	［1］□{用手或脚弄碎}［2］尼泥［5］腻
s	［1］撕斯施狮思私尸厮丝司师希稀诗星-{~宿}［2］熙时匙［3］屎史徙玺洗驶始死喜［5］市戏试誓四肆细示视是婿{女~子}系寺饲嗣祀似柿事
z	［1］伊医衣依［2］宜姨仪移赢-遗疑蝇-{~子}胰［3］尾-{~巴}椅倚以义{孝~}已［5］艺刈疫役易议义{~气}意毅影益译易忆
#i	
p	［1］鞭{~炮}编边-{~~}［5］变-遍辫便{方~}
pʰ	［1］篇偏［2］便-{~宜}［5］片-劈{~柴}
m	［2］棉-{~花}绵-{~羊}［5］面-
t	［1］颠-{~三倒四}［3］点-［5］店-垫{~钱}
tʰ	［1］添-填-天-［2］甜-田-［3］舔
ȵ	［1］拈-{~起来}［2］年{过~}［3］撵-［5］焰-念-
l	［2］镰-帘连-莲-［3］脸-［5］链-{~子}
tɕ	［1］尖-肩-{~膀}煎-{~药}［3］剪-{~子}姐［5］借溅贱剑-箭-见-
tɕʰ	［1］先{我~走了}千{一~}［2］前{~头}钳{手~子}茄［3］且浅［5］欠
ɕ	［1］先{祖~}仙［2］斜邪贤{~者村，村名}［3］显写［5］卸{~载}谢泻旱线泄县-{临~，县名}现-{~洋}
k	［1］干-{晾~}肝-{~花}［3］赶-{~集}擀{~面}竿-{~子}
kʰ	［3］砍［5］看{~见}
ŋ	［1］安-{~电话}［3］我-掩-{~住}［5］饿-案-{~板}
Ø	［1］焉{~了}烟［2］盐-爷阎-{~王}［3］野也［5］夜液咽-{~下}
#ʮ	
n	［3］女{~子}
l	［3］吕旅屡{~教不改}［5］虑滤泪
ts	［1］猪{~肉}居拘朱蛛珠［3］主举煮拄矩［5］剧醉具句注住柱聚距拒巨锯据
tsʰ 	［1］驱初［2］除锄厨渠区［3］取娶处{~分}［5］处{到~}去趣
s	［1］虚需须兄输梳书舒殊［2］徐［3］许数{动词}暑鼠薯［5］岁-叙竖数{名词}续序绪
z	［2］娱虞于榆愉余如渔愚［3］雨宇羽语与禹［5］玉浴域喻裕遇寓预豫誉{荣~}御
#ər	
Ø	［2］而儿［3］耳饵洱［5］二贰
#ɤ	
t	［1］多［5］大{~小}
tʰ	［1］拖［2］驼{骆~}
n	［2］挪{~一下}
l	［2］锣骡［5］摞
ts	［1］招{~女婿}知蒸-{~馍馍}［5］正-{~面}照{~样}治智制痔致
tsʰ 	［1］搓车［2］潮-{湿~}迟驰池［3］扯-{~烂}耻侈［5］错差{~不多}
s	［1］赊{~账}烧{~香}奢{~侈}［2］蛇［3］舍{~不得}少{多~}［5］社{~会}射{~箭}剩-{~下}世势
z	［3］惹-［5］绕-{~远}
k	［1］歌高{~低}膏{~药}糕{炸~}［5］个{~人}告{~状}
kʰ	［3］可{~能}［5］靠{~住}
ŋ	［2］俄鹅蛾熬{~夜}娥讹［5］鏊{~子，一种铁制的烙饼的炊具}
x	［1］荷{薄~}蒿{一种草}［2］何河荷{~花}［5］贺
Ø	［1］阿{~胶}
#uɤ	
p	［3］补［5］部步
pʰ	［1］铺{~床}［2］菩脯［3］谱普［5］铺{~子}
