#符号说明：-白=文/书*俗?待考																																													
#调值	［1］323［2］31［3］44［5］412 ［0］轻声																																												
#ɿ																																													
ts	[1]姿咨资兹滋彘孳淄辎卮孜滓梓恣渍之芝支枝肢只指{手～} [3]紫姊仔籽子{～女}止址纸旨脂指{示～} [5]字自志 [0]子{桌～}																																												
tsʰ	[1]刺差{参～}茨眵 [2]瓷慈磁词祠此辞迟匙{汤～} [3]齿疵 [5]次伺{～候}刺{鱼～}雌翅																																												
s	[1]斯澌厮撕嘶诗思私司丝师狮虱尸施 [2]时 [3]死始屎 [5]四泗肆饲嗣伺巳士仕是俟祀谥筮噬事嗜市柿示试氏似{～的} [0]匙{钥～}																																												
#ʅ																																													
tʂ	[1]汁织{只～}知蜘掷执职帜质 [2]直植值殖置侄 [5]峙痣痔滞至窒致栉制治智秩稚雉炙																																												
tʂʰ	[1]吃痴尺炽踟 [2]持池 [3]耻赤驰 [5]斥叱敕笞弛驰侈																																												
ʂ	[1]失湿矢室式拭释饰适 [2]实石十什食蚀拾 [3]史驶使 [5]恃侍{服～}世誓逝势																																												
ʐ	[1]日																																												
#i																																													
p	[1]逼 [2]鼻荸鄙毕愎婢哔 [3]比彼匕秕{～子}必妣睥弼砒譬 [5]敝蔽弊秘碧币壁璧避僻{～静}毙蓖篦贝{～壳}狈被备辈倍背																																												
pʰ	[1]丕坯邳胚披批劈{～头盖脸}霹辟{开～}匹痞痹{麻～} [2]皮疲脾啤裴啤裨枇琵 [3]劈{～开}披{～白菜帮子}仳毗蚍否 [5]屁庇																																												
m	[1]泌秘{～书}密蜜觅谧幂 [2]靡糜麇咪{笑～～}迷眯弥猕醚 [3]米 [5]谜																																												
f	[1]飞妃非菲扉蜚翡绯霏 [2]肥淝 [3]匪诽 [5]费沸废肺吠痱																																												
v	[2]微薇惟唯维 [5]未																																												
t	[1]低堤滴嫡 [2]笛敌涤狄荻籴嘀镝提{～娄} [3]底砥抵邸柢坻的{无～放矢} [5]地帝蒂谛缔弟递第娣 [0]弟{兄～}的{你～}																																												
tʰ	[1]梯踢剔 [2]啼蹄提题醍 [3]体 [5]涕剃替屉惕锑悌																																												
n	[1]妮 [2]尼泥呢昵倪霓拟旎 [3]你 [5]逆腻匿溺泥{用脚使劲拧搓} [0]呢{干什么～}																																												
l	[1]力立粒栗 [2]离鹂梨犁黎藜厘黧骊溧漓 [3]里理鲤俚娌李礼篱醴澧锂 [5]丽莅戾唳吏历厉励雳砺利莉俐痢例隶荔枥詈 [0]笠{斗～}璃{玻～}																																												
tɕ	[1]迹击绩基箕奇{～数}稽缉积羁激几{茶～}圾讥机叽饥肌鸡脊瘠吉棘急疾蒺楫辑级即戟寂脐姬屐乩嵇玑矶畿 [2]集藉籍及汲极嫉急{～人} [3]几虮己挤 [5]济剂荠{～菜}计际技妓寄冀祭继记忌既季悸系{～鞋带} [0]箕{簸～}																																												
tɕʰ	[1]期欺七柒漆戚槭妻凄萋缉{～鞋口}祈乞迄泣 [2]齐祁其淇旗棋祺奇骑歧企岂绮鳍耆 [3]起杞启祈{～祷} [5]弃契器气汽沏{～茶}讫 [0]戚{亲～}荠{荸～}																																												
ɕ	[1]西栖牺夕汐熙昔惜熄膝析浙晰希稀兮悉蟋息螅媳吸锡隙 [2]习席溪畦徙- [3]喜嘻{～皮笑脸}洗徙=嬉袭 [5]细系戏檄																																												
	[1]衣一乙壹医揖咿 [2]宜谊移姨遗仪沂疑怡 [3]椅漪倚伊蚁已以尾{～巴}依裔 [5]意臆翼熠亦奕弈议义弋益溢易邑译屹逸役疫毅抑艺亿忆呓诣肄颐{～和园}胰{～子}																																												
#u																																													
p	[1]不卜 [2]饽拨{～娄} [3]补□{放屁声} [5]部步簿布怖																																												
pʰ	[1]扑仆噗铺{～开}捕 [2]菩蒲葡瀑 [3]普谱蹼浦溥埔圃朴阜脯哺堡 [5]铺{店～}堡{十里～}																																												
m	[1]牟穆木沐目牡苜 [2]摸{～娄}模{～范}没{～落}眸谋 [3]亩母拇姆姥{天～} [5]睦墓幕暮募慕牧																																												
f	[1]夫肤麸敷福幅辐复腹 [2]芙扶孚浮孵俘伏茯服凫弗拂佛 [3]芾府俯腑腐匐苻符辅斧抚 [5]父甫{神～}傅缚赋富讣赴付附驸负妇副 [0]袱{包～}傅{师～}咐{吩～}																																												
t	[1]都{首～}嘟督 [2]渎黩犊毒独牍 [3]堵睹赌笃肚{猪～子}读 [5]度渡镀杜肚妒吐-																																												
tʰ	[1]突凸秃 [2]图徒涂途 [3]土吐屠 [5]兔堍菟																																												
n	[2]奴弩孥驽 [5]怒																																												
l	[1]鹿漉麓辘录碌禄 [2]卢炉颅芦庐 [3]卤虏掳鲁橹 [5]陆赂路戮璐																																												
ts	[1]租足祝筑触 [3]阻组筑{古乐器}																																												
tsʰ	[1]粗促蹴簇雏 [5]醋蹙																																												
s	[1]苏速束=酥肃缩=疏蔬 [2]俗={～气} [5]溯塑素诉夙戍恕庶嗉																																												
tʂ	[1]诸猪朱珠株蛛烛竹瞩嘱 [2]轴 [3]主拄煮 [5]注柱驻住蛀铸助																																												
tʂʰ	[1]出舒-{～坦}缩-{～小} [2]厨橱锄躇储殊-{特～}除 [3]楚础处{相～}鼠-{灭～}杵 [5]处畜矗绌 [0]鼠-{老～}																																												
ʂ	[1]梳输枢书淑舒抒 [2]殊=孰塾赎术沭述秫署暑曙蜀黍属 [3]鼠=薯鼠={～不清}叔 [5]树漱竖墅属{～虎}																																												
ʐ	[1]辱入 [2]如茹 [3]儒孺嚅汝濡襦																																												
k	[1]沽咕{～叽}辜蛄鸪姑菇箍骨谷 [3]古鼓股估孤钴汩贾瞢牯 [5]故固辜{无～}梏顾雇																																												
kʰ	[1]枯哭窟 [3]苦酷 [5]库裤喾																																												
x	[1]乎呼烀忽惚滹 [2]胡湖蝴糊{裱～}壶核{吐～儿}鹄 [3]虎唬狐弧浒琥 [5]户沪护互糊{～弄}																																												
	[1]污巫诬乌呜属兀杌坞侮勿物 [2]无吴梧 [3]舞鹉午五伍捂怃妩芜 [5]恶{厌～}悟晤焐吾误戊务雾鹜																																												
#y																																													
n	[3]女																																												
l	[1]绿率{利～} [2]驴 [3]吕侣铝旅屡褛缕履 [5]虑滤																																												
tɕ	[1]掬菊拘驹居据{拮～}橘锔{～子} [2]局锯拒{回绝或顶撞}锔 [3]举矩{～形} [5]巨拒炬距聚具惧俱犋飓句剧据踞倨 [0]矩{规～}苣={莴～}																																												
tɕʰ	[1]区驱岖躯曲蛐蛆屈趋 [2]渠瞿衢朐 [3]取娶黢 [5]去趣祛																																												
ɕ	[1]需吁{长～短叹}虚嘘墟戌须胥婿{夫～}畜{～牧}蓄旭煦宿 [2]徐俗-{风～} [3]许栩诩 [5]叙序续绪絮恤酗 [0]婿{女～}																																												
	[1]淤浴峪狱 [2]于竽盂迂{～回}与余愚俞榆鱼渔予 [3]宇语雨禹羽屿舆臾谀域喻吁{呼～} [5]誉玉芋驭郁育寓遇愈渝愉逾揄欲预豫娱隅裕 [0]裕{富～}																																												
#a																																													
p	[1]巴芭疤八叭扒捌 [2]爸拔跋 [3]靶把{～门} [5]把耙把{刀～}坝罢霸 [0]吧笆{篱～}罢{好～}琶{琵～}杷{枇～}																																												
pʰ	[1]趴啪帕= [2]爬耙{～子}扒{～草}筢 [5]怕																																												
m	[1]妈蚂{～蚱}抹{～布} [2]麻么{什～} [3]马码 [5]骂 [0]蟆{蛤～}吗																																												
f	[1]发法砝珐 [2]乏罚伐垡筏阀																																												
v	[1]挖蛙娲袜 [2]娃 [3]瓦 [5]瓦{～工}洼 [0]哇																																												
t	[1]答嗒搭耷打{一～}达{父亲} [2]达沓{一～}鞑靼妲笪 [3]打 [5]大 [0]瘩																																												
tʰ	[1]它他她塌踏塔挞拓榻蹋沓 [0]遢{邋～}蹋{糟～}																																												
n	[1]捺纳钠娜 [2]拿 [3]哪 [5]那																																												
l	[1]拉垃{～圾}啦{哗～～}蜡剌辣瘌 [2]拉{削开}旯落{丢三～四} [3]喇 [0]啦																																												
ts	[1]匝咂咋{～舌}查{姓}渣喳扎札柞茁{～牙} [2]砸杂茬{胡～儿}铡闸 [3]咋眨 [5]乍诈蚱榨 [0]臜{腌～}																																												
tsʰ	[1]擦嚓差{～错}插叉杈{木～}察 [2]茬{头～}查茶搽衩{裤～} [3]蹅𤜯{猪狗吃食} [5]诧差{～账}岔刹杈衩{开～}																																												
s	[1]仨撒{～了一地}沙砂纱杀刹{～车}杉{～木}洒煞 [3]撒{～网}洒{～水} [5]煞{恶～}萨{姓}厦{大～}□{把大小粗细不同的东西分开}																																												
ʂ	[2]啥蛇- [3]傻																																												
k	[2]玍{～古} [3]嘎尬{尴～}																																												
kʰ	[1]喀{～嚓} [3]卡																																												
x	[1]哈{～手了}呵{往手上～热气} [2]蛤{～蟆}																																												
	[2]阿啊 [5]啊																																												
#ia																																													
pʰ	[2]□{时髦，标致} [5]□{打耳光的声音}																																												
l	[3]俩																																												
tɕ	[1]家夹佳加痂枷嘉颊荚甲钾 [2]戛 [3]贾假 [5]价嫁架驾 [0]稼{庄～}																																												
tɕʰ	[1]掐 [2]洽 [3]卡{～子} [5]恰																																												
ɕ	[1]虾瞎 [2]辖侠峡狭匣狎霞遐暇瑕 [5]下吓夏厦{～门}																																												
	[1]丫压哑{～～}鸦鸭押 [2]牙芽蚜崖涯衙讶 [3]哑雅 [5]氩揠亚轧																																												
#ua																																													
tʂ	[1]抓 [3]爪{～子．手～子}																																												
ʂ	[1]刷 [3]耍																																												
k	[1]瓜呱{～～叫}刮{～风} [2]□{扯住．划} [3]刮{搜～}寡剐呱{啦～} [5]挂卦褂 [0]鸹{老～}																																												
kʰ	[1]夸 [3]垮侉{老～}挎{～篮子} [5]跨胯挎{～着膀}																																												
x	[1]花哗{～啦} [2]划{～船}华铧哗桦滑猾																																												
	[1]挖蛙娲袜 [2]娃 [3]瓦 [5]洼瓦{～工} [0]哇																																												
#ɔ																																													
p	[1]包苞胞孢鲍 [3]保堡葆褒宝饱鸨 [5]报暴爆曝豹趵抱刨雹																																												
pʰ	[1]抛泡{发～}脬{一～屎} [2]袍刨咆匏庖 [3]跑 [5]炮泡疱																																												
m	[1]□{称东海县一带人口音} [2]毛矛茅猫锚旄牦蟊 [3]卯铆 [5]冒帽茂貌贸袤瑁																																												
f	[3]否																																												1
t	[1]刀叨 [3]倒{打～}祷导蹈岛捣 [5]道到倒{颠～}盗稻悼																																												
tʰ	[1]掏韬绦 [2]桃逃淘陶萄涛滔 [3]讨 [5]套 [0]叨{唠～}																																												
n	[1]孬 [2]挠蛲饶 [3]脑恼 [5]闹																																												
l	[1]捞{顺手拿或偷拿} [2]劳唠崂痨捞{打～}牢醪 [3]老佬姥 [5]涝 [0]了																																												
ts	[1]遭糟 [3]早枣蚤澡找爪 [5]造笊灶皂唣噪燥躁罩																																												
tsʰ	[1]操抄钞超剿 [2]曹漕槽晁巢 [3]草吵炒嘈{～杂} [5]糙超{向前跨步}																																												
