#注释	平阳方言记略，落橙抄
#调值	[1]44[2]31[3]54[4]24[5]32[6]22[7]35[8]213
#a	
s	[1]沙纱桑丧{婚~}[3]嗓所爽[5]丧{~失}[7]索
Z	[2]藏[4]坐[6]座昨藏{西〜}脏[8]凿
k	[1]肛钢冈刚纲缸光江佳家加嘉[3]广港讲假{真~}[5]杠降价嫁驾稼假{放~}贾架[7]角阁各觉郭
kʰ	[1]康糠筐[3]慷可[5]况抗炕矿扩囥{藏也}[7]壳确
ɡ	[2]□{耽搁}[4]戆{蠢}[6]□{~起，架起来}
ŋ	[2]牙芽昂衙[3]瓦雅[6]□{~牢，手被压住}[8]岳乐{音~}鄂鹤
h	[1]虾荒慌谎[3]晃[7]吓霍
ɦ	[2]霞降{投~}项黄皇蝗行{银~}航杭[6]夏旺巷[8]学镬{锅}
ʔ	[1]亚鸦汪肮[3]下哑[7]恶
#uo	
p	[1]巴疤邦帮[3]榜绑[5]把霸棚坝[7]八剥驳博
Pʰ	[5]怕[7]撲
b	[2]爬旁[6]罢[8]薄僕拔
m	[1]吗[2]麻忙[3]马[6]骂[7]摸[8]莫袜
l	[2]龙-[3]陇垅[8]绿禄录
k	[1]瓜[3]寡[5]挂卦
kʰ	[1]夸[5]跨
h	[1]花[5]化
ɦ	[2]华铧[6]画话[6]缚-
ʔ	[1]蛙洼
#yo	
tɕ	[1]桩恭供锺钟[3]纵种{~类}肿[5]种{~树}拱[7]桌卓捉足烛嘱
tɕʰ	[1]疮窗[3]宠闯恐-[7]戳曲触
dʑ	[2]狂[4]重[6]共撞状{~元}[8]轴镯浊局属
ȵ	[2]浓[8]玉狱
ɕ	[1]胸凶霜双[3]况{又读}舂怂[7]粟缩朔束
ʑ	[2]从床[6]状诵颂讼[8]续俗赎
ʔ	[3]往勇[5]壅{~田，在田里加肥料}[7]哊{吐也}
∅︀	[2]王[6]用[8]欲浴
#ø	
p	[1]般=搬=[5]半[7]拨
pʰ	[1]潘[5]判[7]泼
b	[2]盆盘搬-般-[4]伴[8]勃
m	[2]瞒[3]满[6]幔{遮起来叫~起}[8]没末沫抹
t	[1]敦墩端 [3]短[5]断{决~}锻[7]答
tʰ	[1]贪吞 [3]□{嗅}[5]探[7]脱=
d	[2]团[4]断{~绝}[6]钝遁段锻[8]突夺=
n	[2]男南[3]暖[6]嫩[8]纳
l	[6]论乱[8]粒
ts	[1]尊钻
tsʰ	[1]参村[3]惨[5]寸
dz	[6]□{~起，塞起来。}
s	[1]孙闩酸[3]损[5]算蒜[7]刷
z	[2]蚕存[8]杂
k	[1]干甘柑汨肝乾竿根[3]敢感杆秆赶[5]幹[7]鸽割
kʰ	[1]堪刊[3]坎砍款[5]看=勘瞰[7]渴克咳
ŋ	[2]玩[6]岸[8]□{晕过去。}
h	[3]罕[5]汉[7]喝{又读}
ɦ	[2]寒韩含[4]旱[6]汗[8]核合盒
ʔ	[1]恩安鞍按[5]暗案按{又读}
#yø	
p	[1]彪标[3]表
pʰ	[1]漂{~亮}飘[3]漂{~白}[5]票
b	[2]嫖瓢[4]鳔
m	[2]苗[3]秒渺藐[6]妙描庙
t	[1]刁貂雕[3]典点鸟-[5]店钓吊
tʰ	[1]添[3]舔挑[5]跳[7]帖贴
d	[2]甜条[6]掉调[8]叠蝶谍碟
l	[2]疗聊辽[3]了[6]料[8]略猎
tɕ	[1]捐专砖朝{~夕}昭招浇骄矫焦蕉椒[3]转捲[5]叫照眷卷绢[7]拙决厥诀
tɕʰ	[1]圈川穿超钏[3]喘犬[5]劝串=窍俏[7]出屈缺
dʑ	[2]权拳颧传椽朝{~代}潮桥乔侨樵[4]赵兆肇[6]轿篆传{~记}倦召[8]绝掘
ȵ	[2]原源元[3]软阮[6]绕饶愿[8]月
ɕ	[1]靴烧消宵霄硝销萧箫宣[3]选小少[5]少{~年}笑楦[7]恤雪血说
ʑ	[2]船巢泉全[4]绍扰[6]旋邵[8]术述
k	[1]观冠{衣~}官[3]管馆[5]贯灌罐观{寺~}冠{~军}[7]国骨
kʰ	[5]睏{睡也}
h	[1]荤昏婚欢[5]唤焕[7]忽
ʔ	[1]妖邀腰要{~求}么冤温瘟[3]碗远稳[5]剜宛怨要
∅︀	[2]魂圆员袁园辕悬玄缘完丸摇谣窑遥姚[4]缓援皖[6]院县[8]悦阅越曰粵穴
#e	
t	[5]戴=[7]得德
tʰ	[1]胎台{天~}[5]态贷[7]□{罩住}
d	[2]抬台[4]待怠[6]代袋贷[8]特
n	[8]日-
l	[2]来[8]勒肋劣
ts	[1]灾栽[3]宰[5]载再[7]则
tsʰ	[1]猜[3]彩采睬[5]菜[7]厕側测
s	[5]赛塞[7]色塞{~住}
z	[2]才财材裁[4]在[8]贼
k	[1]该[3]改[5]盖概
kʰ	[1]开[3]凯[5]慨[7]刻克{又读}□{拾起}
ɡ	[4]□立[6]□{~起，竖起来}
ŋ	[2]呆[6]碍艾
h	[1]海[7]黑
ɦ	[2]孩[4]亥[6]害
ʔ	[1]哀[5]爱
#ie	
p	[1]鞭编边[3]贬扁匾[5]变徧遍[7]龞璧壁毕必逼笔
pʰ	[1]篇偏[5]骗片[7]撇劈匹
b	[2]便{~宜}[4]辨辩[6]便{方~}辫[8]别
m	[2]绵棉眠眉[3]免勉娩缅[6]面[8]灭密蜜觅
t	[1]颠[7]跌
tʰ	[1]天[7]铁踢剔
d	[2]田填[6]电殿佃[8]迭
l	[2]良凉量粮梁粱恋连廉莲镰簾帘怜联[3]脸敛两=辆[6]练鍊炼亮谅量{度~}[8]律列烈裂立栗
