單字	聲紐	攝	韻部	呼	等	聲調	組	(斗山墟) 聲母	(斗山墟) 韻母	(斗山墟) 聲調號	(斗山墟) 聲調名	IPA	備註						
穫	匣	宕	唐	合	一	入	影	v	ok	9		vɔk¹							
貨	曉	果	歌	合	一	去	影	f	uo	1(3)		fuɔ³³							
霍	曉	宕	唐	合	一	入	影	k	ok	8		kʰɔk³							
几	見	止	脂B	開	三	上	見	g	i	1(3)		ki³³	茶几						
唧	精	臻	真A	開	三	入	精	z	ik	7		tsɪk⁵							
嘰	見	止	微	開	三	平	見												
嘰	見	止	微	開	三	平	見												
圾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	lh	ep	7		ɬɛp⁵	垃圾lɛp¹ ɬɛp⁵						
基	見	止	之	開	三	平	見	g	i	1(3)		ki³³							
基	見	止	之	開	三	平	見	g	i	5(6)	低變調	ki¹¹	塘基						
姬	以	止	之	開	三	平	以	g	i	1(3)		ki³³							
朞	见	止	之	開	三	平	見	g	i	1(3)		ki³³							
機	見	止	微	開	三	平	見	g	i	1(3)		ki³³							
激	見	效	蕭	開	四	去	見	g	ik	7		kɪk⁵							
犄	影	止	支B	開	三	平	影	g	i	1(3)		ki³³							
畸	見	止	支B	開	三	平	見	k	i	2		kʰi⁵⁵							
磯	見	止	微	開	三	平	見	g	i	1(3)		ki³³							
積	精	止	支A	開	三	去	精	d	ik	7		tɪk⁵							
箕	見	止	之	開	三	平	見	g	i	5(6)	低變調	ki¹¹							
緝	清	深	侵A	開	三	入	精	t	ep	7		tʰɛp⁵							
績	精	梗	青	開	四	入	精	d	ik	7		tɪk⁵							
肌	見	止	脂B	開	三	平	見	g	i	1(3)		ki³³							
譏	見	止	微	開	三	平	見	g	i	1(3)		ki³³							
跡	精	梗	清A	開	三	入	精	d	ik	7		tɪk⁵							
蹟	精	梗	清A	開	三	入	精	d	ik	7		tɪk⁵							
雞	見	蟹	齊	開	四	平	見	g	aai	1(3)		kai³³							
飢	見	止	脂B	開	三	平	見	g	i	1(3)		ki³³							
饑	見	止	微	開	三	平	見	g	i	1(3)		ki³³							
即	精	曾	蒸	開	三	入	精	d	ik	7		tɪk⁵							
及	羣	深	侵B	開	三	入	見	g	ep	9		kɛp¹							
吉	見	臻	真A	開	三	入	見	g	et	7		kɛt⁵							
岌	疑	深	侵B	開	三	入	見												
急	見	深	侵B	開	三	入	見	g	ep	7		kɛp⁵							
擊	見	梗	青	開	四	入	見	g	ik	7		kɪk⁵							
棘	見	曾	蒸	開	三	入	見	g	ik	7		kɪk⁵							
極	羣	曾	蒸	開	三	入	見	g	ik	9		kɪk¹							
汲	見	深	侵B	開	三	入	見	k	ep	7		kʰɛp⁵							
疾	從	臻	真A	開	三	入	精	d	et	9		tɛt¹							
籍	從	梗	清A	開	三	入	精	d	ik	9		tɪk¹							
級	見	深	侵B	開	三	入	見	k	ep	7		kʰɛp⁵							
輯	從	深	侵A	開	三	入	精	t	ep	7		tʰɛp⁵							
集	從	深	侵A	開	三	入	精	d	aap	9		tap¹							
己	見	止	之	開	三	上	見	g	i	2		ki⁵⁵							
幾	見	止	微	開	三	平	見						幾乎						
幾	羣	止	微	開	三	平	見	g	i	2		ki⁵⁵	幾個						
擠	精	蟹	齊	開	四	平	精	d	aai	2		tai⁵⁵							
脊	精	梗	清A	開	三	入	精	d	iek	8		tiɛk³							
脊								d	iek	9	低變調	tiɛk¹	低變調，背脊pi³³ tiɛk¹						
劑	精	止	支A	合	三	平	精	d	aai	2		tai⁵⁵							
妓	見	止	支B	開	三	平	見												
妓	羣	止	支B	開	三	上	見	g	i	5(6)		ki¹¹							
季	見	止	脂A	合	三	去	見	g	ui	1(3)		kui³³							
寄	見	止	支B	開	三	去	見	g	i	1(3)		ki³³							
忌	羣	止	之	開	三	去	見	g	i	5(6)		ki¹¹							
悸	羣	止	脂A	合	三	去	見	g	ui	1(3)		kui³³							
技	羣	止	支B	開	三	上	見	g	i	5(6)		ki¹¹							
既	見	止	微	開	三	去	見	g	i	1(3)		ki³³							
暨	羣	止	脂B	開	三	去	見	g	i	1(3)		ki³³							
濟	精	蟹	齊	開	四	去	精	d	aai	1(3)		tai³³							
祭	精	蟹	祭A	開	三	去	精	z	aai	1(3)		tsai³³							
紀	見	止	之	開	三	上	見	g	i	2		ki⁵⁵							
繼	見	蟹	齊	開	四	去	見	g	aai	1(3)		kai³³							
計	見	蟹	齊	開	四	去	見	g	aai	1(3)		kai³³							
記	見	止	之	開	三	去	見	g	i	1(3)		ki³³							
際	精	蟹	祭A	開	三	去	精	d	aai	1(3)		tai³³							
髻	見	蟹	齊	開	四	去	見	g	aai	5(6)	低變調	kai¹¹							
伽	羣	果	歌	開	三	平	見	g	aa	1(3)		ka³³							
佳	見	蟹	佳	開	二	平	見	g	aai	1(3)		kai³³							
傢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	aa	1(3)		ka³³							
加	見	假	麻	開	二	平	見	g	aa	1(3)		ka³³							
嘉	見	假	麻	開	二	平	見	g	aa	1(3)		ka³³							
夾	見	咸	咸	開	二	入	見	g	aap	8		kap³	文讀，動詞						
夾	見	咸	咸	開	二	入	見	g	aap	9		kap¹	白讀，名詞						
家	見	假	麻	開	二	平	見	g	aa	1(3)		ka³³							
枷	羣	果	歌	開	三	平	見	g	aa	1(3)		ka³³							
迦	見	果	歌	開	三	平	見	g	aa	1(3)		ka³³							
舺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
莢	見	咸	添	開	四	入	見	g	aap	8		kap³							
頰	見	咸	添	開	四	入	見	g	aap	8		kap³							
假	見	假	麻	開	二	去	見												
假	見	假	麻	開	二	上	見	g	aa	2		ka⁵⁵	放假、假如。						
甲	見	咸	銜	開	二	入	見	g	aap	7		kap⁵							
價	見	假	麻	開	二	去	見	g	aa	1(3)		ka³³							
嫁	見	假	麻	開	二	去	見	g	aa	1(3)		ka³³							
架	見	假	麻	開	二	去	見	g	aa	5(6)		ka¹¹							
駕	見	假	麻	開	二	去	見	g	aa	1(3)		ka³³							
兼	見	咸	添	開	四	平	見	g	em	1(3)		kɛm³³							
堅	見	山	先	開	四	平	見	g	en	1(3)		kɛn³³							
奸	見	山	寒	開	一	平	見	g	aan	1(3)		kan³³							
姦	見	山	刪	開	二	平	見	g	aan	1(3)		kan³³							
尖	精	咸	鹽A	開	三	平	精	d	em	1(3)		tɛm³³							
煎	精	山	仙A	開	三	平	精	d	en	1(3)		tɛn³³							
監	見	咸	銜	開	二	平	見	g	aam	1(3)		kam³³							
緘	見	咸	咸	開	二	平	見	g	aam	1(3)		kam³³							
肩	見	山	先	開	四	平	見	g	aan	1(3)		kan³³							
艱	見	山	山	開	二	平	見	g	aan	1(3)		kan³³							
間	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	aan	1(3)		kan³³							
儉	羣	咸	鹽B	開	三	上	見	g	em	5(6)		kɛm¹¹							
剪	精	山	仙A	開	三	上	精	d	en	2		tɛn⁵⁵							
揀	見	山	山	開	二	上	見	g	aan	2		kan⁵⁵							
撿	來	咸	鹽A	開	三	上	來	g	em	2		kɛm⁵⁵							
檢	見	咸	鹽B	開	三	上	見	g	em	2		kɛm⁵⁵							
減	匣	咸	咸	開	二	上	影	g	aam	2		kam⁵⁵							
瞼	見	咸	鹽B	開	三	上	見												
簡	見	山	山	開	二	上	見	g	aan	2		kan⁵⁵							
繭	見	山	先	開	四	上	見	g	aan	2		kan⁵⁵							
鹼	清	咸	鹽A	開	三	平	精	g	aan	2		kan⁵⁵							
件	羣	山	仙B	開	三	上	見	g	en	5(6)		kɛn¹¹							
健	羣	山	元	開	三	去	見	g	en	5(6)		kɛn¹¹							
劍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	em	1(3)		kɛm³³							
建	見	山	元	開	三	去	見	g	en	1(3)		kɛn¹¹							
檻	匣	咸	銜	開	二	上	影	l	aam	5(6)		lam¹¹							
毽	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	en	5(6)		kɛn¹¹							
漸	從	咸	鹽A	開	三	上	精	d	em	5(6)		tɛm¹¹							
澗	見	山	刪	開	二	去	見	g	aan	1(3)		kan³³							
濺	精	山	仙A	開	三	去	精	d	en	2		tɛn¹¹							
濺	精	山	先	開	四	平	精	d	en	2		tɛn¹¹							
箭	精	山	仙A	開	三	去	精	d	en	1(3)		tɛn³³							
艦	匣	咸	銜	開	二	上	影	l	aam	5(6)		lam¹¹							
荐	從	山	先	開	四	去	精	d	en	1(3)		tɛn³³							
薦	精	山	先	開	四	去	精	d	en	1(3)		tɛn³³							
見	見	山	先	開	四	去	見	g	en	1(3)		kɛn³³	看見						
見	匣	山	先	開	四	去	影	j	en	5(6)		ʝɛn¹¹	同『現』						
諫	見	山	刪	開	二	去	見	g	aan	1(3)	陰平（陰去）	kan³³							
賤	從	山	仙A	開	三	去	精	d	en	5(6)		tɛn¹¹							
踐	從	山	仙A	開	三	上	精	d	en	5(6)		tɛn¹¹							
鍵	羣	山	仙B	開	三	平	見	g	en	5(6)		kɛn¹¹							
鑑	見	咸	銜	開	二	平	見	g	aam	1(3)		kam³³							
餞	從	山	仙A	開	三	上	精	d	en	5(6)		tɛn¹¹							
僵	見	宕	陽	開	三	平	見	g	ieng	1(3)		kiɛŋ³³							
姜	見	宕	陽	開	三	平	見	g	ieng	1(3)		kiɛŋ³³							
將	精	宕	陽	開	三	平	精	d	ieng	1(3)		tiɛŋ³³	將來						
將	精	宕	陽	開	三	去	精	d	ieng	1(3)		tiɛŋ³³	將領						
江	見	江	江	開	二	平	見	g	ong	1(3)		kɔŋ³³							
漿	精	宕	陽	開	三	平	精	d	ieng	1(3)		tiɛŋ³³							
疆	見	宕	陽	開	三	平	見	g	ieng	1(3)		kiɛŋ³³							
薑	見	宕	陽	開	三	平	見	g	ieng	1(3)		kiɛŋ³³							
韁	見	宕	陽	開	三	平	見												
槳	精	宕	陽	開	三	上	精	d	ieng	2		tiɛŋ⁵⁵							
獎	精	宕	陽	開	三	上	精	d	ieng	2		tiɛŋ⁵⁵							
蔣	精	宕	陽	開	三	平	精	d	ieng	2		tiɛŋ⁵⁵							
講	見	江	江	開	二	上	見	g	ong	2		kɔŋ⁵⁵							
匠	從	宕	陽	開	三	去	精	d	ieng	5(6)		tiɛŋ¹¹							
醬	精	宕	陽	開	三	去	精	d	ieng	1(3)		tiɛŋ³³							
降	見	江	江	開	二	去	見	g	ong	1(3)		kɔŋ³³	降落						
降	匣	江	江	開	二	平	影	h	ong	4		hɔŋ²²	投降						
交	見	效	肴	開	二	平	見	g	aau	1(3)		kau³³							
嬌	見	效	宵B	開	三	平	見	g	iu	1(3)		kiu³³							
椒	精	效	宵A	開	三	平	精	d	iu	1(3)		tiu³³							
焦	精	效	宵A	開	三	平	精	d	iu	1(3)		tiu³³							
礁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	iu	1(3)		tiu³³							
膠	見	效	肴	開	二	平	見	g	aau	1(3)		kau³³							
蕉	精	效	宵A	開	三	平	精	d	iu	1(3)		tiu³³	文讀，芭蕉						
蕉	精	效	宵A	開	三	平	精	d	iu	5(6)	低變調	tiu¹¹							
蛟	見	效	肴	開	二	平	見	g	aau	1(3)		kau³³							
跤	溪	效	肴	開	二	平	見												
郊	見	效	肴	開	二	平	見	g	aau	1(3)		kau³³							
驕	見	效	宵B	開	三	平	見	g	iu	1(3)		kiu³³							
剿	精	效	小	開	三	上	精	z	iu	2		tsiu⁵⁵							
攪	見	效	肴	開	二	上	見	g	aau	2		kau⁵⁵							
狡	見	效	肴	開	二	上	見	g	aau	2		kau⁵⁵							
皎	見	效	蕭	開	四	上	見	g	aau	2		kau⁵⁵							
矯	見	效	宵B	開	三	上	見	g	iu	2		kiu⁵⁵							
絞	見	效	肴	開	二	上	見	g	aau	2		kau⁵⁵							
繳	見	效	蕭	開	四	上	見	g	iu	2		kiu⁵⁵							
腳	見	宕	陽	開	三	入	見	g	iek	8		kiɛk³							
角	來	通	東	開	一	入	來	g	ok	9		kɔk¹	直角、角仔。						
角	來	通	東	開	一	入	來	g	ok	8		kɔk³	牛角						
角	來	通	東	開	一	入	來	g	ok	7		kɔk⁵	八角						
餃	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	aau	2		kau⁵⁵							
叫	見	效	蕭	開	四	去	見	g	iu	1(3)		kiu³³							
教	見	效	肴	開	二	去	見	g	aau	1(3)		kau³³							
窖	見	效	肴	開	二	去	見	g	aau	1(3)		kau³³							
滘								g	aau	1(3)		kau³³							
較	見	效	肴	開	二	去	見	g	aau	1(3)		kau³³							
轎	羣	效	宵B	開	三	平	見	g	iu	5(6)		kiu¹¹							
酵	見	效	肴	開	二	去	見	h	aau	1(3)		hau³³							
接	精	咸	鹽A	開	三	入	精	d	ep	8		tɛp³							
揭	溪	蟹	祭B	開	三	去	見	k	et	7		kʰɛt⁵							
皆	見	蟹	皆	開	二	平	見	g	aai	1(3)		kai³³							
街	見	蟹	佳	開	二	平	見	g	aai	5(6)	低變調	kai¹¹	低變調，本調缺失						
街								g	aai	2	高變調	kai⁵⁵	高變調，本調缺失						
階	見	蟹	皆	開	二	平	見	g	aai	1(3)		kai³³							
傑	羣	山	仙B	開	三	入	見	g	et	9		kɛt¹							
劫	見	咸	嚴	開	三	入	見	g	ep	7		kɛp⁵							
截	從	山	先	開	四	入	精	d	et	9		tɛt¹							
拮	見	臻	真A	開	三	入	見	g	et	7		kɛt⁵							
捷	從	咸	鹽A	開	三	入	精	d	ep	9		tɛp¹							
杰	羣	山	仙B	開	三	入	見	g	et	9		kɛt¹							
桔	見	山	先	開	四	入	見	g	et	7		kɛt⁵	桔梗						
潔	見	山	先	開	四	入	見	g	et	7		kɛt⁵							
睫	精	咸	鹽A	開	三	入	精	d	ep	9		tɛp¹					品行		
節	精	山	先	開	四	入	精	d	et	7		tɛt⁵	節約、節日						
節	精	山	先	開	四	入	精	d	et	8		tɛt³	過節、年年節節						
節	精	山	先	開	四	入	精	d	et	9	低變調	tɛt¹	低變調。竹節						
結	見	山	先	開	四	入	見	g	et	2		kɛt⁵							
姐	精	假	麻	開	三	上	精	d	ie	2		tiɛ⁵⁵	姐姊不同音。姊讀ti⁵⁵						
解	見	蟹	佳	開	二	上	見	g	aai	2		kai⁵⁵	解決						
解	匣	蟹	佳	開	二	去	影	h	aai	5(6)		hai¹¹	姓解						
介	見	蟹	皆	開	二	去	見	g	aai	1(3)		kai³³							
蚧																			
借	精	假	麻	開	三	去	精	d	ie	1(3)		tiɛ³³							
屆	見	蟹	皆	開	二	去	見	g	aai	1(3)		kai³³							
戒	見	蟹	皆	開	二	去	見	g	aai	1(3)		kai³³							
界	見	蟹	皆	開	二	去	見	g	aai	1(3)		kai³³							
芥	見	蟹	皆	開	二	去	見	g	aai	1(3)		kai³³							
藉	從	假	麻	開	三	去	精	d	ik	9		tɪk¹	藉口						
誡	見	蟹	皆	開	二	去	見	g	aai	1(3)		kai³³							
今	見	深	侵B	開	三	平	見	g	em	1(3)		kɛm³³							
巾	見	臻	真B	開	三	平	見	g	en	1(3)		kɛn³³							
斤	見	臻	欣	開	三	平	見	g	en	1(3)		kɛn³³							
津	精	臻	真A	開	三	平	精	z	un	1(3)		tsun³³							
筋	見	臻	欣	開	三	平	見	g	en	1(3)		kɛn³³							
觔	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	en	1(3)		kɛn³³							
金	見	深	侵B	開	三	平	見	g	em	1(3)		kɛm³³							
僅	羣	臻	真B	開	三	去	見	g	en	2		kɛn⁵⁵							
儘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	d	en	5(6)		tɛn¹¹							
槿	見	臻	欣	開	三	上	見	g	en	2		kɛn⁵⁵							
瑾	羣	臻	真B	開	三	去	見	g	en	2		kɛn⁵⁵							
緊	見	臻	真A	開	三	上	見	g	en	2		kɛn⁵⁵							
菫	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	en	2		kɛn⁵⁵							
謹	見	臻	欣	開	三	上	見	g	en	2		kɛn⁵⁵							
錦	見	深	侵B	開	三	上	見	g	em	2		kɛm⁵⁵							
晉	精	臻	真A	開	三	去	精	d	un	1(3)		tun³³							
浸	清	深	侵A	開	三	平	精	d	em	1(3)		tɛm³³							
盡	從	臻	真A	開	三	上	精	d	en	5(6)		tɛn¹¹							
禁	見	深	侵B	開	三	平	見	g	em	1(3)		kɛm³³							
禁	見	深	侵B	開	三	去	見	g	em	1(3)		kɛm³³							
近	羣	臻	欣	開	三	去	見	g	en	5(6)		kɛn¹¹	文讀						
近	羣	臻	欣	開	三	去	見	k	en	1(3)		kʰɛn³³	白讀						
進	精	臻	真A	開	三	去	精	d	en	1(3)		tɛn³³							
京	見	梗	庚	開	三	平	見	g	ing	1(3)		kɪŋ³³							
兢	見	曾	蒸	開	三	平	見	g	ing	1(3)		kɪŋ³³							
晶	精	梗	清A	開	三	平	精	d	ing	1(3)		tɪŋ³³							
涇	見	梗	青	開	四	平	見	g	ing	1(3)		kɪŋ³³							
睛	精	梗	清A	開	三	平	精	d	ing	1(3)		tɪŋ³³							
精	精	梗	清A	開	三	平	精	d	ing	1(3)		tɪŋ³³	文讀						
精								d	ieng	1(3)		tiɛŋ³³	白讀						
經	見	梗	青	開	四	平	見	g	ing	1(3)		kɪŋ³³							
荊	見	梗	庚	開	三	平	見	g	ing	1(3)		kɪŋ³³							
莖	匣	梗	耕	開	二	平	影	g	aang	2	陰上	kaŋ⁵⁵							
驚	見	梗	庚	開	三	平	見	g	ing	1(3)		kɪŋ³³	文讀						
驚	見	梗	庚	開	三	平	見	g	ieng	1(3)		kiɛŋ³³	白讀						
鯨	羣	梗	庚	開	三	平	見	k	ing	4		kʰɪŋ²²							
井	精	梗	清A	開	三	上	精	d	ieng	2		tiɛŋ⁵⁵							
憬	見	梗	庚	合	三	上	見	g	ing	2		kɪŋ⁵⁵							
景	見	梗	庚	開	三	上	見	g	ing	2		kɪŋ⁵⁵							
警	見	梗	庚	開	三	上	見	g	ing	2		kɪŋ⁵⁵							
阱	從	梗	清A	開	三	上	精	d	ieng	2		tiɛŋ⁵⁵							
頸	羣	梗	清A	開	三	平	見	g	ieng	2		kiɛŋ⁵⁵							
勁	見	梗	清A	開	三	去	見	g	ing	5(6)		kɪŋ¹¹							
境	見	梗	庚	開	三	上	見	g	ing	2		kɪŋ⁵⁵							
徑	見	梗	青	開	四	去	見	g	ing	5(6)		kɪŋ¹¹							
逕	見	梗	青	開	四	去	見	g	aang	5(6)		kaŋ¹¹	『逕』同『徑』。逕口語止讀kaŋ¹¹						
敬	見	梗	庚	開	三	去	見	g	ing	1(3)		kɪŋ³³							
淨	從	梗	清A	開	三	去	精	d	ing	5(6)		tɪŋ¹¹	文讀						
淨								d	ieng	5(6)		tiɛŋ¹¹	白讀						
竟	見	梗	庚	開	三	去	見	g	ing	5(6)		kɪŋ¹¹							
競	羣	梗	庚	開	三	去	見	g	ing	5(6)		kɪŋ¹¹							
鏡	見	梗	庚	開	三	去	見	g	ieng	1(3)		kiɛŋ³³							
靖	從	梗	清A	開	三	上	精	d	ing	5(6)		tɪŋ¹¹							
靜	從	梗	清A	開	三	上	精	d	ing	5(6)		tɪŋ¹¹							
炯	匣	梗	青	合	四	上	影	g	ing	2		kɪŋ⁵⁵							
迥	匣	梗	青	合	四	上	影	g	ing	2		kɪŋ⁵⁵							
究	見	流	尤	開	三	去	見	g	iu	1(3)		kiu³³							
糾	見	流	幽	開	三	上	見	g	iu	2		kiu⁵⁵							
赳	見	流	幽	開	三	上	見	g	iu	2		kiu⁵⁵							
鳩	見	流	尤	開	三	平	見	g	aau	1(3)		kau³³							
久	見	流	尤	開	三	上	見	g	iu	2		kiu⁵⁵							
九	見	流	尤	開	三	上	見	g	iu	2		kiu⁵⁵							
灸	見	流	尤	開	三	上	見	g	iu	1(3)		kiu³³							
玖	見	流	尤	開	三	上	見	g	iu	2		kiu⁵⁵							
酒	精	流	尤	開	三	上	精	d	iu	2		tiu⁵⁵							
韭	見	流	尤	開	三	上	見	g	iu	2		kiu⁵⁵							
咎	見	效	豪	開	一	平	見	g	aau	1(3)		kau³³							
就	從	流	尤	開	三	去	精	d	iu	5(6)		tiu¹¹	文讀						
就								d	u	5(6)		tu¹¹	白讀，副詞。						
救	見	流	尤	開	三	去	見	g	iu	1(3)		kiu³³							
疚	見	流	尤	開	三	去	見	g	iu	1(3)		kiu³³							
舅	羣	流	尤	開	三	上	見	k	iu	5(6)		kʰiu¹¹							
舊	羣	流	尤	開	三	去	見	g	iu	5(6)		kiu¹¹							
居	見	止	之	開	三	平	見												
居	見	遇	魚	開	三	平	見	g	ui	1(3)		kui³³							
掬	見	通	東	開	三	入	見	g	uk	7		kʊk⁵							
鞠	見	通	東	開	三	入	見	g	uk	7		kʊk⁵							
局	羣	通	鍾	開	三	入	見	g	uk	9		kʊk¹							
橘	見	臻	真A	合	三	入	見	g	ut	7		kut⁵							
菊	見	通	東	開	三	入	見	g	uk	7		kʊk⁵							
咀	從	遇	魚	開	三	上	精	d	ui	2		tui⁵⁵							
櫸	見	遇	魚	開	三	上	見	g	ui	2		kui⁵⁵							
矩	見	遇	虞	合	三	上	見	g	ui	2		kui⁵⁵							
舉	見	遇	魚	開	三	上	見	g	ui	2		kui⁵⁵							
俱	見	遇	虞	合	三	平	見	g	ui	5(6)		kui¹¹							
具	羣	遇	虞	合	三	去	見	g	ui	5(6)		kui¹¹							
劇	羣	梗	庚	開	三	入	見	k	iek	7		kʰiɛk⁵							
句	羣	遇	虞	合	三	平	見	g	ui	1(3)		kui³³							
句								g	ui	5(6)	低變調	kui¹¹							
句	見	流	侯	開	一	平	見	ng	aau	1(3)		ŋau³³	曲也,俗作勾						
巨	羣	遇	魚	開	三	上	見	g	ui	5(6)		kui¹¹							
懼	羣	遇	虞	合	三	去	見	g	ui	5(6)		kui¹¹							
拒	羣	遇	魚	開	三	上	見	k	ui	5(6)		kʰui¹¹							
据	見	遇	魚	開	三	平	見	g	ui	1(3)		kui³³							
據	見	遇	魚	開	三	去	見	g	ui	1(3)		kui³³							
炬	羣	遇	魚	開	三	上	見	g	ui	5(6)		kui¹¹							
聚	從	遇	虞	合	三	上	精	d	ui	5(6)		tui¹¹							
距	羣	遇	魚	開	三	上	見	k	ui	5(6)		kʰui¹¹							
鋸	見	遇	魚	開	三	去	見	g	ui	1(3)		kui³³							
娟	影	山	仙A	合	三	平	影	g	un	1(3)		kun³³							
捐	以	山	仙A	合	三	平	以	g	un	1(3)		kun³³							
涓	見	山	先	合	四	平	見	g	un	1(3)		kun³³							
鵑	見	山	先	合	四	平	見	g	un	1(3)		kun³³							
捲	羣	山	仙B	合	三	平	見	g	un	2		kun⁵⁵							
倦	羣	山	仙B	合	三	去	見	g	un	5(6)		kun¹¹							
卷	見	山	仙B	合	三	上	見	g	un	2		kun⁵⁵	動詞						
卷								k	un	2		kʰun⁵⁵	試卷						
卷	羣	山	仙B	合	三	平	見												
眷	見	山	仙B	合	三	去	見	g	un	1(3)		kun³³							
絹	見	山	仙A	合	三	去	見	g	un	1(3)		kun³³							
倔	羣	臻	文	合	三	入	見	g	ut	9		kut¹							
崛	羣	臻	文	合	三	入	見	g	ut	9		kut¹							
掘	羣	臻	文	合	三	入	見	g	ut	9		kut¹							
橛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
絕	從	山	仙A	合	三	入	精	d	ut	9		tut¹							
覺	見	江	江	開	二	入	見	g	ok	7		kɔk⁵	覺醒						
覺	見	效	肴	開	二	去	見	g	aau	1(3)		kau³³	瞓覺						
君	見	臻	文	合	三	平	見	g	un	1(3)		kun³³							
均	見	臻	真A	合	三	平	見	g	un	1(3)		kun³³							
軍	見	臻	文	合	三	平	見	g	un	1(3)		kun³³							
鈞	見	臻	真A	合	三	平	見	g	un	1(3)		kun³³							
俊	精	臻	真A	合	三	去	精	d	un	1(3)		tun³³							
峻	心	臻	真A	合	三	去	精	d	un	1(3)		tun³³							
竣	清	臻	真A	合	三	平	精	d	un	1(3)		tun³³							
菌	羣	臻	真B	合	三	上	見	k	un	5(6)		kʰun¹¹							
郡	羣	臻	文	合	三	去	見	g	un	5(6)		kun¹¹							
駿	精	臻	真A	合	三	去	精	d	un	1(3)		tun³³							
咖	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	aa	1(3)		ka³³	咖啡ka³³ fiɛ⁵⁵						
喀	溪	梗	庚	開	二	入	見												
開	溪	蟹	咍	開	一	平	見	h	uoi	1(3)		huɔi³³							
凱	溪	蟹	咍	開	一	上	見	h	uoi	2		huɔi⁵⁵							
嘅	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	g	e	1(3)		kə³³							
慨	溪	蟹	咍	開	一	去	見	k	uoi	1(3)		kʰuɔi³³							
楷	見	蟹	皆	開	二	平	見	g	aai	1(3)		kai³³	楷書						
愾	曉	止	微	開	三	去	影	k	uoi	1(3)		kʰuɔi³³							
刊	溪	山	寒	開	一	平	見	h	uon	2	陰上	huɔn⁵⁵							
勘	溪	咸	覃	開	一	去	見	h	aam	1(3)		ham³³							
堪	溪	咸	覃	開	一	平	見	h	aam	1(3)		ham³³							
侃	溪	山	寒	開	一	上	見												
坎	溪	咸	覃	開	一	上	見	h	aam	2		ham⁵⁵							
崁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aam	1(3)		ham³³							
砍	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aam	2		ham⁵⁵							
看	溪	山	寒	開	一	平	見	h	uon	1(3)		huɔn³³							
瞰	溪	咸	談	開	一	去	見												
康	溪	宕	唐	開	一	平	見	h	ong	1(3)		hɔŋ³³							
亢	見	宕	唐	開	一	平	見	k	ong	1(3)		kʰɔŋ³³							
亢	溪	宕	唐	開	一	去	見	k	ong	1(3)		kʰɔŋ³³							
抗	匣	宕	唐	開	一	平	影	k	ong	1(3)		kʰɔŋ³³							
炕	曉	宕	唐	開	一	平	影												
烤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aau	2		hau⁵⁵							
考	溪	效	豪	開	一	上	見	h	aau	2		hau⁵⁵							
靠	溪	效	豪	開	一	去	見	k	aau	1(3)		kʰau³³							
峇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
柯	見	果	歌	開	一	平	見		uo	1(3)		(ʔ)uɔ³³							
棵	匣	山	寒	合	一	上	影	p	uo	1(3)		pʰuɔ⁵⁵	習讀，正音fuɔ⁵⁵。						
瞌	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	aap	7		hap⁵							
磕	溪	蟹	泰	開	一	去	見												
科	溪	果	歌	合	一	平	見	f	uo	1(3)		fuɔ³³							
稞	溪	果	歌	合	一	平	見												
苛	匣	果	歌	開	一	平	影												
蝌	溪	果	歌	合	一	平	見	f	uo	1(3)		fuɔ³³							
顆	溪	果	歌	合	一	上	見	l	uo	2		luɔ⁵⁵	此字讀音可能受『裸』影響						
咳								k	aat	7		kʰat⁵	咳嗽						
殼	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	h	ok	9		hɔk¹							
殼								h	ok	8		hɔk³	軟殼蟹						
可	溪	果	歌	開	一	上	見	h	uo	2		huɔ⁵⁵							
坷	溪	果	歌	開	一	上	見												
渴	溪	山	寒	開	一	入	見	h	uot	8		huɔt³							
克	溪	曾	登	開	一	入	見	h	aak	7		hak⁵							
刻	溪	曾	登	開	一	入	見	h	aak	7		hak⁵							
剋	溪	曾	登	開	一	入	見	h	aak	7		hak⁵							
