單字	聲紐	攝	韻部	呼	等	聲調	組	(斗山墟) 聲母	(斗山墟) 韻母	(斗山墟) 聲調號	(斗山墟) 聲調名	IPA	備註						
邦	幫	江	江	開	二	平	幫	b	ong	1(3)		pɔŋ³³							
榜	並	梗	庚	開	二	平	幫	b	ong	2		pɔŋ⁵⁵							
綁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ong	2		pɔŋ⁵⁵							
膀	並	宕	唐	開	一	平	幫	p	ong	4		pʰɔŋ²²	膀胱						
膀	並	宕	唐	開	一	平	幫	p	ong	4		pʰɔŋ²²	肩膀						
傍	並	宕	唐	開	一	平	幫	p	ong	4		pʰɔŋ²²	傍晚						
傍	並	宕	唐	開	一	去	幫	b	ong	5(6)		pɔŋ¹¹	依山傍水						
傍	並	宕	唐	開	一	去	幫	b	aang	5(6)		paŋ¹¹	白讀.梯曰『傍企』paŋ¹¹ kʰi²²⁵。						
棒	並	江	江	開	二	上	幫	p	aang	5(6)		pʰaŋ¹¹							
磅	滂	宕	唐	開	一	平	幫	b	ong	5(6)		pɔŋ¹¹							
蚌	並	江	江	開	二	上	幫	p	ong	5(6)		pʰɔŋ¹¹							
包	幫	效	肴	開	二	平	幫	b	aau	1(3)		pau³³	文讀。口語讀音：動詞讀本調pau³³，名詞讀低變調pau¹¹，『包子』意義讀升變調pau³⁵						
包								b	aau	5(6)	低變調	pau¹¹							
孢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aau	1(3)		pau³³							
煲	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	ou	1(3)		pɔu³³	本字可能為『釜』						
胞	幫	效	肴	開	二	平	幫	b	aau	1(3)		pau³³							
苞	幫	效	肴	開	二	平	幫	b	aau	1(3)		pau³³							
褒	幫	效	豪	開	一	平	幫	b	aau	1(3)		pau³³							
雹	並	江	江	開	二	入	幫	b	aau	1(3)		pau³³	習讀音，正讀pɔk¹，落冰雹曰『落鑿』lɔk¹ tɔk¹						
保	幫	效	豪	開	一	上	幫	b	ou	2		pɔu⁵⁵							
堡	幫	效	豪	開	一	上	幫	b	ou	2		pɔu⁵⁵							
寶	幫	效	豪	開	一	上	幫	b	ou	2		pɔu⁵⁵							
葆	幫	效	豪	開	一	上	幫	b	ou	2		pɔu⁵⁵							
褓	幫	效	豪	開	一	上	幫	b	ou	2		pɔu⁵⁵							
飽	幫	效	肴	開	二	上	幫	b	aau	2		pau⁵⁵							
報	幫	效	豪	開	一	去	幫	b	ou	1(3)		pɔu³³							
抱	並	效	豪	開	一	上	幫	p	ou	5(6)		pʰɔu¹¹							
暴	並	通	東	開	一	入	幫												
暴	並	效	豪	開	一	去	幫	b	ou	5(6)		pɔu¹¹							
爆	幫	效	肴	開	二	去	幫	b	aau	1(3)		pau³³							
豹	幫	效	肴	開	二	去	幫	b	aau	1(3)		pau³³							
鮑	並	效	肴	開	二	上	幫	b	aau	1(3)		pau³³							
卑	幫	止	支A	開	三	平	幫	b	i	1(3)		pi³³							
悲	幫	止	脂B	開	三	平	幫	b	i	1(3)		pi³³							
杯	幫	蟹	灰	合	一	平	幫	b	uoi	1(3)		puɔi³³							
盃	幫	蟹	灰	合	一	平	幫	b	uoi	1(3)		puɔi³³							
碑	幫	止	支B	開	三	平	幫	b	i	1(3)		pi³³							
北	幫	曾	登	開	一	入	幫	b	aak	7		pak⁵							
倍	並	蟹	灰	合	一	上	幫	p	uoi	5(6)		pʰuɔi¹¹							
備	並	止	脂B	開	三	去	幫	b	i	5(6)		pi¹¹							
悖	並	蟹	灰	合	一	去	幫	b	uoi	1(3)		puɔi³³							
憊	並	蟹	皆	開	二	去	幫												
焙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
狽	幫	蟹	泰	開	一	去	幫	b	uoi	1(3)		puɔi³³							
背	並	蟹	灰	合	一	去	幫	b	uoi	1(3)		puɔi³³	文讀						
背	幫	蟹	灰	合	一	去	幫	b	uoi	5(6)	低變調	puɔi¹¹	白讀，低變調，手背，耳背						
背								b	i	1(3)		pi³³	白讀，背脊pi³³ tiɛk¹						
背								b	i	5(6)	低變調	pi¹¹	白讀，低變調，動詞						
被	並	止	支B	開	三	去	幫	b	i	5(6)		pi¹¹	被動						
被	並	止	支B	開	三	上	幫	p	i	5(6)		pʰi¹¹	棉被						
貝	幫	蟹	泰	開	一	去	幫	b	uoi	1(3)		puɔi³³							
輩	幫	蟹	灰	合	一	去	幫	b	uoi	1(3)		puɔi³³							
奔	幫	臻	魂	合	一	平	幫	b	en	1(3)		pɛn³³							
本	幫	臻	魂	合	一	上	幫	b	uon	2		puɔn⁵⁵							
畚	幫	臻	魂	合	一	上	幫	b	uon	2		puɔn⁵⁵							
笨	幫	臻	魂	合	一	上	幫	b	un	5(6)		pun¹¹							
崩	幫	曾	登	開	一	平	幫	b	aang	1(3)		paŋ³³							
崩	幫	曾	登	開	一	平	幫	b	aang	2	高變調	paŋ⁵⁵	崩牙						
繃	幫	梗	耕	開	二	平	幫	b	aang	1(3)		paŋ³³	繃帶						
蹦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	aang	1(3)		paŋ³³							
迸	幫	梗	耕	開	二	去	幫												
逼	幫	曾	蒸	開	三	入	幫	b	ik	7		pɪk⁵							
鼻	並	止	脂A	開	三	去	幫	b	i	5(6)		pi¹¹							
妣	幫	止	脂A	開	三	上	幫	b	i	2		pi⁵⁵							
彼	幫	止	支B	開	三	上	幫	p	i	2		pʰi⁵⁵							
比	幫	止	脂A	開	三	上	幫	b	i	2		pi⁵⁵							
筆	幫	臻	真B	開	三	入	幫	b	et	7		pɛt⁵							
鄙	幫	止	脂B	開	三	上	幫	p	i	2		pʰi⁵⁵							
嗶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A												
壁	幫	梗	青	開	四	入	幫	b	ik	7		pɪk⁵							
幣	並	蟹	祭A	開	三	去	幫	b	aai	5(6)		pai¹¹							
庇	幫	止	脂A	開	三	去	幫	b	i	1(3)		pi³³							
弊	並	蟹	祭A	開	三	去	幫	b	aai	5(6)		pai¹¹							
必	幫	臻	真A	開	三	入	幫	b	et	7		pɛt⁵							
敝	並	蟹	祭A	開	三	去	幫	b	aai	5(6)		pai¹¹							
斃	並	蟹	祭A	開	三	去	幫	b	aai	5(6)		pai¹¹							
璧	幫	梗	清A	開	三	入	幫	b	ik	7		pɪk⁵							
畢	幫	臻	真A	開	三	入	幫	b	et	7		pɛt⁵							
痺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	b	i	1(3)		pi³³							
碧	幫	梗	清B	開	三	入	幫	b	ik	7		pɪk⁵							
臂	幫	止	支A	開	三	去	幫	b	i	5(6)		pi¹¹							
蔽	幫	蟹	祭A	開	三	去	幫	b	aai	5(6)		pai¹¹							
避	並	止	支A	開	三	去	幫	b	i	5(6)		pi¹¹							
閉	幫	蟹	齊	開	四	去	幫	b	aai	1(3)		pai³³							
陛	並	蟹	齊	開	四	上	幫	b	aai	5(6)		pai¹¹							
編	幫	山	先	開	四	平	幫	p	en	1(3)		pʰɛn³³							
蝙	幫	山	先	開	四	平	幫	b	en	2		pɛn⁵⁵	蝙蝠，即飛鼠也。						
邊	幫	山	先	開	四	平	幫	b	en	1(3)		pɛn³³							
鞭	幫	山	仙A	開	三	平	幫	b	en	1(3)		pɛn³³							
鞭								b	en	5(6)	低變調	pɛn¹¹	白讀，名詞。						
