繁体字	简体字	国际音标	吴语拼音	备注	调类	调值					
多	多	tɯ53	tou1	【文读】	1	53		t	ou	t	ɯ
多	多	tɑ53	ta1	【白读】	1	53		t	a	t	ɑ
拖	拖	tʰɯ53	thou1	【文读】	1	53		th	ou	tʰ	ɯ
拖	拖	tʰɑ53	tha1	【白读】	1	53		th	a	tʰ	ɑ
他	他	tʰɑ53	tha1		1	53		th	a	tʰ	ɑ
駝	驼	dɯ24	dou2		2	24		d	ou	d	ɯ
馱	驮	dɯ24	dou2		2	24		d	ou	d	ɯ
舵	舵	dɯ31	dou4		4	31		d	ou	d	ɯ
大	大	dɯ213	dou6	【白读】~小；~门。	6	213		d	ou	d	ɯ
大	大	dɑ213	da6	【文读】~学；~蒜。	6	213		d	a	d	ɑ
羅	罗	lɯ24	lou2		2	24		l	ou	l	ɯ
鑼	锣	lɯ24	lou2		2	24		l	ou	l	ɯ
籮	箩	lɯ24	lou2		2	24		l	ou	l	ɯ
蘿	萝	lɯ24	lou2	藤~；菠~。	2	24		l	ou	l	ɯ
蘿	萝	lɔ24	lau2	~卜。	2	24		l	au	l	ɔ
左	左	tsɯ44	tsou3		3	44		ts	ou	ts	ɯ
左	左	tsi423	tsi5		5	423		ts	i	ts	i
做	做	tsɯ423	tsou5		5	423		ts	ou	ts	ɯ
搓	搓	tsʰɯ53	tshou1		1	53		tsh	ou	tsʰ	ɯ
歌	歌	kɯ53	kou1		1	53		k	ou	k	ɯ
哥	哥	kɯ53	kou1		1	53		k	ou	k	ɯ
個	个	kɯ423	kou5	~人。	5	423		k	ou	k	ɯ
個	个	kᴇʔ5	keq7	量词；助词，相当于普通话的“的”。	7	5		k	eq	k	ᴇʔ
可	可	kʰɯ44	khou3		3	44		kh	ou	kʰ	ɯ
鵝	鹅	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
蛾	蛾	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
俄	俄	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
我	我	ŋɯ31	ngou4		4	31		ng	ou	ŋ	ɯ
餓	饿	ŋɯ213	ngou6		6	213		ng	ou	ŋ	ɯ
何	何	ɦɯ24	ghou2	姓。	2	24		gh	ou	ɦ	ɯ
何	何	ɦɑ24	gha2	疑问词。	2	24		gh	a	ɦ	ɑ
荷	荷	ɦɯ24	ghou2	~花。	2	24		gh	ou	ɦ	ɯ
荷	荷	hɯ423	hou5	薄~。	5	423		h	ou	h	ɯ
荷	荷	ɦɯ31	ghou4	负~；~载；电~。	4	31		gh	ou	ɦ	ɯ
賀	贺	ɦɯ213	ghou6		6	213		gh	ou	ɦ	ɯ
阿	阿	ɯ53	ou1	~胶；~弥陀佛。	1	53			ou		ɯ
阿	阿	ɑ53	a1	人称前缀：~姨。	1	53			a		ɑ
阿	阿	aʔ5	aeq7	人称前缀：~姐；~哥；~叔；~三。	7	5			aeq		aʔ
茄	茄	gɑ24	ga2	~子；番~。	2	24		g	a	g	ɑ
茄	茄	dʑiɑ24	jia2	~克衫。	2	24		j	ia	dʑ	iɑ
波	波	pu53	pu1		1	53		p	u	p	u
波	波	poʔ5	poq7	宁~（浙江地名）。	7	5		p	oq	p	oʔ
菠	菠	pu53	pu1		1	53		p	u	p	u
頗	颇	pʰu53	phu1		1	53		ph	u	pʰ	u
破	破	pʰu423	phu5		5	423		ph	u	pʰ	u
婆	婆	bu24	bu2		2	24		b	u	b	u
爸	爸	pɑ53	pa1		1	53		p	a	p	ɑ
摩	摩	mu24	mu2		2	24		m	u	m	u
磨	磨	mu24	mu2	动词：~刀。	2	24		m	u	m	u
磨	磨	mu213	mu6	名词：石~。	6	213		m	u	m	u
魔	魔	mu24	mu2		2	24		m	u	m	u
朵	朵	tɯ44	tou3		3	44		t	ou	t	ɯ
妥	妥	tʰɯ44	thou3		3	44		th	ou	tʰ	ɯ
惰	惰	dɯ213	dou6		6	213		d	ou	d	ɯ
惰	惰	dɯ31	dou4		4	31		d	ou	d	ɯ
糯	糯	nɯ213	nou6		6	213		n	ou	n	ɯ
螺	螺	lɯ24	lou2		2	24		l	ou	l	ɯ
坐	坐	zɯ31	zou4		4	31		z	ou	z	ɯ
座	座	zɯ213	zou6		6	213		z	ou	z	ɯ
蓑	蓑	sɯ53	sou1		1	53		s	ou	s	ɯ
梭	梭	sɯ53	sou1		1	53		s	ou	s	ɯ
鎖	锁	sɯ44	sou3		3	44		s	ou	s	ɯ
瑣	琐	sɯ44	sou3		3	44		s	ou	s	ɯ
過	过	kɯ423	kou5		5	423		k	ou	k	ɯ
鍋	锅	kɯ53	kou1		1	53		k	ou	k	ɯ
戈	戈	kɯ53	kou1		1	53		k	ou	k	ɯ
果	果	kɯ44	kou3		3	44		k	ou	k	ɯ
裹	裹	kɯ44	kou3		3	44		k	ou	k	ɯ
科	科	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
裸	裸	lɯ31	lou4		4	31		l	ou	l	ɯ
顆	颗	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
課	课	kʰɯ423	khou5		5	423		kh	ou	kʰ	ɯ
臥	卧	ŋɯ213	ngou6		6	213		ng	ou	ŋ	ɯ
火	火	hɯ44	hou3		3	44		h	ou	h	ɯ
貨	货	hɯ423	hou5		5	423		h	ou	h	ɯ
和	和	ɦɯ24	ghou2		2	24		gh	ou	ɦ	ɯ
禍	祸	ɦɯ31	ghou4		4	31		gh	ou	ɦ	ɯ
窠	窠	kʰɯ53	khou1		1	53		kh	ou	kʰ	ɯ
窩	窝	ɯ53	ou1		1	53			ou		ɯ
靴	靴	ɕio53	shio1		1	53		sh	io	ɕ	io
瘸	瘸	dʑio24	jio2		2	24		j	io	dʑ	io
巴	巴	pu53	pu1	【白读】嘴~；尾~；~城（江苏昆山地名）。	1	53		p	u	p	u
巴	巴	pɑ53	pa1	【文读】~西；~士。	1	53		p	a	p	ɑ
疤	疤	pu53	pu1		1	53		p	u	p	u
芭	芭	pu53	pu1	【白读】~蕉。	1	53		p	u	p	u
芭	芭	pɑ53	pa1	【文读】~蕾。	1	53		p	a	p	ɑ
吧	吧	bɑ	ba	外语bar的音译：酒~。				b	a	b	ɑ
把	把	pu44	pu3		3	44		p	u	p	u
把	把	pɑ44	pa3	【文读】（只在读书时用）	3	44		p	a	p	ɑ
霸	霸	pu423	pu5		5	423		p	u	p	u
怕	怕	pʰu423	phu5		5	423		ph	u	pʰ	u
爬	爬	bu24	bu2		2	24		b	u	b	u
杷	杷	bu24	bu2		2	24		b	u	b	u
媽	妈	mɑ53	ma1		1	53		m	a	m	ɑ
麻	麻	mu24	mu2		2	24		m	u	m	u
馬	马	mu31	mu4	【白读】	4	31		m	u	m	u
馬	马	mɑ31	ma4	【文读】	4	31		m	a	m	ɑ
馬	马	mɑ53	ma1	【文读】~虎。	1	53		m	a	m	ɑ
瑪	玛	mu31	mu4	【白读】~瑙。	4	31		m	u	m	u
瑪	玛	mɑ31	ma4	【文读】多用于外语音译的人名、地名。	4	31		m	a	m	ɑ
碼	码	mu31	mu4		4	31		m	u	m	u
罵	骂	mu213	mu6		6	213		m	u	m	u
拿	拿	nu24	nu2	【白读】	2	24		n	u	n	u
拿	拿	nɑ24	na2	【文读】加~大。	2	24		n	a	n	ɑ
茶	茶	dzu24	dzu2		2	24		dz	u	dz	u
渣	渣	tsu53	tsu1		1	53		ts	u	ts	u
詐	诈	tsu423	tsu5		5	423		ts	u	ts	u
炸	炸	tsu423	tsu5	爆~；~弹。	5	423		ts	u	ts	u
叉	叉	tsʰu53	tshu1		1	53		tsh	u	tsʰ	u
差	差	tsʰu53	tshu1		1	53		tsh	u	tsʰ	u
差	差	tsʰɿ53	tshy1	参~。	1	53		tsh	y	tsʰ	ɿ
岔	岔	tsʰu423	tshu5		5	423		tsh	u	tsʰ	u
查	查	dzu24	dzu2		2	24		dz	u	dz	u
沙	沙	su53	su1		1	53		s	u	s	u
紗	纱	su53	su1		1	53		s	u	s	u
灑	洒	sɑ44	sa3		3	44		s	a	s	ɑ
釃	酾	sɑ53	sa1	倒：~酒。	1	53		s	a	s	ɑ
釃	酾	sɿ53	sy1		1	53		s	y	s	ɿ
加	加	kɑ53	ka1		1	53		k	a	k	ɑ
嘉	嘉	kɑ53	ka1	【白读】~定（上海地名，北宋年号）；~兴，~善，永~（浙江地名）。	1	53		k	a	k	ɑ
嘉	嘉	tɕiɑ53	cia1	【文读】~奖；~庆（清朝年号）。	1	53		c	ia	tɕ	iɑ
家	家	kɑ53	ka1	【白读】一~人；大~；人~。	1	53		k	a	k	ɑ
家	家	tɕiɑ53	cia1	【文读】国~；~庭；~教。	1	53		c	ia	tɕ	iɑ
傢	家	kɑ53	ka1	【白读】	1	53		k	a	k	ɑ
傢	家	tɕiɑ53	cia1	【文读】	1	53		c	ia	tɕ	iɑ
假	假	kɑ44	ka3	【白读】与“真”相对。	3	44		k	a	k	ɑ
假	假	kɑ423	ka5	【白读】放~。	5	423		k	a	k	ɑ
賈	贾	kɑ44	ka3	【白读】姓。	3	44		k	a	k	ɑ
賈	贾	tɕiɑ44	cia3	【文读】姓。	3	44		c	ia	tɕ	iɑ
賈	贾	ku44	ku3	商~。	3	44		k	u	k	u
稼	稼	kɑ423	ka5	【白读】庄~；召~楼（上海闵行地名）。	5	423		k	a	k	ɑ
稼	稼	tɕiɑ423	cia5	【文读】庄~。	5	423		c	ia	tɕ	iɑ
嫁	嫁	kɑ423	ka5	【白读】出~。	5	423		k	a	k	ɑ
嫁	嫁	tɕiɑ423	cia5	【文读】~接。	5	423		c	ia	tɕ	iɑ
架	架	kɑ423	ka5		5	423		k	a	k	ɑ
駕	驾	kɑ423	ka5	【白读】接~；接~桥（江苏苏州地名）；腾~桥（上海浦东地名）。	5	423		k	a	k	ɑ
駕	驾	tɕiɑ423	cia5	【文读】~驶。	5	423		c	ia	tɕ	iɑ
價	价	kɑ423	ka5	【白读】~钱（俗写作“~钿”）。	5	423		k	a	k	ɑ
價	价	tɕiɑ423	cia5	【文读】~格；~值。	5	423		c	ia	tɕ	iɑ
牙	牙	ŋɑ24	nga2		2	24		ng	a	ŋ	ɑ
芽	芽	ŋɑ24	nga2		2	24		ng	a	ŋ	ɑ
衙	衙	ŋɑ24	nga2		2	24		ng	a	ŋ	ɑ
雅	雅	io44	io3	【文读】	3	44			io		io
霞	霞	io53	io1	【文读】	1	53			io		io
下	下	ɦu31	wu4	【白读】	4	31		w	u	ɦ	u
下	下	ɦio31	yo4	【文读】陛~。	4	31		y	o	ɦ	io
夏	夏	ɦu31	wu4	姓；朝代名。	4	31		w	u	ɦ	u
夏	夏	ɦu213	wu6	季节。	6	213		w	u	ɦ	u
鴉	鸦	u53	u1	【白读】老~；水老~；~鹊。	1	53			u		u
鴉	鸦	iɑ53	ia1	【文读】~片；涂~。	1	53			ia		iɑ
丫	丫	u53	u1		1	53			u		u
啞	哑	u44	u3	【白读】~巴。	3	44			u		u
啞	哑	iɑ44	ia3	【文读】沙~。	3	44			ia		iɑ
亞	亚	u53	u1	【白读】~细~；东~饭店。	1	53			u		u
亞	亚	io53	io1	【文读】~洲。	1	53			io		io
姐	姐	tsiɑ44	tsia3	【白读】	3	44		ts	ia	ts	iɑ
姐	姐	tsi44	tsi3	【文读】	3	44		ts	i	ts	i
借	借	tsiɑ423	tsia5		5	423		ts	ia	ts	iɑ
且	且	tsʰiɑ44	tshia3	【白读】	3	44		tsh	ia	tsʰ	iɑ
且	且	tsʰi44	tshi3	【文读】而~。	3	44		tsh	i	tsʰ	i
笡	笡	tsʰiɑ423	tshia5	斜。	5	423		tsh	ia	tsʰ	iɑ
寫	写	siɑ44	sia3		3	44		s	ia	s	iɑ
瀉	泻	siɑ423	sia5		5	423		s	ia	s	iɑ
卸	卸	siɑ423	sia5		5	423		s	ia	s	iɑ
邪	邪	ziɑ24	zia2		2	24		z	ia	z	iɑ
邪	邪	ɦiɑ24	ya2	莫~。	2	24		y	a	ɦ	iɑ
斜	斜	ziɑ24	zia2		2	24		z	ia	z	iɑ
謝	谢	ziɑ213	zia6		6	213		z	ia	z	iɑ
爹	爹	tiɑ53	tia1		1	53		t	ia	t	iɑ
遮	遮	tsu53	tsu1		1	53		ts	u	ts	u
遮	遮	tsɑ53	tsa1	奢~（聪明）。	1	53		ts	a	ts	ɑ
者	者	tsᴇ44	tsei3	【文读】作~；知乎~也；或~。	3	44		ts	ei	ts	ᴇ
蔗	蔗	tsu423	tsu5		5	423		ts	u	ts	u
車	车	tsʰu53	tshu1		1	53		tsh	u	tsʰ	u
車	车	tɕi53	ci1	象棋棋子。	1	53		c	i	tɕ	i
扯	扯	tsʰɑ44	tsha3		3	44		tsh	a	tsʰ	ɑ
蛇	蛇	dzu24	dzu2		2	24		dz	u	dz	u
射	射	dzu213	dzu6	【白读】~击。	6	213		dz	u	dz	u
射	射	zᴇ213	zei6	【文读】高~炮；~阳（江苏地名）。	6	213		z	ei	z	ᴇ
射	射	zɔʔ23	zaoq8	~箭。	8	23		z	aoq	z	ɔʔ
射	射	dzɑ213	dza6	排泄。	6	213		dz	a	dz	ɑ
賒	赊	su53	su1		1	53		s	u	s	u
舍	舍	su423	su5	【白读】	5	423		s	u	s	u
舍	舍	sᴇ423	sei5	【文读】宿~。	5	423		s	ei	s	ᴇ
舍	舍	sᴇ423	sei5	杨~（亦作“杨扇”，上海青浦地名）。可能是“舍”的儿化音。	5	423		s	ei	s	ᴇ
捨	舍	su44	su3	~勿得。	3	44		s	u	s	u
厙	厍	su423	su5		5	423		s	u	s	u
赦	赦	su423	su5		5	423		s	u	s	u
社	社	zu213	zu6		6	213		z	u	z	u
喏	喏	dzu31	dzu4	唱~（拜祖宗）。	4	31		dz	u	dz	u
惹	惹	dzɑ31	dza4		4	31		dz	a	dz	ɑ
爺	爷	ɦiɑ24	ya2		2	24		y	a	ɦ	iɑ
耶	耶	ɦiɑ24	ya2		2	24		y	a	ɦ	iɑ
椰	椰	ɦiɑ24	ya2		2	24		y	a	ɦ	iɑ
揶	揶	ɦiɑ24	ya2		2	24		y	a	ɦ	iɑ
也	也	ɦiɑ31	ya4		4	31		y	a	ɦ	iɑ
野	野	ɦiɑ31	ya4		4	31		y	a	ɦ	iɑ
冶	冶	ɦiɑ31	ya4	【白读】	4	31		y	a	ɦ	iɑ
冶	冶	ɦie31	ye4	【文读】	4	31		y	e	ɦ	ie
夜	夜	ɦiɑ213	ya6		6	213		y	a	ɦ	iɑ
瓜	瓜	ku53	ku1		1	53		k	u	k	u
寡	寡	ku44	ku3		3	44		k	u	k	u
誇	夸	kʰu53	khu1		1	53		kh	u	kʰ	u
垮	垮	kʰu44	khu3		3	44		kh	u	kʰ	u
跨	跨	kʰu423	khu5		5	423		kh	u	kʰ	u
瓦	瓦	ŋu31	ngu4		4	31		ng	u	ŋ	u
花	花	hu53	hu1		1	53		h	u	h	u
化	化	hu423	hu5		5	423		h	u	h	u
華	华	ɦu24	wu2		2	24		w	u	ɦ	u
華	华	hu53	hu1	龙~，法~（上海徐汇地名）；法~桥（上海奉贤地名）。	1	53		h	u	h	u
劃	划	ɦu24	wu2	~船。	2	24		w	u	ɦ	u
補	补	pu44	pu3		3	44		p	u	p	u
譜	谱	pu44	pu3		3	44		p	u	p	u
布	布	pu423	pu5		5	423		p	u	p	u
鋪	铺	pʰu53	phu1		1	53		ph	u	pʰ	u
普	普	pʰu44	phu3		3	44		ph	u	pʰ	u
浦	浦	pʰu44	phu3		3	44		ph	u	pʰ	u
蒲	蒲	bu24	bu2		2	24		b	u	b	u
菩	菩	bu24	bu2		2	24		b	u	b	u
部	部	bu31	bu4		4	31		b	u	b	u
簿	簿	bu31	bu4		4	31		b	u	b	u
捕	捕	bu213	bu6		6	213		b	u	b	u
步	步	bu213	bu6		6	213		b	u	b	u
模	模	mu24	mu2		2	24		m	u	m	u
暮	暮	mu213	mu6		6	213		m	u	m	u
慕	慕	mu213	mu6		6	213		m	u	m	u
墓	墓	mu213	mu6		6	213		m	u	m	u
墓	墓	m̩213	m6	陆~（江苏苏州地名）；严~（江苏吴江地名）；陈~（江苏昆山地名）。	6	213			m		m̩
募	募	mu213	mu6		6	213		m	u	m	u
都	都	tɯ53	tou1		1	53		t	ou	t	ɯ
賭	赌	tɯ44	tou3		3	44		t	ou	t	ɯ
堵	堵	tɯ44	tou3		3	44		t	ou	t	ɯ
肚	肚	tɯ44	tou3	胃：牛~；猪~。	3	44		t	ou	t	ɯ
妒	妒	tɯ423	tou5		5	423		t	ou	t	ɯ
土	土	tʰɯ44	thou3		3	44		th	ou	tʰ	ɯ
吐	吐	tʰɯ44	thou3		3	44		th	ou	tʰ	ɯ
兔	兔	tʰɯ423	thou5		5	423		th	ou	tʰ	ɯ
徒	徒	dɯ24	dou2		2	24		d	ou	d	ɯ
途	途	dɯ24	dou2		2	24		d	ou	d	ɯ
塗	涂	dɯ24	dou2		2	24		d	ou	d	ɯ
圖	图	dɯ24	dou2		2	24		d	ou	d	ɯ
屠	屠	dɯ24	dou2		2	24		d	ou	d	ɯ
杜	杜	dɯ31	dou4		4	31		d	ou	d	ɯ
肚	肚	dɯ31	dou4	腹部：~皮。	4	31		d	ou	d	ɯ
度	度	dɯ213	dou6		6	213		d	ou	d	ɯ
渡	渡	dɯ213	dou6		6	213		d	ou	d	ɯ
鍍	镀	dɯ213	dou6		6	213		d	ou	d	ɯ
奴	奴	nɯ24	nou2		2	24		n	ou	n	ɯ
努	努	nɯ31	nou4		4	31		n	ou	n	ɯ
怒	怒	nɯ213	nou6		6	213		n	ou	n	ɯ
盧	卢	lɯ24	lou2		2	24		l	ou	l	ɯ
爐	炉	lɯ24	lou2		2	24		l	ou	l	ɯ
蘆	芦	lɯ24	lou2		2	24		l	ou	l	ɯ
擼	撸	lɯ53	lou1		1	53		l	ou	l	ɯ
魯	鲁	lɯ31	lou4		4	31		l	ou	l	ɯ
櫓	橹	lɯ31	lou4		4	31		l	ou	l	ɯ
露	露	lɯ213	lou6		6	213		l	ou	l	ɯ
路	路	lɯ213	lou6		6	213		l	ou	l	ɯ
租	租	tsɯ53	tsou1		1	53		ts	ou	ts	ɯ
祖	祖	tsɯ44	tsou3		3	44		ts	ou	ts	ɯ
組	组	tsɯ44	tsou3		3	44		ts	ou	ts	ɯ
粗	粗	tsʰɯ53	tshou1		1	53		tsh	ou	tsʰ	ɯ
醋	醋	tsʰɯ423	tshou5		5	423		tsh	ou	tsʰ	ɯ
挫	挫	tsʰɯ423	tshou5		5	423		tsh	ou	tsʰ	ɯ
措	措	tsʰɯ423	tshou5		5	423		tsh	ou	tsʰ	ɯ
錯	错	tsʰɯ423	tshou5		5	423		tsh	ou	tsʰ	ɯ
錯	错	tsʰu53	tshu1	本字或为“差”。	1	53		tsh	u	tsʰ	u
蘇	苏	sɯ53	sou1		1	53		s	ou	s	ɯ
酥	酥	sɯ53	sou1		1	53		s	ou	s	ɯ
素	素	sɯ423	sou5		5	423		s	ou	s	ɯ
訴	诉	sɯ423	sou5		5	423		s	ou	s	ɯ
姑	姑	ku53	ku1		1	53		k	u	k	u
孤	孤	ku53	ku1		1	53		k	u	k	u
估	估	ku44	ku3		3	44		k	u	k	u
古	古	ku44	ku3		3	44		k	u	k	u
股	股	ku44	ku3		3	44		k	u	k	u
鼓	鼓	ku44	ku3		3	44		k	u	k	u
故	故	ku423	ku5		5	423		k	u	k	u
固	固	ku423	ku5		5	423		k	u	k	u
顧	顾	ku423	ku5		5	423		k	u	k	u
僱	雇	ku423	ku5		5	423		k	u	k	u
枯	枯	kʰu53	khu1		1	53		kh	u	kʰ	u
苦	苦	kʰu44	khu3		3	44		kh	u	kʰ	u
庫	库	kʰu423	khu5		5	423		kh	u	kʰ	u
褲	裤	kʰu44	khu3		3	44		kh	u	kʰ	u
吳	吴	ŋ̍24	ng2	【白读】姓；~县，~江（江苏地名）；~溇（江苏吴江地名）；~趋坊（江苏苏州地名）；~淞江。	2	24			ng		ŋ̍
吳	吴	ɦoŋ24	ghon2	【白读】~市（江苏常熟地名）；~山渡（浙江长兴地名）。	2	24		gh	on	ɦ	oŋ
吳	吴	ɦu24	wu2	【文读】~国；东~；~越；~语。	2	24		w	u	ɦ	u
梧	梧	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
吾	吾	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
午	午	ɦu31	wu4	【文读】	4	31		w	u	ɦ	u
午	午	ŋ̍31	ng4	【白读】端~。	4	31			ng		ŋ̍
忤	忤	ŋ̍31	ng4	【白读】~逆。	4	31			ng		ŋ̍
伍	伍	ɦu31	wu4	【文读】队~。	4	31		w	u	ɦ	u
伍	伍	u53	u1	【文读】~子胥；~胥庙（江苏太仓地名）。	1	53			u		u
伍	伍	ŋ̍31	ng4	【白读】“五”的大写。	4	31			ng		ŋ̍
五	五	ŋ̍31	ng4	【白读】数字。	4	31			ng		ŋ̍
五	五	u53	u1	【文读】~里桥（上海黄浦地名）；节日、纪念日及相关地名：~一；~四；~卅。	1	53			u		u
誤	误	ŋɯ213	ngou6		6	213		ng	ou	ŋ	ɯ
悟	悟	ŋɯ213	ngou6		6	213		ng	ou	ŋ	ɯ
蜈	蜈	ŋɯ24	ngou2		2	24		ng	ou	ŋ	ɯ
呼	呼	hu53	hu1		1	53		h	u	h	u
虎	虎	hu44	hu3		3	44		h	u	h	u
胡	胡	ɦu24	wu2		2	24		w	u	ɦ	u
湖	湖	ɦu24	wu2		2	24		w	u	ɦ	u
狐	狐	ɦu24	wu2		2	24		w	u	ɦ	u
壼	壸	ɦu24	wu2		2	24		w	u	ɦ	u
戶	户	ɦu31	wu4		4	31		w	u	ɦ	u
滬	沪	ɦu31	wu4		4	31		w	u	ɦ	u
護	护	ɦu213	wu6		6	213		w	u	ɦ	u
互	互	ŋɯ213	ngou6		6	213		ng	ou	ŋ	ɯ
烏	乌	u53	u1		1	53			u		u
惡	恶	u423	u5	可~。	5	423			u		u
女	女	ȵi31	gni4	【文读】妇~。	4	31		gn	i	ȵ	i
女	女	ȵi31	gni4	【白读】~婿。	4	31		gn	i	ȵ	i
女	女	nɤ31	noe4	~儿。俗写作“囡”。	4	31		n	oe	n	ɤ
驢	驴	lɯ24	lou2		2	24		l	ou	l	ɯ
驢	驴	li24	li2		2	24		l	i	l	i
廬	庐	lɯ24	lou2		2	24		l	ou	l	ɯ
呂	吕	li31	li4		4	31		l	i	l	i
旅	旅	li31	li4		4	31		l	i	l	i
慮	虑	li213	li6		6	213		l	i	l	i
濾	滤	li213	li6		6	213		l	i	l	i
蛆	蛆	tsʰi53	tshi1		1	53		tsh	i	tsʰ	i
徐	徐	zi24	zi2		2	24		z	i	z	i
序	序	dzi31	dzi4		4	31		dz	i	dz	i
敘	叙	dzi31	dzi4		4	31		dz	i	dz	i
緒	绪	dzi31	dzi4		4	31		dz	i	dz	i
豬	猪	tsɿ53	tsy1		1	53		ts	y	ts	ɿ
著	著	tsɿ423	tsy5		5	423		ts	y	ts	ɿ
除	除	dzɿ24	dzy2		2	24		dz	y	dz	ɿ
儲	储	dzɿ24	dzy2	【文读】~蓄所。	2	24		dz	y	dz	ɿ
儲	储	dzɿ24	dzy2	【白读】姓。	2	24		dz	y	dz	ɿ
阻	阻	tsɯ44	tsou3		3	44		ts	ou	ts	ɯ
初	初	tsʰɯ53	tshou1		1	53		tsh	ou	tsʰ	ɯ
楚	楚	tsʰɯ44	tshou3		3	44		tsh	ou	tsʰ	ɯ
鋤	锄	zɿ24	zy2	~头。	2	24		z	y	z	ɿ
助	助	dzɯ213	dzou6		6	213		dz	ou	dz	ɯ
梳	梳	sɿ53	sy1		1	53		s	y	s	ɿ
疏	疏	sɯ53	sou1	~忽。	1	53		s	ou	s	ɯ
蔬	蔬	sɯ53	sou1		1	53		s	ou	s	ɯ
所	所	sɯ44	sou3		3	44		s	ou	s	ɯ
苧	苎	dzɿ31	dzy4		4	31		dz	y	dz	ɿ
諸	诸	tsɿ53	tsy1	【文读】符合《广韵》章鱼切。	1	53		ts	y	ts	ɿ
諸	诸	tsɿ53	tsy1	【白读】~翟（上海闵行地名）。符合《广韵》章鱼切。	1	53		ts	y	ts	ɿ
諸	诸	tsu53	tsu1	~溇（浙江湖州地名）。符合《广韵》正奢切。	1	53		ts	u	ts	u
煮	煮	tsɿ44	tsy3		3	44		ts	y	ts	ɿ
處	处	tsʰɿ44	tshy3		3	44		tsh	y	tsʰ	ɿ
處	处	tsʰɿ423	tshy5		5	423		tsh	y	tsʰ	ɿ
書	书	sɿ53	sy1		1	53		s	y	s	ɿ
舒	舒	sɿ53	sy1		1	53		s	y	s	ɿ
暑	暑	sɿ44	sy3		3	44		s	y	s	ɿ
鼠	鼠	tsʰɿ44	tshy3		3	44		tsh	y	tsʰ	ɿ
署	署	zɿ213	zy6		6	213		z	y	z	ɿ
曙	曙	zɿ213	zy6		6	213		z	y	z	ɿ
薯	薯	zɿ213	zy6		6	213		z	y	z	ɿ
如	如	zɿ24	zy2		2	24		z	y	z	ɿ
居	居	tɕi53	ci1	~家桥（上海浦东地名）。	1	53		c	i	tɕ	i
居	居	tɕi53	ci1	【文读】~住；~民。	1	53		c	i	tɕ	i
居	居	kᴇ53	kei1	【白读】拥有：~家当，~铜钱。	1	53		k	ei	k	ᴇ
裾	裾	kᴇ53	kei1		1	53		k	ei	k	ᴇ
舉	举	tɕi44	ci3		3	44		c	i	tɕ	i
據	据	tɕi423	ci5	根~。	5	423		c	i	tɕ	i
鋸	锯	kᴇ423	kei5	~子。	5	423		k	ei	k	ᴇ
去	去	kʰᴇ423	khei5	【白读】	5	423		kh	ei	kʰ	ᴇ
去	去	tɕʰi423	chi5	【文读】~向；~声。	5	423		ch	i	tɕʰ	i
渠	渠	ɦᴇ24	ghei2	【白读】第三人称单数。	2	24		gh	ei	ɦ	ᴇ
渠	渠	dʑi24	ji2	【文读】水~；~道。	2	24		j	i	dʑ	i
巨	巨	dʑi213	ji6		6	213		j	i	dʑ	i
拒	拒	dʑi213	ji6		6	213		j	i	dʑ	i
距	距	dʑi213	ji6		6	213		j	i	dʑ	i
魚	鱼	ŋᴇ24	ngei2	【白读】	2	24		ng	ei	ŋ	ᴇ
魚	鱼	ɦi24	yi2	【文读】木~。	2	24		y	i	ɦ	i
漁	渔	ɦi24	yi2		2	24		y	i	ɦ	i
語	语	ȵi31	gni4		4	31		gn	i	ȵ	i
禦	御	ȵi213	gni6		6	213		gn	i	ȵ	i
虛	虚	hᴇ53	hei1	~肿。	1	53		h	ei	h	ᴇ
虛	虚	ɕi53	shi1		1	53		sh	i	ɕ	i
噓	嘘	ɕi53	shi1		1	53		sh	i	ɕ	i
許	许	hᴇ44	hei3	许诺，答应。~愿。	3	44		h	ei	h	ᴇ
許	许	hæ44	hae3	在~（在）。	3	44		h	ae	h	æ
許	许	hu44	hu3	场~（地方）；几~（多少）。	3	44		h	u	h	u
許	许	ɕi44	shi3	姓。允~。	3	44		sh	i	ɕ	i
滸	浒	ɕi44	shi3	~墅关（江苏苏州地名）；~浦（江苏常熟地名）；滩~（浙江嵊泗地名）。	3	44		sh	i	ɕ	i
滸	浒	hu44	hu3	~山（浙江慈溪地名）；水~。	3	44		h	u	h	u
餘	余	ɦi24	yi2	剩~。	2	24		y	i	ɦ	i
與	与	ɦi31	yi4	~众不同。	4	31		y	i	ɦ	i
與	与	ɦi213	yi6	参~。	6	213		y	i	ɦ	i
預	预	ɦi213	yi6		6	213		y	i	ɦ	i
譽	誉	ɦi213	yi6		6	213		y	i	ɦ	i
豫	豫	ɦi213	yi6		6	213		y	i	ɦ	i
膚	肤	fu53	fu1		1	53		f	u	f	u
夫	夫	fu53	fu1		1	53		f	u	f	u
府	府	fu44	fu3		3	44		f	u	f	u
