	资料来源《福建省武平县东流乡所属上四乡（六个自然村）客家话调查研究》	声调1阴平24 2阳平22 3上升31 5去声52 7阴入4 8阳入35
#ɿ		
ts	[1]姿资支{支持}肢芝腟{女阴}阻祠[3]紫纸姊旨指[5]志痣稚制至知=趾智志置齿-厩洷{墨水向四处散开}	
tsʰ	[1]粗初词柿[2]池持瓷慈磁[3]耻治{杀}助驶士[5]刺赐醋迟试-次字蚔{鸡虱}	
s	[1]狮师苏絮蔬须西思诗蛳自[2]撕私时=荠{马~}[3]豉屎示所素数死始[5]四世势试=时-肆事侍莳匙字	
#a		
p	[2]跛[3]摆跛[5]拜	
pʰ	[1]排筏牌[3]败[5]派	
m	[1]买[5]卖	
f	[1]怀	
t	[1]低[3]底下[5]带戴	
tʰ	[1]弟[5]太态剃	
n	[3]奈捺[5]耐泥-	
l	[3]赖[5]癞犁	
ts	[1]灾[5]绩{乱~：丝瓜}	
tsʰ	[1]豺猜[3]采[5]蔡	
s	[1]筛酾{倒酒}[3]洗徙事-[5]什细婿	
k	[5]界-	
kʰ	[1]荷{肩挑}[3]概溉械	
x	[1]溪-[5]鞋	
ŋ	[1]我[3]艾[5]□{用刀使劲剁}	
0	[1]挨[3]矮	
#ɑ		
p	[1]巴疤芭[3]把{把握}[5]霸把{把柄}坝桍{树枝}	
pʰ	[1]爬[2]琶杷[3]葩[5]怕帕稗耙-	
m	[1]马码[2]麻蟆嫲[5]骂嫲	
f	[1]花[2]华[5]化画话	
v	[2]划[3]话{~人：批评}	
t	[1]爹[3]打	
tʰ	[1]他=	
n	[1]拿=	
l	[1]拉=[2]来=	
ts	[1]渣查楂遮[2]者[5]诈炸榨蔗	
tsʰ	[1]沙叉差车搽茶=痧[2]查[5]岔晒茶-	
s	[1]纱赊社傻=[3]昨[5]畲-射蛇洒舍-	
k	[1]□{把衣服披在身上}家加嘉[3]假[5]驾架嫁价	
kʰ	[1]卡	
x	[1]下{下底}虾[2]蛤[3]吓[5]下{下降}厦{厦门}夏	
ŋ	[1]颅[2]雅[5]芽瓦牙-	
0	[1]鸦阿	
#ə		
m	[1]谋文[3]亩[5]茂	
f	[2]浮=	
t	[1]拿住[3]抖斗{一斗米}[5]斗{动词；凑钱}窦{窝}	
tʰ	[1]偷梯[2]投敨{吸气}[5]头-透豆逗{逗号}	
n	[3]纽□{目~~：眼睛发呆}[5]□{稠}	
l	[1]□{着弄人}[2]了=[3]篓[5]陋楼-漏逗{诱逗}	
ts	[1]朝召招绍[5]照	
tsʰ	[1]□{用话语侧面说及某件不愉快的事}	
s	[1]烧[2]□{挂念}[3]少潲[5]瘦=	
k	[1]阄[5]够{腻烦}	
kʰ	[3]口[5]扣	
x	[1]猴[3]口[5]后-	
0	[1]欧瓯[3]呕[5]怄	
#e		
p	[1]碑杯蜚悲飞-[3]髀{腿}[5]贝备痱沸	
