		#聲調	【1】35【2】33【3】21【4】213【5】4																					
韵尾	介音	韵母	p	pʰ	f	t	tʰ	ts	s	tsʰ	tʃ	ʃ	tʃʰ	tɕ	ɕ	tɕʰ	k	kʰ	x	m	ȵ	ŋ	l	零
零	零	a	笆疤扒芭巴【1】吧爸坝罢耙霸【2】跋靶把【3】	怕扒【1】爬趴【2】	花【1】化华划【2】画话【3】	打【3】	塌她他它铊【1】塔獭【3】	抓【1】炸榨诈渣轧蔗柘札【2】	沙杉衫【1】撒洒萨【3】	差岔叉刹杈【1】茶查察搽猹【2】	遮【1】者【3】	蛇啥傻【2】舍舌舐【3】射社【4】	车【1】扯姹【3】				家加嘉佳【1】嫁价架驾伽珈【2】甲假贾【3】	卡咯喀【3】	虾哈【1】霞【2】下夏【3】下【4】	摸【1】骂【2】马【3】		牙【2】哑瓦【3】	拉【1】	阿【1】
		e	背【2】					抓【1】	嬉【1】				去【2】				锯【2】		许【4】					欸【1】
		o	波玻菠【1】	坡【1】婆破剖【2】	货【2】火伙夥【3】祸【4】	多【1】剁跺堕舵踱【2】朵躲【3】	拖驼托【1】坨【2】	左【3】	蓑【1】锁所索【3】	错【2】坐【4】							歌【1】个【2】	科【1】可课渴【3】	河和【2】	摸【1】磨摩模膜【2】		我【1】鹅【2】饿【4】	锣螺罗萝骡箩【2】痨【4】	
		u	布【2】	铺【1】谱【3】簿步【4】	壶浮服符弗扶伏【2】虎府【3】户付父妇副富【4】	都嘟【1】赌堵肚【3】	图徒【2】土【3】杜渡肚【4】										箍【1】古【3】	裤【2】苦【3】		墓亩模【2】母牡【3】			撸【1】奴如【2】怒努弩驽鲁【3】路【4】	乌【1】吴【2】舞武【3】雾【4】
		i	杯碑【1】背【2】比【3】	批匹披【1】赔皮屁【2】币配被【4】	灰飞【1】回肺费肥【2】毁【3】会惠汇绘【4】	低【1】抵【3】	梯【1】剃【2】弟递地【4】	醉【2】	西【1】岁碎【2】洗徐【3】	随【2】										眯【1】煤眉梅霉【2】美米芈【3】	泥【2】蚁【3】艺义【4】		犁梨【2】李【3】里利丽【4】	衣伊依【1】移姨意【2】已以乙【3】
		y				堆【1】对队【2】	退推【2】腿【3】		碎【2】		猪朱珠株追【1】句季剧【2】举主【3】	书输术【1】鼠属许水【3】竖【4】	区【1】除渠锤【2】取【3】柱住【4】								鱼【2】女【3】		吕【3】雷磊蕾【2】类累泪【4】	余【2】雨【3】遇芋裕玉【4】
		ai	拜【2】摆【3】	排派牌【2】败【4】	坏【4】	带【2】	大【4】	仔宰崽【3】	筛【1】晒【2】甩【3】	猜【1】柴【2】							街【1】戒【2】解【3】	揩【4】	鞋还【2】	埋【2】买【3】卖【4】		岩癌蔼埃挨哎唉哀皑【2】矮【3】艾【4】	赖【4】	怀【2】
		au	包【1】抱【2】宝饱【3】	泡【2】跑【3】炮【4】		刀【1】到倒【2】岛导捣【3】	桃【2】讨【3】道【4】	灶罩【2】找早【3】	骚臊【1】扫【2】嫂【3】	糙抄【1】草【3】造【4】							高交【1】	敲【1】靠【2】	好【3】号孝校【4】	毛猫茅【1】冇【2】卯铆贸【3】帽冒茂貌【4】		凹【1】敖熬翱【2】袄【3】傲奥懊澳【4】	劳牢唠酪【2】脑老【3】闹【4】	
		eu			否【3】	兜蔸斗【1】抖【3】	偷【1】头投【2】豆透【3】	邹【1】走【2】	搜馊【1】瘦【2】叟【3】	凑奏【2】	招【1】叫照昭兆肇【2】	烧【1】韶【2】少【3】邵【4】	超钞【1】朝潮嘲【2】巧翘【3】				钩沟勾【1】购够【2】狗枸【3】	口【3】扣抠寇蔻【2】	猴侯候喉睺【2】后厚【4】	某谋眸【2】		欧沤瓯【1】藕呕【3】	楼髅【2】搂【3】漏【4】	妖【1】要姚【2】
		ø					胎台【1】袋待代【4】	再【2】	衰【1】帅【2】甩【3】	菜财【2】							该【1】盖钙概溉【2】改【3】	开【1】凯恺楷慨【3】	海【3】害【4】	妹【2】		爱外【2】碍【4】	来【2】	儿【2】耳尔洱饵【3】二贰【4】
		ɪ								催【2】		溪【1】世系试时【2】是柿市式【4】	契池骑戏迟器棋气【2】喜【3】											
		ɪu							休【1】秀【2】	就【4】	州【1】九【3】													
		ɿ						租资【1】做【2】紫组祖阻诅子【3】	师事思斯司私丝【1】数四寺【2】死使【3】	初粗【1】锄刺祠醋【2】字【4】	制饥鸡知【1】记【2】纸寄指几【3】													
		零																				五【3】		
	i	ia						姐【3】借【2】	斜【2】写【3】谢【4】															爷【2】野【3】夜【4】
		ie																						
		iu				丢【1】		救【2】酒揪【3】	修羞【1】囚锈绣【2】	抽丘邱【1】绸求臭球售仇酬稠【2】丑【3】就舅旧柩咎【4】	周洲舟阄【1】咒灸昼究【2】宙久玖韭肘【3】										牛【2】妞纽扭【3】		流【2】	优【1】油【2】有【3】右幼【4】
		ieu	标镖飙膘骠【2】表婊裱俵【3】	飘漂【1】票瓢嫖朴剽【2】		挑雕貂碉刁鲷铞【1】钓吊【2】鸟【4】	条调跳【2】	焦【1】	箫【1】笑【2】小【3】				桥【2】赵轿【4】							喵苗瞄描【2】秒淼【3】庙妙【4】			潦燎撩辽嘹獠聊寥疗【2】了【3】廖瞭撂料【4】	腰邀幺要夭【1】摇谣遥窑姚要【2】舀扰绕【3】耀鸹要【4】
	u	ua															瓜呱【1】挂卦褂【2】寡【3】	跨夸【1】胯挎【2】垮侉剐【3】						蛙洼娃挖【1】话【4】
		uo															过【2】果裹【3】							窝锅【1】禾和【2】卧和【4】
		ui						嘴【3】									归龟规圭闺【1】贵癸桂【2】鬼诡轨【3】	亏窥奎魁盔【1】逵葵【2】跪【3】馈溃愧柜【4】						威畏煨【1】危微喂围为蛔维惟唯桅违【2】伟尾纬委苇伪【3】未味胃谓魏卫慰置会【4】
		uai															乖【1】怪【2】拐柺【3】	快刽会筷【2】块【3】						歪【1】怀【2】崴【3】外【4】
	y	yø													靴【1】	茄【2】								
n	零	an	班【1】扮【2】板【3】	办【4】	翻帆番【1】凡繁烦樊矾【2】反返【3】犯饭范泛贩【4】	单丹担【1】掸胆【3】	贪【1】潭弹炭【2】毯淡但【3】	簪【1】站赞蘸灒【2】斩【3】	三叁衫珊山删【1】籼汕散【2】伞散【3】	参餐掺【1】蚕疝惭蝉蝉蟾馋婵潺谄【2】							艰间奸尴【1】鉴谏涧监间【2】减碱束拣简【3】	鹐【1】嵌【2】舰槛㦿【3】	成衔闲【2】喊【3】苋陷【4】	蛮【2】曼慢【4】		间【1】颜晏玩顽【2】眼【3】	男南篮蓝难兰栏幱【2】览揽榄懒【3】滥缆难烂【4】	
		en				灯登【1】凳【2】等【3】	藤腾誊【2】邓瞪【4】	争【1】	参僧生【1】省【3】	层【2】	建肩见【1】占战【2】	嫌扇【2】善显【3】险【4】	牵迁铅【1】欠缠【2】件健【3】				根更耕【1】	坑【1】肯【3】	痕【2】很狠【3】恨【4】	门		恩	能【2】	
		on	搬半	盘【2】判【4】	欢【1】换【4】	端【2】短【3】	团抟【2】断【4】		酸算闩		转砖卷	县【3】	圈【1】全传船权劝【2】				甘肝【1】感赶杆敢【3】	宽【1】看【2】	鼾憨【1】寒韩含函【2】罕【3】汗旱焊汉翰憾撼【4】	瞒馒【2】满【3】		鞍氨安【1】俺【3】按暗岸胺案【4】	暖【3】乱【4】	
		un				墩蹲	吞【1】豚臀【2】	俊【2】	孙【1】笋【3】	村【1】寸【4】													轮【2】嫩【4】	
		in	冰兵【2】柄本苯【3】	喷【1】贫平瓶盆【2】品【3】	婚分芬【1】魂坟粪【2】粉【3】奋忿氛份【4】	顶鼎【3】	停【2】挺定【4】	浸进【2】	心新鑫欣辛【1】信【2】擤【3】	亲清青【1】静【4】										民【2】	银人【2】任认【4】		林邻【2】领【3】	音【1】迎印【2】引影隐蝇【3】
		yn												均军【1】准【3】	熏【1】									闰匀云营【2】运永【4】
		ɪn									针金【1】镇震【2】紧【3】筋劲证贞整正经	深身升【1】神剩行形绳【2】	沉陈辰勤秤程城【2】近庆【3】											
	i	ien	变【2】扁【3】	偏篇【1】骗便片【2】		店【2】典点【3】	添天【1】甜田填【2】垫殿奠垫佃簟【4】	尖煎【1】剑【2】剪【3】	仙鲜先宣【1】线贤涎鏾【2】癣选筅【3】羡旋【4】	签【1】浅【3】钱前【2】										棉面【2】	黏言年严【2】验念【4】		连莲廉镰帘连联怜【2】脸【3】敛练恋炼链殓楝【4】	烟【1】炎盐延【2】染【3】厌【4】
		ion																			源【2】软原【3】愿【4】			冤【1】圆铅园【2】远院【3】
	u	uan															关【1】惯【2】							弯【1】还【2】晚【3】万【4】
		uon															官【1】							完【2】碗【3】
		uin															滚【3】	困【2】						温【1】问【4】
