	注释：-白读，=文读
#ɿ	
ts	[1]资恣咨姿滋脂支=肢枝之芝[2]兹磁慈瓷[4]侄[5]字自=志痣制
tsʰ	[1]雌疵痴[5]次试-刺=翅
s	[1]思斯撕=司私师狮=诗施尸[2]词祠辞饲时[4]寺是市巳氏示似十什拾食植殖实[5]赐思{意～}世豉试=士仕侍恃
#ɤ	
ts	[3]子=紫梓旨指纸=止址趾只[7]汁执窒织职质
tsʰ	[3]此矢齿
s	[3]死=使=史驶始屎[7]失室识适式拭释
#i	
p	[1]卑[2]脾琵枇[4]婢费{姓}弼[5]闭陛蓖被=敝蔽弊毙币备痹庇
pʰ	[1]披[2]丕痞=疲[5]鼻屁=
m	[1]眯[2]眉楣迷弥糜=[4]域密秘蜜[5]谜沕{没于水中}
t	[1]知蛛[2]堤提持迟驰弛[4]弟{徒～}雉稚治蛰秩直值狄涤鲤-[5]地置帝致智痔递
tʰ	[1]梯=筛-[2]苔台治{杀动物}[5]蒂涕屉
l	[2]犁=黎离梨呢尼{～龙}篱璃履蠡[4]荔立粒笠栗力=历=[5]利吏励厉莉痢丽隶
ts	[2]齐=餈荠[4]疾[5]剂际字-齐自
tsʰ	[1]妻凄栖[4]刺
s	[1]西些犀丝撕-希稀嘻熙嬉熹牺禧[3]□{撕裂}[4]习袭蓆席夕[5]四肆戏系
k	[1]基支-机玑讥肌叽姬稽羁[2]奇骑其棋旗期祺析祁芪[4]及极□{冷物刺激}[5]记忌寄=技既妓继
kʰ	[1]欺欹{不平歪一边}[2]蜞{蚂蟥}□{悬崖边缘}[4]柿[5]气汽弃器
∅	[1]衣依医伊栀[2]儿移夷姨怡贻饴胰寅[4]亦奕驿译逸易{交～}液腋[5]意肄{～业}易{容～}异裔亿忆翼冀
#e	
p	[3]比彼[7]笔必毕壁=碧逼哔荜璧
pʰ	[3]疕鄙[7]癖僻匹
m	[3]米美[7]觅
t	[3]底=牛牴抵[7]滴笛敌嫡的{目～}
tʰ	[3]体[7]剔惕踢=
l	[3]李{姓}里理鲤=礼[7]□{闪烁}
ts	[3]姊挤[7]积即鲫脊{～椎}迹
tsʰ	[7]辑缉楫七戚
s	[3]死喜[7]吸息熄媳悉昔惜析撕
k	[3]几己纪麂杞[7]急级吉桔劼击激戟
kʰ	[3]起岂企启[7]汔揭=
∅	[3]已以倚椅=矣[7]邑揖一乙益抑
#u	
p	[1]夫{丈～}[2]菩蒲瓠[4]部妇{新～}仆缚[5]布怖步孵
pʰ	[1]铺{～床}麩埔[4]曝[5]铺{店～}
m	[1]摸[2]模谟雾瞀[4]木沐目牧穆[5]戊暮墓慕
t	[1]都嘟[2]涂塗断途图徒[4]肚杜苎独毒=犊牍tu[5]度渡镀炉
tʰ	[4]读毒-{疔疮}[5]吐兔
l	[2]卢炉庐鸬鲈芦=奴[4]鹿禄[5]路露={白～}怒赂
ts	[1]租[2]雏[4]族簇镞[5]助
tsʰ	[1]粗初[4]凿=[5]醋措
s	[1]苏疏梳蔬[2]芦-[4]术[5]露-素诉数塑
k	[1]姑菇=孤辜[2]糊-餬[5]故固锢雇顾
kʰ	[1]沽枯箍[5]库裤
ɡ	[2]吴蜈吾梧[5]误悟悮
x	[1]夫=麩=灰-敷[2]呼胡糊=瓠=浮=符扶芙狐弧壶[4]户傅{师～}妇=父雨-负阜服伏袱[5]傅{姓}护富赴付附讣腐孵=
∅	[1]乌菇-污坞[2]无巫诬盂[5]芋雾务恶{可～}
#o	
p	[3]补斧-脯[7]剥-腹-卜-
pʰ	[3]普谱殕{霉}甫浦莆[7]匍覆-
m	[3]母姆
t	[3]堵赌贮{～饭}[7]督笃剁
tʰ	[3]土[7]秃
l	[3]鲁橹卤努碌[7]簏
ts	[3]祖组阻
tsʰ	[3]楚础[7]凿{刺}
s	[3]所束速
k	[3]古鼓估股[7]角谷贾{商～}桷{檩}
kʰ	[3]苦哭[7]壳
ɡ	[3]五午伍
x	[3]虎斧=浒府腑俯辅[7]福幅腹=覆=复
∅	[3]舞武鹉侮[7]屋握沃{浇}
#y	
t	[1]蛛[2]除厨储锄-[4]逐轴宙胄[5]箸
tʰ	[2]锄=
l	[2]驴[4]六陆录=绿[5]虑滤
tʃ	[1]朱珠茱株洙侏猪诸[2]徐[4]聚{～集}[5]住=注蛀驻柱=著铸
tʃʰ	[1]蛆趋[4]□{冷得发抖}[5]娶趣处{～所}
ʃ	[1]须需觑输书舒虚墟嘘吁{～叹}[2]薯殊[4]序绪俗熟续属蜀[5]絮恕竖树=署曙
k	[1]车{～马炮}居拘驹俱渠{他}[2]渠瞿衢葵[4]巨拒距惧具局[5]句锯据
kʰ	[1]区驱躯嬉-{玩耍}[2]□{迟钝，傻}[4]臼[5]去=
ɡ	[2]鱼渔虞愚娱[4]玉肉狱[5]遇寓御
∅	[1]迂於淤[2]于余馀如儒榆[4]屿育欲辱祷浴[5]裕誉预豫愈俞喻
#ø	
t	[3]贮筑[7]竹
tʰ	[7]畜-
l	[3]吕旅屡缕[7]□{气喘}
tʃ	[3]煮主[7]足烛祝粥嘱翥
tʃʰ	[3]取署鼠处{处理}[7]促捉粟-
ʃ	[3]许杵[7]宿叙粟叔淑肃畜=蓄戍黍
k	[3]举矩菊[7]掬鞠
kʰ	[7]曲
ɡ	[3]女语御
