来源：	唐爱华 刘玲燕 2015 《东至龙泉方言研究》
ʂ	［1］深身申伸升声［2］乘{～凉}神辰晨绳{毛～：毛线}□{～日～夜：整日整夜}［3］沈审婶省［5］渗圣胜［6］肾慎盛{兴～}
ʐ	［1］仍扔［2］人{～口}仁{～义}壬［3］忍{～受}［6］认{～真}任
ts	［1］遵尊曾增争{斗～}筝{风～}睁贞僧{₁唐～}［5］赠
tsʰ	［1］参{～差}村皴［2］曾{～经}存层{₂}［5］寸蹭{～饭}
s	［1］孙僧{₂}森参{人～}甥{外～}生{花～；～意}［3］损笋
k	［1］更{～换}庚［3］耿粳{～米}［5］更{～加}
kʰ	［1］坑{₁}［3］恳垦{开～}
ŋ	［1］恩
x	［1］哼［2］痕恒衡桁{～梁}［3］狠{凶～}［6］恨
#in	
p	［1］宾兵冰［3］饼丙□{一～炮}［5］柄並并{合～}
pʰ	［1］姘{～头}拼［2］贫频凭平坪{地～}苹{～果}评瓶屏［3］品［5］聘［6］病
m	［2］民名明{～显；～白}□{～洋：银元}［3］闽敏悯闵［6］命
t	［1］丁钉{铁～}疔恋{₂～爱}［2］林淋磷邻鳞宁{怀～；安～}铃灵龄菱玲［3］顶领岭［5］订钉{～桩}濎{使液体的杂质沉下去}［6］赁吝{～啬}令另
tʰ	［1］厅［2］亭停庭廷［3］挺艇［5］听{～见；～话}［6］定□{～日：第二天}
tɕ	［1］今{～朝}金襟禁{～不起}津巾筋斤精睛京惊荆{黄～村：～地名}经青［3］紧谨井警颈迥{～然不同}［5］浸禁{～止}进晋劲境敬镜□{特～：特意，故意}
tɕʰ	［1］侵亲{～戚；～家}清轻青倾［2］寻琴禽秦勤芹情晴［3］寝请顷苘{～麻}［5］庆磬［6］尽近静净
ȵ	［2］人{₁}银吟拧凝［3］忍{～一下儿}［6］认{～得}
ɕ	［1］心辛新薪兴{～旺}星腥［2］行{～动}刑型形循巡□{江～：蜻蜓}［3］省{反～}醒［5］炊信兴{高～}性姓迅［6］杏幸
∅	［1］因音阴姻鹰英缨鹦{～鹉}［2］寅迎赢营［3］饮{～汤：米汤；～酒}颖引隐影瘾［5］印应{～该；答～}映洇{墨水扩散}荫{阴凉}
#uen	
k	［3］滚［5］棍
kʰ	［1］昆坤坑{₂}［3］捆［5］困{难；～觉：睡觉}
x	［1］浑昏荤婚［2］横{₂一～}魂［3］混{～淆}［6］混{～日子}
∅	［1］温瘟□{瞪眼}［2］文闻纹炆{煮}［3］稳吻［5］揾{涝；淹}
#yn	
tɕ	［1］肫{鸡～}均君军［3］准□{蚊子等虫咬后起的疙瘩}［5］菌
tɕʰ	［1］□{～手：伸手}□{平整}春椿{～树}［2］群裙唇［3］蠢
ɕ	［1］熏{～鱼}［2］纯［5］训舜［6］顺
∅	［2］云匀人{₂～中}仁{～义}［3］永允［5］熨韵［6］泳咏运晕孕闰
#aŋ	
p	［1］帮邦［3］榜绑［5］磅棒
pʰ	［1］胖{～头鱼}［2］螃{～蟹}旁□{～人：欺负人}［5］胖{～子}［6］蚌{～壳：河蚌}
m	［1］蒙{₁～眼睛}［2］忙芒盲氓［3］蟒{～蛇}网{鱼～}［6］望{～月亮}忘
f	［1］方芳［2］防房妨［3］仿纺访［5］放
t	［1］当{～时}［2］铛{撞击金属器物发出的声音}□{～清：水很清}［3］党档{～档}□{潭}［5］当{～作；上～}挡
tʰ	［1］汤［2］堂{～前：客厅}唐糖塘［3］躺淌［5］烫摥{推}［6］荡凼{坑}
n	［2］囊{～肿}男{₁～人，～子汉}［3］攮□{～人：说话冲人}［7］□{哪里}
l	［1］□{～稀个：稀稀疏疏的}［2］狼郎廊拦{₂}［3］拢{₁～着手}朗啷{～～：摇动器物}［6］浪□{晾}
tʂ	［1］装桩庄张章樟［3］长{生～}涨{～价}掌［5］壮账帐胀障仗{打～}
tʂʰ	［1］疮昌菖{～蒲}［2］长{～短}肠常［3］场{稻～}闯厂［5］唱□{摩擦洗物}［6］丈仗{依～}杖状撞［0］虫{₂蚊～：蚊子}
ʂ	［1］霜商伤双{一～鞋}［2］尝床［3］赏［6］上尚绱{～鞋}［0］裳{衣～}尚{和～}
ʐ	［2］瓤［3］壤
ts	［1］赃［5］葬藏{西～}脏{心～}
tsʰ	［1］仓苍{～蝇}□{～盆：用于盛晒谷物的圆形篾器}［2］藏{～钱}
s	［1］桑{～树}丧{～事}磉［3］嗓爽偿［5］丧{～失}
k	［1］刚{～～}钢纲缸［3］讲{～话}港［5］杠虹钢{（动词）}降{下～}
kʰ	［1］康糠［2］扛［3］□{碰撞：～伤}［5］炕抗囥□{上～：上坡}［6］□{硌：～人}
ŋ	［1］昂{～头}［2］昂{～首}
x	［2］行{～列}行杭绗{～棉花}［6］项巷
#iaŋ	
t	［2］良凉量粮梁［3］两辆［6］亮谅量{数～}
tɕ	［1］将{～来}浆{泥～；～洗}疆僵姜江［3］蒋奖桨讲{～究}［5］将{大～}降酱犟
tɕʰ	［1］枪腔□{一种篾制的圆形晒席}［2］墙强{～大}详祥降{投～}［3］抢强{勉～}［5］呛［6］匠像
ȵ	［2］娘［3］仰酿［6］让
ɕ	［1］相{～互}箱厢镶香乡［3］想享响［5］相{～片}向像［6］象橡
∅	［1］秧央殃{遭～}［2］羊洋烊{～雪}杨阳扬［3］养痒［5］□{～人：油腻食物引起翻胃}［6］样
#uaŋ	
k	［1］光{～亮}［3］广［5］光{～滑}□{～眼珠：瞪大眼睛}
kʰ	［1］框眶［2］狂［3］□{碰：莫～热水瓶}［5］旷况矿
x	［1］慌荒［2］簧皇蝗{蚂～}凰{凤～}黄{扫～}［3］谎［5］晃{摇～}［6］晃{～来～去}
∅	［1］汪［2］黄{～豆；蛋～}王亡［3］往网枉［5］暗?{天～着：天黑了}［6］旺妄望{希～}
#yaŋ	
ɕ	［1］双{～胞胎}
#əŋ	
p	［2］□{～脆：很脆}［3］凸［5］蹦
pʰ	［2］朋棚蓬篷［3］捧［5］碰喷{₃～香：很香}［6］埲{灰～：灰尘飞扬}
m	［2］蒙{₂启～；～古}萌蠓{～虫}［3］猛懵{～懂}［6］孟梦
f	［1］风封蜂丰枫疯峰［2］逢缝{～补}冯［5］讽{～刺}［6］奉凤俸缝{一条～}
t	［1］东冬敦［3］懂董［5］冻
tʰ	［1］通［2］同铜童桐筒［3］桶捅统［5］痛［6］动洞［7］□{～下去着：掉下去了}
n	［2］农脓浓{～密}［3］□{推}［5］□{皱巴}［6］弄{～虚作假}
l	［1］□{～走：趁人不注意很快溜走}［2］笼{～子}聋隆{兴～}龙{₂}［3］拢{₂收～}笼{鱼～}［5］弄{小巷}
tʂ	［1］中{当～}忠终盅钟［3］种{～类}肿［5］中{射～}种{～田}众
tʂʰ	［1］充冲{～走}舂{～米}［2］虫{₁}重{～复}［3］宠［5］冲{～人}铳{～一枪}［6］重{～量}
ts	［1］棕鬃宗踪［3］总［5］粽纵□{～眉毛：皱眉头}
tsʰ	［1］聪葱囱{烟～}匆［2］丛从松{～树}
s	［1］松{～紧}［2］忪{怯懦}［3］耸□{用力推}［5］送宋［6］诵颂讼
k	［1］公蚣{蜈～}工功攻躬弓宫恭供{～应}［3］拱巩汞［5］贡供{上～}
kʰ	［1］空{～虚}［3］孔恐［5］控空{～缺}［6］共
ŋ	［1］嗡翁{不倒～}［5］瓮
x	［1］轰{～炸}烘揈{赶走}［2］虹{彩～}弘宏红洪［3］哄{～骗}［6］轰{～响}哄{起～}
#iəŋ	
t	［2］龙{₁～灯}
tɕ	［1］供{～猪个：饲养员}［3］窘
tɕʰ	［2］穷琼
ȵ	［2］浓-
ɕ	［1］兄胸凶［2］雄熊［5］嗅-
∅	［1］臃庸［2］融萤熔荣容蓉绒［3］涌勇［5］拥［6］用
#m̩	
∅	［1］姆{～妈：妈妈}
#n̩	
∅	［7］嗯
#ŋ̍	
∅	［3］尔{₁你}［5］嗯［7］□{那}嗯
