字	声	韵	调	注释	原拼音	原字头
恬	h	iɜm	21		hiem>	恬1
天	h	iɜn	33		hien'	天
显	h	iɜn	55		hien-	显
田	h	iɜn	11		hien*	田
天	h	iɜn	32		hien`	天`
券	h	iɜn	21		hien>	券1
香	h	iɛŋ	33		hieng'	香
响	h	iɛŋ	55		hieng-	响
平	h	iɛŋ	11		hieng*	平3
坪	h	iɛŋ	21		hieng>	坪2
挑	h	iɜu	33		hieu'	挑2
晓	h	iɜu	55		hieu-	晓
条	h	iɜu	11		hieu*	条
票	h	iɜu	21		hieu>	票1
哼	h	ŋ	32		hng`	哼2
耗	h	ɔ	33		ho'	耗
好	h	ɔ	55		ho-	好1
河	h	ɔ	11		ho*	河
号	h	ɔ	32		ho`	号1
浩	h	ɔ	21		ho>	浩
何	h	ɔ	215		ho>-	何>
脱	h	ɔt	33		hod'	脱
渴	h	ɔt	55		hod-	渴
褐	h	ɔt	32		hod`	褐
豁	h	ɔt	21		hod>	豁]
托	h	ɔk	33		hog'	托2
托	h	ɔk	55		hog-	托
学	h	ɔk	32		hog`	学
鹤	h	ɔk	21		hog>	鹤1
开	h	ɔi	33		hoi'	开
海	h	ɔi	55		hoi-	海
台	h	ɔi	11		hoi*	台
害	h	ɔi	32		hoi`	害
倍	h	ɔi	21		hoi>	倍
汉	h	ɔn	33		hon'	汉
罕	h	ɔn	55		hon-	罕
寒	h	ɔn	11		hon*	寒
汗	h	ɔn	32		hon`	汗1
旱	h	ɔn	21		hon>	旱
伴	h	ɔn	215		hon>-	伴2
汤	h	ɔŋ	33		hong'	汤
躺	h	ɔŋ	55		hong-	躺
塘	h	ɔŋ	11		hong*	塘
巷	h	ɔŋ	32		hong`	巷1
蚌	h	ɔŋ	21		hong>	蚌2
破	h	ou	33		hou'	破
土	h	ou	55		hou-	土
婆	h	ou	11		hou*	婆1
贺	h	ou	32		hou`	贺
婆	h	ou	21		hou>	婆2
去	h	øy	33		houi'	去
许	h	øy	55		houi-	许
颓	h	øy	11		houi*	颓
墟	h	øy	21		houi>	墟2
钝	h	ɵn	33		houn'	钝2
臀	h	ɵn	11		houn*	臀
盆	h	ɵn	21		houn>	盆
也	j	a	21		ya>	也
孬	j	ai	11		yai*	孬
曳	j	ai	32		yai`	曳
蹬	j	aŋ	33		yang'	蹬3
益	j	ɜt	55		yed-	益
亦	j	ɜt	32		yed`	亦
翼	j	ɜt	21		yed>	翼1
郁	j	ək	55		yeg-	郁
欲	j	ək	32		yeg`	欲
英	j	ɜn	33		yen'	英
缨	j	ɜn	335		yen'-	缨2
影	j	ɜn	55		yen-	影
形	j	ɜn	11		yen*	形
翁	j	əŋ	33		yeng'	翁
拥	j	əŋ	55		yeng-	拥
容	j	əŋ	11		yeng*	容
用	j	əŋ	32		yeng`	用
勇	j	əŋ	21		yeng>	勇
医	j	i	33		yi'	医
椅	j	i	55		yi-	椅
移	j	i	11		yi*	移
易	j	i	32		yi`	易1
以	j	i	21		yi>	以1
邑	j	ip	55		yib-	邑
入	j	ip	32		yib`	入
逸	j	it	33		yid'	逸'
一	j	it	55		yid-	一
液	j	it	32		yid`	液
嘢	j	iɛ	33		yie'	嘢
爹	j	iɛ	55		yie-	爹]
耶	j	iɛ	11		yie*	耶
夜	j	iɛ	32		yie`	夜1
野	j	iɛ	21		yie>	野
野	j	iɛ	215		yie>-	野}
腌	j	iɜp	33		yieb'	腌)
页	j	iɜp	32		yieb`	页
叶	j	iɜp	21		yieb>	叶1
噎	j	iɜt	55		yied-	噎
约	j	iɛk	33		yieg'	约2
约	j	iɛk	55		yieg-	约1
药	j	iɛk	32		yieg`	药2
药	j	iɛk	21		yieg>	药1
厌	j	iɜm	33		yiem'	厌
掩	j	iɜm	55		yiem-	掩
盐	j	iɜm	11		yiem*	盐
艳	j	iɜm	32		yiem`	艳
烟	j	iɜn	33		yien'	烟
演	j	iɜn	55		yien-	演
贤	j	iɜn	11		yien*	贤
现	j	iɜn	32		yien`	现
燕	j	iɜn	21		yien>	燕1
央	j	iɛŋ	33		yieng'	央
映	j	iɛŋ	55		yieng-	映
阳	j	iɛŋ	11		yieng*	阳
样	j	iɛŋ	32		yieng`	样
氧	j	iɛŋ	21		yieng>	氧
邀	j	iɜu	33		yieu'	邀
妖	j	iɜu	55		yieu-	妖
摇	j	iɜu	11		yieu*	摇
耀	j	iɜu	32		yieu`	耀
鹞	j	iɜu	21		yieu>	鹞
音	j	im	33		yim'	音
淫	j	im	11		yim*	淫
荫	j	im	21		yim>	荫
因	j	in	33		yin'	因
引	j	in	55		yin-	引-
寅	j	in	11		yin*	寅
刃	j	in	32		yin`	刃
引	j	in	21		yin>	引1
优	j	iu	33		yiu'	优
黝	j	iu	55		yiu-	黝
游	j	iu	11		yiu*	游
又	j	iu	32		yiu`	又
友	j	iu	21		yiu>	友
哟	j	ɔ	55		yo-	哟1
乙	j	ɔt	55		yod-	乙
阅	j	ɔt	32		yod`	阅
怨	j	ɔn	33		yon'	怨
远	j	ɔn	55		yon-	远
圆	j	ɔn	11		yon*	圆
县	j	ɔn	32		yon`	县
圆	j	ɔn	215		yon>-	圆2
锐	j	øy	32		youi`	锐
匀	j	ɵn	11		youn*	匀
家	k	a	33		ga'	家1
家	k	a	335		ga'-	家2
假	k	a	55		ga-	假2
痂	k	a	21		ga>	痂
瓜	k	a	215		ga>-	瓜2
夹	k	ap	33		gab'	夹
甲	k	ap	55		gab-	甲
荚	k	ap	21		gab>	荚
刮	k	at	33		gad'	刮
括	k	at	55		gad-	括
隔	k	ak	33		gag'	隔
革	k	ak	55		gag-	革
格	k	ak	21		gag>	格1
介	k	ai	33		gai'	介
解	k	ai	55		gai-	解
计	k	ai	325		gai`-	计2
街	k	ai	21		gai>	街
甘	k	am	33		gam'	甘
监	k	am	335		gam'-	监3
敢	k	am	55		gam-	敢
监	k	am	32		gam`	监`
柑	k	am	21		gam>	柑
间	k	an	33		gan'	间
简	k	an	55		gan-	简
更	k	aŋ	33		gang'	更
梗	k	aŋ	55		gang-	梗
逛	k	aŋ	32		gang`	逛1
迳	k	aŋ	21		gang>	迳2
较	k	au	33		gao'	较
狗	k	au	55		gao-	狗
嚿	k	au	32		gao`	嚿
勾	k	au	21		gao>	勾5
嘅	k	ɛ	33		ge'	嘅2
急	k	ɜp	55		geb-	急
棘	k	ɜt	33		ged'	棘'
击	k	ɜt	55		ged-	击
极	k	ɜt	32		ged`	极1
谷	k	ək	55		geg-	谷
局	k	ək	32		geg`	局
记	k	ɛi	33		gei'	记
纪	k	ɛi	55		gei-	纪
忌	k	ɛi	32		gei`	忌
箕	k	ɛi	21		gei>	箕
今	k	ɜm	33		gem'	今
锦	k	ɜm	55		gem-	锦
揿	k	ɜm	32		gem`	揿
敬	k	ɜn	33		gen'	敬
仅	k	ɜn	55		gen-	仅
竟	k	ɜn	32		gen`	竟
攻	k	əŋ	33		geng'	攻
蚣	k	əŋ	335		geng'-	蚣
巩	k	əŋ	55		geng-	巩
共	k	əŋ	32		geng`	共
公	k	əŋ	21		geng>	公2
救	k	ɜu	33		geu'	救
久	k	ɜu	55		geu-	久
旧	k	ɜu	32		geu`	旧
丌	k	i	33		gi'	丌
几	k	i	55		gi-	几2
几	k	iɛ	33		gie'	几e
涩	k	iɜp	33		gieb'	涩)
劫	k	iɜp	55		gieb-	劫
及	k	iɜp	32		gieb`	及
结	k	iɜt	55		gied-	结
杰	k	iɜt	32		gied`	杰
诀	k	iɜt	21		gied>	诀2
脚	k	iɛk	33		gieg'	脚1
脚	k	iɛk	55		gieg-	脚3
脚	k	iɛk	21		gieg>	脚2
兼	k	iɜm	33		giem'	兼
检	k	iɜm	55		giem-	检1
俭	k	iɜm	32		giem`	俭
坚	k	iɜn	33		gien'	坚
卷	k	iɜn	55		gien-	卷
健	k	iɜn	32		gien`	健
姜	k	iɛŋ	33		gieng'	姜
颈	k	iɛŋ	55		gieng-	颈1
犟	k	iɛŋ	32		gieng`	犟
娇	k	iɜu	33		gieu'	娇
缴	k	iɜu	55		gieu-	缴
轿	k	iɜu	32		gieu`	轿
高	k	ɔ	33		go'	高
稿	k	ɔ	55		go-	稿
篙	k	ɔ	21		go>	篙2
割	k	ɔt	33		god'	割2
葛	k	ɔt	55		god-	葛1
葛	k	ɔt	21		god>	葛2
搁	k	ɔk	33		gog'	搁2
角	k	ɔk	335		gog'-	角4
各	k	ɔk	55		gog-	各
角	k	ɔk	21		gog>	角2
角	k	ɔk	215		gog>-	角3
个	k	ɔi	33		goi'	个3
改	k	ɔi	55		goi-	改
盖	k	ɔi	21		goi>	盖2
官	k	ɔn	33		gon'	官
馆	k	ɔn	55		gon-	馆
罐	k	ɔn	21		gon>	罐
江	k	ɔŋ	33		gong'	江
广	k	ɔŋ	55		gong-	广1
逛	k	ɔŋ	32		gong`	逛2
岗	k	ɔŋ	21		gong>	岗3
光	k	ɔŋ	215		gong>-	光2
歌	k	ou	33		gou'	歌3
哥	k	ou	55		gou-	哥
歌	k	ou	21		gou>	歌1
居	k	øy	33		goui'	居
举	k	øy	55		goui-	举
巨	k	øy	32		goui`	巨
姑	k	u	33		gu'	姑
估	k	u	55		gu-	估
咕	k	u	32		gu`	咕}
骨	k	ut	55		gud-	骨
掘	k	ut	32		gud`	掘
归	k	ui	33		gui'	归
轨	k	ui	55		gui-	轨
柜	k	ui	32		gui`	柜
军	k	un	33		gun'	军
滚	k	un	55		gun-	滚2
郡	k	un	32		gun`	郡
棍	k	un	21		gun>	棍
过	k	uɔ	33		guo'	过3
果	k	uɔ	55		guo-	果
和	k	uɔ	21		guo>	和4
跨	kʰ	a	33		ka'	跨1
卡	kʰ	a	55		ka-	卡1
跨	kʰ	a	11		ka*	跨*
咳	kʰ	at	33		kad'	咳'
咳	kʰ	at	55		kad-	咳1
卡	kʰ	ak	33		kag'	卡k
卡	kʰ	ak	55		kag-	卡k-
卡	kʰ	ak	21		kag>	卡k>
契	kʰ	ai	33		kai'	契
启	kʰ	ai	55		kai-	启
契	kʰ	ai	11		kai*	契*
冚	kʰ	am	55		kam-	冚
蠄	kʰ	am	11		kam*	蠄
垦	kʰ	an	55		kan-	垦
亢	kʰ	aŋ	33		kang'	亢2
鲠	kʰ	aŋ	55		kang-	鲠
构	kʰ	au	33		kao'	构
巧	kʰ	au	55		kao-	巧
给	kʰ	ɜp	55		keb-	给1
隙	kʰ	ɜt	55		ked-	隙
曲	kʰ	ək	55		keg-	曲1
企	kʰ	ɛi	33		kei'	企1
企	kʰ	ɛi	55		kei-	企3
其	kʰ	ɛi	11		kei*	其
蜞	kʰ	ɛi	21		kei>	蜞
禁	kʰ	ɜm	33		kem'	禁
琴	kʰ	ɜm	11		kem*	琴
妗	kʰ	ɜm	21		kem>	妗
近	kʰ	ɜn	33		ken'	近2
倾	kʰ	ɜn	55		ken-	倾1
鲸	kʰ	ɜn	11		ken*	鲸
肫	kʰ	ɜn	21		ken>	肫)
孔	kʰ	əŋ	55		keng-	孔
穷	kʰ	əŋ	11		keng*	穷
球	kʰ	ɜu	11		keu*	球
舅	kʰ	ɜu	21		keu>	舅
骑	kʰ	iɛ	11		kie*	骑2
茄	kʰ	iɛ	21		kie>	茄1
揭	kʰ	iɜt	33		kied'	揭
决	kʰ	iɜt	55		kied-	决
剧	kʰ	iɛk	55		kieg-	剧
屐	kʰ	iɛk	21		kieg>	屐
钳	kʰ	iɜm	11		kiem*	钳
乾	kʰ	iɜn	11		kien*	乾1
强	kʰ	iɛŋ	11		kieng*	强1
襁	kʰ	iɛŋ	21		kieng>	襁
跷	kʰ	iɜu	33		kieu'	跷
