字	声	韵	调	注释	原拼音	原字头
命	m	ɜn	32		men`	命1
敏	m	ɜn	21		men>	敏
檬	m	əŋ	55		meng-	檬1
蒙	m	əŋ	11		meng*	蒙
檬	m	əŋ	115		meng*-	檬2
梦	m	əŋ	32		meng`	梦
咩	m	iɛ	55		mie-	咩
掰	m	iɜt	33		mied'	掰)
灭	m	iɜt	32		mied`	灭
篾	m	iɜt	21		mied>	篾
缅	m	iɜn	55		mien-	缅
棉	m	iɜn	11		mien*	棉
面	m	iɜn	32		mien`	面
免	m	iɜn	21		mien>	免
名	m	iɛŋ	115		mieng*-	名2
命	m	iɛŋ	32		mieng`	命2
猫	m	iɜu	55		mieu-	猫1
苗	m	iɜu	11		mieu*	苗1
妙	m	iɜu	32		mieu`	妙
秒	m	iɜu	21		mieu>	秒
冇	m	ɔ	33		mo'	冇
么	m	ɔ	55		mo-	么1
毛	m	ɔ	11		mo*	毛
毛	m	ɔ	32		mo`	毛`
么	m	ɔ	21		mo>	么3
抹	m	ɔt	33		mod'	抹1
乜	m	ɔt	55		mod-	乜3
没	m	ɔt	32		mod`	没1
剥	m	ɔk	33		mog'	剥1
漠	m	ɔk	55		mog-	漠
莫	m	ɔk	32		mog`	莫
膜	m	ɔk	21		mog>	膜1
妹	m	ɔi	55		moi-	妹1
梅	m	ɔi	11		moi*	梅
昧	m	ɔi	32		moi`	昧
每	m	ɔi	21		moi>	每
妹	m	ɔi	215		moi>-	妹3
满	m	ɔn	55		mon-	满1
门	m	ɔn	11		mon*	门
闷	m	ɔn	32		mon`	闷1
闷	m	ɔn	21		mon>	闷>
芒	m	ɔŋ	33		mong'	芒2
网	m	ɔŋ	55		mong-	网
芒	m	ɔŋ	11		mong*	芒1
氓	m	ɔŋ	115		mong*-	氓2
望	m	ɔŋ	32		mong`	望
氓	m	ɔŋ	21		mong>	氓3
摩	m	ou	33		mou'	摩1
摸	m	ou	55		mou-	摸
无	m	ou	11		mou*	无
务	m	ou	32		mou`	务
武	m	ou	21		mou>	武
物	m	ɵt	32		moud`	物
纹	m	ɵn	55		moun-	纹-
文	m	ɵn	11		moun*	文
紊	m	ɵn	32		moun`	紊1
蚊	m	ɵn	21		moun>	蚊
那	n	a	33		na'	那'
乸	n	a	55		na-	乸
拿	n	a	11		na*	拿
哪	n	a	32		na`	哪3
衲	n	a	21		na>	衲]
纳	n	ap	32		nab`	纳
衲	n	ap	21		nab>	衲2
匿	n	at	33		nad'	匿]
肭	n	at	32		nad`	肭
捺	n	at	21		nad>	捺2
