来源：	郭建荣 2013《孝义文化丛书 - 乡言研究》；Hynuza 整理录入
说明：	代表城关音系
#符号说明：-白=文*俗?待考
#调值	［1］11［3］312［5］53［7］2［8］312
#a
p	［1］巴{~结}芭{~蕉}笆疤粑{熰圪粑：锅巴}□{~~：不洁之物，多指小儿粪便}叭{象声词}八{~叉：两腿撇开}爬-耙{~儿}［3］靶把{~门}［5］霸坝罢把{锨~}爸耙{~地}
pʰ	［1］琶{琵~}爬=［5］怕
m	［1］麻{~丝；~疹}妈=猫{弯：~腰}［3］马玛码{洋~子}蚂={~蚱}［5］骂
t	［1］爹{父亲(背称)}［3］打［5］爹{父亲(面称)}
tʰ	［1］他□{状词，锅滚得~~地}
n	［1］那{姓}拿{~人：刁难要挟他人}［3］□{~~样地，软弱的样子}［5］□给人东西时的呼语
l	［1］拉{~扯}啦［3］拉{~糊：马糊}［5］旯{旮~}落{~下一段儿路儿}
ts	［1］咱喳渣蹅{踩}蚕-{~豆}臜{腌~}［3］斩-咋{~底：怎么样}□{圪~：腿腾空划过}［5］炸{爆~}诈栅{~~：栅栏}
tsʰ	［1］差{~错}查楂{山~}碴{~口：语气}茶搽□{斥责：兀家把我~了一顿}茬=［3］镲衩{裤-}叉{拇指、食指撇开(以量物)}［5］差{~不多}
s	［1］沙痧{刮~子}裟{袈-}杈{~子：农具}□{(用刀，锯等)割：~䵚黍}茬-{~子}［3］洒撒霎□{~碗：大瓷碗}［5］乍诧-{希~}厦{坐~儿：第二门道廊}沙{挑拣}□{「师家」的合音：张~，郭~}
tʂ	［1］□{在冷水中浸泡：~豆腐}争-{~唤：争占}睁-［5］炸{器皿遇热破裂}□{~庄：「张家，赵家」的合音}占-{分~}
tʂʰ	［1］牐{~架：试干某事}［3］叉{~腰}敞{~口子}
ʂ	［1］生-{~熟}甥-［3］傻［5］啥
ɻ	［1］□{「人家」的合音}
k	［1］哥-{~~}嘎{~~雀儿}［3］玍{强悍：~滓子}
kʰ	［3］卡{卡片}
ŋ	［1］腌{~臜}
x	［1］罅{~开门子}哈{笑声}［3］下{~数，本领}哈{拉~皮：马大哈}［5］下{~头}吓-呷-夏-
Ø	［1］阿啊
#ia
p	［1］绷-{缝，~贴边}嘣{象声词}棚-{~~，简易棚屋}［3］绷-{~下脸}敝{㤘~~：固执}［5］迸-{~火星}绷-{裂}
pʰ	［1］□{水溢}［3］劈{~开腿：叉开腿}［5］片-{一~水}□{占：~满}
m	［1］咩乜{~斜}虻-{~蝇}［3］猛{~不防}□{~~：芦苇制成的口哨}
l	[1]凉-{伤风~气}□{「梁家」的合音：~庄}［3］冷-□{「李家」的合音：~庄}
ȵ	［1］牙-芽-蚜{肉~子}鸦{~片}□-{~柴}□{「娘家」的合音}衙-［3］哑□{~子：唢呐}衙{~门}眼-{鸡~}［5］押-压-砑-亚-{不~于}轧{~花}硬{~柴}□{给东西时的呼语}
tɕ	［1］嘉家耕-{~地}佳加茄痂{~~：血斑}袈{~裟}［3］贾{姓~}假{真}□{驱赶牲口的声音}［5］稼嫁价假{~期}架驾
tɕʰ	［1］抲{抱：~孩儿}揢{抱：~孩儿}［3］卡{喉咙被异物堵塞}［5］掐{扼住喉头}
ɕ	［1］□{~~：婴儿学步}□{动物交配}霞闲-{~常}［5］下=夏=厦{-门}杏-{~仁}
Ø	［1］丫{~头}爷-{~~}牙=鸦［3］哑=也-雅［5］亚=压=
#ua
ts	［1］抓［3］爪{~子}［5］□{象甩物之声}
tsʰ	［1］欻{象水流之声}［5］□象泼水声
nᶻ	［1］□{~~：小孩曲指}
s	［1］□{~毬儿：骂人胡干}［3］耍
k	［1］刮{~脸}栝{~萎}瓜［3］寡剐［5］挂褂卦
kʰ	［1］夸［3］胯垮侉{山东直隶~子}［5］挂-{~洋刀}
x	［1］花华铧姡{狡猾}［3］婳{羞羞~~：害羞的样子}［5］话画划化桦
Ø	［1］哇蛙娃挖［3］瓦{砖~}搲{盛取：用匙匙~上吃}［5］瓦{~刀}凹{训读，~面柜}洼{巴附在底部：黑糖~到碗底子上啦}□{~~声：回声}
#ya
tɕ	［3］犷-{强悍：喻人生硬}
tɕʰ	［1］□咳{嗽得~~地}
ɕ	［1］横-{~顺}［5］□{~腥气：肉腐烂后的气味}
Ø	［1］曰□{斥责}［3］哕{欲呕吐的样子}□{「蔚家」的合音：~庄}
#ᴇ
p	［1］婆-{~姨}［3］簸{动词}［5］簸{~箕(名词)}婆-{~~：外婆}
pʰ	［1］坡-［3］拚{~命}［5］破-
m	［1］磨-蘑-魔-{~子}［3］抹{揩拭}□{坡度缓：~坡坡}［5］磨{~石}□{砸：~了一砖}
t	［1］驮驼-{骆~}陀{这~：这里}多-［5］大-
tʰ	［1］拖-驼-{~鸟}［3］躺-
n	［1］那-{姓}挪-
l	［1］罗-{~面}锣-萝-{~卜}骡-{~子}螺-来{这~大}［3］□{取(带贬义)}［5］摞
ts	［5］左-{~手}
tsʰ	［1］搓-［5］错-锉昃{太阳偏西：~过啦}
s	［1］挲{拔~}
tʂ	［1］张-{~口}遮-场-{打~}肠-缠-{~线；盘~}毡-{~~帽儿}［3］者长-{~大}掌-涨-［5］占-账-胀-缠-{~足}涨-丈-
tʂʰ	［1］车［3］扯□{~~：打油勺}［5］撤□{~快：说风凉话}
ɳ	［1］粘-{形容词}［5］碾-粘-{动词}
ʂ	［1］赊裳-扇{(用巴掌)打：~刮子；风}蛇□{表否定}［3］舍佘{姓}闪-晌-［5］社射麝{~香}扇-{~子}骟-尚-{和~}绱-{~鞋}上-
ɻ	［1］瓤-穰-［3］惹喏{唱~}染-攘{圪~人：烦人}［5］让{使牲口入辕}
k	［1］哥-{~~}
kʰ	［3］可{程度轻：这颜色~红}［5］可{到处：兀家~世界跑咧}
ŋ	［1］屙-蛾-鹅-{~毛}［3］我-［5］饿-
x	［1］河呵{~气}饸{~饹}［3］荷{拿}□{~住：被难住}［5］贺
#iᴇ
p	［1］边-编-{~排}鞭-{~子}□{疮疾：指~，耳~}［3］扁{~食}匾-{牌~}别{腰里~得一把镰}□{扭过：把车儿往面儿~一下}□{~掠：虐待}［5］变-便-{方~}遍-辩-辨-辫-
pʰ	［1］偏-便-{~宜}［3］谝-片-□{~子：女阴，当地写作「女」中一点}□{使裂开}［5］骗-篇-片-{一~}劈
m	［1］棉-绵-［3］腼-{~腆}免［5］面
t	［1］颠-填-田-甜-［3］点-典-［5］电-店-垫-殿-佃-奠-簟-{~席}
tʰ	［1］天-添-田-填-［3］舔-
ȵ	［1］年-拈-娘-□{「你些」的合音}［3］撵捻［5］念-砚-酽-{口~}
l	［1］量-帘-镰-莲-梁-凉-粮-［3］脸-两-［5］链-殓-{入~}晾-{~麦子}炼-□{圪~：煤核儿}恋-{~人：小孩喜欢接近大人}𥽸{汤熬到家，水乳交融}□{狗~：狗性反复无常}
tɕ	［1］秸{麦~}强-{~盗：贼}□{癫痫病}尖-肩-煎-{~饼}将-{走-来}豇-{~绿豆}僵-缰-礓{料~石}笪{~人：因身体逆斜或头重脚轻而产生的不适感}前-{~头}墙-{~~}［3］姐揩剪茧-{手~}［5］借见-贱-溅-浆{~衣裳}剑-虹-匠-酱-犟-件-{一~事}箭-{~~：高梁杆顶端的一节}
tɕʰ	［1］且□{裂~：指甲边上的裂皮}牵{~记}锨□{以刀切：~陶秫，~猪}千-扦{~子}签-{~~}钳-{~子}乾-{~隆}［3］浅-抢-膁{腿~：膝部弯曲部分}□{~险：好险}［5］欠呛歉羼{加入：再~上圪星儿面罢}
ɕ	［1］鞋=些-先-仙香-镶-贤-{~者村}鲜-{~姜}相-{~门风}厢-{~房儿}邪斜嫌-槛{门~子}［3］写响-癣-显-想-［5］泻卸泄谢线-献-宪现-县-象-橡-□{程度副词，犹「极」：火(生气)~啦}
Ø	［1］爷-也{语气词：我走~}沿-{缝：~边边}檐-殷-{~色}蜒-{蚰~}盐-杨-阎-羊-{~肉}扬-{~洒}缘-{~法}［3］野耶也亦迤{~逗}□{~屎}靥{~~}养-{孩儿}掩-{把东西~住}衍-{水圪~出来啦}［5］夜液咽验-堰样-{~子：纸祥儿}□{抖动而使水落之}
#uᴇ
t	［1］朵-{耳~}□{摔：~烂}［3］躲-朵-{一~花}［5］垛剁垜
tʰ	［5］唾
l	［5］樏
ts	［1］□{撕：-开}矬{圪~扁担：矮小}［5］坐-座-
s	［1］梭-［3］锁-唢-
z	［5］□{填~：陷害}
k	［1］锅-［3］果-裹-［5］过-
kʰ	［1］颗-□{~折：敲打}［5］骒-{~马}嗑{~瓜子}
x	［1］和-{~泥}［3］火-伙-［5］货-祸-和{~搅}
Ø	［1］涡窝-踒{~着脚}［5］卧-
#yᴇ
tɕ	［1］泉-{~子}全-{还(完备)}［3］卷-{~起来}［5］卷-{~子}
tɕʰ	［1］圈-{圆~~}颧-{~骨}全-{~部}拳-［3］圈-{关起}［5］劝-
ɕ	［1］靴掀-暄{虚：馍馍~花样地}［5］旋-{~吃~做}漩楦{~头}券{窑~儿}□{~假：怂动}
Ø	［1］元-{~宝}原-{~~本本}园{~~}圆［3］远-［5］院-怨-{~报：责怪}
#ɤ
tʂ	［5］照-赵-
tʂʰ	［1］潮-
ʂ	［1］烧-{~人}［3］少-［5］捎-{褪色}烧{火烧云}
ɻ	［1］饶-［3］绕-{~道儿}［5］绕-{~远}
k	［1］糕-肝-{~化}高-干-{~燥}膏-{~药}［3］哥-［5］告-
kʰ	［1］科=苛={~刻}［5］课靠-铐-看-炕-
ŋ	［1］娥-熬-{~菜；~眉扯眼}讹{~人}严-{封闭严密}庵-{~子}鞍-{~~}［3］掩-{手覆：~雀儿}［5］鏊-{~子}案-{~儿板}膏-{~油：添加润滑剂}爊{~菜}
x	［1］憨-涎-{~水}寒-{~碜人}何荷和［5］旱-汗-{足~味}晃-{~人}
#uɤ
p	［1］播玻搬-帮-{鞋~子}梆-{~子腔：形容小孩说话口齿不清}般-{一~的：同岁}盘-□{~~：禾茎}［3］绑-膀-不{用于答问}［5］半-拌-{~料}棒-
pʰ	［1］坡=颇婆=旁-{~人}［5］破=判-{~官}
m	［1］磨-摩摹模魔=蔓-忙-瞒-{~住人}蘑=［3］满-莽-{截~：胆大泼辣}［5］□{夹~：傻}漫-{水~金山}
t	［1］当-{~中}裆-多=端-{~水}团-{麻~：一种祭祀死人的团状食品}□{罗~：把环境弄脏}堂-{~~：神位}［3］短-喘-{气~}朵躲［5］断-缎-椴-段-{姓}惰剁=
tʰ	［1］拖=汤-［3］妥椭［5］烫-唾=
n	［1］□{脂肪含量过大的肉}［3］暖-［5］懦=齉{~鼻子}
l	［1］罗=逻落{圪~：角落}狼-锣萝=骡=螺=裸=□{~多：把环境弄脏}偻［3］啰{~索}［5］乱-烙-
ts	［1］砖-{~头}装-{~裹}庄-钻-{~牛角儿}［3］转-{投生}左=［5］转-{~向：迷失方向}壮-钻-坐=座=葬-{合~}
tsʰ	［1］仓-{添~}穿-搓=双-{~股子}窜{~掇：怂恿}爨{~壶：一种热水器}氽*{~壶：一种热水器}船-传-{疫病传染：~猪儿}［3］触{~动}［5］双{~生生：双胞胎}串-错=措=锉=
nᶻ	［1］□{~着：栽伤}［3］□{~掀：挖苦}
s	［1］窗-{~~}酸-桑-{~葚}床-{~~：小板凳；~儿：条凳}疮-{口~}霜-梭=唆{挑~}丧={~门神}［3］所爽-{~利：小孩听话}喘-{气呵没~}琐锁唢［5］蒜-算-
z	［3］软-
k	［1］光-{~妥：光滑的样子}冠-{~~：鸡冠}官-{~道}棺-{~材}观-{~音}□{插入}［3］果裹管-广-{~襦：充裕}［5］灌-罐-过=
kʰ	［1］糠-宽-科-{~学}［3］款-{~~儿地：轻轻地}［5］课-
x	［1］欢-{喜~}妨-慌-磺-{硫~}防-行-{牙~：牲口贩子}黄-和-{~气}房-寒-{~碜}憨［3］纺-仿-{~照}谎-{撒~}幌-{~子}荒-{地~啦}访-{~~儿，问问儿}火=伙=［5］唤-放-贩-巷-货=祸=
Ø	［1］豌-完-涡=王-{姓}丸-{~药}芒-{~~：高粱等去粒后的空穗}睕{~了一眼}［3］碗-枉-{~操心}我=［5］旺-{发~}望-{~孩儿}忘-
#aɔ
p	［1］包刨{~根问底}［3］宝保饱［5］报豹刨{~花儿(木工刨下的大木屑等)}暴爆抱=
pʰ	［1］胞脬{尿~}抛袍［3］跑{~路儿}［5］炮泡疱{~儿}
m	［1］矛眊{窥视}毛={皮~}茅猫蟊{~~贼：小偷}［3］铆卯毛{~~钱}［5］冒帽貌茂贸
t	［1］捯{~气：呼吸困难}叨{唠~}刀桃-［3］捣倒{跌~}祷{~告}稻悼［5］到倒{~水}导道盗
tʰ	［1］萄陶{用于人名}掏淘{~气}逃=涛［3］讨［5］套䵚{~黍：高梁}
n	［1］铙{~钹}脑{圆球体的顶端：山~子}瑙{玛~}［3］脑{~筋}恼□{肩杠}［5］闹□{用药毒：~人}
l	［1］饹{饸~}牢痨{~病}劳唠捞［3］老了{语助词}栳{圪~；栲~}［5］涝落{鸟着落}烙{~饼}络{~子}骆醪{~糟}
ts	［1］骚-{牢~}䄚{衣服失洗}糟{酒~}遭-曹-{~村}［3］早澡蚤枣［5］造罩皂灶笊{~篱}焯{微煮}□{困乏}
tsʰ	［1］抄操曹={姓}巢［3］草吵炒［5］肏{交媾}躁噪{聒~}□{以食物蘸余羹}□{次：头~，二~}糙
nᶻ	［1］挠
s	［1］臊捎骚{~胡：公山羊}稍筲{~桶儿}［3］扫{~地}炒嫂［5］哨踃{喝令牲口后退}扫{~帚}□{~耍：利落}□{~气：寂寞}潲{雨水倾斜射人：水~进居舍来啦}
tʂ	［1］召招=［3］找［5］照=赵=兆
tʂʰ	［1］超晁{~盖}朝{-里}潮
ʂ	［1］烧={~火}［3］少={多~}［5］少={老~}烧{火烧云 《广韵》笑韵去声，失照切}
ɻ	［1］饶=［3］绕={~道儿}扰［5］绕={~远}
k	［1］高=糕=羔=膏={~药}［3］搞稿镐［5］告=
kʰ	［3］考烤拷{~贝}［5］铐=靠=稿=犒=
ŋ	［1］熬=［3］拗{~断}袄［5］傲鏊={~子}拗{~口}□{撬}
x	［1］蒿{毛~}薅{~草}毫豪嚎□{~葱儿：栽葱}壕［3］好{~赖}［5］号好{~吃}孝-{~帽}耗{~油：炸油}□{右(喝令牲口的声音)}
#iaɔ
p	［1］彪标镖{保~}膘=□{小孩称掷出去的砖头，瓦块}［3］表=裱=婊=［5］摽{~住活计咧}鳔={用~胶粘合}
pʰ	［1］瓢=漂={-动}嫖=［3］漂={~白}［5］票=
m	［1］苗=描=瞄喵{猫叫声}［3］秒藐［5］庙=妙=
t	［1］貂刁=叼=凋=雕碉调={~泥~水}条-笤=［3］调{~换：调换}［5］吊=调{~兵}钓=
tʰ	［1］劁={~猪}挑={~刺}条={~~}调-{~解}［3］挑={~担：担子失去平衡}窕{苗~}［5］跳=粜=
ȵ	［3］咬淆鸟［5］尿=
l	［1］寥{姓}□{刁钻}僚缭={~贴边}疗撩=獠={~牙}鐐={-盘子：炉具}聊潦={~浆泡儿}［3］了={~结}燎=［5］料=尥={~蹄}撂=
tɕ	［1］浇=教{介词，不~走}交郊蛟跤娇=骄胶狡椒=焦蕉荞=桥{~头(村名)}浆{燎~泡儿}［3］搅=铰=饺□{系连}绞={~水：用辘轳往上提水}［5］叫教{-学}酵{~子}轿觉{睡~}窖{~儿}校{~~秤儿}噍{牛倒~}□{干燥：地里~得不行}
tɕʰ	［1］乔桥悄瞧跷={高~}□{半步}缲{略缝}敲=［3］巧雀{~儿}［5］俏=窍撬=
ɕ	［1］肖霄销硝消逍{~遥}箫学{(旧)}枵={~刻：不结实}［3］小=晓［5］孝=校笑=效
Ø	［1］幺{~二三}约腰=约={~摸}妖=姚遥={平~}邀天爻摇=谣-窑=猺={黄~}［3］舀=［5］要=鹞=耀靿={靴袜筒儿}腰={草~子}
#yɔ
p	［1］膘-{~子}［3］表-{手~}裱-婊-{~子}［5］摽-{~住吃}鳔-
pʰ	［1］漂-飘-嫖-{非~即赌}［5］票-
m	［1］苗-{~~}描-［5］庙-妙-苗{~条}
t	［1］刁-{~头子}笤-调-{~和}条{柳~~}［3］调{~换}［5］掉-{~过搭脑(头)}吊-钓-□{~水，骂人话}
tʰ	［1］劁-{~猪}挑-{~刺}条-{纸~~}［3］挑-{~担，担子失去平衡}［5］跳-粜-
ȵ	［5］尿-
l	［1］缭-{~贴边}撩-獠-{~牙}□{~袜儿：袜子}鐐-{~窝：炉渣坑}潦-{~浆泡儿}［3］燎-了-{~结}［5］料-撂-尥-{~蹄}□{用水洗：~胡萝卜儿}
tɕ	［1］娇-椒-{花~}桥-{~头}荞-浇-
tɕʰ	［1］悄跷-{高~}缲{略缝}桥-鞧-{坐~：络于马股后的革带}
ɕ	［1］消-枵-［3］小-［5］笑-
Ø	［1］姚-{北~}猺-{黄~}遥-{平~}腰-{~里}约-{~摸}摇-窑-{~上}妖-［3］舀-哟［5］要-鹞-{~子}□{草~子}
#ai
p	［1］白{~吃}排-{编~：指使}［3］摆□{用清水洗}［5］败拜稗{水~子：一种青草}
pʰ	［1］排=牌［3］□{~刁：刁难}［5］派
m	［1］埋={~没}□{立~~：陡直的样子}［3］买［5］卖
