正體	省写	/IPA/	[IPA]	注释
杳	杳	miau˦˨	mᵇiᴀɔ˦˧	
廟	庙	miau˩˧	mᵇiᴀɔ˨˦	
妙	妙	miau˩˧	mᵇiᴀɔ˨˦	
繆	缪	miau˩˧	mᵇiᴀɔ˨˦	姓氏
刁	刁	tiau˥	d̥iᴀɔ˦˥	
貂	貂	tiau˥	d̥iᴀɔ˦˥	
雕	雕	tiau˥	d̥iᴀɔ˦˥	
挑	挑	tiau˥	d̥iᴀɔ˦˥	~剔；~拨；~意，即故意；嘴巴~，指挑食
屌	屌	tiau˦˨	d̥iᴀɔ˦˧	
𠄏	𠄏	tiau˦˨	d̥iᴀɔ˦˧	
嬲	嬲	tiau˦˨	d̥iᴀɔ˦˧	白读
釣	钓	tiau˩˧	d̥iᴀɔ˨˦	
吊	吊	tiau˩˧	d̥iᴀɔ˨˦	
弔	弔	tiau˩˧	d̥iᴀɔ˨˦	
掉	掉	tiau˩˧	d̥iᴀɔ˨˦	
悼	悼	tiau˩˧	d̥iᴀɔ˨˦	
調	调	tiau˩˧	d̥iᴀɔ˨˦	
挑	挑	tʰiau˥	tʰiᴀɔ˦˥	
條	条	tʰiau˥	tʰiᴀɔ˦˥	舌~
條	条	tʰiau˨˩	tʰiᴀɔ˨˩	
調	调	tʰiau˨˩	tʰiᴀɔ˨˩	
迢	迢	tʰiau˨˩	tʰiᴀɔ˨˩	
苕	苕	tʰiau˨˩	tʰiᴀɔ˨˩	文读
窕	窕	tʰiau˦˨	tʰiᴀɔ˦˧	
斢	斢	tʰiau˦˨	tʰiᴀɔ˦˧	
嬲	嬲	tʰiau˦˨	tʰiᴀɔ˦˧	~戏
跳	跳	tʰiau˩˧	tʰiᴀɔ˨˦	
調	调	tʰiau˩˧	tʰiᴀɔ˨˦	~皮
敹	敹	niau˥	nᵈiᴀɔ˦˥	~自，即故意；縫
聊	聊	niau˨˩	nᵈiᴀɔ˨˩	
燎	燎	niau˨˩	nᵈiᴀɔ˨˩	
潦	潦	niau˨˩	nᵈiᴀɔ˨˩	
繚	缭	niau˨˩	nᵈiᴀɔ˨˩	
繆	缪	niau˨˩	nᵈiᴀɔ˨˩	山川相~
寮	寮	niau˨˩	nᵈiᴀɔ˨˩	
僚	僚	niau˨˩	nᵈiᴀɔ˨˩	
撩	撩	niau˨˩	nᵈiᴀɔ˨˩	
瞭	瞭	niau˨˩	nᵈiᴀɔ˨˩	
膫	膫	niau˨˩	nᵈiᴀɔ˨˩	
獠	獠	niau˨˩	nᵈiᴀɔ˨˩	
嘹	嘹	niau˨˩	nᵈiᴀɔ˨˩	
㞠	㞠	niau˨˩	nᵈiᴀɔ˨˩	
療	疗	niau˨˩	nᵈiᴀɔ˨˩	
遼	辽	niau˨˩	nᵈiᴀɔ˨˩	
鷯	鹩	niau˨˩	nᵈiᴀɔ˨˩	
瞭	了	niau˦˨	nᵈiᴀɔ˦˧	
了	了	niau˦˨	nᵈiᴀɔ˦˧	文读
鳥	鸟	niau˦˨	nᵈiᴀɔ˦˧	
裊	袅	niau˦˨	nᵈiᴀɔ˦˧	
屌	屌	niau˦˨	nᵈiᴀɔ˦˧	憨屄入~
嬲	嬲	niau˦˨	nᵈiᴀɔ˦˧	文读
咬	咬	niau˦˨	nᵈiᴀɔ˦˧	文读
撩	撩	niau˩˧	nᵈiᴀɔ˨˦	花眉~眼；花屄~嘴
廖	廖	niau˩˧	nᵈiᴀɔ˨˦	
尿	尿	niau˩˧	nᵈiᴀɔ˨˦	
脲	脲	niau˩˧	nᵈiᴀɔ˨˦	
料	料	niau˩˧	nᵈiᴀɔ˨˦	
交	交	tɕiau˥	tɕiᴀɔ˦˥	
跤	跤	tɕiau˥	tɕiᴀɔ˦˥	
姣	姣	tɕiau˥	tɕiᴀɔ˦˥	
郊	郊	tɕiau˥	tɕiᴀɔ˦˥	
茭	茭	tɕiau˥	tɕiᴀɔ˦˥	
膠	胶	tɕiau˥	tɕiᴀɔ˦˥	
教	教	tɕiau˥	tɕiᴀɔ˦˥	~书
焦	焦	tɕiau˥	tɕiᴀɔ˦˥	
蕉	蕉	tɕiau˥	tɕiᴀɔ˦˥	
鷦	鹪	tɕiau˥	tɕiᴀɔ˦˥	
椒	椒	tɕiau˥	tɕiᴀɔ˦˥	
驕	骄	tɕiau˥	tɕiᴀɔ˦˥	
嬌	娇	tɕiau˥	tɕiᴀɔ˦˥	
矯	矫	tɕiau˥	tɕiᴀɔ˦˥	~枉过正
撟	挢	tɕiau˥	tɕiᴀɔ˦˥	
澆	浇	tɕiau˥	tɕiᴀɔ˦˥	
恔	恔	tɕiau˨˩	tɕiᴀɔ˨˩	
狡	狡	tɕiau˨˩	tɕiᴀɔ˨˩	~精，精明狡黠
攪	搅	tɕiau˨˩	tɕiᴀɔ˨˩	~屎棒
餃	饺	tɕiau˦˨	tɕiᴀɔ˦˧	
佼	佼	tɕiau˦˨	tɕiᴀɔ˦˧	
絞	绞	tɕiau˦˨	tɕiᴀɔ˦˧	
狡	狡	tɕiau˦˨	tɕiᴀɔ˦˧	
矯	矫	tɕiau˦˨	tɕiᴀɔ˦˧	
攪	搅	tɕiau˦˨	tɕiᴀɔ˦˧	文读
醮	醮	tɕiau˦˨	tɕiᴀɔ˦˧	
繳	缴	tɕiau˦˨	tɕiᴀɔ˦˧	
剿	剿	tɕiau˦˨	tɕiᴀɔ˦˧	
教	教	tɕiau˩˧	tɕiᴀɔ˨˦	
較	较	tɕiau˩˧	tɕiᴀɔ˨˦	
轎	轿	tɕiau˩˧	tɕiᴀɔ˨˦	
爝	爝	tɕiau˩˧	tɕiᴀɔ˨˦	
嚼	嚼	tɕiau˩˧	tɕiᴀɔ˨˦	
叫	叫	tɕiau˩˧	tɕiᴀɔ˨˦	
蕌	蕌	tɕiau˩˧	tɕiᴀɔ˨˦	~头
悄	悄	tɕʰiau˥	tɕʰiᴀɔ˦˥	
鍬	锹	tɕʰiau˥	tɕʰiᴀɔ˦˥	
繰	缲	tɕʰiau˥	tɕʰiᴀɔ˦˥	
劁	劁	tɕʰiau˥	tɕʰiᴀɔ˦˥	
蹺	跷	tɕʰiau˥	tɕʰiᴀɔ˦˥	
翹	翘	tɕʰiau˥	tɕʰiᴀɔ˦˥	~脚；死~~
樵	樵	tɕʰiau˨˩	tɕʰiᴀɔ˨˩	
瞧	瞧	tɕʰiau˨˩	tɕʰiᴀɔ˨˩	
翹	翘	tɕʰiau˨˩	tɕʰiᴀɔ˨˩	~的，形容笨手笨脚的样子；~起，形容扭曲不平
喬	乔	tɕʰiau˨˩	tɕʰiᴀɔ˨˩	
橋	桥	tɕʰiau˨˩	tɕʰiᴀɔ˨˩	
蕎	荞	tɕʰiau˨˩	tɕʰiᴀɔ˨˩	
巧	巧	tɕʰiau˦˨	tɕʰiᴀɔ˦˧	
蹺	跷	tɕʰiau˦˨	tɕʰiᴀɔ˦˧	蹊~
翹	翘	tɕʰiau˩˧	tɕʰiᴀɔ˨˦	
肖	肖	ɕiau˥	ɕiᴀɔ˦˥	
消	消	ɕiau˥	ɕiᴀɔ˦˥	
硝	硝	ɕiau˥	ɕiᴀɔ˦˥	
銷	销	ɕiau˥	ɕiᴀɔ˦˥	插~，即门闩
宵	宵	ɕiau˥	ɕiᴀɔ˦˥	
霄	霄	ɕiau˥	ɕiᴀɔ˦˥	
屑	屑	ɕiau˥	ɕiᴀɔ˦˥	“需要”合音：何~，即何必；不~，即没必要
僥	侥	ɕiau˥	ɕiᴀɔ˦˥	
囂	嚣	ɕiau˥	ɕiᴀɔ˦˥	
猇	猇	ɕiau˥	ɕiᴀɔ˦˥	
虓	虓	ɕiau˥	ɕiᴀɔ˦˥	
餚	肴	ɕiau˨˩	ɕiᴀɔ˨˩	
淆	淆	ɕiau˨˩	ɕiᴀɔ˨˩	
爻	爻	ɕiau˨˩	ɕiᴀɔ˨˩	
小	小	ɕiau˦˨	ɕiᴀɔ˦˧	
曉	晓	ɕiau˦˨	ɕiᴀɔ˦˧	
肖	肖	ɕiau˩˧	ɕiᴀɔ˨˦	
孝	孝	ɕiau˩˧	ɕiᴀɔ˨˦	
酵	酵	ɕiau˩˧	ɕiᴀɔ˨˦	
效	效	ɕiau˩˧	ɕiᴀɔ˨˦	
校	校	ɕiau˩˧	ɕiᴀɔ˨˦	
笑	笑	ɕiau˩˧	ɕiᴀɔ˨˦	
妖	妖	ʑau˥	jʱᴀɔ˦˥	
夭	夭	ʑau˥	jʱᴀɔ˦˥	
央	央	ʑau˥	jʱᴀɔ˦˥	恳求
邀	邀	ʑau˥	jʱᴀɔ˦˥	
腰	腰	ʑau˥	jʱᴀɔ˦˥	
要	要	ʑau˥	jʱᴀɔ˦˥	~求
孬	孬	ʑau˥	jʱᴀɔ˦˥	
吆	吆	ʑau˥	jʱᴀɔ˦˥	
幺	幺	ʑau˥	jʱᴀɔ˦˥	
么	么	ʑau˥	jʱᴀɔ˦˥	~~，感叹词，相当于“天，菩萨”
搖	摇	ʑau˨˩	jʱᴀɔ˨˩	
謠	谣	ʑau˨˩	jʱᴀɔ˨˩	
窯	窑	ʑau˨˩	jʱᴀɔ˨˩	
姚	姚	ʑau˨˩	jʱᴀɔ˨˩	
堯	尧	ʑau˨˩	jʱᴀɔ˨˩	
約	约	ʑau˨˩	jʱᴀɔ˨˩	牵郎郎，~弟弟
舀	舀	ʑau˦˨	jʱᴀɔ˦˧	
窈	窈	ʑau˦˨	jʱᴀɔ˦˧	
要	要	ʑau˩˧	jʱᴀɔ˨˦	
耀	耀	ʑau˩˧	jʱᴀɔ˨˦	
躍	跃	ʑau˩˧	jʱᴀɔ˨˦	白读
褒	褒	pəu˥	b̥ɘu˦˥	
煲	煲	pəu˥	b̥ɘu˦˥	~汤
掊	掊	pəu˦˨	b̥ɘu˦˧	
亩	亩	məu˦˨	mᵇɘu˦˧	文读
牡	牡	məu˦˨	mᵇɘu˦˧	
卯	卯	məu˦˨	mᵇɘu˦˧	地支
茂	茂	məu˩˧	mᵇɘu˨˦	文读
貿	贸	məu˩˧	mᵇɘu˨˦	文读
袤	袤	məu˩˧	mᵇɘu˨˦	
楙	楙	məu˩˧	mᵇɘu˨˦	
懋	懋	məu˩˧	mᵇɘu˨˦	
浮	浮	fəu˨˩	fɘu˨˩	
脬	脬	fəu˨˩	fɘu˨˩	~肿
缶	缶	fəu˦˨	fɘu˦˧	
阜	阜	fəu˩˧	fɘu˨˦	
埠	埠	fəu˩˧	fɘu˨˦	商~
都	都	təu˥	d̥ɘu˦˥	白读
兜	兜	təu˥	d̥ɘu˦˥	
蔸	蔸	təu˥	d̥ɘu˦˥	
逗	逗	təu˥	d̥ɘu˦˥	白读
頭	头	təu˥	d̥ɘu˦˥	石~；骨~；屋~；河~
斗	斗	təu˦˨	d̥ɘu˦˧	
頭	头	təu˦˨	d̥ɘu˦˧	跟~
陡	陡	təu˦˨	d̥ɘu˦˧	
鬭	鬭	təu˩˧	d̥ɘu˨˦	
鬬	鬬	təu˩˧	d̥ɘu˨˦	
𨷵	𨷵	təu˩˧	d̥ɘu˨˦	
𩰖	𩰖	təu˩˧	d̥ɘu˨˦	
𩰒	𩰒	təu˩˧	d̥ɘu˨˦	
闘	闘	təu˩˧	d̥ɘu˨˦	
鬪	鬪	təu˩˧	d̥ɘu˨˦	
鬥	斗	təu˩˧	d̥ɘu˨˦	文读
對	对	təu˩˧	d̥ɘu˨˦	白读，即“斗”
𧯞	𧯞	təu˩˧	d̥ɘu˨˦	
豆	豆	təu˩˧	d̥ɘu˨˦	
逗	逗	təu˩˧	d̥ɘu˨˦	文读
荳	荳	təu˩˧	d̥ɘu˨˦	
痘	痘	təu˩˧	d̥ɘu˨˦	
就	就	təu˩˧	d̥ɘu˨˦	白读
湊	凑	təu˩˧	d̥ɘu˨˦	白读，即“斗”
偷	偷	tʰəu˥	tʰɘu˦˥	文读
頭	头	tʰəu˥	tʰɘu˦˥	里~；后~；馒~
頭	头	tʰəu˨˩	tʰɘu˨˩	
投	投	tʰəu˨˩	tʰɘu˨˩	
抖	抖	tʰəu˦˨	tʰɘu˦˧	
敨	敨	tʰəu˦˨	tʰɘu˦˧	
㪗	㪗	tʰəu˦˨	tʰɘu˦˧	
透	透	tʰəu˩˧	tʰɘu˨˦	
偷	偷	ləu˥	l̃ɘu˦˥	白读
顱	颅	ləu˥	l̃ɘu˦˥	额~，即额头
摟	搂	ləu˥	l̃ɘu˦˥	向上兜住；过滤
嘍	喽	ləu˥	l̃ɘu˦˥	白读
樓	楼	ləu˨˩	l̃ɘu˨˩	
螻	蝼	ləu˨˩	l̃ɘu˨˩	
僂	偻	ləu˨˩	l̃ɘu˨˩	
婁	娄	ləu˨˩	l̃ɘu˨˩	
摟	搂	ləu˦˨	l̃ɘu˦˧	
縷	缕	ləu˦˨	l̃ɘu˦˧	
褸	褛	ləu˦˨	l̃ɘu˦˧	
嶁	嵝	ləu˦˨	l̃ɘu˦˧	
嘍	喽	ləu˦˨	l̃ɘu˦˧	文读
簍	篓	ləu˦˨	l̃ɘu˦˧	
漏	漏	ləu˩˧	l̃ɘu˨˦	
陋	陋	ləu˩˧	l̃ɘu˨˦	
鏤	镂	ləu˩˧	l̃ɘu˨˦	
鄒	邹	tsəu˥	tsɘu˦˥	
周	周	tsəu˥	tsɘu˦˥	
週	周	tsəu˥	tsɘu˦˥	
舟	舟	tsəu˥	tsɘu˦˥	
州	州	tsəu˥	tsɘu˦˥	
洲	洲	tsəu˥	tsɘu˦˥	
㥮	㤘	tsəu˨˩	tsɘu˨˩	白读
走	走	tsəu˦˨	tsɘu˦˧	
肘	肘	tsəu˦˨	tsɘu˦˧	
帚	帚	tsəu˦˨	tsɘu˦˧	
奏	奏	tsəu˩˧	tsɘu˨˦	
揍	揍	tsəu˩˧	tsɘu˨˦	
晝	昼	tsəu˩˧	tsɘu˨˦	
紂	纣	tsəu˩˧	tsɘu˨˦	
宙	宙	tsəu˩˧	tsɘu˨˦	
胄	胄	tsəu˩˧	tsɘu˨˦	
㑳	㑳	tsəu˩˧	tsɘu˨˦	
縐	绉	tsəu˩˧	tsɘu˨˦	
皺	皱	tsəu˩˧	tsɘu˨˦	文读
㑇	㑇	tsəu˩˧	tsɘu˨˦	
䋓	䋓	tsəu˩˧	tsɘu˨˦	
肘	肘	tsəu˩˧	tsɘu˨˦	硬~
咒	咒	tsəu˩˧	tsɘu˨˦	
築	筑	tsəu˩˧	tsɘu˨˦	装填
做	做	tsəu˩˧	tsɘu˨˦	白读
搊	搊	tsʰəu˥	tsʰɘu˦˥	推
𢫧	𢫧	tsʰəu˥	tsʰɘu˦˥	
𢬞	𢬞	tsʰəu˥	tsʰɘu˦˥	
𢬆	𢬆	tsʰəu˥	tsʰɘu˦˥	
𢬟	𢬟	tsʰəu˥	tsʰɘu˦˥	
𢮢	𢮢	tsʰəu˥	tsʰɘu˦˥	
㨄	㨄	tsʰəu˥	tsʰɘu˦˥	
掫	掫	tsʰəu˥	tsʰɘu˦˥	扶
抽	抽	tsʰəu˥	tsʰɘu˦˥	
綢	绸	tsʰəu˨˩	tsʰɘu˨˩	
稠	稠	tsʰəu˨˩	tsʰɘu˨˩	
籌	筹	tsʰəu˨˩	tsʰɘu˨˩	
躊	踌	tsʰəu˨˩	tsʰɘu˨˩	
售	售	tsʰəu˨˩	tsʰɘu˨˩	白读
愁	愁	tsʰəu˨˩	tsʰɘu˨˩	
仇	仇	tsʰəu˨˩	tsʰɘu˨˩	
酬	酬	tsʰəu˨˩	tsʰɘu˨˩	
醜	丑	tsʰəu˦˨	tsʰɘu˦˧	
丑	丑	tsʰəu˦˨	tsʰɘu˦˧	
瞅	瞅	tsʰəu˦˨	tsʰɘu˦˧	
湊	凑	tsʰəu˩˧	tsʰɘu˨˦	文读
驟	骤	tsʰəu˩˧	tsʰɘu˨˦	文读
臭	臭	tsʰəu˩˧	tsʰɘu˨˦	
搜	搜	səu˥	sɘu˦˥	
颼	飕	səu˥	sɘu˦˥	
餿	馊	səu˥	sɘu˦˥	
嗖	嗖	səu˥	sɘu˦˥	
蒐	蒐	səu˥	sɘu˦˥	
收	收	səu˥	sɘu˦˥	
手	手	səu˦˨	sɘu˦˧	
首	首	səu˦˨	sɘu˦˧	
守	守	səu˦˨	sɘu˦˧	
叟	叟	səu˦˨	sɘu˦˧	
嗽	嗽	səu˩˧	sɘu˨˦	
瘦	瘦	səu˩˧	sɘu˨˦	
獸	兽	səu˩˧	sɘu˨˦	
壽	壽	səu˩˧	sɘu˨˦	
夀	寿	səu˩˧	sɘu˨˦	
受	受	səu˩˧	sɘu˨˦	
授	授	səu˩˧	sɘu˨˦	
售	售	səu˩˧	sɘu˨˦	文读
柔	柔	zəu˨˩	zɘu˨˩	
揉	揉	zəu˨˩	zɘu˨˩	
蹂	蹂	zəu˨˩	zɘu˨˩	
糅	糅	zəu˨˩	zɘu˨˩	
呕	呕	Øəu˥	Øɘu˦˥	句末语气词，表示提醒或警告
吘	吘	Øəu˩˧	Øɘu˨˦	
剖	剖	pʰiəu˥	pʰiɘu˦˥	~直白，即讲解清楚
謬	谬	miəu˩˧	mᵇiɘu˨˦	
繆	缪	miəu˩˧	mᵇiɘu˨˦	
丟	丢	tiəu˥	d̥iɘu˦˥	文读
銩	铥	tiəu˥	d̥iɘu˦˥	
丟	丢	niəu˥	nᵈiɘu˦˥	白读
溜	溜	niəu˥	nᵈiɘu˦˥	
遛	遛	niəu˥	nᵈiɘu˦˥	
餾	馏	niəu˥	nᵈiɘu˦˥	
瘤	瘤	niəu˥	nᵈiɘu˦˥	
揪	揪	niəu˥	nᵈiɘu˦˥	白读
流	流	niəu˨˩	nᵈiɘu˨˩	
硫	硫	niəu˨˩	nᵈiɘu˨˩	
琉	琉	niəu˨˩	nᵈiɘu˨˩	
留	留	niəu˨˩	nᵈiɘu˨˩	
榴	榴	niəu˨˩	nᵈiɘu˨˩	
劉	刘	niəu˨˩	nᵈiɘu˨˩	
牛	牛	niəu˨˩	nᵈiɘu˨˩	
柳	柳	niəu˦˨	nᵈiɘu˦˧	
紐	纽	niəu˦˨	nᵈiɘu˦˧	
鈕	钮	niəu˦˨	nᵈiɘu˦˧	
扭	扭	niəu˦˨	nᵈiɘu˦˧	文读
酉	酉	niəu˦˨	nᵈiɘu˦˧	~阳
扭	扭	niəu˩˧	nᵈiɘu˨˦	白读
溜	溜	niəu˩˧	nᵈiɘu˨˦	灵活、敏捷
餾	馏	niəu˩˧	nᵈiɘu˨˦	~馒头
揪	揪	tɕiəu˥	tɕiɘu˦˥	文读
鬏	鬏	tɕiəu˥	tɕiɘu˦˥	
鳩	鸠	tɕiəu˥	tɕiɘu˦˥	
鬮	阄	tɕiəu˥	tɕiɘu˦˥	
灸	灸	tɕiəu˥	tɕiɘu˦˥	
糾	纠	tɕiəu˥	tɕiɘu˦˥	文读
赳	赳	tɕiəu˥	tɕiɘu˦˥	
糾	纠	tɕiəu˨˩	tɕiɘu˨˩	白读，指从中抓到
酒	酒	tɕiəu˦˨	tɕiɘu˦˧	
九	九	tɕiəu˦˨	tɕiɘu˦˧	
玖	玖	tɕiəu˦˨	tɕiɘu˦˧	
㺵	㺵	tɕiəu˦˨	tɕiɘu˦˧	
久	久	tɕiəu˦˨	tɕiɘu˦˧	
韭	韭	tɕiəu˦˨	tɕiɘu˦˧	
㲃	㲃	tɕiəu˦˨	tɕiɘu˦˧	拧
就	就	tɕiəu˩˧	tɕiɘu˨˦	文读
救	救	tɕiəu˩˧	tɕiɘu˨˦	
究	究	tɕiəu˩˧	tɕiɘu˨˦	
舊	旧	tɕiəu˩˧	tɕiɘu˨˦	
柩	柩	tɕiəu˩˧	tɕiɘu˨˦	
疚	疚	tɕiəu˩˧	tɕiɘu˨˦	
舅	舅	tɕiəu˩˧	tɕiɘu˨˦	
臼	臼	tɕiəu˩˧	tɕiɘu˨˦	
咎	咎	tɕiəu˩˧	tɕiɘu˨˦	
髻	髻	tɕiəu˩˧	tɕiɘu˨˦	盘龙~
廄	厩	tɕiəu˩˧	tɕiɘu˨˦	
秋	秋	tɕʰiəu˥	tɕʰiɘu˦˥	
鰍	鳅	tɕʰiəu˥	tɕʰiɘu˦˥	
邱	邱	tɕʰiəu˥	tɕʰiɘu˦˥	
蚯	蚯	tɕʰiəu˥	tɕʰiɘu˦˥	
丘	丘	tɕʰiəu˥	tɕʰiɘu˦˥	
煪	煪	tɕʰiəu˥	tɕʰiɘu˦˥	
煍	煍	tɕʰiəu˥	tɕʰiɘu˦˥	烟熏
囚	囚	tɕʰiəu˨˩	tɕʰiɘu˨˩	
泅	泅	tɕʰiəu˨˩	tɕʰiɘu˨˩	
酋	酋	tɕʰiəu˨˩	tɕʰiɘu˨˩	
仇	仇	tɕʰiəu˨˩	tɕʰiɘu˨˩	姓氏
求	求	tɕʰiəu˨˩	tɕʰiɘu˨˩	
球	球	tɕʰiəu˨˩	tɕʰiɘu˨˩	
㞗	㞗	tɕʰiəu˨˩	tɕʰiɘu˨˩	
毬	毬	tɕʰiəu˨˩	tɕʰiɘu˨˩	
去	去	tɕʰiəu˩˧	tɕʰiɘu˨˦	~年
修	修	ɕiəu˥	ɕiɘu˦˥	
羞	羞	ɕiəu˥	ɕiɘu˦˥	
休	休	ɕiəu˥	ɕiɘu˦˥	
瘊	瘊	ɕiəu˥	ɕiɘu˦˥	
䞀	䞀	ɕiəu˨˩	ɕiɘu˨˩	
睺	睺	ɕiəu˨˩	ɕiɘu˨˩	
㮢	㮢	ɕiəu˨˩	ɕiɘu˨˩	
朽	朽	ɕiəu˦˨	ɕiɘu˦˧	
糗	糗	ɕiəu˦˨	ɕiɘu˦˧	
咻	咻	ɕiəu˦˨	ɕiɘu˦˧	
秀	秀	ɕiəu˩˧	ɕiɘu˨˦	
繡	绣	ɕiəu˩˧	ɕiɘu˨˦	
鏽	锈	ɕiəu˩˧	ɕiɘu˨˦	
宿	宿	ɕiəu˩˧	ɕiɘu˨˦	星~
嗅	嗅	ɕiəu˩˧	ɕiɘu˨˦	文读
勾	勾	kiəu˥	ɟ̊iɘu˦˥	
鉤	钩	kiəu˥	ɟ̊iɘu˦˥	
佝	佝	kiəu˥	ɟ̊iɘu˦˥	
溝	沟	kiəu˥	ɟ̊iɘu˦˥	
佝	佝	kiəu˨˩	ɟ̊iɘu˨˩	~起~起的，指勾腰驼背的样子
狗	狗	kiəu˦˨	ɟ̊iɘu˦˧	
枸	枸	kiəu˦˨	ɟ̊iɘu˦˧	~杞
岣	岣	kiəu˦˨	ɟ̊iɘu˦˧	
苟	苟	kiəu˦˨	ɟ̊iɘu˦˧	
勾	勾	kiəu˩˧	ɟ̊iɘu˨˦	~当；姓氏；地名
夠	够	kiəu˩˧	ɟ̊iɘu˨˦	
苟	苟	kiəu˩˧	ɟ̊iɘu˨˦	姓氏
句	句	kiəu˩˧	ɟ̊iɘu˨˦	姓氏
敬	敬	kiəu˩˧	ɟ̊iɘu˨˦	姓氏
垢	垢	kiəu˩˧	ɟ̊iɘu˨˦	
逅	逅	kiəu˩˧	ɟ̊iɘu˨˦	
構	构	kiəu˩˧	ɟ̊iɘu˨˦	
購	购	kiəu˩˧	ɟ̊iɘu˨˦	
媾	媾	kiəu˩˧	ɟ̊iɘu˨˦	
扣	扣	kʰiəu˥	cʰiɘu˦˥	皮帶~~
摳	抠	kʰiəu˥	cʰiɘu˦˥	
瞘	眍	kʰiəu˥	cʰiɘu˦˥	
口	口	kʰiəu˦˨	cʰiɘu˦˧	
叩	叩	kʰiəu˩˧	cʰiɘu˨˦	
扣	扣	kʰiəu˩˧	cʰiɘu˨˦	
寇	寇	kʰiəu˩˧	cʰiɘu˨˦	
蔻	蔻	kʰiəu˩˧	cʰiɘu˨˦	
歐	欧	ŋiəu˥	ɲᶡiɘu˦˥	
毆	殴	ŋiəu˥	ɲᶡiɘu˦˥	
謳	讴	ŋiəu˥	ɲᶡiɘu˦˥	
摳	抠	ŋiəu˥	ɲᶡiɘu˦˥	~心挖肚
區	区	ŋiəu˥	ɲᶡiɘu˦˥	姓氏
藕	藕	ŋiəu˦˨	ɲᶡiɘu˦˧	
耦	耦	ŋiəu˦˨	ɲᶡiɘu˦˧	
偶	偶	ŋiəu˦˨	ɲᶡiɘu˦˧	
嘔	呕	ŋiəu˦˨	ɲᶡiɘu˦˧	
毆	殴	ŋiəu˦˨	ɲᶡiɘu˦˧	~打
漚	沤	ŋiəu˩˧	ɲᶡiɘu˨˦	文读
慪	怄	ŋiəu˩˧	ɲᶡiɘu˨˦	
齁	齁	xiəu˥	çiɘu˦˥	
呴	呴	xiəu˥	çiɘu˦˥	即“齁”
咻	咻	xiəu˥	çiɘu˦˥	即“齁”
吼	吼	xiəu˥	çiɘu˦˥	镇压
吽	吽	xiəu˥	çiɘu˦˥	
侯	侯	xiəu˨˩	çiɘu˨˩	
猴	猴	xiəu˨˩	çiɘu˨˩	
喉	喉	xiəu˨˩	çiɘu˨˩	文读
瘊	瘊	xiəu˨˩	çiɘu˨˩	
吼	吼	xiəu˦˨	çiɘu˦˧	
後	后	xiəu˩˧	çiɘu˨˦	
厚	厚	xiəu˩˧	çiɘu˨˦	
候	候	xiəu˩˧	çiɘu˨˦	
憂	忧	ʑəu˥	jʱɘu˦˥	
優	优	ʑəu˥	jʱɘu˦˥	
悠	悠	ʑəu˥	jʱɘu˦˥	
攸	攸	ʑəu˥	jʱɘu˦˥	
幽	幽	ʑəu˥	jʱɘu˦˥	
佑	佑	ʑəu˥	jʱɘu˦˥	经~，指关心、照顾
尤	尤	ʑəu˨˩	jʱɘu˨˩	
疣	疣	ʑəu˨˩	jʱɘu˨˩	
肬	肬	ʑəu˨˩	jʱɘu˨˩	
郵	邮	ʑəu˨˩	jʱɘu˨˩	
由	由	ʑəu˨˩	jʱɘu˨˩	
油	油	ʑəu˨˩	jʱɘu˨˩	
猶	犹	ʑəu˨˩	jʱɘu˨˩	
毓	毓	ʑəu˨˩	jʱɘu˨˩	~秀路
酉	酉	ʑəu˦˨	jʱɘu˦˧	
有	有	ʑəu˦˨	jʱɘu˦˧	
友	友	ʑəu˦˨	jʱɘu˦˧	
㕛	㕛	ʑəu˦˨	jʱɘu˦˧	
誘	诱	ʑəu˩˧	jʱɘu˨˦	
莠	莠	ʑəu˩˧	jʱɘu˨˦	
釉	釉	ʑəu˩˧	jʱɘu˨˦	
柚	柚	ʑəu˩˧	jʱɘu˨˦	
又	又	ʑəu˩˧	jʱɘu˨˦	
右	右	ʑəu˩˧	jʱɘu˨˦	
佑	佑	ʑəu˩˧	jʱɘu˨˦	
祐	祐	ʑəu˩˧	jʱɘu˨˦	
幼	幼	ʑəu˩˧	jʱɘu˨˦	
般	般	pan˥	b̥ɐ̃˦˥	
搬	搬	pan˥	b̥ɐ̃˦˥	
班	班	pan˥	b̥ɐ̃˦˥	
斑	斑	pan˥	b̥ɐ̃˦˥	
頒	颁	pan˥	b̥ɐ̃˦˥	
扳	扳	pan˥	b̥ɐ̃˦˥	
掰	掰	pan˥	b̥ɐ̃˦˥	
闆	板	pan˦˨	b̥ɐ̃˦˧	
板	板	pan˦˨	b̥ɐ̃˦˧	
版	版	pan˦˨	b̥ɐ̃˦˧	
阪	阪	pan˦˨	b̥ɐ̃˦˧	
坂	坂	pan˦˨	b̥ɐ̃˦˧	
㩯	㩯	pan˦˨	b̥ɐ̃˦˧	扭动
拚	拚	pan˦˨	b̥ɐ̃˦˧	~命，指挣扎
扮	扮	pan˩˧	b̥ɐ̃˨˦	
辦	办	pan˩˧	b̥ɐ̃˨˦	
瓣	瓣	pan˩˧	b̥ɐ̃˨˦	
半	半	pan˩˧	b̥ɐ̃˨˦	
伴	伴	pan˩˧	b̥ɐ̃˨˦	
拌	拌	pan˩˧	b̥ɐ̃˨˦	
