t0用字	记音	备注																
多	to1																	
拖	tʰo1																	
他	tʰa1																	
駝	tʰo2																	
馱	tʰo2																	
陀	tʰo2																	
沱	tʰo2																	
鸵	tʰo2																	
舵	to5																	
大	tʰai3																	
大	ta5																	
馱	tʰo2																	
挪	lo2																	
哪	la2																	
那	la5																	
羅	lo2																	
鑼	lo2																	
籮	lo2																	
萝	lo2																	
逻	lo2																	
左	ʦo3																	
佐	ʦo3																	
搓	ʦʰo1																	
娑	so1																	
娑	sa1																	
歌	ko1																	
哥	ko1																	
柯	kʰo1																	
個	ko5																	
可	kʰo3																	
蛾	ŋo2																	
鵝	ŋo2																	
俄	ŋo2																	
娥	ŋo2																	
我	ŋo3																	
餓	uo5																	
荷	xo2																	
河	xo2																	
何	xo2																	
荷	xo2																	
賀	xo5																	
阿	ŋa1																	
阿	ŋo1																	
茄	ʨʰye2																	
波	po1																	
菠	po1																	
跛	pai1																	
跛	po3																	
簸	po3																	
頗	pʰo2																	
坡	pʰo1																	
玻	po1																	
破	pʰo5																	
婆	pʰo2																	
薄	po2																	
薄	po5																	
魔	mo2																	
磨	mo2																	
摩	mo1																	
饃	mo2																	
蘑	mo2																	
磨	mo2																	
朵	to3																	
躲	to3																	
剁	to4																	
妥	tʰo3																	
椭	tʰo3																	
唾	tʰo5																	
惰	to5																	
堕	to5																	
挼	zua2																	
糯	lo5																	
懦	lo5																	
騾	lo2																	
螺	lo2																	
腡	lo2																	
囉	lo2																	
裸	lo3																	
瘰	lo3																	
摞	lo5																	
銼	ʦʰo5																	
莝	ʦʰo5																	
矬	ʦʰo2																	
坐	ʦo5																	
座	ʦo5																	
蓑	so1																	
梭	so1																	
唆	so1																	
莎	sa1																	
鎖	so3																	
瑣	so3																	
唢	so3																	
鍋	kuo1																	
戈	ko2																	
果	kuo3																	
裹	kuo3																	
馃	kuo3																	
過	kuo5																	
科	kʰo1																	
窠	kʰua1																	
棵	kʰuo3																	
顆	kʰuo3																	
課	kʰo5																	
訛	ŋo2																	
臥	uo5																	
火	xuo3																	
夥	xuo3																	
貨	xuo5																	
和	xuo2																	
禾	xuo2																	
禍	xuo5																	
和	xuo5																	
倭	uo1																	
踒	uo1																	
窝	uo1																	
涡	uo1																	
莴	uo1																	
涴	uo5																	
瘸	ʨʰye2																	
靴	ɕye2																	
巴	pa1																	
芭	pa1																	
疤	pa1																	
笆	pa1																	
把	pa3																	
靶	pa3																	
霸	pa5																	
欛	pa5																	
壩	pa5																	
垻	pa5																	
爸	pa2																	
怕	pʰa5																	
帕	pʰa5																	
爬	pʰa2																	
爬	pa1																	
琶	pa1																	
杷	pa1																	
鈀	pa1																	
耙	pʰa2																	
麻	ma2																	
痲	ma2																	
蟆	ma1																	
媽	ma1																	
馬	ma3																	
碼	ma3																	
螞	ma3																	
駡	ma5																	
拿	la2																	
茶	ʦʰa2																	
搽	ʦʰa2																	
䖳	ʦʰa5																	
查	ʦʰa2																	
渣	ʦa1																	
詐	ʦa5																	
榨	ʦa5																	
炸	ʦa2																	
炸	ʦa5																	
叉	ʦʰa1																	
杈	ʦʰa1																	
差	ʦʰa1																	
岔	ʦʰa5																	
差	ʦʰai1																	
茬	ʦʰa2																	
