来源：	任冲 2018《山西偏关方言语音研究》；sainirwuu, Skanda, Hynuza 整理录入
m	［2］埋{藏～～：捉迷藏}梅枚媒煤{：面状的煤}□{：笛子}［3］买每［5］卖迈妹昧
f	［1］非飞妃［2］肥［3］匪翡{～翠}［5］废肺吠痱{～子}费{～用}
v	［1］歪危逶微威违［2］桅{船～杆}为{作～}维惟遗唯围［3］痿伪维委萎{枯～}尾={末～}伟苇{～子：芦草}纬［5］外卫为{～什么}为未味魏畏慰胃谓煨
t	［1］呆［3］逮［5］待怠殆戴贷代袋带大{～夫}
tʰ	［1］胎［2］台{天～}苔{青～}抬□{：藏起来}［5］态太泰
n	［1］□{：“哪一”的合音}［2］挨{～打}崖{山～}［3］奶［5］乃耐奈内□{：“那一”的合音}
l	［2］来羸［5］赖癞
ts	［1］灾栽斋［2］贼［3］宰载{年～}［5］在再载{～重}载{满～}债寨
tsʰ	［1］猜钗差{出～}［2］才材财裁裁豺柴［3］彩採睬［5］菜蔡
s	［1］腮鳃筛{～子}［5］塞={边～}赛晒
tʂ	［1］□{：“这一”的合音}
tʂʰ	［1］□{麻～：麻疹；痘～：水痘；康～：天花}
k	［5］□{“给一”的合音，“你把碗洗～下”}
x	［2］孩［3］海［5］亥害
#uei
t	［1］堆［5］对碓队兑
tʰ	［1］推［3］腿［5］褪退蜕{～皮}
l	［2］雷［3］儡{傀～}累{～积}垒［5］累{极困}累{连～}类泪
ts	［1］追椎{墓圪～：坟墓}［3］嘴［5］罪最醉坠
tsʰ	［1］崔{姓}催炊［2］槌锤［5］脆翠粹{纯～}
s	［1］虽衰［2］隋绥［3］髓［5］率{～领}碎岁遂隧{～道}穗
tʂ	［1］锥［5］拽{拖}缀{点～}赘
tʂʰ	［1］吹［2］垂［3］揣{～度}［5］□{：胆小，害羞}
ʂ	［2］谁［3］水［5］税睡瑞帅
ʐ	［3］蕊［5］芮{姓}锐
k	［1］乖圭闺规龟归［3］拐诡轨癸鬼［5］怪鳜{～鱼}桂跪柜贵
kʰ	［1］盔亏窥奎［2］魁傀{～儡}逵葵［5］块会{～计}刽快筷愧匮
x	［1］灰挥辉徽恢［2］回茴{～香}怀槐淮［3］悔［5］桧贿汇{～合}晦溃{发～}会{开～}会{～不～}绘坏慧惠秽讳汇{词～}
#ɔo
p	［1］褒{～奖}包胞［3］保堡宝饱［5］雹抱报暴菢{～小鸡}鲍{姓，～鱼}豹爆
pʰ	［1］抛［2］袍刨{～地}剖［3］跑［5］炮泡{～在水里}刨
