#调值	[1]33 [2]31 [3]242 [5]214 [6]35 [7]411
p	
toŋ33 冬东	
toŋ35 洞动	
tʰ	
tʰa33 他	
tʰa35 踏	
tʰa411 塌遢溻塔獭榻	
tʰai214 太泰态	
tʰai31 苔台抬	
tʰai33 胎	
tʰan214 炭探叹	
tʰan242 坦毯	
tʰan31 弹痰谈潭坛檀谭团	
tʰan33 坍贪摊滩瘫	
tʰɑŋ214 趟烫	
tʰɑŋ242 倘躺	
tʰɑŋ31 唐堂棠塘糖螳	
tʰɑŋ33 汤□{光~：好看}	
tʰau214 套	
tʰau242 讨	
tʰau31 逃桃陶萄淘	
tʰau33 叨掏滔涛	
tʰɛ411 特	
tʰei214 蜕	
tʰei242 腿	
tʰei31 颓	
tʰən242 等	
tʰən31 疼誊藤腾屯豚臀	
tʰən33 吞	
tʰəu214 透兔	
tʰəu242 土吐	
tʰəu31 投头途屠涂图	
tʰəu33 偷	
tʰəu411 凸秃突徒	
tʰi214 涤剔剃涕屉替退褪	
tʰi242 体	
tʰi31 堤啼蹄题	
tʰi33 梯推	
tʰi411 踢	
tʰian242 忝腆舔	
tʰian31 田甜填	
tʰian33 天添	
tʰiau214 跳粜	
tʰiau31 调条	
tʰiau33 挑	
tʰiɛ411 帖贴铁	
tʰin214 听	
tʰin242 铤挺艇	
tʰin31 廷亭庭停蜓	
tʰin33 汀厅	
tʰo214 唾	
tʰo242 妥椭	
tʰo31 驼□{~打：挨打}	
tʰo33 拖	
tʰo35 夺	
tʰo411 踱拓托讬脱拓	
tʰoŋ214 痛	
tʰoŋ242 捅桶桶统	
tʰoŋ31 同桐童铜瞳筒	
tʰoŋ33 通熥	
n	
n242 你	
na242 哪	
na31 拿	
na33 垃拉捺	
na411 瘌辣腊蜡镴纳	
nai242 乃奶	
nai31 来	
nai35 赖濑癞那奈耐	
nan242 懒览揽榄卵暖	
nan31 婪蓝拦兰篮栏鸾男南难难	
nan35 缆滥烂郎乱	
nɑŋ242 朗□{头发被火烧了}	
nɑŋ31 狼廊螂囊曩	
nɑŋ214 浪	
nau242 老姥恼	
nau31 捞牢劳唠痨涝	
nau35 闹	
nɛ411 勒肋	
nei242 儡垒馁	
nei31 擂	
nei35 累累类内	
nən242 冷	
nən31 棱伦仑沦轮能	
nən35 愣论论嫩	
nəu242 搂搂篓卤鲁橹努	
nəu31 楼卢芦庐炉鸬虏	
nəu35 陋漏路露鹭	
nəu411 六陆鹿禄赂录绿奴□{邪完了}	
ni33□{翻跟头}	
ni242 李里理里礼鲤履缕拟	
ni31 雷梨犁璃狸黎厘离离篱尼倪	
ni35 累泪吏利例荔莉痢厉励丽律虑滤	
ni411 力立栗笠粒历隶逆匿溺腻	
nian242 脸辇	
nian31 连莲廉怜联帘镰敛敛	
nian33 黏	
nian35 楝练殓炼链恋验	
niɑŋ31 粱	
niɑŋ242 两两	
niɑŋ31 良凉梁粮量娘	
niɑŋ35 亮量辆谅酿	
niau33 撩	
niau242 了瞭镣鸟	
niau31 聊僚寥撩辽燎疗尥	
niau35 料廖廖	
niɛ411 劣烈裂猎蹑镊	
niəu242 纽	
niəu31 留流琉榴刘馏	
niəu33 溜	
niəu35 柳	
nin242 凛檩领岭令	
nin31拎林淋邻燐临磷鳞伶凌陵菱翎零铃龄灵宁宁凝佞	
nin35 吝赁另	
nio411 掠虐疟	
no242 裸	
no31 骆脶螺罗骡萝箩锣挪	
no33 啰	
no35 摞诺糯	
no411 烙酪洛落络乐	
noŋ242 陇拢垄	
noŋ31 隆龙窿咙胧砻笼农侬浓脓	
noŋ33 聋	
noŋ35 弄怒	
ts	
tsa33 脏	
tsa31 杂	
tsa411 眨柞□{用缝纫机缝衣服}	
tsai214 再	
tsai242 宰	
tsai33 灾栽	
tsai35 载在	
tso31 凿□{倔}	
tso242 撮左	
tso411 昨蚱捉	
tso214 座坐	
tsan214 赞蘸	
tsan242 攒斩盏□{挪移}	
tsan33 簪钻{钻进去}	
tsan35 暂錾	
tsɑŋ214 葬臟	
tsɑŋ33 赃	
tsau214 躁灶	
tsau242 早蚤枣澡皂	
tsau33 遭糟	
tsɛ31 宅	
tsɛ411 侧则责仄摘窄	
tsei411 贼	
tsən214 憎甑赠	
tsən33 曾增争筝踭	
tsəu214 助	
tsəu35 骤	
tsoŋ214 皱绉粽纵	
tsoŋ242 总	
tsoŋ33 宗综棕踪	
tsʰ	
tsʰai214 菜蔡	
tsʰɿ214 次刺赐	
tsʰɿ242 此	
tsʰɿ31 瓷词慈磁雌糍辞	
tsʰɿ33 差疵	
tsʰai31 才材财裁才柴豺	
tsʰai33 猜揣	
tsʰan214 灿颤蹿篡窜	
tsʰan242 惨产铲	
tsʰan31 残惭蚕搀潺谗馋	
tsʰan33 参餐	
tsʰɑŋ214 藏创	
tsʰɑŋ31 藏床	
tsʰɑŋ33 仓苍舱疮	
tsʰau214 糙造燥	
tsʰau242 草	
tsʰau31 曹槽巢	
tsʰau33 操	
tsʰɛ411 册厕策测恻䜺拆	
tsʰei214 脆悴粹翠	
tsʰei33 崔催摧	
tsʰən214 蹭衬牚忖寸	
tsʰən31 岑曾层存	
tsʰən33 参撑皴	
tsʰəu214 凑醋措	
tsʰəu242 瞅础	
tsʰəu31 愁锄	
tsʰəu33 搊粗	
tsʰəu411 促猝	
tsʰo33 搓	
tsʰoŋ31 崇从从丛	
tsʰoŋ33 匆葱聪	
tsʰo214 戳矬挫锉错错	
s	
sa31 撒萨刷	
sa33□{大手脚}	
sa35 洒	
sau33 骚臊	
sau242 扫嫂	
san33 三删闩酸	
san242 伞	
san214 散涮蒜算	
sai33 腮鳃筛	
sai214 赛晒	
sai31□{打颤}	
sai242□{甩}	
sɑŋ33 桑霜	
sei242 髓	
sei31 随	
sei214 遂隧穗	
səu33 梳疏蔬搜馊飕苏	
səu242 叟	
səu214 瘦漱数嗽素诉嗉肃	
sɑŋ214 丧	
sei33 虽	
sən214 渗	
sən242 省笋损榫	
sən33 参森僧生牲笙甥孙	
səu411 赎俗速粟缩宿续	
sɑŋ242 搡嗓磉爽	
sɿ214 祠四肆士	
sɿ242 史使驶死巳	
sɿ33 师狮司私思斯丝撕厮蛳	
sɿ35 仕似事侍柿恃寺伺祀嗣饲	
so242 所琐锁	
so33 唆娑梭蓑	
