声母	韵母	声调	字	注释	
s	ɿ	1	稀		1
s	ɿ	3	死		1
s	ɿ	3	使		1
s	ɿ	3	史		1
s	ɿ	3	始		1
s	ɿ	5	世		1
s	ɿ	5	势		1
s	ɿ	5	赐		1
s	ɿ	5	戏		1
s	ɿ	5	四		1
s	ɿ	5	肆		1
s	ɿ	5	矢		1
s	ɿ	5	试		1
z	ɿ	2	匙		1
z	ɿ	2	瓷		1
z	ɿ	2	餐		1
z	ɿ	2	慈		1
z	ɿ	2	磁		1
z	ɿ	2	辞		1
z	ɿ	2	词		1
z	ɿ	2	祠		1
z	ɿ	2	时		1
z	ɿ	2	鲥		1
z	ɿ	6	誓		1
z	ɿ	6	是		1
z	ɿ	6	氏		1
z	ɿ	6	自		1
z	ɿ	6	示		1
z	ɿ	6	视		1
z	ɿ	6	嗜		1
z	ɿ	6	似		1
z	ɿ	6	祀		1
z	ɿ	6	巳		1
z	ɿ	6	字		1
z	ɿ	6	伺		1
z	ɿ	6	寺		1
z	ɿ	6	嗣		1
z	ɿ	6	饲		1
z	ɿ	6	士		1
z	ɿ	6	仕		1
z	ɿ	6	柿		1
z	ɿ	6	市		1
z	ɿ	6	恃		1
z	ɿ	6	侍		1
p	i	3	陛		1
p	i	3	比		1
p	i	3	秕		1
p	i	5	闭		1
p	i	5	臂		1
p	i	5	庇		1
pʰ	i	1	批		1
pʰ	i	1	披		1
pʰ	i	1	篇		1
pʰ	i	3	丕		1
pʰ	i	5	譬		1
pʰ	i	5	屁		1
pʰ	i	5	鼻		1
b	i	2	疲		1
b	i	2	脾		1
b	i	2	彼		1
b	i	2	琵		1
b	i	2	枇		1
b	i	2	便		1
b	i	6	敝		1
b	i	6	弊		1
b	i	6	币		1
b	i	6	毙		1
b	i	6	鐾		1
b	i	6	被		1
b	i	6	避		1
b	i	6	备		1
b	i	6	篦		1
m	i	2	眉		1
m	i	2	楣		1
m	i	2	媚		1
m	i	3	免		1
m	i	3	勉		1
m	i	3	娩		1
m	i	3	缅		1
m	i	6	寐		1
m	i	6	饵		1
f	i	1	非		1
f	i	3	榧		1
f	i	5	废		1
f	i	5	肺		1
f	i	5	费		1
f	i	5	翡		1
t	i	1	低		1
t	i	5	帝		1
t	i	5	蒂		1
tʰ	i	1	撕		1
tʰ	i	5	替		1
tʰ	i	5	涕		1
tʰ	i	5	剃		1
d	i	2	啼		1
d	i	2	迟		1
d	i	6	弟		1
d	i	6	地		1
l	i	2	来		1
l	i	2	黎		1
l	i	2	离		1
l	i	2	篱		1
l	i	2	璃		1
l	i	2	梨		1
l	i	2	厘		1
l	i	2	狸		1
l	i	2	廉		1
l	i	2	镰		1
l	i	2	莲		1
l	i	2	楝		1
l	i	2	恋		1
l	i	3	礼		1
l	i	3	李		1
l	i	3	里		1
l	i	3	裏		1
l	i	3	理		1
l	i	3	鲤		1
l	i	3	敛		1
l	i	3	脸		1
l	i	6	厉		1
l	i	6	励		1
l	i	6	丽		1
l	i	6	隸		1
l	i	6	利		1
l	i	6	痢		1
l	i	6	吏		1
tɕ	i	1	遮		1
tɕ	i	5	借		1
tɕ	i	5	蔗		1
tɕ	i	5	隻		1
tɕ	i	5	脊		1
tɕʰ	i	1	妻		1
tɕʰ	i	1	栖		1
tɕʰ	i	3	扯		1
tɕʰ	i	3	杞		1
tɕʰ	i	5	妾		1
tɕʰ	i	5	讫		1
ȵ	i	2	倪		1
ȵ	i	2	宜		1
ȵ	i	2	谊		1
ȵ	i	3	蚁		1
ȵ	i	3	耳		1
ȵ	i	6	仪		1
ȵ	i	6	义		1
ȵ	i	6	议		1
ȵ	i	6	毅		1
ɕ	i	1	些		1
ɕ	i	1	奢		1
ɕ	i	1	赊		1
ɕ	i	1	犀		1
ɕ	i	1	兮		1
ɕ	i	1	牺		1
ɕ	i	1	熙		1
ɕ	i	3	洗	文	1
ɕ	i	3	喜		1
ɕ	i	5	泻		1
ɕ	i	5	卸		1
ɕ	i	5	赦		1
ɕ	i	5	细		1
ɕ	i	5	携		1
ʑ	i	2	邪		1
ʑ	i	2	斜		1
ʑ	i	2	佘		1
ʑ	i	2	畲		1
ʑ	i	6	谢		1
ʑ	i	6	社		1
ʑ	i	6	射		1
ʑ	i	6	麝		1
ʑ	i	6	逝		1
ʑ	i	6	食		1
ʑ	i	6	蚀		1
ɦ	i	2	耶		1
ɦ	i	2	爷		1
ɦ	i	2	奚		1
ɦ	i	2	移		1
ɦ	i	2	倚		1
ɦ	i	2	夷		1
ɦ	i	2	姨		1
ɦ	i	2	肄		1
ɦ	i	2	饴		1
ɦ	i	2	异		1
ɦ	i	6	夜		1
ɦ	i	6	艳		1
ɦ	i	6	焰		1
ɦ	i	6	盐		1
ɦ	i	6	谚		1
零	i	1	瞖		1
零	i	1	伊		1
零	i	1	医		1
零	i	1	矣		1
零	i	1	依		1
零	i	3	野		1
零	i	3	椅		1
零	i	3	已		1
零	i	3	淹		1
零	i	3	宴		1
零	i	5	刈		1
零	i	5	易		1
零	i	5	以		1
零	i	5	意		1
零	i	5	燕		1
零	i	5	燕		1
零	i	5	忆		1
零	i	5	亿		1
零	i	5	抑		1
p	u	1	波		1
p	u	1	菠		1
p	u	1	颇		1
p	u	1	玻		1
p	u	3	补		1
p	u	5	布		1
p	u	5	佈		1
p	u	5	怖		1
pʰ	u	1	坡		1
pʰ	u	1	铺		1
pʰ	u	3	普		1
pʰ	u	3	浦		1
pʰ	u	3	斧		1
pʰ	u	3	醭		1
pʰ	u	5	铺		1
b	u	2	婆		1
b	u	2	蒲		1
b	u	2	菩		1
b	u	2	脯		1
b	u	2	浮		1
b	u	6	部		1
b	u	6	簿		1
b	u	6	步		1
b	u	6	捕		1
b	u	6	埠		1
b	u	6	妇		1
b	u	6	缚		1
m	u	3	某		1
m	u	3	拇		1
m	u	6	雾		1
m	u	6	幕		1
m	u	6	寞		1
f	u	1	呼		1
f	u	1	夫		1
f	u	1	肤		1
f	u	1	敷		1
f	u	1	俘		1
f	u	1	孵		1
f	u	1	麸		1
f	u	3	虎		1
f	u	3	浒		1
f	u	3	府		1
f	u	3	腑		1
f	u	3	俯		1
f	u	3	甫		1
f	u	3	辅		1
f	u	3	釜		1
f	u	5	货		1
f	u	5	戽		1
f	u	5	付		1
f	u	5	赋		1
f	u	5	傅		1
f	u	5	赴		1
f	u	5	讣		1
f	u	5	富		1
f	u	5	副		1
f	u	6	雨		1
v	u	2	何		1
v	u	2	荷		1
v	u	2	禾		1
v	u	2	胡		1
v	u	2	湖		1
v	u	2	狐		1
v	u	2	壶		1
v	u	2	瓠		1
v	u	2	鬍		1
v	u	2	符		1
v	u	2	扶		1
v	u	2	芙		1
v	u	2	无		1
v	u	2	巫		1
v	u	2	诬		1
v	u	2	抚		1
v	u	2	盂		1
v	u	2	负		1
v	u	2	阜		1
v	u	6	贺		1
v	u	6	户		1
v	u	6	沪		1
v	u	6	互		1
v	u	6	护		1
v	u	6	父		1
v	u	6	腐		1
v	u	6	侮		1
v	u	6	附		1
v	u	6	务		1
v	u	6	有		1
v	u	6	芋		1
t	u	1	多		1
t	u	2	徒		1
t	u	2	屠		1
t	u	2	途		1
t	u	2	涂		1
t	u	2	图		1
t	u	3	赌		1
t	u	3	肚		1
t	u	5	妬		1
tʰ	u	3	妥		1
tʰ	u	3	椭		1
tʰ	u	3	土		1
tʰ	u	5	吐		1
tʰ	u	5	吐		1
tʰ	u	5	兔		1
d	u	2	驮		1
d	u	2	驼		1
d	u	6	惰		1
d	u	6	杜		1
d	u	6	度		1
d	u	6	渡		1
d	u	6	镀		1
d	u	6	踱		1
n	u	2	奴		1
n	u	3	努		1
n	u	6	怒		1
l	u	1	啰		1
l	u	2	罗		1
l	u	2	骡		1
l	u	2	卢		1
l	u	2	炉		1
l	u	2	芦		1
l	u	2	庐		1
l	u	2	驴		1
l	u	3	裸		1
l	u	3	鲁		1
l	u	3	槽		1
l	u	3	虏		1
l	u	3	屡		1
l	u	6	路		1
l	u	6	露		1
l	u	6	鹭		1
l	u	6	虑		1
l	u	6	滤		1
ts	u	3	左		1
ts	u	3	组		1
ts	u	3	姐		1
ts	u	3	阻		1
tsʰ	u	1	初		1
tsʰ	u	1	雏		1
tsʰ	u	3	楚		1
tsʰ	u	3	礎		1
tsʰ	u	5	锉		1
tsʰ	u	5	措		1
tsʰ	u	5	错		1
tsʰ	u	5	错		1
s	u	1	唆		1
s	u	1	苏		1
s	u	1	酥		1
s	u	1	疏		1
s	u	1	蔬		1
s	u	1	疏		1
s	u	3	琐		1
s	u	5	素		1
s	u	5	诉		1
s	u	5	塑		1
s	u	5	嗦		1
s	u	5	数		1
z	u	6	助		1
k	u	1	姑		1
k	u	1	孤		1
k	u	3	果		1
k	u	3	馃		1
k	u	3	古		1
k	u	3	牯		1
k	u	3	股		1
k	u	3	鼓		1
k	u	3	搅		1
k	u	5	故		1
k	u	5	固		1
k	u	5	锢		1
k	u	5	雇		1
k	u	5	顾		1
kʰ	u	1	科		1
kʰ	u	1	窠		1
kʰ	u	1	棵		1
kʰ	u	1	颗		1
kʰ	u	1	估		1
kʰ	u	3	苦		1
kʰ	u	5	课		1
kʰ	u	5	库		1
kʰ	u	5	裤		1
g	u	2	糊		1
g	u	6	臼		1
g	u	6	舅		1
ŋ	u	2	蛾		1
ŋ	u	2	俄		1
ŋ	u	2	衙		1
ŋ	u	2	吴		1
ŋ	u	2	蜈		1
ŋ	u	2	吾		1
ŋ	u	2	梧		1
ŋ	u	6	饿		1
ŋ	u	6	卧		1
ŋ	u	6	误		1
ŋ	u	6	悟		1
ŋ	u	6	娱		1
零	u	1	倭		1
零	u	1	窝		1
零	u	1	竭		1
零	u	1	乌		1
零	u	1	污		1
零	u	1	坞		1
零	u	3	武		1
零	u	3	舞		1
零	u	3	鹉		1
d	y	2	锄		1
d	y	2	橱		1
d	y	2	垂		1
d	y	2	雄		1
d	y	2	锤		1
d	y	6	箸		1
l	y	3	吕		1
l	y	3	旅		1
l	y	6	泪		1
l	y	6	绿		1
tɕ	y	1	诸		1
tɕ	y	1	居		1
tɕ	y	1	车		1
tɕ	y	1	诛		1
tɕ	y	1	蛛		1
tɕ	y	1	朱		1
tɕ	y	1	殊		1
tɕ	y	1	珠		1
tɕ	y	1	拘		1
tɕ	y	1	驹		1
tɕ	y	1	追		1
tɕ	y	1	锥		1
tɕ	y	3	煮		1
tɕ	y	3	举		1
tɕ	y	3	主		1
tɕ	y	3	几		1
tɕ	y	3	虮		1
tɕ	y	5	著		1
tɕ	y	5	据		1
tɕ	y	5	锯		1
tɕ	y	5	拄		1
tɕ	y	5	驻		1
tɕ	y	5	註		1
tɕ	y	5	注		1
tɕ	y	5	蛙		1
tɕ	y	5	铸		1
tɕ	y	5	句		1
tɕ	y	5	醉		1
tɕ	y	5	季		1
tɕ	y	5	烛		1
tɕʰ	y	1	枢		1
tɕʰ	y	1	区		1
tɕʰ	y	1	驱		1
tɕʰ	y	1	躯		1
tɕʰ	y	1	吹		1
tɕʰ	y	3	杵		1
tɕʰ	y	3	鼠		1
tɕʰ	y	3	取		1
tɕʰ	y	3	娶		1
tɕʰ	y	5	处		1
tɕʰ	y	5	去		1
tɕʰ	y	5	趣		1
tɕʰ	y	5	喙		1
tɕʰ	y	5	栗		1
tɕʰ	y	5	稀		1
tɕʰ	y	5	谷		1
tɕʰ	y	5	尺		1
dʑ	y	2	茄		1
dʑ	y	2	储		1
dʑ	y	2	渠		1
dʑ	y	2	巨		1
dʑ	y	2	拒		1
dʑ	y	2	距		1
dʑ	y	2	瞿		1
dʑ	y	2	葵		1
dʑ	y	2	锤		1
dʑ	y	6	俱		1
dʑ	y	6	具		1
dʑ	y	6	惧		1
ȵ	y	2	鱼		1
ȵ	y	2	渔		1
ȵ	y	2	御		1
ȵ	y	2	禦		1
ȵ	y	2	思		1
ȵ	y	2	度		1
ȵ	y	3	女		1
ȵ	y	3	语		1
ȵ	y	3	砚		1
ȵ	y	5	蕊		1
ȵ	y	6	遇		1
ȵ	y	6	寓		1
ȵ	y	6	谜		1
ɕ	y	1	靴		1
ɕ	y	1	书		1
ɕ	y	1	舒		1
ɕ	y	1	墟		1
ɕ	y	1	虚		1
ɕ	y	1	嘘		1
ɕ	y	1	须		1
ɕ	y	1	鬚		1
ɕ	y	1	需		1
ɕ	y	1	输		1
ɕ	y	1	输		1
ɕ	y	1	吁		1
ɕ	y	1	虽		1
ɕ	y	1	绥		1
ɕ	y	1	辉		1
ɕ	y	3	序		1
ɕ	y	5	黍		1
ɕ	y	5	庶		1
ɕ	y	5	恕		1
ɕ	y	5	数		1
ɕ	y	5	穗		1
ʑ	y	2	如		1
ʑ	y	2	汝		1
ʑ	y	2	殊		1
ʑ	y	2	随		1
ʑ	y	2	遂		1
ʑ	y	6	徐		1
ʑ	y	6	叙		1
ʑ	y	6	聚		1
ʑ	y	6	儒		1
ʑ	y	6	乳		1
ʑ	y	6	瑞		1
ʑ	y	6	嚼		1
ʑ	y	6	勺		1
ʑ	y	6	蓆		1
ɦ	y	2	余		1
ɦ	y	2	馀		1
ɦ	y	2	与		1
ɦ	y	2	于		1
ɦ	y	2	榆		1
ɦ	y	2	逾		1
ɦ	y	2	愉		1
ɦ	y	2	为		1
ɦ	y	2	唯		1
ɦ	y	2	围		1
ɦ	y	6	誉		1
ɦ	y	6	预		1
ɦ	y	6	豫		1
ɦ	y	6	愈		1
ɦ	y	6	喻		1
ɦ	y	6	裕		1
ɦ	y	6	位	牌～，	1
ɦ	y	6	为	坐～，～	1
ɦ	y	6	置		1
ɦ	y	6	胃		1
零	y	3	屿	文	1
零	y	3	於		1
零	y	3	淤		1
零	y	3	迂		1
零	y	3	宇		1
零	y	3	禹		1
零	y	3	羽		1
p	a	5	爸		1
p	a	5	百		1
p	a	5	柏		1
p	a	5	伯		1
p	a	5	擘		1
pʰ	a	5	拍		1
b	a	6	白		1
m	a	1	妈		1
m	a	6	骂		1
m	a	6	麦		1
m	a	6	脉		1
t	a	5	摘		1
tʰ	a	1	他		1
tʰ	a	5	拆		1
n	a	3	挪		1
n	a	3	哪		1
n	a	3	那		1
l	a	1	拉		1
ts	a	5	债		1
ts	a	5	栅		1
tsʰ	a	5	策		1
tsʰ	a	5	册		1
s	a	1	莎		1
s	a	1	傻		1
s	a	1	耍		1
k	a	5	格		1
k	a	5	隔		1
kʰ	a	5	客		1
ŋ	a	6	额		1
h	a	3	喝		1
h	a	3	血		1
ɦ	a	2	还		1
ɦ	a	6	狭		1
ɦ	a	6	洽		1
ɦ	a	6	匣		1
零	a	5	轭		1
零	ia	1	丫		1
零	ia	1	曰		1
kʰ	ua	1	誇		1
kʰ	ua	1	垮		1
kʰ	ua	1	跨		1
零	ua	1	蛙		1
零	ua	1	窪		1
m	æ	2	埋		1
f	æ	1	膰		1
v	æ	2	怀		1
v	æ	2	淮		1
v	æ	6	外		1
t	æ	1	默		1
t	æ	5	戴		1
t	æ	5	碓		1
tʰ	æ	3	腿		1
tʰ	æ	5	太		1
tʰ	æ	5	泰		1
tʰ	æ	5	忒		1
d	æ	6	殆		1
l	æ	2	雷		1
ts	æ	1	灾		1
ts	æ	1	栽		1
ts	æ	1	斋		1
ts	æ	3	宰		1
ts	æ	5	载		1
ts	æ	5	再	文	1
ts	æ	5	载		1
ts	æ	5	载		1
ts	æ	5	赘		1
tɕʰ	æ	1	钗		1
tɕʰ	æ	3	彩		1
tɕʰ	æ	3	採		1
tɕʰ	æ	3	睬		1
tɕʰ	æ	5	菜		1
tɕʰ	æ	5	蔡		1
dz	æ	2	才		1
dz	æ	2	材		1
dz	æ	2	财		1
dz	æ	2	纔		1
s	æ	3	屎		1
s	æ	3	驶		1
s	æ	5	赛		1
s	æ	5	帅		1
z	æ	2	裁		1
k	æ	1	该		1
k	æ	1	皆		1
k	æ	1	阶		1
k	æ	1	谐	和～	1
k	æ	3	疥		1
k	æ	5	溉		1
k	æ	5	盖		1
k	æ	5	丐		1
k	æ	5	介		1
k	æ	5	界		1
k	æ	5	尬		1
k	æ	5	届		1
k	æ	5	戒		1
kʰ	æ	5	慨		1
h	æ	6	蟹		1
h	æ	6	瞎		1
ɦ	æ	2	孩		1
ɦ	æ	6	害		1
零	æ	1	哀		1
零	æ	1	埃		1
零	æ	1	挨		1
零	æ	1	捱		1
零	æ	3	蔼		1
零	æ	5	爱		1
k	uæ	1	乖		1
k	uæ	3	拐		1
k	uæ	5	惯		1
零	e	1	歪		1
零	e	1	弯		1
p	ɔ	1	包		1
p	ɔ	1	胞		1
p	ɔ	3	饱		1
p	ɔ	5	豹		1
pʰ	ɔ	1	抛		1
pʰ	ɔ	3	跑		1
pʰ	ɔ	5	炮		1
pʰ	ɔ	5	泡		1
b	ɔ	2	袍		1
b	ɔ	2	抱		1
b	ɔ	6	暴		1
b	ɔ	6	铇		1
m	ɔ	1	猫		1
m	ɔ	2	猫		1
m	ɔ	2	茅		1
m	ɔ	2	错		1
m	ɔ	6	貌		1
t	ɔ	1	株		1
t	ɔ	1	兜		1
t	ɔ	3	岛		1
t	ɔ	3	斗		1
t	ɔ	3	抖		1
t	ɔ	3	陡		1
t	ɔ	5	到		1
t	ɔ	5	昼		1
tʰ	ɔ	1	滔		1
tʰ	ɔ	1	偷		1
tʰ	ɔ	3	㪗		1
tʰ	ɔ	5	透		1
d	ɔ	2	掏		1
d	ɔ	2	逃		1
d	ɔ	2	淘		1
d	ɔ	2	陶		1
d	ɔ	2	涛		1
d	ɔ	2	头		1
d	ɔ	6	道		1
d	ɔ	6	盗		1
d	ɔ	6	导		1
d	ɔ	6	豆		1
n	ɔ	3	脑		1
n	ɔ	3	恼		1
l	ɔ	1	搂		1
l	ɔ	2	劳		1
l	ɔ	2	捞		1
l	ɔ	2	唠		1
l	ɔ	2	涝		1
l	ɔ	2	楼		1
l	ɔ	2	流		1
l	ɔ	2	留		1
l	ɔ	3	老		1
l	ɔ	6	漏		1
ts	ɔ	1	抓		1
ts	ɔ	3	早		1
ts	ɔ	3	蚤		1
ts	ɔ	3	爪		1
ts	ɔ	3	找		1
ts	ɔ	3	走		1
ts	ɔ	5	澡		1
ts	ɔ	5	躁		1
ts	ɔ	5	灶		1
ts	ɔ	5	罩		1
tsʰ	ɔ	1	抄		1
tsʰ	ɔ	1	钞		1
tsʰ	ɔ	3	草		1
tsʰ	ɔ	3	騲		1
tsʰ	ɔ	3	炒		1
tsʰ	ɔ	3	吵		1
tsʰ	ɔ	5	臭		1
dz	ɔ	2	遭		1
dz	ɔ	2	曹		1
dz	ɔ	2	巢		1
s	ɔ	1	骚		1
s	ɔ	1	梢		1
s	ɔ	1	捎		1
s	ɔ	1	稍		1
s	ɔ	1	搜		1
s	ɔ	5	扫		1
s	ɔ	5	扫		1
s	ɔ	5	嗽		1
z	ɔ	6	造		1
k	ɔ	1	高		1
k	ɔ	1	篙		1
k	ɔ	1	羔		1
k	ɔ	1	交		1
k	ɔ	1	郊		1
k	ɔ	1	胶		1
k	ɔ	1	钩		1
k	ɔ	1	沟		1
k	ɔ	1	饺		1
k	ɔ	3	稿		1
k	ɔ	3	绞		1
k	ɔ	3	狡		1
k	ɔ	3	铰		1
k	ɔ	3	搞		1
k	ɔ	3	较		1
k	ɔ	3	九		1
k	ɔ	5	告		1
k	ɔ	5	教		1
k	ɔ	5	校		1
k	ɔ	5	窖		1
k	ɔ	5	酵		1
kʰ	ɔ	1	烤		1
kʰ	ɔ	1	敲		1
kʰ	ɔ	1	骹		1
kʰ	ɔ	3	考		1
kʰ	ɔ	3	巧		1
g	ɔ	2	猴		1
g	ɔ	6	咬		1
g	ɔ	6	厚		1
ŋ	ɔ	6	研		1
ŋ	ɔ	6	傲		1
ŋ	ɔ	6	鏊		1
ŋ	ɔ	6	乐		1
h	ɔ	1	薅		1
h	ɔ	5	耗		1
h	ɔ	5	孝		1
ɦ	ɔ	2	豪		1
ɦ	ɔ	2	壕		1
ɦ	ɔ	2	毫		1
ɦ	ɔ	2	喉		1
ɦ	ɔ	6	效		1
ɦ	ɔ	6	校		1
ɦ	ɔ	6	後		1
ɦ	ɔ	6	学		1
零	ɔ	3	浩		1
零	ɔ	3	袄		1
零	ɔ	5	奥		1
零	ɔ	5	懊		1
tɕʰ	iɔ	3	窍		1
ȵ	iɔ	6	外		1
ɕ	iɔ	3	晓		1
ɕ	iɔ	5	淆		1
ɦ	iɔ	2	肴		1
零	iɔ	5	杳		1
p	o	1	巴		1
p	o	1	芭		1
p	o	1	疤		1
p	o	5	簸		1
p	o	5	簸		1
p	o	5	霸		1
p	o	5	墙		1
pʰ	o	5	怕		1
b	o	2	爬		1
b	o	2	琶		1
b	o	2	杷		1
b	o	2	钯		1
b	o	6	耙		1
t	o	3	躲		1
t	o	3	垛		1
tʰ	o	1	拖		1
tʰ	o	5	唾		1
d	o	6	大		1
l	o	2	萝		1
ts	o	1	楂		1
ts	o	1	渣		1
ts	o	5	榨		1
ts	o	5	笊		1
tsʰ	o	1	叉		1
tsʰ	o	1	杈		1
tsʰ	o	1	差		1
dz	o	2	查		1
s	o	1	蓑		1
s	o	1	纱		1
z	o	2	蛇		1
z	o	6	䖳		1
k	o	1	家		1
k	o	1	加		1
k	o	1	痂		1
k	o	1	嘉		1
k	o	1	保		1
k	o	1	瓜		1
k	o	1	剐		1
k	o	1	佳		1
k	o	3	假		1
k	o	3	假		1
k	o	5	稼		1
k	o	5	价		1
k	o	5	卦		1
k	o	5	驾		1
k	o	5	架		1
k	o	5	嫁		1
kʰ	o	3	可		1
g	o	2	伽		1
g	o	6	咯		1
ŋ	o	6	瓦		1
h	o	1	花		1
h	o	5	化		1
ɦ	o	2	霞		1
ɦ	o	2	瑕		1
ɦ	o	2	遐		1
ɦ	o	2	蜷		1
ɦ	o	2	华		1
ɦ	o	2	铎		1
ɦ	o	2	划		1
ɦ	o	2	桦		1
ɦ	o	6	下		1
ɦ	o	6	夏		1
ɦ	o	6	厦		1
ɦ	o	6	夏		1
ɦ	o	6	暇		1
ɦ	o	6	画		1
ɦ	o	6	话		1
零	o	1	鸦		1
零	o	1	梗		1
零	o	3	我		1
零	o	3	哑		1
p	ø	1	飞		1
p	ø	5	辈		1
p	ø	5	背		1
pʰ	ø	1	胚		1
pʰ	ø	1	坯		1
pʰ	ø	5	配		1
b	ø	2	培		1
b	ø	2	陪		1
b	ø	2	赔		1
b	ø	6	倍		1
b	ø	6	背		1
b	ø	6	焙		1
b	ø	6	被		1
b	ø	6	伴		1
t	ø	5	对		1
t	ø	5	顿		1
t	ø	1	堆		1
t	ø	3	堵		1
tʰ	ø	5	退		1
tʰ	ø	5	蜕		1
d	ø	6	代		1
d	ø	6	袋		1
d	ø	6	兑		1
d	ø	6	掉		1
n	ø	3	嫩		1
l	ø	2	螺		1
l	ø	2	胴		1
l	ø	3	揉		1
l	ø	6	乱		1
l	ø	6	论		1
l	ø	6	论		1
ts	ø	1	蹲		1
ts	ø	5	再		1
ts	ø	5	最		1
tsʰ	ø	1	猜		1
tsʰ	ø	1	催		1
tsʰ	ø	1	崔		1
tsʰ	ø	1	吹		1
tsʰ	ø	1	村		1
tsʰ	ø	3	髓		1
tsʰ	ø	5	脆		1
tsʰ	ø	5	翠		1
dz	ø	2	存		1
s	ø	1	馊		1
s	ø	5	碎		1
s	ø	5	岁		1
s	ø	5	税		1
s	ø	5	逊		1
z	ø	6	坐		1
z	ø	6	罪		1
kʰ	ø	1	魁		1
kʰ	ø	1	亏		1
kʰ	ø	1	窥		1
kʰ	ø	1	刊		1
kʰ	ø	5	块		1
h	ø	1	灰		1
h	ø	2	回		1
h	ø	2	茴		1
h	ø	3	海		1
ɦ	ø	2	桅		1
ɦ	ø	2	丸		1
ɦ	ø	2	槐		1
ɦ	ø	6	会		1
零	ø	1	煨		1
p	io	1	膘		1
p	io	1	標		1
p	io	1	彪		1
pʰ	io	1	飘		1
pʰ	io	3	漂		1
pʰ	io	5	票		1
b	io	2	瓢		1
b	io	2	薸		1
b	io	2	嫖		1
b	io	2	鳔		1
m	io	2	苗		1
m	io	2	描		1
m	io	3	渺		1
m	io	3	秒		1
m	io	3	牡		1
m	io	6	藐		1
m	io	6	庙		1
m	io	6	妙		1
m	io	6	谬		1
m	io	1	刁		1
m	io	1	貂		1
m	io	1	雕		1
m	io	1	丢		1
m	io	3	拄		1
m	io	3	鸟		1
m	io	5	钓		1
m	io	5	吊		1
m	io	5	弔		1
tʰ	io	1	挑		1
tʰ	io	1	抽		1
tʰ	io	3	丑		1
tʰ	io	5	跳		1
tʰ	io	5	粜		1
d	io	2	潮		1
d	io	2	条		1
d	io	2	跳		1
d	io	2	绸		1
d	io	6	柱		1
d	io	6	住		1
d	io	6	稻		1
d	io	6	调		1
l	io	1	溜		1
l	io	2	燎		1
l	io	2	燎		1
l	io	2	疗		1
l	io	2	聊		1
l	io	2	辽		1
l	io	2	撩		1
l	io	2	寥		1
l	io	2	刘		1
l	io	2	榴		1
l	io	2	硫		1
l	io	2	琉		1
l	io	2	馏		1
l	io	3	缕		1
l	io	3	柳		1
l	io	3	了		1
l	io	6	瞭		1
l	io	6	料		1
l	io	6	廖		1
tɕ	io	1	焦		1
tɕ	io	1	蕉		1
tɕ	io	1	椒		1
tɕ	io	1	朝		1
tɕ	io	1	昭		1
tɕ	io	1	招		1
tɕ	io	1	骄		1
tɕ	io	1	娇		1
tɕ	io	1	浇		1
tɕ	io	1	侥		1
tɕ	io	1	揫		1
tɕ	io	1	周		1
tɕ	io	1	舟		1
tɕ	io	1	州		1
tɕ	io	1	洲		1
tɕ	io	1	鸠		1
tɕ	io	1	纠		1
tɕ	io	3	少		1
tɕ	io	3	酒		1
tɕ	io	3	帚		1
tɕ	io	5	醮		1
tɕ	io	5	沼		1
tɕ	io	5	照		1
tɕ	io	5	叫		1
tɕ	io	5	咒		1
tɕ	io	5	咎		1
tɕʰ	io	1	锹		1
tɕʰ	io	1	缲		1
tɕʰ	io	1	超		1
tɕʰ	io	1	秋		1
tɕʰ	io	1	鳅		1
tɕʰ	io	1	丘		1
tɕʰ	io	3	手		1
tɕʰ	io	5	树		1
tɕʰ	io	5	俏		1
tɕʰ	io	5	笑		1
dʑ	io	2	朝		1
dʑ	io	2	韶		1
dʑ	io	2	乔		1
dʑ	io	2	侨		1
dʑ	io	2	桥		1
dʑ	io	2	荞		1
dʑ	io	2	矫		1
dʑ	io	2	囚		1
dʑ	io	2	泅		1
dʑ	io	2	稠		1
dʑ	io	2	筹		1
dʑ	io	2	纣		1
dʑ	io	2	仇		1
dʑ	io	2	酬		1
dʑ	io	2	筹		1
dʑ	io	2	售		1
dʑ	io	2	柔		1
dʑ	io	2	仇		1
dʑ	io	6	赵		1
dʑ	io	6	兆		1
dʑ	io	6	召		1
dʑ	io	6	诏		1
dʑ	io	6	邵		1
dʑ	io	6	轿		1
dʑ	io	6	宙		1
ɕ	io	1	消		1
ɕ	io	1	霄		1
ɕ	io	1	宵		1
ɕ	io	1	硝		1
ɕ	io	1	销		1
ɕ	io	1	悄		1
ɕ	io	1	烧		1
ɕ	io	1	嚣		1
ɕ	io	1	萧		1
ɕ	io	1	箫		1
ɕ	io	1	修		1
ɕ	io	1	羞		1
ɕ	io	1	蒐		1
ɕ	io	1	收		1
ɕ	io	1	屑		1
ɕ	io	3	小		1
ɕ	io	3	少		1
ɕ	io	3	首		1
ɕ	io	3	守		1
ɕ	io	5	鞘		1
ɕ	io	5	秀		1
ɕ	io	5	绣		1
ɕ	io	5	宿		1
ɕ	io	5	锈		1
ɕ	io	5	兽		1
ʑ	io	6	就		1
ʑ	io	6	袖		1
ʑ	io	6	受		1
ʑ	io	6	寿		1
ʑ	io	6	授		1
ɦ	io	2	摇		1
ɦ	io	2	谣		1
ɦ	io	2	窑		1
ɦ	io	2	姚		1
ɦ	io	6	耀		1
零	io	1	妖		1
