声母	韵母	声调	字	注释	
tʰ	ẽ	5	态	事〜,〜度	1
tʰ	ẽ	5	贷	〜款,信〜	1
l	ẽ	3	览	阅〜	1
l	ẽ	3	揽	包～	1
l	ẽ	3	榄	橄～	1
l	ẽ	6	赖	依～	1
l	ẽ	6	癞	～头	1
tsʰ	ẽ	1	参	〜差	1
dz	ẽ	6	寨	山〜,大〜	1
s	ẽ	5	散	〜会	1
k	ẽ	3	感	〜谢,〜觉	1
k	ẽ	3	简	〜单,〜朴	1
k	ẽ	5	监	〜狱，〜视	1
k	ẽ	5	鉴	〜定,鉴桥（地名）	1
k	ẽ	5	监	南〜盐场（地名，在芦浦）	1
kʰ	ẽ	5	勘	〜测	1
g	ẽ	2	衔	军〜，头〜，〜头	1
ŋ	ẽ	2	呆	〜板	1
ŋ	ẽ	6	碍	障～,妨〜	1
h	ẽ	3	罕	〜见，稀〜	1
ɦ	ẽ	2	含	包〜	1
ɦ	ẽ	2	咸	〜阳,〜丰	1
零	ẽ	1	安	〜心,平〜	1
零	ẽ	2	寒	〜冷，〜酸,小〜	1
零	ẽ	3	饮	米汤	1
零	ẽ	5	窨	〜井	1
m	ĩ	2	谜	文	1
d	ĩ	2	题	文	1
d	ĩ	2	蹄	文	1
tɕ	ĩ	3	检	〜查	1
tɕʰ	ĩ	5	遣	消〜，〜送	1
dʑ	ĩ	6	件	零〜	1
ȵ	ĩ	2	泥	印〜	1
ȵ	ĩ	3	染	〜布	1
ȵ	ĩ	6	腻	油〜，细〜	1
ȵ	ĩ	6	验	测〜,〜收	1
ȵ	ĩ	6	念	纪〜	1
ɕ	ĩ	1	先	〜生	1
ʑ	ĩ	2	钱	钱库的,钱”旧作“前”，故有不合	1
ɦ	ĩ	2	延	〜长	1
ɦ	ĩ	2	铅	〜笔	1
零	ĩ	1	烟	香〜	1
零	ĩ	3	堰	都江〜	1
零	ĩ	5	晏	〜公殿巷,在温州;〜公庙,在藻溪	1
k	uẽ	1	官	做〜	1
k	uẽ	1	棺	〜木	1
k	uẽ	1	关	〜门，〜公,〜系，分水〜（浙闽交界处）	1
k	uẽ	3	管	〜理	1
k	uẽ	5	灌	水〜底	1
