#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]²¹ [3]⁵² [5]³⁵ [6]¹¹²
#ɿ	
ts	[1]雌资姿兹滋辎[3]姊子梓[6]祀巳自字牸寺
tsʰ	[1]咨[2]瓷糍慈磁鹚伺辞词祠嗣饲[3]紫此[5]刺赐次似
s	[1]斯厮撕私师狮蛳司丝思[3]死[5]四肆士仕事侍

#i	
p	[1]篦{文}[3]鄙比[5]闭滗[6]陛被婢蔽臂庇痹{文}弊币毙鐾备笔毕必逼碧璧壁
pʰ	[1]蓖篦{白}批披疲秕纰[2]皮脾琵枇痞鼻匹{文}[3]彼[5]屁[6]避辟僻闢劈霹匹{白}
m	[2]迷眉[3]米弥[5]谜[6]秘泌密蜜觅
t	[1]低[3]底抵牴[6]隶{白}弟帝蒂逮第递地的滴嫡笛敌狄
tʰ	[1]梯[2]堤屉题提蹄啼[3]体[5]嚏替涕剃[6]踢剔惕
n	[2]泥泥尼呢疑倪霓[3]你拟[5]腻[6]逆匿
l	[2]犁黎荔离篱璃离梨厘狸栗[3]礼李里裏理鲤[6]厉励丽利痢吏立笠粒泣力历曆疬隶{文}
ts	[1]荠[3]挤[5]祭际济剂[6]集疾鲫积迹脊籍{白}藉{白}绩寂{白}
tsʰ	[1]妻凄淒[2]齐脐持七[5]砌[6]漆膝戚
s	[1]西栖犀[2]习[3]洗玺[5]细婿{白}[6]袭{文}息熄媳惜昔席夕锡析
tʃ	[1]知蜘支枝肢之芝[3]纸脂旨指止趾址[5]滞制製智技妓致稚至痔治志誌痣帜[6]质置辑蛰执汁侄秩即直值织职殖植赤籍{文}藉{文}寂{文}
tʃʰ	[1]痴[2]池驰迟乞{文}[3]只侈耻齿始隻[6]食斥尺吃乞{白}
ʃ	[1]施尸诗[2]匙匙时鲥十什石{文}[3]矢屎使史驶[5]世势誓逝是氏豉示视柿试市式饰[6]湿拾实失室识适释石{白}
k	[1]鸡稽奇饥肌几基机讥饑[2]其{文}[3]己纪杞几[5]继寄记既季计{文}[6]急级及吸桔吉极击激
kʰ	[1]其{白}欺[2]奇骑岐歧祁鳍棋期旗麒[3]启起岂祈[5]计{白}契企器忌气汽
h	[1]溪奚携牺嬉熙希稀[3]喜[5]系繫係缢戏弃艺
Ø	[1]瞖医衣依揖[2]移夷姨遗宜谊沂[3]椅已以蚁[5]易意异仪义议逸忆亿抑翼[6]日乙一益亦译液腋

#u	
p	[1]蔔卜[3]补辅[5]布佈舖怖埠不[6]部簿步
pʰ	[1]铺[2]脯葡{文}脯赴讣朴{文}扑{文}仆僕[3]谱圃普浦捕甫[6]朴{白}扑{白}
m	[2]模模巫[3]母拇[6]暮慕墓募幕木目牧睦
