漢字	IPA	注釋
車	tʃʰa1	汽～
□	tʃʰa1	轉動
勺	tʃʰa4	舀。《廣韻》市若切
赤	tʃʰa7	
插	tʃʰa7	
察	tʃʰa7	
擦	tʃʰa7	
冊	tʃʰa7	
紗	ʃa1	
沙	ʃa1	（文讀）～縣：地名
痧	ʃa1	
莎	ʃa1	
裟	ʃa1	
鯊	ʃa1	
衫	ʃa1	又音
賒	ʃa1	
篩	ʃa1	（文讀）米～：碾米機的篩網
倽	ʃa2	沙縣～：沙縣人。來源於壯侗語
舍	ʃa3	
社	ʃa4	
煠	ʃa4	清水煮
□	ʃa4	～妹：背孩子
舍	ʃa4	宿～。又音
射	ʃa5	
麝	ʃa5	
卸	ʃa5	
舍	ʃa5	宿～
□	ʃa5	雞用爪扒找
撒	ʃa7	（文讀）粟～：遺漏在田裏的稻穗
家	ka1	
加	ka1	
枷	ka1	
伽	ka1	
迦	ka1	
痂	ka1	
袈	ka1	
茄	ka1	雪～。《廣韻》古牙切
嘉	ka1	
佳	ka1	
豭	ka1	厝鼠～：雄兔
假	ka3	真～
假	ka3	放～：放假
賈	ka3	姓
挾	ka4	（白讀）～哩：挾住
□	ka4	～好咯：好些了
架	ka5	
駕	ka5	
價	ka5	
嫁	ka5	
稼	ka5	
假	ka5	放～：放學
個	ka5	（白讀）～隻：一個
甲	ka7	
匣	ka7	讀同“甲”
胛	ka7	
夾	ka7	（白讀）～襖
俠	ka7	
峽	ka7	灶（陽）～：灶台兩口鍋間的夾縫
篋	ka7	
覺	ka7	自～
隔	ka7	
槅	ka7	
蛤	ka7	花～：蛤蜊
□	kʰa5	腰等被物體卡著
客	kʰa7	（白讀）人～：客人
牙	ŋa2	牙齒。螺紋
芽	ŋa2	
蚜	ŋa2	
衙	ŋa2	
嶽	ŋa4	
嶽	ŋa4	
訝	ŋa5	
迓	ŋa5	迎接
砑	ŋa5	被尖銳物體紮著
蝦	ha2	
霞	ha2	
瑕	ha2	
遐	ha2	
河	ha2	（白讀）～溪（墿）：銀河
何	ha2	（白讀）～隻：哪個
哈	ha2	搔癢逗趣
貨	ha3	東西，事情。永安、沙縣、三元及建陽、武夷山均有此說法①“什麽東西＂蓋竹話說“sã⁴hã³＂，可能是“啥貨＂二字。
學	ha4	（文讀）～習
下	ha4	（文讀）個～：一下
夏	ha5	姓
夏	ha5	春～
廈	ha5	大～
廈	ha5	～門
□	ha5	罵～：罵蛋
□	ha5	□la²～：骯髒
□	ha5	拉白～：（禽類）拉痢
喝	ha7	
洽	ha7	
呷	ha7	
□	ha7	ɯ⁵～：咳嗽
鴉	a1	
丫	a1	
阿	a1	～拉伯
啞	a3	
下	a4	（白讀）～底：下麵
下	a4	～降。讀同“～底＂
亞	a5	
椏	a5	
鴨	a7	
押	a7	
壓	a7	
軛	a7	
□	a7	長尾～□ʃia⁵：一種長尾鳥
壁	pa7	（白讀）牆壁
□	pʰa7	～□lia⁷：掙扎，打轉，暈頭轉向
□	ta5	頭碰著物體
硩	ta7	壓
拆	tʰia7	～開②tʰia⁴為扯掉（綁著的繩子、紐扣等）之義，tʰia⁵表示扯去（樹皮），用於人時指脫去（衣物），有訓斥的意味。它們可能都是“拆tʰia⁷＂的別義異讀。
坼	tʰia7	必～：裂開
獺	tʰia7	
□	tʰia7	水～：田埂上的排水口
□	tʰia7	被繩子等套住。圈套
曆	lia4	
𥷒	lia4	竹編圓形曬具。俗字
壢	lia4	地名專用字。尾～：雅化為“梅列＂
□	lia7	快。或認為是“易＂字，以母白讀存古③嚴修鴻《漢語南方方言裏白讀中所見以母古讀的層次》，中國語學研究•開篇（第21輯），日本：好文出版，2002年。
□	tʃia1	苦～：苦菜
斜	tʃia2	
姐	tʃia3	母親
謝	tʃia5	（白讀）姓
姐	tʃia5	嬸嬸
漈	tʃia5	水涯
磜	tʃia5	懸崖
鷓	tʃia5	
借	tʃia5	～勢：趁勢
跡	tʃia7	
脊	tʃia7	（白讀）腹～：背部
藉	tʃia7	
籍	tʃia7	飛濺
雀	tʃia7	（白讀）～子：鳥兒
□	tʃʰia2	歪著
躤	tʃʰia4	踩
笡	tʃʰia5	沿著縫隙開裂；歪斜
刺	tʃʰia7	納（鞋底）；（用刀）刺殺。《廣韻》七跡切，穿也。
邪	ʃia2	
奢	ʃia2	
佘	ʃia2	
寫	ʃia3	
翼	ʃia4	（白讀）翅膀
瀉	ʃia5	
赦	ʃia5	
謝	ʃia5	（文讀）感～
□	ʃia5	長尾□a⁷～：一種長尾鳥
削	ʃia7	（白讀）～皮
翼	ʃia7	餈～，～子：一種油炸的糯米制食品
岐	kia2	（白讀）南～：地名
劇	kia4	越～
屐	kia4	
□	kia4	黏,粘住
寄	kia5	（白讀）～信
□	kʰia2	扛
桸	kʰia2	匏～：水瓢
□	kʰia2	爬□la²～：長腳蜘蛛
□	kʰia2	～橫：誣陷，誹謗
徛	kʰia4	站立。或認為是“䟗”字，《廣韻》承紙切，尌也，謂立也①嚴修鴻《從南方方言裏“腎、䟗、睡＂白讀音看禪母古讀》，《語文研究》2000年第4期。
崎	kʰia4	陡
□	kʰia5	叉開（雙腿）
鴉	ŋia1	新讀
□	ŋia1	抓。個～：一撮，一把
□	ŋia1	加～：混合
爺	ŋia2	
耶	ŋia2	
椰	ŋia2	
野	ŋia3	
也	ŋia3	
冶	ŋia3	
疫	ŋia4	
役	ŋia4	
夜	ŋia5	
□	ŋia7	抱（柴火等）。個～：一抱（柴火等）
𢆓	pua2	山坡地。俗字
發	pua3	（白讀）野～：野生
跋	pua4	跌
簸	pua5	（白讀）顛簸
缽	pua7	
撥	pua7	
茇	pua7	蓽～：一種多年生草本植物
鈸	pʰua4	
□	pʰua4	披放
□	pʰua4	挪用，借
□	pʰua4	矮～：位於屋簷下方的雨披
破	pʰua5	（白讀）～布
潑	pʰua7	
鏺	pʰua7	～墳：掃墓
蔴	mua2	（白讀）芝麻。～姑
磨	mua2	～刀
末	mua4	
襪	mua4	
沫	mua4	
抹	mua7	
戴	tua2	（白讀）～手錶
帶	tua5	（白讀）皮～
拖	tʰua1	（白讀）～開
□	tʰua7	腳在地上磨擦
□	lua1	賴著
籮	lua2	（白讀）籮筐
辣	lua4	
□	lua4	刻劃
蟑	tsua4	螂
砂	sua1	
沙	sua1	（白讀）～糖
衰	sua1	（文讀）～敗
灑	sua3	
□	sua4	（衣服、褲子的下擺）沾上（髒東西）
撒	sua7	（白讀）～開：散～
瓜	kua1	
□	kua1	甩（耳光）
樺	kua2	（白讀）～樵：木荷
蓋	kua2	（白讀）蓋子。永安、沙縣均有陽平調說法
寡	kua3	
剮	kua3	
□	kua4	提起（籃子等）。量詞，串
□	kua4	～痧：抓痧
□	kua4	□la²～屑：垃圾
卦	kua5	
掛	kua5	
褂	kua5	
芥	kua5	（白讀）～菜
葛	kua7	
刮	kua7	
括	kua7	
割	kua7	
轄	kua7	讀同“割＂
誇	kʰua1	
跨	kʰua1	
垮	kʰua3	
□	kʰua5	靠
渴	kʰua7	
闊	kʰua7	寬
娃	ŋua1	
蛙	ŋua1	
窪	ŋua1	
媧	ŋua1	
挖	ŋua1	（文讀）
□	ŋua2	搦～：辦法
瓦	ŋua3	
□	ŋua3	～隻：那個②“那裏＂蓋竹話或說“ŋuai³li⁰＂，ŋuai的-i韻尾受li逆同化而致。
我	ŋua4	（白讀）～儕：我們
活	ŋua4	（白讀）快～：高興
畫	ŋua4	動詞。《廣韻》胡麥切
劃	ŋua4	計～
話	ŋua5	（白讀）～事：說話
花	hua1	
劃	hua2	～拳：猜拳
懷	hua2	
淮	hua2	
槐	hua2	
華	hua2	中～
華	hua2	姓
樺	hua2	（文讀）白～林
罰	hua4	
乏	hua4	
伐	hua4	
筏	hua4	
閥	hua4	
猾	hua4	
滑	hua4	（文讀）潤～
活	hua4	（文讀）～潑
化	hua5	
話	hua5	（文讀）電～
畫	hua5	名詞
□	hua5	餓～：餓壞了
法	hua7	
發	hua7	（文讀）削～為僧
發	hua7	（文讀）出～
抓	tʃya1	
紙	tʃya3	
笊	tʃya7	粟～：簟。骹～：腳掌
□	tʃʰya4	歪斜
□	tʃʰya5	～尿：尿床
蛇	ʃya2	
耍	ʃya3	哄騙
舌	ʃya4	
帥	ʃya5	
癩	ʃya5	（白讀）麻風病，或作“疒殺＂
殺	ʃya7	（白讀）～禾：割水稻
煞	ʃya7	狠毒
□	ʃya7	褶皺
曰	ŋya1	
鵝	ŋya2	（白讀）白～
蟻	ŋya3	（白讀）螞蟻
熱	ŋya4	
外	ŋya5	
艾	ŋya5	（白讀）艾草
□	ŋya5	撒（穀種等）
擺	pæ3	
帛	pæ4	
白	pæ4	（文讀）明～
蔔	pæ4	俗作“苩＂
拜	pæ5	
敗	pæ5	
箅	pæ5	密齒梳子
八	pæ7	
北	pæ7	
僻	pæ7	（白讀）邊～：偏僻
□	pʰæ3	～手：手自然地前後擺動
□	pʰæ4	隱藏，搦～逃：捉迷藏
派	pʰæ5	
迫	pʰæ7	
魄	pʰæ7	
拍	pʰæ7	
□	mæ2	～～哩：低垂著
墨	mæ4	
默	mæ4	
脈	mæ4	
陌	mæ4	
密	mæ4	（白讀）封～：密封
邁	mæ5	
懛	tæ1	（文讀）書～子。通作“獃＂或“呆＂①李榮《漢字演變的幾個趨勢》，《中國語文》1980年第1期。又見李榮《語文論衡》，北京：商務印書館,1985年。
臺	tæ2	
臺	tæ2	（文讀）陽～
苔	tæ2	（文讀）舌～
挃	tæ2	要。俗字
歹	tæ3	
待	tæ4	
特	tæ4	…嘞～：…得很②在“…嘞～：…得很＂結構中，“特＂變讀同陰上調，可能是語調影響所致。
怠	tæ4	
殆	tæ4	
直	tæ4	（白讀）橫～：反正
代	tæ5	
玳	tæ5	
貸	tæ5	
袋	tæ5	（文讀）口～
戴	tæ5	（文讀）姓。愛～
帶	tæ5	（文讀）海～
地	tæ5	（白讀）菜～。羅～：地名
德	tæ7	
胎	tʰæ1	
抬	tʰæ2	
太	tʰæ5	
態	tʰæ5	
泰	tʰæ5	
踢	tʰæ7	
來	læ2	
乃	læ3	
奶	læ3	（文讀）少～～
你	læ4	
肋	læ4	
勒	læ4	用線割開柔軟的東西
耐	læ5	（年糕等）韌性好
奈	læ5	
柰	læ5	
賴	læ5	
懶	læ5	～漢。誤讀
癩	læ5	（文讀）～蛤蟆
□	læ5	瓜蒂
捏	læ7	（用指甲）掐
嘞	læ7	…～特：…得很③可能是“得te⁷＂的弱化讀法。
栽	tsæ1	
災	tsæ1	
財	tsæ2	
材	tsæ2	
才	tsæ2	（文讀）人～
裁	tsæ2	
儕	tsæ2	人稱代詞複數
宰	tsæ3	
載	tsæ3	年～
籽	tsæ3	
子	tsæ3	（白讀）囝～：兒子，常寫作“仔＂。～竹：未長成的毛竹
在	tsæ4	
再	tsæ5	
載	tsæ5	～重
則	tsæ7	
測	tsæ7	（白讀）鍾～：推測
窄	tsæ7	
節	tsæ7	（白讀）竹～
猜	tsʰæ1	
臍	tsʰæ2	腹～：肚臍
才	tsʰæ2	（白讀）奴～
采	tsʰæ3	
彩	tsʰæ3	
采	tsʰæ3	
睬	tsʰæ3	
踩	tsʰæ3	
賊	tsʰæ4	
菜	tsʰæ5	
蔡	tsʰæ5	
漆	tsʰæ7	（白讀）油～
塞	sæ4	動詞
賽	sæ5	
婿	sæ5	
錫	sæ7	（白讀）～壺
薩	sæ7	
塞	sæ7	(草叢、灌木叢)濃密，形容詞。名詞。動詞
胝	tʃæ1	胼胝
□	tʃæ3	（稻穀）乾癟
責	tʃæ7	
側	tʃæ7	
摘	tʃæ7	
策	tʃʰæ7	
撤	tʃʰæ7	
拆	tʃʰæ7	（文讀）～遷
斥	tʃʰæ7	
廁	tʃʰæ7	
測	tʃʰæ7	（文讀）～量
獅	ʃæ1	（白讀）豨～：公種豬
施	ʃæ1	（白讀）姓，～厝：地名
□	ʃæ1	翻動
豺	ʃæ2	（白讀）
狸	ʃæ2	（白讀）貓子～：豹貓
使	ʃæ3	（白讀）使用
李	ʃæ3	（白讀）～子
笠	ʃæ4	（白讀）斗笠
力	ʃæ4	（白讀）勤～：勤勞植物的刺兒
事	ʃæ5	（白讀）話～：說話
色	ʃæ7	
虱	ʃæ7	
瑟	ʃæ7	
該	kæ1	欠
階	kæ1	
皆	kæ1	
偕	kæ1	誤讀
改	kæ3	解～放軍。又音
介	kæ5	
芥	kæ5	（文讀）～末，荊～：中藥名
蓋	kæ5	（文讀）
界	kæ5	（文讀）世～
戒	kæ5	（文讀）豬八～：《西遊記》人物名
械	kæ5	新讀
丐	kæ5	
革	kæ7	
結	kæ7	（白讀）編織
格	kæ7	（文讀）嚴～
□	kæ7	～懵：矇騙。與“結網＂同音，語義上也解釋得通
開	kʰæ1	（文讀）～始
凱	kʰæ3	
楷	kʰæ3	
克	kʰæ3	撲～
概	kʰæ5	
慨	kʰæ5	大～：出手大方
溉	kʰæ5	
刻	kʰæ7	
咳	kʰæ7	
克	kʰæ7	休～。重量單位
客	kʰæ7	（文讀）～氣
級	kʰæ7	（白讀）臺階
□	kʰæ7	雞翼～：雞翅膀
獃	ŋiæ2	質差，貌醜。《廣韻》五來切
□	ŋiæ2	硬撐著
逆	ŋiæ4	
額	ŋiæ4	（白讀）～頭
艾	ŋiæ5	（文讀）方興未～
礙	ŋiæ5	
孩	hæ2	
諧	hæ2	
海	hæ3	
核	hæ4	審～
懈	hæ4	
械	hæ4	
害	hæ5	
黑	hæ7	
嚇	hæ7	
赫	hæ7	枝繁葉茂
哀	æ1	
埃	æ1	
靄	æ3	
藹	æ3	
隘	æ4	
愛	æ5	（文讀）喜～
厄	æ7	
扼	æ7	
呃	æ7	打嗝
□	æ7	再
否	pʰæ3	臧～
剖	pʰæ3	
□	pʰæ4	個～□lœ⁴：一大串
謀	mœ2	
某	mœ3	
畝	mœ3	
牡	mœ3	
貌	mœ5	
貿	mœ5	
茂	mœ5	（文讀）
□	mœ7	無齒而嚼的樣子
兜	tœ1	
端	tœ1	
蔸	tœ1	□kʰœ¹～：地板；身～：身邊
投	tœ2	
鬥	tœ3	
抖	tœ3	
陡	tœ3	
豆	tœ5	
荳	tœ5	
痘	tœ5	
晝	tœ5	（白讀）～時：上午
鬥	tœ5	
悼	tœ5	
斣	tœ5	接合,連接
鬥	tœ7	稍稍碰上、挨上
偷	tʰœ1	
頭	tʰœ2	
□	tʰœ3	解開；喘
透	tʰœ5	
毒	tʰœ5	毒殺
□	tʰœ5	～水：水渠引水。可能是“透＂字①馮愛珍《福州話“毒＂的本字》，《中國語文》2003年第4期，第357-362頁。
深	lœ1	挖
樓	lœ2	
流	lœ2	（白讀）～水
簍	lœ3	
摟	lœ3	
□	lœ3	根部
□	lœ3	傾倒
漏	lœ5	
陋	lœ5	
□	lœ5	扔（毛竹等）
踏	lœ7	進水裏
糟	tsœ1	（白讀）酒～
褿	tsœ2	均勻
走	tsœ3	跑
奏	tsœ5	
揍	tsœ5	
灶	tsœ5	
取	tsʰœ3	（白讀）～債：討債
娶	tsʰœ3	（白讀）～親
藪	tsʰœ3	巢
湊	tsʰœ5	
掃	sœ3	打～
掃	sœ5	～開
嗽	sœ5	
掃	sœ7	甩（耳光）
鄒	tʃœ1	
愁	tʃœ2	
巢	tʃœ2	
驟	tʃœ5	
皺	tʃœ5	～□lœ⁵：（皮膚）起褶，（器物）扭曲變形
搜	ʃœ1	
留	ʃœ2	（白讀）～菜
叟	ʃœ3	
□	ʃœ3	豨～：半大豬
瘦	ʃœ5	（豬肉等）不肥
澀	ʃœ7	
勾	kœ1	
溝	kœ1	
鬮	kœ1	
猴	kœ2	
□	kœ2	～□lœ²：滾動
垢	kœ3	
苟	kœ3	
枸	kœ3	
狗	kœ3	（文讀）～腿子：走狗
厚	kœ4	（白讀）～薄。（茶）濃
構	kœ5	
購	kœ5	
夠	kœ5	
遘	kœ5	到
斠	kœ5	牙杯
□	kʰœ1	～桶。動詞
摳	kʰœ1	
□	kʰœ1	～蔸：地板
口	kʰœ3	
扣	kʰœ5	
叩	kʰœ5	
寇	kʰœ5	
銬	kʰœ5	
靠	kʰœ5	又音
叩	kʰœ7	～□lœ⁷：蓋上
偶	ŋœ3	
藕	ŋœ3	
薅	hœ1	耘
侯	hœ2	
喉	hœ2	
吼	hœ3	叫
后	hœ4	
後	hœ4	
厚	hœ4	（文讀）忠～
候	hœ5	
□	hœ5	松松地綁上
□	hœ5	～□lœ⁵：扁癟
熻	hœ7	（白讀）燜（飯）。因穿衣過多而躁熱的感覺
甌	œ1	杯子
歐	œ1	
鷗	œ1	
毆	œ1	
狗	œ3	（白讀）
嘔	œ3	
□	œ3	□ly⁴～□□ly⁴tsõ⁵：髒兮兮
漚	œ5	覆蓋，久浸水中
毆	œ7	（用棍子）打
□	pe1	～□le¹：好動，頑皮
排	pe2	
牌	pe2	
□	pe2	～□le²瘸：（手腳）凍僵
必	pe3	（白讀）乾裂，裂開。沙縣亦有此說法
別	pe4	離～
別	pe4	區～
避	pe5	（白讀）～開
碧	pe7	（白讀）～溪：地名
屄	pe7	女陰
批	pʰe1	
砒	pʰe1	
稗	pʰe5	
杮	pʰe5	樵～：碎木片
撇	pʰe7	
劈	pʰe7	（白讀）～開
□	pʰe7	開～：光佈置、交代（任務），貶義
埋	me2	
買	me3	
滅	me4	
篾	me4	
蔑	me4	
𣍐	me4	不會。俗字。應是“無解＂的合音
賣	me5	
埋	me7	凹陷
爹	te1	（文讀）乾～
懛	te1	（白讀）壞
池	te2	
蹄	te2	
底	te3	（白讀）桶～
抵	te3	（白讀）遮掩
滓	te3	酒～，俗寫作“底＂
蝶	te4	
碟	te4	
諜	te4	
喋	te4	
牒	te4	
弟	te4	（白讀）兄～
渧	te5	～水：滴水。個～：一滴
□	te5	～紐子：釘紐扣
得	te7	
迭	te7	調受普通話影響
跌	te7	讀同“迭＂
徹	te7	
澈	te7	
轍	te7	
□	te7	（身體）□ka⁴～咯：好些了
□	tʰe1	刪除（樹椏）
啼	tʰe2	哭
□	tʰe3	雞等用爪子扒
疊	tʰe4	（文讀）重～
□	tʰe4	屙。說（詈辭）
剃	tʰe5	
替	tʰe5	
□	tʰe5	個～：一半，一部分
帖	tʰe7	
貼	tʰe7	
鐵	tʰe7	
□	le1	好～：量多。也可能是“夥～＂
泥	le2	（白讀）泥土。～壁：在牆上抹水泥、石灰等
尼	le2	～姑
犁	le2	（白讀）～塍：犁田
籬	le2	（白讀）笊～
□	le2	頭～～哩：低著頭
奶	le3	（白讀）唵～：伯母
□	le3	舔
裂	le4	
列	le4	
□	le4	追，趕
例	le5	
瀝	le5	
烈	le7	
□	le7	挽起（袖子）
齊	tse2	（白讀）整齊
截	tse4	
絕	tse4	
捷	tse4	
祭	tse5	
漬	tse5	浸
穧	tse5	多
接	tse7	
妾	tse7	讀同“接＂
節	tse7	（文讀）過～
砌	tsʰe5	
脆	tsʰe5	（白讀）酥脆
切	tsʰe7	（文讀）一～
撤	tsʰe7	又音
西	se1	（白讀）～霞：地名
絲	se1	（白讀）棉竹～：竹枝
洗	se3	
徒	se3	
璽	se3	
髓	se3	
踅	se4	逛
細	se5	（白讀）小
雪	se7	
歇	se7	
薛	se7	
泄	se7	
屑	se7	（文讀）不～
齋	tʃe1	
支	tʃe1	（白讀）開～
枝	tʃe1	（白讀）荔～
宅	tʃe4	
澤	tʃe4	
擇	tʃe4	（文讀）選～
折	tʃe4	～本
債	tʃe5	
寨	tʃe5	
哲	tʃe7	
浙	tʃe7	
折	tʃe7	～斷
揭	tʃe7	
摘	tʃe7	又音
□	tʃe7	大罎子（大開口）□：⿱折瓦
釵	tʃʰe1	
差	tʃʰe1	出～
柴	tʃʰe2	
豺	tʃʰe2	（文讀）～狼虎豹
扯	tʃʰe3	
侈	tʃʰe3	
蠘	tʃʰe4	梭子蟹
□	tʃʰe4	樁
濕	tʃʰe7	
竊	tʃʰe7	
□	ʃe1	打撈；～溪：涉水過河
匙	ʃe2	
兮	ʃe2	
□	ʃe2	～□le²：踮起腳跟以夠著高處
穴	ʃe4	
脅	ʃe4	
協	ʃe4	
涉	ʃe4	
食	ʃe4	（白讀）
乞	ʃe4	～：乞丐
勢	ʃe5	
世	ʃe5	（白讀）個～人：一輩子
曬	ʃe5	
系	ʃe5	中文～
□	ʃe5	澆灌，施肥
□	ʃe5	～□le⁵：咧開嘴。訓斥
□	ʃe5	伓～：不止
設	ʃe7	
識	ʃe7	（白讀）認識
蠍	ʃe7	
雞	ke1	
街	ke1	
羈	ke1	（白讀）系結
鮭	ke2	小鹹魚。俗作“⿱魚奇”
奇	ke2	（白讀）背手～：左撇子
解	ke3	理～
傑	ke4	
竭	ke4	
碣	ke4	
桀	ke4	
挾	ke4	（文讀）挾住
屆	ke5	
疥	ke5	
尬	ke5	不尷（不）～：捉襟見肘
計	ke5	（白讀）用～
戒	ke5	（白讀）～酒
界	ke5	（白讀）隔～
□	ke5	□kã¹～：吝嗇。可能是“尷尬＂，語義有所引申
潔	ke7	
結	ke7	（文讀）團～
揭	ke7	
劫	ke7	
夾	ke7	（文讀）～～（子）：夾子
莢	ke7	
頰	ke7	
急	ke7	（白讀）生氣
□	ke7	～□le⁷：徹底打撈，掏空
溪	kʰe1	
蹊	kʰe1	
瘸	kʰe2	
契	kʰe5	
鍥	kʰe5	砍。～下子：刀下鬼，挨千刀的。讀同“契＂
缺	kʰe7	（白讀）～碗
乞	kʰe7	（白讀）～食：乞丐
倪	ŋie2	
霓	ŋie2	
宜	ŋie2	（白讀）便～
崖	ŋie2	
椅	ŋie3	
□	ŋie3	掫，從一端或一側托起重物
業	ŋie4	
葉	ŋie4	
頁	ŋie4	
額	ŋie4	（文讀）數～，匾～
食	ŋie4	（白讀）吃。或作“饁＂
□	ŋie4	飛～：蝴蝶
易	ŋie5	（白讀）有□hɯŋ⁵～：是那麼容易？
餌	ŋie5	～子：年糕
□	ŋie5	輕輕地砍，啃（一角）
聶	ŋie7	
鑷	ŋie7	
躡	ŋie7	
攝	ŋie7	《廣韻》奴協切
孽	ŋie7	
謁	ŋie7	叫
蟹	he4	
瞎	he7	
挨	e1	（辦事）拖拉
□	e1	～屎窟：擦屁股
鞋	e2	
矮	e3	矮，低
狹	e4	
解	e4	會，能。通常寫作“會＂
挨	e7	躲藏
飛	pue1	（白讀）起～
陂	pue1	作～。俗作“坡＂
賠	pue2	
輩	pue2	（白讀）上個～：長輩
倍	pue4	背～書：背誦
焙	pue5	烤
褙	pue5	
發	pue7	（白讀）頭～
削	pʰue1	去
皮	pʰue2	（白讀）～帶。個～樹箬：一片樹葉
被	pʰue4	棉～
垈	pʰue4	～～：（肥皂等的）泡沫
配	pʰue5	（白讀）～菜
梅	mue2	
莓	mue2	
黴	mue2	
煤	mue2	
媒	mue2	
枚	mue2	
糜	mue2	粥
尾	mue3	
妹	mue5	
歿	mue7	爛，朽；形容容易①本字承嚴修鴻告知。
砣	tue2	
臺	tue2	（白讀）燭～
短	tue3	鼻音韻尾脫落，許多方言均如此
奪	tue4	
□	tue4	兜著
袋	tue5	（白讀）大～：裝糧食的可肩挑的大麻袋
對	tue5	（白讀）兩～
□	tue5	惦念，念叨
掇	tue7	用肘部擊打
梯	tʰue1	（白讀）樓～
推	tʰue1	（白讀）（被水）沖走。嫁禍
退	tʰue5	
褪	tʰue5	
脫	tʰue7	
螺	lue2	（白讀）海～
□	lue2	頭上的皰
儡	lue3	
捋	lue4	擼起
類	lue5	（白讀）搬運
劣	lue7	
捋	lue7	脫開，褪去
脧	tsue1	男陰
才	tsue2	（白讀）秀～
坐	tsue4	（白讀）～人
撮	tsue7	掐下來
催	tsʰue1	
切	tsʰue7	（白讀）～開
腮	sue1	
鰓	sue1	
□	sue1	教訓，訓斥
屑	sue7	（白讀）米～
乖	kue1	
戈	kue1	（白讀）嗉子②嚴修鴻《閩客方言與“脖子與下巴之間的部位＂意義有關的本字》，《新國學研究》（第2輯），北京：人民文學出版社，2005年，第294-305頁。
□	kue1	紅角～：蜻蜓
粿	kue3	米制軟質糕點。或作“餜＂
裹	kue3	（白讀）～粽：包粽子
傀	kue3	
怪	kue5	
髻	kue5	
開	kʰue1	（白讀）放～
快	kʰue5	（白讀）～活：高興
歪	ŋue1	
煨	ŋue1	長時間地煮
□	ŋue1	拳打
禾	ŋue2	（白讀）水稻
愛	ŋue5	（白讀）喜愛，愛好
喂	ŋue7	嘆詞。表呼喚，提醒
灰	hue1	
恢	hue1	新讀
□	hue2	陶瓷。或作“＂
□	hue2	～□lue²：（小孩兒）糾纏，纏繞
火	hue3	
夥	hue3	（白讀）～食
亥	hue4	桃～。個～：一顆（桃子），一隻（蚊子）
悔	hue5	思量～：後悔。《廣韻》荒內切
拙	tʃue7	
綴	tʃue7	
吹	tʃʰue1	
炊	tʃʰue1	蒸
歠	tʃʰue7	喝，飲
螺	ʃye2	（白讀）田螺
腡	ʃye2	指紋
□	ʃye3	甩（耳光），（用竹枝等）抽打
□	ʃye4	攪拌，攪動
稅	ʃye5	
血	ʃye7	
說	ʃye7	
飢	kye1	腹～：餓
蕨	kye3	沙縣亦讀陰上調
□	kye3	蝨嫲～：蝨子的卵
□	kye5	紮住
決	kye7	
訣	kye7	
羯	kye7	閹割
厥	kye7	
蹶	kye7	快跑狀
缺	kʰye7	（文讀）～乏
乞	kʰye7	（文讀）～巧節
訖	kʰye7	
□	ŋye2	揉搓
□	ŋye3	刮去（皮）
月	ŋye4	
閱	ŋye4	
悅	ŋye4	
越	ŋye4	
粵	ŋye4	
□	ŋye4	裂開（口子較大）
魏	ŋye5	
銳	ŋye5	
芮	ŋye5	草
挖	ŋye7	（白讀）（用爪、手指）摳、挖掘①本字承嚴修鴻告知。
波	pɯ1	
菠	pɯ1	
玻	pɯ1	
播	pɯ1	
簸	pɯ1	（文讀）顛～
婆	pɯ2	
袍	pɯ2	
保	pɯ3	
葆	pɯ3	
褓	pɯ3	
堡	pɯ3	
褒	pɯ3	
寶	pɯ3	
鴇	pɯ3	
暴	pɯ4	
瀑	pɯ4	
薄	pɯ4	厚～。（茶）淡
泊	pɯ4	
舶	pɯ4	
箔	pɯ4	
報	pɯ5	
□	pɯ5	生～：陌生
□	pɯ5	嚼爛
□	pɯ5	歇個～：歇一會兒，～～：偶爾
剝	pɯ7	（文讀）～削
博	pɯ7	交換
藨	pʰɯ1	刺莓，覆盆子
頗	pʰɯ1	
坡	pʰɯ1	用於人名等
浮	pʰɯ2	（白讀）～橋
抱	pʰɯ4	
□	pʰɯ4	～～：泡沫兒
破	pʰɯ5	（文讀）～壞。揭開謎底，私下告知
□	pʰɯ5	（水果）酥脆
樸	pʰɯ7	
撲	pʰɯ7	～手掌：鼓掌
粕	pʰɯ7	糟粕
頗	pʰɯ7	又音
瘼	mɯ1	皮膚上長起的疙瘩，瘤
□	mɯ1	□kɯ¹～：奇怪，怪異
無	mɯ2	（白讀）沒有。俗作“毛＂
魔	mɯ2	（文讀）～術
饃	mɯ2	
摩	mɯ2	觀～
毛	mɯ2	（白讀）羊～：毛線；豨屎～：豬糞腐敗後所生的絨毛
莫	mɯ4	
膜	mɯ4	（白讀）起～：皮膚過敏
冒	mɯ5	
帽	mɯ5	
瑁	mɯ5	
磨	mɯ5	石～；～面
毛	mɯ7	羊～
漠	mɯ7	
寞	mɯ7	
幕	mɯ7	
摹	mɯ7	
膜	mɯ7	（文讀）薄～
摸	mɯ7	（文讀）撫～
刀	tɯ1	
多	tɯ1	（文讀）～少
馱	tɯ2	
逃	tɯ2	～避：躲避
佗	tɯ2	
駝	tɯ2	
淘	tɯ2	
萄	tɯ2	
陶	tɯ2	
燾	tɯ2	
濤	tɯ2	
朵	tɯ3	
躲	tɯ3	
島	tɯ3	
搗	tɯ3	
禱	tɯ3	
倒	tɯ3	躺。放～：摔跤
稻	tɯ4	
道	tɯ4	
盜	tɯ4	
