漢字	IPA	注釋
肚	tu4	豨～：豬肚
毒	tu4	（文讀）～藥
□	tu4	～豚：一種地鼠
度	tu5	
渡	tu5	
鍍	tu5	
妒	tu5	
督	tu7	
篤	tu7	
斲	tu7	砍，削
啄	tu7	（白讀）雞～桶：一種放雞鴨飼料的柵欄狀圓形器具
土	tʰu3	
吐	tʰu3	～瀾：吐口水
讀	tʰu4	
毒	tʰu4	（白讀）疔瘡
兔	tʰu5	
吐	tʰu5	嘔～
禿	tʰu7	
奴	lu2	
盧	lu2	
鸕	lu2	
鱸	lu2	
爐	lu2	
廬	lu2	
蘆	lu2	（文讀）～葦
儒	lu2	（白讀）～元：地名
□	lu2	伸出
魯	lu3	
櫓	lu3	
努	lu3	
虜	lu3	
擄	lu3	
鹵	lu3	
□	lu3	吐（食物）
怒	lu3	厭惡。《廣韻》奴古切
鹿	lu4	
漉	lu4	踏進（水裏），水裏沾一沾
祿	lu4	
碌	lu4	
錄	lu4	新讀
□	lu4	～土下：木地板與地面之間的空隙
路	lu5	
鷺	lu5	
露	lu5	（文讀）白～
賂	lu5	
怒	lu5	～氣，怨恨
簏	lu7	櫥～：抽屜
摝	lu7	擺弄，攪動
□	lu7	～蜞：螞蟥
租	tsu1	
祖	tsu3	
組	tsu3	
阻	tsu3	新讀
族	tsu4	
簇	tsu4	誤讀
鏃	tsu4	
昨	tsu4	
粗	tsʰu1	
鑿	tsʰu4	（白讀）～開
浞	tsʰu4	嗆著
醋	tsʰu5	
蘇	su1	
酥	su1	
疏	su1	
塑	su5	
素	su5	（文讀）尿～
速	su7	
束	su7	（文讀）結～
周	tʃu1	
周	tʃu1	
州	tʃu1	
洲	tʃu1	
舟	tʃu1	
□	tʃu1	抓；個～：一撮
帚	tʃu3	
肘	tʃu3	
□	tʃu3	（木頭）腐朽
助	tʃu5	
咒	tʃu5	
皺	tʃu5	～□lu⁷：（衣物等）起褶
就	tʃu5	（白讀）～是
初	tʃʰu1	
仇	tʃʰu2	
讎	tʃʰu2	
酬	tʃʰu2	
雛	tʃʰu2	
手	tʃʰu3	
楚	tʃʰu3	
礎	tʃʰu3	
醜	tʃʰu3	
臭	tʃʰu5	
觸	tʃʰu7	
□	tʃʰu7	～人：麥芒、髮屑在身上的感覺
收	ʃu1	
梳	ʃu1	
蔬	ʃu1	
蘆	ʃu2	（白讀）蘆葦。～菜：韭菜
□	ʃu2	（大把地）拔（草等）
守	ʃu3	
首	ʃu3	
所	ʃu3	
朽	ʃu3	腐～
受	ʃu4	
授	ʃu4	
數	ʃu5	名詞
數	ʃu5	動詞
訴	ʃu5	
售	ʃu5	
獸	ʃu5	
壽	ʃu5	
素	ʃu5	（白讀）味～：滋味
露	ʃu5	（白讀）霧。～水
束	ʃu7	（白讀）～燋：擰幹。（橘子）瓣
縮	ʃu7	（白讀）～水
姑	ku1	
菇	ku1	（文讀）
辜	ku1	
孤	ku1	
鴣	ku1	
糊	ku2	（白讀）漿糊。糊住
古	ku3	
估	ku3	
牯	ku3	牛～：公牛
股	ku3	
鼓	ku3	
□	ku3	結實。俗字⿵冇丶
□	ku3	臭水～：蔬菜久浸水中發出的異味
故	ku5	
固	ku5	
錮	ku5	
顧	ku5	
雇	ku5	
□	ku5	～□lu⁵：蹲下
谷	ku7	
穀	ku7	
角	ku7	（白讀）牛角頂人
桷	ku7	～子：椽子
賈	ku7	商～
