çy	5	术=[技～]竖恕庶戍曙	
çy	6	树澍薯[红～]	
çy	7	术-[算～]述秫	
ʐy	7	日=	
y	1	淤	
y	2	鱼渔如茹余于盂迂愚儒虞娱俞渝瑜逾榆愉竽	
y	3	与乳雨宇语羽禹隅	
y	5	预豫誉裕峪喻愈遇玉御郁驭寓	
y	6	芋妪[老～]	
y	7	擩[～进去]域役疫	
pa	1	巴芭疤琶杷	
pa	3	把[～握]	
pa	5	爸罢坝霸把[刀～]	
pa	6	罢[特意：～是]	
pa	7	八伯白柏百帛钵北	
pʰa	1	擘[两腿张开：～开]	
pʰa	2	爬耙扒	
pʰa	3	□[拟声词，炸裂声：气球～了]	
pʰa	5	怕	
pʰa	6	稗	
pʰa	7	拔钹泼跋泊迫拍珀魄	
ma	1	妈□[不爱整洁：～稀]蟆[蛤～]	
ma	2	麻	
ma	3	马码□[偷走东西：～起走]	
ma	5	□[形容很旧：～旧]	
ma	6	骂	
ma	7	抹末-沫-没[～收]墨默陌麦脉	
ɸa	1	花	
ɸa	2	华划[～船]桦筏	
ɸa	5	化	
ɸa	6	画话=划[～线]	
ɸa	7	法乏发伐罚阀	
ta	3	打	
ta	5	大=[智商不高的小孩子：～伢唧]	
ta	7	答搭达耷德得[～到]	
tʰa	1	他她它	
tʰa	7	拓塔踏榻塌遢沓趿[～双拖鞋]獭特	
la	1	拿拉	
la	2	挪[用脚在地上蹭：～泥巴]	
la	3	哪	
la	5	那	
la	6	□[形容粗：～粗的]	
la	7	纳蜡腊辣剌楋[～树]垃捺邋[～遢]勒肋捋	
ʦa	1	渣楂喳	
ʦa	5	诈炸榨蔗栅醡[酒～]	
ʦa	7	杂眨闸吒[哪～]札则摘责啄-[鸡～米]砸窄	
ʦʰa	1	叉杈衩差[～别]	
ʦʰa	2	茶搽查	
ʦʰa	5	岔择-[～菜]	
ʦʰa	6	□[小灌木丛，荆棘丛：～子]	
ʦʰa	7	察贼测侧铡拆宅泽择=[～日]册策插	
sa	1	纱沙莎杉	
sa	3	撒耍傻	
sa	7	涩萨刷虱瑟色塞啬卅飒杀刹煞靸[～鞋]	
tʂa	1	遮	
tʂa	3	者	
tʂa	5	鹧	
tʂa	7	哲蛰=辙只隻炙折	
tʂʰa	1	车	
tʂʰa	3	扯	
tʂʰa	7	尺-赤-彻撤	
ʂa	1	奢赊畬	
ʂa	2	蛇佘	
ʂa	3	舍[～不得]	
ʂa	5	射麝	
ʂa	6	□[口水等流出：～涎（馋）]	
ʂa	7	舌设涉摄石-失-	
ka	1	家-[人～]痂	
ka	5	架-驾-嫁	
ka	6	□[量词，用手指量从拇指尖到中指尖或者两脚跨一步之间的距离都叫一～；动词，跨：～过去]	
ka	7	夹-荚-挟裌[～衣]胳格革隔匣-胛甲[指～]	
kʰa	1	掐[～颈根]	
kʰa	2	蛤-[～蟆]	
kʰa	3	卡	
kʰa	5	胯[～裆]	
kʰa	7	刻克客恰-[～好]掐[～人]	
ŋa	1	丫叉桠□[张开嘴：～口]	
ŋa	2	牙-芽-衙伢	
ŋa	3	哑	
ŋa	5	咬-[～人]	
ŋa	6	砑[～胡椒]	
ŋa	7	砑[～在书里面]压-鸭押-轧额扼轭	
xa	1	虾-[～公]哈[～气]	
xa	3	哈[～巴狗]	
xa	6	下[～哩；都：～有份]	
xa	7	吓瞎核黑赫核	
a	2	而	
a	3	耳饵	
a	6	二贰	
pia	7	壁-	
pʰia	6	瘪-[形容很稀很烂：泥巴～泻咯]	
pʰia	7	劈-	
tia	1	爹-[指爷爷或者老年男性]	
tia	5	滴-[形容很少一点点：～唧]	
tia	7	滴-[～血]	
tʰia	2	提	
tʰia	7	踢-缔-[捆绑：～紧点]	
lia	1	嗲[放～]	
lia	2	□[爬（通常指不太高的地方）：～上去哒]	
lia	3	咧[吐出：～舌子]	
lia	7	□[累：今天很～]	
ʨia	3	姐	
ʨia	5	借□[形容很湿：衣服打的～湿咯]	
ʨia	7	□[很：这小孩～细起就是娭毑带哒；衣服汗湿了，～润咯]	
ʨʰia	5	笡[斜：～眼睛]	
ɕia	1	些	
ɕia	3	写	
ɕia	5	卸泻[～屎]泄[～劲]	
cia	1	加枷嘉袈佳家[～庭]傢	
cia	3	假贾[姓～]	
cia	5	价架=驾=稼=	
cia	7	甲=夹=荚钾□[脾气倔强：发～]	
cʰia	2	茄	
cʰia	7	吃-恰=洽	
ɲia	2	黏	
ɲia	3	惹-	
ɲia	5	肏[性行为，同时指骂娘：～娘]	
çia	1	虾=[～酱]	
çia	2	霞瑕遐	
çia	5	厦下[为人抠门又品行不好：为人～]	
çia	6	夏	
çia	7	辖峡侠狭	
ia	1	鸦=丫[～头]	
ia	2	爷[(父亲)]	
ia	3	也野雅	
ia	5	亚[～洲]	
ia	6	夜	
ia	7	压押	
tʂua	1	抓遮[(又读)]	
tʂua	5	□[～～叫]	
tʂʰua	2	瘸[手发～]	
kua	1	瓜呱	
kua	3	寡剐□[～鸡蛋：没能孵出小鸡的蛋]	
kua	5	褂子卦挂	
kua	7	刮国虢	
kʰua	1	夸	
kʰua	3	垮胯[～骨]	
kʰua	6	□[形容人没精神：～泄咯，没劲]	
kʰua	7	括	
ua	1	鸦-[老～子]蛙娲哇洼	
ua	3	瓦[搲～水：舀水]哕[打～：干呕]	
ua	5	滑=猾=	
ua	6	话-[～媒]	
ua	7	袜挖滑-猾-	
cya	7	掘撅蕨倔决诀	
cʰya	2	瘸[～子]	
cʰya	3	抈[折断，～树丫子]	
cʰya	5	踹	
cʰya	7	缺阙	
çya	1	靴	
çya	7	□[甩,用手抽打：～嘴巴]	
ya	7	越热月粤曰阅悦	
po	1	波玻菠	
po	3	□[物品很次：你这鞋太～了]	
po	5	簸播□[蛋～～,儿语]	
po	7	博搏膊缚驳	
pʰo	1	坡	
pʰo	2	婆	
pʰo	3	剖=[解～]叵颇	
pʰo	5	破剖-[～西瓜]	
pʰo	6	薄[～荷]	
pʰo	7	薄[～被窝]鄱	
mo	1	摸[～～悉悉：做事慢]	
mo	2	魔磨[～刀]蘑摩馍模膜	
mo	3	母拇么摸[拿，偷盗：～起走]	
mo	5	幕慕墓暮募	
mo	6	磨[～子]	
mo	7	目穆牧莫寞沫=末=木沐睦	
to	1	多	
to	3	朵躲垛	
to	5	剁=惰堕	
to	7	夺踱度[忖～]	
tʰo	1	拖	
tʰo	2	驮驼陀坨砣鸵	
tʰo	3	妥椭	
tʰo	5	唾	
tʰo	6	舵□[往下叠放物品：～锅子]	
tʰo	7	脱托拓	
lo	1	啰	
lo	2	罗逻萝箩锣螺骡脶	
