繁體	简体	音標	註釋	聲	韻	調							
多	多	tɔ˧˥		t	ɔ	˧˥							
他	他	tʰɑ˧˥		tʰ	ɑ	˧˥							
舵	舵	tɔ˨˦		t	ɔ	˨˦							
陊	陊	tɔ˨˦	放置	t	ɔ	˨˦							
大	大	tɑ˨˦		t	ɑ	˨˦							
拖	拖	tʰɔ˧˥		tʰ	ɔ	˧˥							
駝	驼	tʰɔ˧˩		tʰ	ɔ	˧˩							
陀	陀	tʰɔ˧˩		tʰ	ɔ	˧˩							
馱	驮	tʰɔ˧˩		tʰ	ɔ	˧˩							
挪	挪	nɔ˧˩		n	ɔ	˧˩							
𦣇	𬂂	nɑʊ̯˧˩	餓牢子形容飢餓而狼狽的人	n	ɑʊ̯	˧˩							
𦣇	𬂂	nɔ˧˩	又音餓~餓像：形容飢餓而狼狽的人	n	ɔ	˧˩							
羅	罗	nɔ˧˩		n	ɔ	˧˩							
鑼	锣	nɔ˧˩		n	ɔ	˧˩							
籮	箩	nɔ˧˩		n	ɔ	˧˩							
𪭥	𪭥	t͡sɔ˥˧	換	t͡s	ɔ	˥˧							
左	左	t͡sɔ˥˧		t͡s	ɔ	˥˧							
佐	佐	t͡sɔ˥˧		t͡s	ɔ	˥˧							
做	做	t͡su˨˦		t͡s	u	˨˦							
搓	搓	t͡sʰɔ˧˥		t͡sʰ	ɔ	˧˥							
娑	娑	sɔ˧˥		s	ɔ	˧˥							
歌	歌	kɔ˧˥		k	ɔ	˧˥							
哥	哥	kɔ˧˥		k	ɔ	˧˥							
哿	哿	kɑ˥˧	白讀表示阻截	k	ɑ	˥˧							
哿	哿	kɔ˥˧		k	ɔ	˥˧							
個	个	ke˨˦	白讀	k	e	˨˦							
個	個	kɔ˨˦		k	ɔ	˨˦							
軻	轲	kʰɔ˧˥		kʰ	ɔ	˧˥							
可	可	kʰɔ˥˧		kʰ	ɔ	˥˧							
蛾	蛾	ŋɔ˧˩		ŋ	ɔ	˧˩							
鵝	鹅	ŋɔ˧˩		ŋ	ɔ	˧˩							
娥	娥	ŋɔ˧˩		ŋ	ɔ	˧˩							
俄	俄	ŋɔ˧˩		ŋ	ɔ	˧˩							
我	我	ŋɔ˥˧		ŋ	ɔ	˥˧							
㦱	㦱	ŋɔ˥˧		ŋ	ɔ	˥˧							
餓	饿	ŋɔ˨˦		ŋ	ɔ	˨˦							
呵	呵	xɔ˧˥	表示欺騙	x	ɔ	˧˥							
𪫧	𪫧	xɔ˧˥	回~過來：回過神來	x	ɔ	˧˥							
訶	诃	xɔ˧˥		x	ɔ	˧˥							
胢	胢	xɑ˧˥	肉和油脂變質	x	ɑ	˧˥							
抲	抲	xɑ˧˥	動詞，表示用手翻找	x	ɑ	˧˥							
何	何	xɔ˧˩		x	ɔ	˧˩							
河	河	xɔ˧˩		x	ɔ	˧˩							
荷	荷	xɔ˧˩		x	ɔ	˧˩							
苛	苛	Kʰɔ˧˥		kʰ	ɔ	˧˥							
荷	荷	xɔ˨˦	負～	x	ɔ	˨˦							
賀	贺	xɔ˨˦		x	ɔ	˨˦							
阿	阿	ɑ˧˥˥	張嘴	ø	ɑ	˧˥˥							
阿	阿	ɑ˧˥	疑問	ø	ɑ	˧˥							
阿	阿	ɑ˧˩	應答	Ø	ɑ	˧˩							
阿	阿	ŋɔ˧˥	阿彌陀佛	ŋ	ɔ	˧˥							
阿	阿	ɔ˧˥	阿膠	ø	ɔ	˧˥							
屙	屙	ŋɔ˧˥		ŋ	ɔ	˧˥							
茄	茄	t͡ɕʰy˧˩	蕃茄	t͡ɕʰ	y	˧˩							
啵	啵	pɔ˧˥	打~	p	ɔ	˧˥							
波	波	pɔ˧˥		p	ɔ	˧˥							
跛	跛	pɐ̞ɪ̯˧˥	跛子，跛腳杆	p	ɐ̞ɪ̯	˧˥							
跛	跛	pɔ˥˧	文讀	p	ɔ	˥˧							
簸	簸	pɔ˥˧		p	ɔ	˥˧							
播	播	pɔ˨˦		p	ɔ	˨˦							
簸	簸	pɔ˨˦		p	ɔ	˨˦							
頗	颇	pʰɔ˥˧		pʰ	ɔ	˥˧							
