繁體	简体	聲韻	聲調	注釋			
不	不	pəʔ	5			陰平33	陽平31
伯	伯	paʔ	5			陰上42	陽上31
八	八	pɛʔ	5			陰去55	陽去13
剝	剥	pɔʔ	5			陰入5	陽入2
北	北	poʔ	5				
博	博	poʔ	5				
壁	壁	piɪʔ	5				
必	必	piɪʔ	5				
憋	憋	piɪʔ	5				
撥	拨	pəʔ	5				
柏	柏	paʔ	5				
檗	檗	paʔ	5				
璧	璧	piɪʔ	5				
畢	毕	piɪʔ	5				
百	百	paʔ	5				
碧	碧	piɪʔ	5				
筆	笔	piɪʔ	5				
缽	钵	pəʔ	5				
蔔	卜	poʔ	5				
迫	迫	paʔ	5				
逼	逼	piɪʔ	5				
駁	驳	pɔʔ	5				
鱉	鳖	piɪʔ	5				
僕	仆	pʰoʔ	5	倒			
僻	僻	pʰiɪʔ	5				
劈	劈	pʰiɪʔ	5				
匹	匹	pʰiɪʔ	5				
□	□	pʰaʔ	5	用手撕開			
拍	拍	pʰaʔ	5				
撇	撇	pʰiɪʔ	5				
撲	扑	pʰoʔ	5				
樸	朴	pʰɔʔ	5				
潑	泼	pʰəʔ	5				
辟	辟	pʰiɪʔ	5				
魄	魄	pʰaʔ	5				
啄	啄	toʔ	5				
嫡	嫡	tiɪʔ	5				
得	得	təʔ	5				
德	德	təʔ	5				
掇	掇	təʔ	5				
搭	搭	tɛʔ	5				
滴	滴	tiɪʔ	5				
的	的	tiɪʔ	5	目～			
督	督	toʔ	5				
答	答	təʔ	5				
篤	笃	toʔ	5				
跌	跌	tiɪʔ	5				
剔	剔	tʰiɪʔ	5				
塌	塌	tʰɛʔ	5				
塔	塔	tʰɛʔ	5				
帖	帖	tʰiɪʔ	5				
忒	忒	tʰəʔ	5				
托	托	tʰɔʔ	5				
搨	搨	tʰɛʔ	5				
柬	柬	tʰiɪʔ	5				
獺	獭	tʰɛʔ	5				
禿	秃	tʰəʔ	5				
脫	脱	tʰəʔ	5				
貼	贴	tʰiɪʔ	5				
踢	踢	tʰiɪʔ	5				
鐵	铁	tʰiɪʔ	5				
倔	倔	cyøʔ	5	脾氣～			
劫	劫	ciɪʔ	5				
厥	厥	cyøʔ	5				
吉	吉	ciɪʔ	5				
急	急	ciɪʔ	5				
戟	戟	ciɪʔ	5				
掬	掬	cyoʔ	5				
擊	击	ciɪʔ	5				
桔	桔	cyøʔ	5				
決	决	cyøʔ	5				
潔	洁	ciɪʔ	5	鐮刀			
潔	洁	ciɪʔ	5				
激	激	ciɪʔ	5				
級	级	ciɪʔ	5				
結	结	ciɪʔ	5				
給	给	ciɪʔ	5	供～			
腳	脚	ciaʔ	5				
菊	菊	cyøʔ	5				
訣	诀	cyøʔ	5				
餃	饺	ciɔʔ	5	～子			
乞	乞	cʰiɪʔ	5				
卻	却	cʰiaʔ	5				
屈	屈	cʰyøʔ	5				
怯	怯	cʰiaʔ	5				
怯	怯	cʰiɪʔ	5				
揭	揭	cʰiɪʔ	5				
曲	曲	cʰyoʔ	5				
