#调值	［1］212［2］55［3］24［5］53
#ɿ	
ts	[1]吱咨姿资兹之支汁只{一~鸡}知[2]质{~量}执直侄职植[3]子{~女}姊籽紫止只{~有}指纸[5]字自至志治制痣誌
tsʰ	[1]刺{~溜}差{参~}跐{~下来}吃痴{~呆}尺[2]祠瓷词辞磁糍此池迟持{~平}[3]跐{~着}齿耻[5]次伺{~候}刺{~刀}赐斥赤翅厕
s	[1]司私思斯丝撕蛳尸师虱湿诗识{认~}[2]十石时实拾食蚀失{遗~}室识{~别}[3]死史使始屎驶[5]四寺似伺{~机}泗肆饲驷士市世仕事势柿是视试饰誓释
z	[1]日
#i	
p	[1]屄[2]荸鼻逼笔必[3]比彼妣鄙[5]币泌敝陛闭毙秘{~密}避匕{~首}
pʰ	[1]批披劈{~开}匹辟{~谣}避庇{~护}[2]皮枇疲瑟砒[3]痞劈{~成两段}癖[5]屁媲僻{~静}
m	[1]眯{~着眼}蜜{~蜂}密{秘~}[2]弥迷糜靡{披~}[3]米芈[5]泌密{稠~}觅迷
t	[1]低滴[2]狄敌笛嘀{~咕}的{~确}[3]底邸抵{~命、~达}砥诋{~毁}[5]地弟帝娣第
tʰ	[1]剔梯踢[2]提{~篮子、~防}啼蹄题[3]体{身~}[5]屉剃涕替
n	[1]妮{~子}[2]尼泥倪霓[3]拟你[5]泥逆匿溺腻
l	[1]哩{~~啦啦}力粟{~子}粒{米~}立{站~}[2]厘梨犁喱黎篱{~笆}[3]礼李里理[5]历{经~、~法}厉吏利丽例痢砾雳立{~即、~春}
tɕ	[1]几{茶~}机肌鸡奇{~数}基叽{~咕}脊{~梁骨}矶讥[2]及吉极即{立~}急疾集击迹激积{~极}寂{~寞}[3]几{~时}挤己给{供~}[5]技忌际妓剂季计纪记继寄济{无~于事}
tɕʰ	[1]妻栖期漆膝{~盖}[2]齐祁其奇{~怪}歧旗企[3]起启[5]气汽弃器憩乞{~丐}
ɕ	[1]夕西吸希栖息[2]席媳袭隙析[3]洗喜玺[5]戏系细惜{可~}
	[1]一衣医依揖[2]仪夷沂怡姨移疑乙已{~经}疫毅役{劳~}[3]以尾{~巴}椅蚁[5]义亦异益意翼议
#u	
p	[1]不[3]补捕[5]布步部簿
pʰ	[1]扑铺{~路}埠{蚌~}[2]葡{~萄}扑{~克牌}菩{~萨}[3]朴普仆{~人}卜{占~}谱瀑{~布}[5]铺{~面}
