#osfans整理
#調值：[1]31、[2]213、[3]443、[5]35、[7]4
#-白讀、=文讀、?待考

#ɿ
0	[1]鴉{烏～}夜丫={～鬟}丫?{～子：捕黃鱔的漁具}椰耶{～穌}[2]牙={～刷}芽=蚜衙涯爺-洋+{～油、～襪}[3]雅野[5]亞

#ua
k	[1]瓜呱□{耷拉：你望他的耳頭全～下來了}[3]寡剮{千刀萬～}[5]褂卦掛掛{一～車子}
kʰ	[1]誇夸[2]□{刮}㓤{刮}[3]侉{～子}垮胯{大～}[5]跨
x	[1]畫{動詞}花話-化{興～、叫～子}□{～破、～玻璃}𠝐{～破、～玻璃}[2]華{中～、姓～}划樺[5]化畫{名詞}話={電～}
0	[1]蛙漥搲{手要貓爪子～破了}[2]娃[3]瓦{～瓷}搲{舀}[5]窪瓦{～匠、～刀}

#ya
tɕ	[1]抓[3]爪□{手凍～了}
tɕʰ	[2]瘸
ɕ	[1]靴[3]耍[5]䵘{～湯：湯變得不黏稠}

#ɔ
p	[1]包鮑抱{～怨}胞[3]褒保寶飽堡[5]抱=報暴豹爆堡{古殿～：鹽都尚莊地名}
pʰ	[1]抱-泡{燈～}菢{孵}拋[2]袍跑-{走}刨[3]跑=[5]炮泡{～茶}
m	[1]帽冒-{～上來}毷?{上～：發黴}[2]毛貓矛錨茅鰻{～魚}[3]卯鉚[5]冒={感～}貌
t	[1]刀叨[3]島倒禱搗[5]道稻倒到盜導
tʰ	[1]滔韜掏[2]逃桃淘陶萄濤[3]討[5]套
n	[1]孬[2]撓鐃[3]腦惱[5]鬧
l	[1]撈嘮繞[2]勞撈癆牢饒橈[3]老佬擾[5]澇
ts	[1]遭糟朝昭招召繰{～邊}[3]早棗蚤澡找爪{手～子：手，貶義}[5]皂皁竈躁罩棹照詔笊{～籬}趙兆
tsʰ	[1]操抄超譟{叫}[2]曹槽嘀巢朝潮[3]草騲炒吵[5]糙{～米}造鈔
s	[1]騷臊捎燒稍梢{～瓜：菜瓜}[2]韶{～關}紹{介～}[3]掃嫂少[5]哨少{～年}邵紹𢜶{快，催人趕快做某事：～走}交{量詞}
k	[1]高膏{牙～}篙羔糕教-茭{～瓜：茭白}交{跟、替、和}皋[3]稿搞攪[5]告膏{～油}窖-覺-叫-{～化子}酵
kʰ	[1]敲-[3]考烤[5]靠犒
x	[1]蒿薅號-{喊～子}[2]毫壕號{鬼～}嗥[3]好[5]浩皓昊顥灝好耗號={幾～}
0	[1]噢{嘆詞，應答之義}□{稱讚、誇：人見人～}二貳[2]熬敖翱螯獒兒而[3]襖咬爾耳餌[5]奧懊傲鏊傲懊奡{用力坐起來}

#iɔ
p	[1]膘標彪[3]表錶婊裱[5]鰾膘?{肉皮}
pʰ	[1]飄漂[2]瓢嫖[5]票漂
m	[1]廟[2]苗瞄描[3]秒藐渺緲[5]妙繆{姓}
t	[1]叼雕鵰貂刁[3]屌[5]掉=釣吊弔調銚{茶～子：燒水壺}
tʰ	[1]挑掉-{～頭}條{一～魚}[2]條調迢笤{～帚}斢{調換}[3]挑{～撥離間}[5]跳糶艞{～板}
n	[1]尿[3]鳥[5]尥{小動物被束縛時的掙扎狀}
l	[1]料-{糖～：做糖人的原料}撂[2]撩療聊燎遼寥屪{射～：小便，貶義}[3]了{最後：臨～，倒末～}[5]料=廖
tɕ	[1]交郊膠教=焦椒蕉驕嬌澆[3]狡剿矯繳餃僥絞{縫}𢄺{擦拭}[5]教校{～對}較轎叫=醮
tɕʰ	[1]敲=鍬悄蹺撬[2]瞧喬僑橋[3]巧[5]俏竅鞘
ɕ	[1]消宵肖霄逍硝銷桴囂蕭簫枵{薄}□{翻：～書}𢳚{翻：～書}[2]淆[3]小曉[5]孝效笑校肖
0	[1]妖邀腰要幺吆{驅趕}[2]餚搖謠窯姚遙堯鷂[3]舀杳[5]要耀

#ɛ
p	[1]伯{～～（父親）、大～（大伯）、姑～（姑父）}[3]擺{炫耀}[5]敗拜甭{不要}
pʰ	[1]敗呸{嘆詞}[2]排牌[3]矲?{踩}[5]派湃
m	[1]賣[2]埋[3]買[5]邁
v	[1]外-歪𱿯{～～：河蚌}𲀊[2]蛙{田雞～子：青蛙}[3]□{搖擺}[5]外=
t	[1]呆[3]歹等*{們，人稱復數}[5]怠殆戴貸袋=代帶大{～夫}待黛
tʰ	[1]台{～州}胎苔袋-汏{漂洗}大-{～斧：斧子}怠-{懈～：形容動作慢}[2]臺檯颱抬薹{萵苣～：萵苣}[3]奤{四面伸展狀：大～～}[5]太泰
n	[1]㖠{嘆詞，用來提醒、警告}褦{懦～：聽話守規矩}耐-[3]乃奶氖[5]耐=奈
l	[1]賴癩臘+{～月}[2]來倈萊遺{遺忘：～尿，～頭失魂}[3]兩{數詞}
ts	[1]災栽齋[3]者宰載[5]在=再債寨載{超～}儎
tsʰ	[1]在-釵差{出～}[2]才纔材財裁豺柴[3]踩採寀彩綵䜺[5]菜蔡{姓}
s	[1]腮鰓篩塞[5]賽塞曬
k	[1]該街枷{連～}荄{麥～：脫粒後的麥稈}㨟{觸碰：手一～}[3]改解-{～小便}[5]疥-概蓋鈣戒-{～酒}溉界-丐
kʰ	[1]開揩[2]欬{～氣}[3]凱慨楷[5]隑{倚；推諉}甲+{指～子：指甲}愒{拖延}
x	[1]害-{～病}懈-{～怠：形容動作慢}[2]還孩鞋[3]海蟹[5]亥害=駭
0	[1]哎哀埃挨捱艾-礙[2]唉{語氣詞，表同意}挨捱呆{～板}崖{～上}癌[3]也藹矮[5]愛艾=愛隘

#iɛ
tɕ	[1]皆階[3]解={～釋}[5]介界={世～}疥=芥戒={豬八～}屆械
ɕ	[2]諧[5]懈

#uɛ
k	[1]乖[3]拐柺[5]怪
kʰ	[1]擓{～到一邊、～書包}𲄗{～書包}[3]蒯[5]塊快會{～計}劊筷
x	[1]壞[2]懷槐淮[3]甩?{打：我氣起來就～他一傢伙}

#yɛ
tɕ	[2]跩{驕傲自滿狀}轉{驕傲自滿狀}[3]拽橛{扁擔～子}[5]拽
tɕʰ	[1]揣猜[5]踹
ɕ	[1]衰摔[2]甩{～裏～氣的：不大愛理人，脾氣臭}[3]甩甩{打人}[5]帥率

#o
