fanti	jianti	pinyin2	pinyin	ipa	beizhu
巴	巴	baa	baa1	pa²⁴	
芭	芭	baa	baa1	pa²⁴	
疤	疤	baa	baa1	pa²⁴	
爸	爸	baa	baa1	pa²⁴	
把	把	baa	baa3	pa³⁵	
白	白	baa	baa3	pa³⁵	又读。蛋~。
霸	霸	baa	baa5	pa³³	
壩	坝	baa	baa5	pa³³	
罷	罢	baa	baa6	pa²²	
耙	耙	paa	paa3	pʰa³⁵	名词。
拍	拍	paa	paa3	pʰa³⁵	又读。球~。
怕	怕	paa	paa5	pʰa³³	
爬	爬	paa	paa2	pʰa⁴⁴	
杷	杷	paa	paa2	pʰa⁴⁴	
琶	琶	paa	paa2	pʰa⁴⁴	
耙	耙	paa	paa2	pʰa⁴⁴	动词。
媽	妈	maa	maa1h	ma⁵⁵	
麻	麻	maa	maa2	ma⁴⁴	
馬	马	maa	maa4	ma¹³	
罵	骂	maa	maa6	ma²²	
花	花	faa	faa1	fa²⁴	
化	化	faa	faa5	fa³³	
打	打	daa	daa3	ta³⁵	
他	他	taa	taa1	tʰa²⁴	
衲	衲	naa	naa3	na³⁵	棉~：棉袄。
拿	拿	naa	naa2	na⁴⁴	
那	那	naa	naa4	na¹³	
哪	哪	naa	naa4	na¹³	
娜	娜	naa	naa6	na²²	
楂	楂	zaa	zaa1	tsa²⁴	
渣	渣	zaa	zaa1	tsa²⁴	
抓	抓	zaa	zaa1	tsa²⁴	以“揸”训“抓”。
摣	揸	zaa	zaa1	tsa²⁴	
宅	宅	zaa	zaa3	tsa³⁵	
閘	闸	zaa	zaa3	tsa³⁵	又读。马~：一种坐具。
甴	甴	zaa	zaa3	tsa³⁵	曱~：蟑螂。
詐	诈	zaa	zaa5	tsa³³	
榨	榨	zaa	zaa5	tsa³³	
炸	炸	zaa	zaa5	tsa³³	
乍	乍	zaa	zaa5	tsa³³	
叉	叉	caa	caa1	tsʰa²⁴	
杈	杈	caa	caa1	tsʰa²⁴	
差	差	caa	caa1h	tsʰa⁵⁵	~别。
岔	岔	caa	caa1h	tsʰa⁵⁵	
刷	刷	caa	caa3	tsʰa³⁵	又读。竹刷。
茶	茶	caa	caa2	tsʰa⁴⁴	
搽	搽	caa	caa2	tsʰa⁴⁴	
查	查	caa	caa2	tsʰa⁴⁴	
沙	沙	saa	saa1	sa²⁴	
砂	砂	saa	saa1	sa²⁴	
莎	莎	saa	saa1h	sa⁵⁵	
紗	纱	saa	saa1h	sa⁵⁵	
灑	洒	saa	saa3	sa³⁵	
耍	耍	saa	saa3	sa³⁵	
家	家	gaa	gaa1	ka²⁴	
加	加	gaa	gaa1	ka²⁴	
痂	痂	gaa	gaa1	ka²⁴	
嘉	嘉	gaa	gaa1h	ka⁵⁵	
傢	家	gaa	gaa1h	ka⁵⁵	
假	假	gaa	gaa3	ka³⁵	真~。
賈	贾	gaa	gaa3	ka³⁵	
寡	寡	gaa	gaa3	ka³⁵	白读。
鴿	鸽	gaa	gaa3	ka³⁵	
甲	甲	gaa	gaa3	ka³⁵	一~村：地名。
假	假	gaa	gaa5	ka³³	放假。
架	架	gaa	gaa5	ka³³	
駕	驾	gaa	gaa5	ka³³	
嫁	嫁	gaa	gaa5	ka³³	
稼	稼	gaa	gaa5	ka³³	
價	价	gaa	gaa5	ka³³	
蝦	虾	haa	haa1h	ha⁵⁵	
霞	霞	haa	haa2	ha⁴⁴	
瑕	瑕	haa	haa2	ha⁴⁴	
暇	暇	haa	haa2	ha⁴⁴	
廈	厦	haa	haa6	ha²²	
下	下	haa	haa6	ha²²	
夏	夏	haa	haa6	ha²²	
牙	牙	ngaa	ngaa2	ŋa⁴⁴	
芽	芽	ngaa	ngaa2	ŋa⁴⁴	
衙	衙	ngaa	ngaa2	ŋa⁴⁴	
伢	伢	ngaa	ngaa2	ŋa⁴⁴	
雅	雅	ngaa	ngaa4	ŋa¹³	
瓦	瓦	ngaa	ngaa4	ŋa¹³	
瓜	瓜	gwaa	gwaa1	kʷa²⁴	
寡	寡	gwaa	gwaa3	kʷa³⁵	文读。
剮	剐	gwaa	gwaa3	kʷa³⁵	
掛	挂	gwaa	gwaa5	kʷa³³	
卦	卦	gwaa	gwaa5	kʷa³³	
誇	夸	kwaa	kwaa1	kʷʰa²⁴	
夸	夸	kwaa	kwaa1	kʷʰa²⁴	
垮	垮	kwaa	kwaa1	kʷʰa²⁴	
跨	跨	kwaa	kwaa1	kʷʰa²⁴	
蛙	蛙	waa	waa1h	wa⁵⁵	
畫	画	waa	waa3	wa³⁵	名词。
華	华	waa	waa2	wa⁴⁴	
鏵	铧	waa	waa2	wa⁴⁴	
樺	桦	waa	waa2	wa⁴⁴	
話	话	waa	waa6	wa²²	
丫	丫	aa	aa1h	a⁵⁵	
椏	桠	aa	aa1h	a⁵⁵	
啞	哑	aa	aa3	a³⁵	
鴨	鸭	aa	aa3	a³⁵	
軛	轭	aa	aa3	a³⁵	
鈪	鈪	aa	aa3	a³⁵	手~：手镯。
亞	亚	aa	aa5	a³³	
啤	啤	pe	pe1h	pʰɛ⁵⁵	英文pair的音译，~牌：扑克。
孭	孭	pe	pe1	pʰɛ²⁴	背负
咩	咩	me	me1h	mɛ⁵⁵	~嘢：什么。
乜	乜	me	me3	mɛ³⁵	歪。
爹	爹	de	de1h	tɛ⁵⁵	
笛	笛	de	de3	tɛ³⁵	
遮	遮	ze	ze1	tsɛ²⁴	
姐	姐	ze	ze3	tsɛ³⁵	
者	者	ze	ze3	tsɛ³⁵	
借	借	ze	ze5	tsɛ³³	
蔗	蔗	ze	ze5	tsɛ³³	
藉	藉	ze	ze5	tsɛ³³	~故。
謝	谢	ze	ze6	tsɛ²²	
車	车	ce	ce1	tsʰɛ²⁴	马车。
奢	奢	ce	ce1	tsʰɛ²⁴	
且	且	ce	ce3	tsʰɛ³⁵	
扯	扯	ce	ce3	tsʰɛ³⁵	
笡	笡	ce	ce3	tsʰɛ³⁵	斜。
邪	邪	ce	ce2	tsʰɛ⁴⁴	
斜	斜	ce	ce2	tsʰɛ⁴⁴	
賒	赊	se	se1	sɛ²⁴	
些	些	se	se1h	sɛ⁵⁵	1h
寫	写	se	se3	sɛ³⁵	
捨	舍	se	se3	sɛ³⁵	
瀉	泻	se	se5	sɛ³³	
卸	卸	se	se5	sɛ³³	
赦	赦	se	se5	sɛ³³	
舍	舍	se	se5	sɛ³³	
蛇	蛇	se	se2	sɛ⁴⁴	
佘	佘	se	se2	sɛ⁴⁴	
社	社	se	se4	sɛ¹³	
射	射	se	se6	sɛ²²	
麝	麝	se	se6	sɛ²²	
騎	骑	ke	ke2	kʰɛ⁴⁴	
耶	耶	je	je2	jɛ⁴⁴	
爺	爷	je	je2	jɛ⁴⁴	
惹	惹	je	je4	jɛ¹³	
也	也	je	je4	jɛ¹³	
野	野	je	je4	jɛ¹³	
夜	夜	je	je6	jɛ²²	
蓖	蓖	bi	bi1	pi²⁴	
碑	碑	bi	bi1	pi²⁴	
悲	悲	bi	bi1	pi²⁴	
卑	卑	bi	bi1h	pi⁵⁵	
媲	媲	bi	bi3	pi³⁵	
比	比	bi	bi3	pi³⁵	
俾	俾	bi	bi3	pi³⁵	让，被。
畀	畀	bi	bi3	pi³⁵	给。
臂	臂	bi	bi5	pi³³	
匕	匕	bi	bi5	pi³³	
秘	秘	bi	bi5	pi³³	
泌	泌	bi	bi5	pi³³	
庇	庇	bi	bi5	pi³³	
痹	痹	bi	bi5	pi³³	
被	被	bi	bi6	pi²²	~迫。
避	避	bi	bi6	pi²²	
備	备	bi	bi6	pi²²	
鼻	鼻	bi	bi6	pi²²	
陂	陂	pi	pi1	pʰi²⁴	
披	披	pi	pi1	pʰi²⁴	
丕	丕	pi	pi1	pʰi²⁴	
坯	坯	pi	pi1h	pʰi⁵⁵	
坡	坡	pi	pi1h	pʰi⁵⁵	
彼	彼	pi	pi3	pʰi³⁵	
譬	譬	pi	pi3	pʰi³⁵	
鄙	鄙	pi	pi3	pʰi³⁵	
屁	屁	pi	pi3	pʰi³⁵	
皮	皮	pi	pi2	pʰi⁴⁴	
疲	疲	pi	pi2	pʰi⁴⁴	
脾	脾	pi	pi2	pʰi⁴⁴	
琵	琵	pi	pi2	pʰi⁴⁴	
枇	枇	pi	pi2	pʰi⁴⁴	
毗	毗	pi	pi2	pʰi⁴⁴	
婢	婢	pi	pi4	pʰi¹³	
被	被	pi	pi4	pʰi¹³	~单。
溦	溦	pi	pi1h	pʰi⁵⁵	~~雨：毛毛雨。
眉	眉	pi	pi2	pʰi⁴⁴	
楣	楣	pi	pi2	pʰi⁴⁴	
媚	媚	pi	pi2	pʰi⁴⁴	
微	微	pi	pi2	pʰi⁴⁴	
美	美	pi	pi4	pʰi¹³	
尾	尾	pi	pi4	pʰi¹³	
未	未	pi	pi4	pʰi¹³	
味	味	pi	pi4	pʰi¹³	
非	非	fi	fi1	fi²⁴	
飛	飞	fi	fi1	fi²⁴	
妃	妃	fi	fi1	fi²⁴	
匪	匪	fi	fi3	fi³⁵	
翡	翡	fi	fi3	fi³⁵	
肥	肥	fi	fi2	fi⁴⁴	
知	知	di	di2	ti⁴⁴	白读。
碟	碟	di	di3	ti³⁵	
蝶	蝶	di	di3	ti³⁵	
地	地	di	di6	ti²²	
你	你	ni	ni4	ni¹³	
膩	腻	ni	ni6	ni²²	
璃	璃	ni	ni1h	ni⁵⁵	
離	离	ni	ni2	ni⁴⁴	
籬	篱	ni	ni2	ni⁴⁴	
梨	梨	ni	ni2	ni⁴⁴	
厘	厘	ni	ni2	ni⁴⁴	
貍	狸	ni	ni2	ni⁴⁴	
李	李	ni	ni4	ni¹³	
里	里	ni	ni4	ni¹³	
裏	里	ni	ni4	ni¹³	
理	理	ni	ni4	ni¹³	
鯉	鲤	ni	ni4	ni¹³	
利	利	ni	ni6	ni²²	
痢	痢	ni	ni6	ni²²	
吏	吏	ni	ni6	ni²²	
餌	饵	ni	ni6	ni²²	
支	支	zi	zi1	tsi²⁴	
肢	肢	zi	zi1	tsi²⁴	
資	资	zi	zi1	tsi²⁴	
芝	芝	zi	zi1	tsi²⁴	
枝	枝	zi	zi1	tsi²⁴	
知	知	zi	zi1h	tsi⁵⁵	文读。
蜘	蜘	zi	zi1h	tsi⁵⁵	
梔	栀	zi	zi1h	tsi⁵⁵	
姿	姿	zi	zi1h	tsi⁵⁵	
咨	咨	zi	zi1h	tsi⁵⁵	
脂	脂	zi	zi1h	tsi⁵⁵	
茲	兹	zi	zi1h	tsi⁵⁵	
滋	滋	zi	zi1h	tsi⁵⁵	
輜	辎	zi	zi1h	tsi⁵⁵	
之	之	zi	zi1h	tsi⁵⁵	
紫	紫	zi	zi3	tsi³⁵	
紙	纸	zi	zi3	tsi³⁵	
只	只	zi	zi3	tsi³⁵	
咫	咫	zi	zi3	tsi³⁵	
姊	姊	zi	zi3	tsi³⁵	
旨	旨	zi	zi3	tsi³⁵	
指	指	zi	zi3	tsi³⁵	
子	子	zi	zi3	tsi³⁵	
梓	梓	zi	zi3	tsi³⁵	
止	止	zi	zi3	tsi³⁵	
趾	趾	zi	zi3	tsi³⁵	
址	址	zi	zi3	tsi³⁵	
智	智	zi	zi5	tsi³³	
致	致	zi	zi5	tsi³³	
質	质	zi	zi5	tsi³³	人~。
至	至	zi	zi5	tsi³³	
置	置	zi	zi5	tsi³³	
志	志	zi	zi5	tsi³³	
痣	痣	zi	zi5	tsi³³	
自	自	zi	zi6	tsi²²	
稚	稚	zi	zi6	tsi²²	
字	字	zi	zi6	tsi²²	
祀	祀	zi	zi6	tsi²²	
巳	巳	zi	zi6	tsi²²	
寺	寺	zi	zi6	tsi²²	
嗣	嗣	zi	zi6	tsi²²	
痔	痔	zi	zi6	tsi²²	
治	治	zi	zi6	tsi²²	
雌	雌	ci	ci1h	tsʰi⁵⁵	
差	差	ci	ci1h	tsʰi⁵⁵	参~。
癡	痴	ci	ci1h	tsʰi⁵⁵	
此	此	ci	ci3	tsʰi³⁵	
侈	侈	ci	ci3	tsʰi³⁵	
矢	矢	ci	ci3	tsʰi³⁵	
恥	耻	ci	ci3	tsʰi³⁵	
齒	齿	ci	ci3	tsʰi³⁵	
始	始	ci	ci3	tsʰi³⁵	
刺	刺	ci	ci5	tsʰi³³	
賜	赐	ci	ci5	tsʰi³³	
翅	翅	ci	ci5	tsʰi³³	
次	次	ci	ci5	tsʰi³³	
廁	厕	ci	ci5	tsʰi³³	
臍	脐	ci	ci2	tsʰi⁴⁴	
池	池	ci	ci2	tsʰi⁴⁴	
馳	驰	ci	ci2	tsʰi⁴⁴	
弛	弛	ci	ci2	tsʰi⁴⁴	
瓷	瓷	ci	ci2	tsʰi⁴⁴	
糍	糍	ci	ci2	tsʰi⁴⁴	
遲	迟	ci	ci2	tsʰi⁴⁴	
慈	慈	ci	ci2	tsʰi⁴⁴	
磁	磁	ci	ci2	tsʰi⁴⁴	
辭	辞	ci	ci2	tsʰi⁴⁴	
詞	词	ci	ci2	tsʰi⁴⁴	
祠	祠	ci	ci2	tsʰi⁴⁴	
飼	饲	ci	ci2	tsʰi⁴⁴	
持	持	ci	ci2	tsʰi⁴⁴	
似	似	ci	ci4	tsʰi¹³	
恃	恃	ci	ci4	tsʰi¹³	
斯	斯	si	si1	si²⁴	
私	私	si	si1	si²⁴	
絲	丝	si	si1	si²⁴	
詩	诗	si	si1	si²⁴	
廝	厮	si	si1h	si⁵⁵	
撕	撕	si	si1h	si⁵⁵	
施	施	si	si1h	si⁵⁵	
師	师	si	si1h	si⁵⁵	
獅	狮	si	si1h	si⁵⁵	
屍	尸	si	si1h	si⁵⁵	
司	司	si	si1h	si⁵⁵	
思	思	si	si1h	si⁵⁵	
死	死	si	si3	si³⁵	
屎	屎	si	si3	si³⁵	
史	史	si	si3	si³⁵	
使	使	si	si3	si³⁵	文读。
四	四	si	si3	si³⁵	
肆	肆	si	si3	si³⁵	
試	试	si	si3	si³⁵	
時	时	si	si2	si⁴⁴	
匙	匙	si	si2	si⁴⁴	
市	市	si	si4	si¹³	
是	是	si	si6	si²²	
氏	氏	si	si6	si²²	
豉	豉	si	si6	si²²	
示	示	si	si6	si²²	
視	视	si	si6	si²²	
嗜	嗜	si	si6	si²²	
伺	伺	si	si6	si²²	
士	士	si	si6	si²²	
仕	仕	si	si6	si²²	
事	事	si	si6	si²²	
侍	侍	si	si6	si²²	
饑	饥	gi	gi1	ki²⁴	
基	基	gi	gi1	ki²⁴	
機	机	gi	gi1	ki²⁴	
譏	讥	gi	gi1	ki²⁴	
羈	羁	gi	gi1h	ki⁵⁵	
肌	肌	gi	gi1h	ki⁵⁵	
几	几	gi	gi1h	ki⁵⁵	茶~。
