	注釋：=文，-白																																																
#a																																																	
p	[1]巴芭疤笆杷[3]飽把=｛～握｝[5]霸壩垻豹[6]罷爸=																																																
pʰ	[1]葩脬拋-｛～網｝[6]泡-｛水～｝																																																
b	[1]疤痺[2]麻｛～痹｝鴇｛～頭：鴇母｝貓-｛山～｝[6]密｛無縫隙｝覓｛～頭路：找職業｝																																																
t	[1]焦｛訓，乾燥｝[5]罩																																																
l	[1] 拉啦[2]撈｛來回拉動｝蟧｛～䗁：蜘蛛｝蜊｛～仔：一種淡水蚌，可吃｝[5]納｛～涼｝[6]撈｛攪拌｝																																																
ts	[1]諸｛～母：女人｝渣=[3]早-[6]昨-｛～暗：昨晚｝																																																
s	[1]沙=紗=捎｛亂～：亂拿｝差[2]柴[3]吵-炒-[5]詫																																																
k	[1]膠鉸｛～刀：剪刀｝茭｛～筍：一種蔬菜｝咬｛～蚤｝袈-[3]絞-[5]窖教-｛～示：教育｝[6]咬																																																
kʰ	[1]骹｛腳｝胛-奇-｛單～：只一只｝尻｛～川：屁股｝[3]巧-[5]敲-｛～門｝																																																
h	[1]哈[2]□｛～草：捆草束稻草｝[5]孝-｛帶～｝																																																
∅	[1]阿亞[3]仔[5]亞｛～軍｝																																																
#aʔ																																																	
pʰ	[7]拍-																																																
b	[7]肉｛訓｝																																																
t	[7]搭-答-｛～應｝褡貼-｛～身｝[8]踏																																																
tʰ	[7]塔塌[8]遝-疊-																																																
l	[7]瘩[8]蠟獵臘-曆-｛～日：吉日｝																																																
ts	[7]紮-劄-[8]劍閘截｛～門：用物擋口｝																																																
s	[7]插[8]煠｛水煮｝																																																
k	[7]甲胛-鉀䘥｛～仔：背心｝																																																
kʰ	[7]恰｛～當｝較-｛～好｝卡																																																
h	[7]哈[8]合｛～意｝																																																
∅	[7]鴨押抑[8]匣盒合｛～身｝																																																
#ã																																																	
pʰ	[5]帕=冇｛不結實｝																																																
m	[1]媽[2]麻｛～木｝[3]媽｛祖母｝馬=螞瑪=[6]嗎																																																
t	[1]擔｛挑｝今｛訓，現在｝[3]膽-打｛打倒；量詞｝[5]擔｛量詞｝																																																
tʰ	[1]他它她[3]坦｛平～｝																																																
n	[2]籃藍｛姓｝嚨-｛～喉｝林-｛樹～｝岩-｛龍～｝[3]拿=那=哪欖｛橄～｝[5]若｛～是：要是｝																																																
ts	[3]整｛齊～｝斬-｛～斷｝[6]㨻｛～米：舀米｝																																																
s	[1]衫-三-三-啥																																																
k	[1]監｛～獄｝[2]挾｛～囝仔：帶孩子做事｝[3]敢[5]酵-																																																
kʰ	[1]硿｛飯～｝																																																
h	[3]嚇｛～人｝																																																
∅	[5]向｛訓，～東｝																																																
#ãʔ																																																	
n	[8]爁｛閃～：閃電｝																																																
s	[7]搡｛用力推｝𢹸｛撞擊｝																																																
#ɔ̃																																																	
m	[1]摸[2]魔磨=[6]耄																																																
h	[5]耗																																																
#ɔ̃ʔ																																																	
m	[8]膜																																																
#o																																																	
p	[1]玻褒菠[2]婆[3]寶保堡褓鴇=[5]報播[6]暴																																																
pʰ	[1]波坡[2]頗[5]破[6]抱-簿部-｛一～冊｝																																																
b	[2]無[3]母[6]磨帽																																																
t	[1]多-刀[2]逃陶淘濤駝陀掏萄佗沱[3]島禱朵搗剁倒｛打～｝[5]到=｛報～｝倒｛～水｝[6]道導惰悼盜																																																
tʰ	[1]滔韜拖=叨[2]桃[3]討[5]妥套																																																
l	[1]撈-｛公開或暗中要去別人的東西｝[2]羅鑼勞牢啰邏澇癆騾[3]老惱瑙潦｛～草｝[5]軂｛個子高｝																																																
ts	[1]遭[2]遭槽嘈[3]左棗藻早=[5]做佐贅｛進～｝[6]座造皂坐																																																
s	[1]騷梭唆搔搓操磋臊[2]趖｛浸行｝[3]鎖嫂瑣蚤[5]掃=躁燥錯糙挫銼噪[6]唆｛～使｝																																																
k	[1]哥歌=高=篙糕鍋=膏皋戈羔[2]抇[3]果=裹縞稿[5]告過=個=劃｛訓，～船｝[6]囂｛訓，喧鬧｝																																																
kʰ	[1]科柯軻蝌[3]可考烤洘｛水～｝[5]課=靠誥𣹇｛船擱淺｝																																																
ɡ	[2]俄哦娥蛾敖鼇遨[6]餓傲臥																																																
h	[1]涸｛幹～｝柯｛熱～，熱敷｝[2]河禾何荷和毫豪壕[3]好[6]賀號禍浩皓顥昊																																																
∅	[1]窩鍋-阿婀屙蒿[2]蠔蠔[3]襖懊[5]奧澳																																																
#oʔ																																																	
p	[7]搏-｛～業：為家業操勞｝[8]薄-泊-箔-																																																
pʰ	[7]粕-																																																
b	[8]莫勿｛訓｝																																																
t	[7]桌-卓[8]著-｛～火｝擇-｛～萊葉｝																																																
tʰ	[8]□｛憨～：戇癡｝																																																
l	[8]落｛降～，～樓梯：下樓梯｝																																																
ts	[7]作｛種～｝[8]昨躇｛青～｝																																																
s	[7]索-[8]鐲																																																
k	[7]閣胳=□｛～來：又來｝																																																
h	[8]鶴																																																
∅	[7]惡｛難｝[8]學																																																
#ɛ																																																	
p	[1]扒｛～飯：用筷子往嘴裏扒飯｝[2]爬-耙-琶-[3]把-[6]爸-耙｛～田｝																																																
pʰ	[5]帕-																																																
b	[3]馬-碼-瑪-																																																
t	[2]茶[3]短[6]代袋埭苧-																																																
tʰ	[1]胎-釵-推-｛～辭｝[5]退-替褪-[6]䖳｛水母｝																																																
l	[2]螺																																																
ts	[1]查-渣-楂-箏災-[3]這[5]炸-榨-詐-債-[6]坐-寨-罪-｛～過｝																																																
s	[1]紗-裟-砂-｛朱～｝岔-叉-杈-差-[2]查-[3]黍[5]脆-詫[6]□｛包下來｝																																																
k	[1]家傢加嘉佳笳[2]枷-[3]假賈[5]架嫁價駕[6]低																																																
kʰ	[2]卡																																																
ɡ	[2]牙芽衙蚜迓																																																
h	[1]嗄｛失聲｝[2]霞蝦瑕[3]咳[6]夏下-廈暇																																																
∅	[3]矮-啞-[6]下-｛～層｝廈-｛～門｝																																																
#ɛʔ																																																	
p	[7]百-伯-柏-八-捌-擘-[8]拔白帛																																																
b	[8]麥																																																
t	[7]啄笮｛壓｝[8]汐｛落潮｝摕																																																
tʰ	[7]澈｛替，清洗｝□｛赤身｝[8]宅拿｛訓｝																																																
l	[8]笠																																																
ts	[7]節-仄雀-[8]絕-																																																
s	[7]雪-冊-｛書｝□｛懷根｝[8]踅-垂｛～落來：下垂｝																																																
k	[7]莢-格-隔-骼-膈□｛割草刀｝[8]梗｛逆阻｝																																																
kʰ	[7]客-□｛合眼｝篋-榨-｛～油｝																																																
h	[7]嚇｛恐～｝[7]歇｛～：休息｝[8]□｛環行｝																																																
∅	[7]厄軛扼呃[8]噎-狹-																																																
#ɛ̃																																																	
p	[1]扳｛～開：兩手力往相反方向推開｝[2]平-棚-坪-[5]柄-[6]病-																																																
pʰ	[1]抨｛替，分～：分成份額｝[2]彭-澎-膨-平-																																																
m	[1]抓｛訓，覆手抓物｝[2]盲-冥-螟-釯[3]蜢[6]罵乜																																																
t	[1]㬹｛腳後～：腳後跟｝[5]戴｛姓｝[6]鄭□｛緊握｝																																																
tʰ	[1]撐-｛～船｝[2]撐-｛～上去｝[5]撐-｛支～｝																																																
n	[1]奶																																																
ts	[1]爭-[2]晴-[3]井-[5]諍-[6]靜-																																																
s	[1]生-牲-｛頭～｝青-星-腥-眚[3]省-醒-[5]姓-性-｛記～｝																																																
k	[1]更-庚-驚-｛～蟄｝[3]哽-[5]徑-																																																
