#符号说明：单字调连读前字调	
#调值	[1]³³ [2]5² [3]³¹ [5]⁴¹² [7]⁵⁴
#ɿ	
ts	[1]资兹滋姿咨之知只支织芝脂呲疵痴[3]子籽姊梓只纸址指旨趾[5]自字制志智至治
tsʰ	[1]蚩笞[2]辞磁雌祠□{毛：烹饪前给食材（动物）去毛}迟侈持驰池弛[3]此齿耻[5]刺次赐翅斥厕痔
s	[1]丝思司斯嘶施私尸诗师狮[2]时实匙[3]死屎史使驶始[5]世势四是氏视事士饲似寺柿试市
	
#i	
p	[3]比彼[5]闭痹毙
pʰ	[1]批披[2]皮匹疲脾啤[3]痞[5]屁
m	[1]咪眯[2]迷弥糜[3]米
v	[2]味
t	[1]低堤[2]底抵[5]第弟帝地
tʰ	[1]梯[2]题提蹄啼[3]体[5]替剃
ȵ	[2]泥昵尼倪[3]你拟疑[5]膩
l	[2]离篱梨黎犁[3]礼李里理厘[5]利莉丽厉砺
tɕ	[1]鸡几{几乎}幾{幾乎}机肌饥基[3]几{几个}幾{幾個}挤己[5]祭计继寄忌记纪季
tɕʰ	[1]期欺[2]齐脐骑旗其棋琪奇琦[3]起启企□{捅的意思}[5]气汽弃契器技
ɕ	[1]西溪希稀夕犀[3]洗喜[5]戏细系
Ø	[1]衣依医[2]宜谊移仪遗颐疑姨[3]蚁椅乙已[5]艺易义意毅亿
	
#u	
p	[1]□{蹲的意思}[3]补哺捕[5]布部步埠
pʰ	[1]铺□{容器内液体太满溢出来了}[2]蒲菩葡脯[3]普谱辅
m	[3]母拇姆牡[5]睦
f	[1]敷肤芙[2]服{被服}符胡葫湖糊壶狐弧[3]腐府俯斧甫虎浒[5]父付附傅富赋护户互戽
v	[1]乌呜钨坞污巫诬[2]吴无梧芜[3]五午吾捂舞武抚{抚州}[5]务雾悟误
t	[1]都嘟督[3]肚{牛肚}赌堵[5]肚{肚子}杜度镀渡
tʰ	[2]图涂途徒屠[3]土吐[5]兔
n	[2]奴[3]努弩[5]怒
l	[1]撸[2]炉泸庐儒如儒[3]鲁卤乳[5]路璐露
ts	[1]租[3]祖诅组阻[5]助驻柱
tsʰ	[1]粗初[2]锄[3]楚础储[5]醋
s	[1]苏蔬疏梳[3]数{动词}[5]素数{数字}竖树墅
k	[1]估姑菇沽孤箍辜[3]古股鼓[5]顾故固雇
kʰ	[1]枯窟骷[3]苦[5]库裤酷
	
#y	
ȵ	[3]女
l	[3]吕铝旅
tɕ	[1]猪朱诛珠狙拘诸居[3]煮阻主举[5]巨拒距矩锯剧据渠苎住柱蛀具惧句距
tɕʰ	[1]区驱躯蛆屈趋[2]除厨[3]取娶[5]去
ɕ	[1]虚墟需嘘须书舒输抒殊[2]徐[3]许署薯暑鼠[5]绪序续旭蓄恤叙絮□{往里塞东西，灌东西}
Ø	[1]迂淤[2]鱼渔愚于瑜娱余[3]宇语羽雨[5]预芋欲浴玉御喻遇域
	
#a	
p	[1]巴疤吧粑□{攀爬}[3]把靶[5]爸霸坝
pʰ	[2]扒爬耙[5]怕□{连续，表示爷爷的意思}
m	[1]妈[2]麻[3]马码玛蚂[5]骂
v	[1]哇蛙娲挖[2]娃[3]瓦
t	[1]爹{爷爷的意思}[3]打[5]大
tʰ	[1]他她它
n	[2]拿[3]哪[5]那娜捺纳□{~手：烫}
l	[1]拉啦垃
ts	[1]渣匝抓[5]炸栅诈榨
tsʰ	[1]叉[2]茶查察擦[5]岔
s	[1]沙纱莎鲨裟[3]撒洒[5]萨煞
k	[1]嘎
kʰ	[1]掐咖[3]卡
x	[1]哈[2]蛤
Ø	[1]啊阿
	
#ia	
t	[2]嗲
tɕ	[1]家嘉加佳珈伽[3]假贾[5]价嫁驾架
tɕʰ	[5]恰洽
ɕ	[1]虾[2]霞峡侠辖[5]下吓夏厦
k	[5]嫁
ȵ	[3]惹
Ø	[1]呀鸦丫[2]牙芽崖涯衙[3]哑雅[5]亚
	
#ua	
tʃ	[1]抓[3]爪
k	[1]瓜呱[3]剐寡□{吹牛}[5]挂卦褂
kʰ	[1]夸[3]垮[5]跨挎
x	[1]花[2]华划{划船}[5]化桦画话
	
#æ	
p	[3]摆[5]败拜
pʰ	[2]牌排[5]派
m	[2]埋[3]买[5]卖迈
t	[1]呆[3]傣歹[5]戴代贷待带
tʰ	[1]胎[2]台抬苔邰[5]太态钛泰袋
n	[3]奶乃[5]奈耐
l	[2]来莱[5]赖籁□{~手，烫手的意思}
ts	[1]栽灾哉斋[3]崽宰仔载[5]在再寨债
tsʰ	[1]猜差钗[2]才材财裁柴[3]采踩彩[5]菜蔡
s	[1]腮鳃筛[3]色{色子}[5]赛
k	[1]街
x	[2]还孩[3]海[5]害亥
Ø	[1]哎[5]爱碍哀艾矮挨
	
#uæ	
ts	[3]跩
s	[1]摔[3]甩[5]帅衰率
k	[1]乖[3]拐拐[5]怪
kʰ	[5]快筷块会{会计}
x	[2]怀淮[5]坏
	
#ɔ	
p	[1]包苞胞[2]雹刨[3]宝饱保堡煲褒[5]暴爆曝报豹鲍
pʰ	[1]抛□{形容路面崎岖、颠簸}[2]袍[3]跑[5]炮泡疱
m	[2]毛锚矛茅[3]卯铆[5]帽冒貌
t	[1]刀叨[3]导捣岛倒{倒班}祷[5]到倒{倒车}道盗稻悼
tʰ	[1]涛滔[2]桃逃淘陶萄□{用绳子拴}[3]讨[5]套
n	[2]挠[3]脑恼瑙[5]闹
l	[1]捞唠[2]劳牢[3]老佬
ts	[1]糟遭□{形容物品干}召招朝钊昭诏[2]凿[3]早澡枣找[5]造灶燥噪皂罩赵照兆
tsʰ	[1]糙操超抄钞[2]曹槽嘲朝潮□{形容人笨、傻，神经质}[3]草吵炒[5]□{放弃，出手转让}
s	[1]骚烧稍捎[2]韶[3]扫{扫地}嫂少{很少}[5]扫{扫把}臊少{少年}绍哨
k	[1]高膏糕羔[3]搞稿[5]告诰
kʰ	[1]敲[3]考烤[5]靠拷铐
x	[2]豪亳蚝[3]好{好坏}郝[5]好{好吹牛}号耗浩昊
Ø	[1]嗷凹[2]熬[3]咬袄[5]傲奥澳坳
	
#iɔ	
p	[1]标镖膘彪[3]表裱婊[5]□{~烟：给、分发}
pʰ	[1]飘[2]嫖瓢朴{姓氏}[3]漂瞟[5]票漂
m	[2]猫苗喵瞄[3]秒渺藐[5]庙妙
t	[1]鸟刁貂碉凋[5]调{调查}掉钓吊
tʰ	[1]挑{挑水}[2]调{调味}条[3]挑{挑起}[5]跳
l	[2]辽疗撩僚[3]了{了结}[5]料廖
tɕ	[1]交胶郊蛟教{教书}椒娇骄蕉浇[2]嚼[3]饺狡矫缴[5]酵觉轿较校{校对}教{教育}
tɕʰ	[1]锹[2]桥侨乔荞[3]撬巧[5]翘俏鞘峭窍
ȵ	[5]尿
ɕ	[1]肖消硝逍销宵萧箫潇嚣[3]小晓[5]笑校{学校}效孝哮
Ø	[1]腰要{要挟}妖邀[2]姚摇遥谣瑶窑饶[3]舀扰[5]要{要是}绕
	
#ɛ	
Ø	[1]仂
	
#iɛ	
ȵ	[5]聂
tɕ	[1]阶皆[3]姐解[5]界械届介戒
ɕ	[1]蝎[2]鞋斜邪谐胁[3]写[5]蟹泄泻卸
k	[1]该[3]改[5]盖概溉钙丐
kʰ	[1]开揩[3]凯恺慨楷
Ø	[2]爷[3]也野冶
	
#yɛ	
tɕʰ	[2]茄瘸
ɕ	[1]靴
	
#o	
p	[1]坡播鄱波玻[5]簸{簸子}博薄
pʰ	[2]婆
m	[1]摸模{模子}[2]磨{磨刀}魔膜摩摹[5]磨{石磨}墓漠穆幕牧睦默末沫
t	[1]多[3]躲朵[5]剁舵堕
tʰ	[1]拖[2]坨驼□{形容人或东西差劲}[3]妥
n	[5]糯
l	[1]啰[2]罗锣萝箩逻螺柔[3]裸
ts	[3]左[5]昨作做座坐
tsʰ	[1]搓撮蹉[5]锉错措
s	[1]嗖蓑[3]所锁琐索
k	[1]哥歌锅[3]葛裹果馃[5]个过
kʰ	[1]棵颗科苛[3]可[5]课
ŋ	[3]我
x	[2]河何荷和合[3]火伙[5]贺货霍祸
Ø	[1]窝蜗涡
	
#io	
m	[2]谋[3]某亩[5]茂贸
f	[2]浮[3]否
t	[1]兜[3]斗{升斗}抖陡[5]斗{斗争}豆痘□{拼接起来}
tʰ	[1]偷[2]头投[5]透
ȵ	[5]弱虐疟
l	[2]楼髅[3]篓[5]漏陋
tɕ	[3]走[5]脚
tɕʰ	[5]凑
ɕ	[1]馊[5]瘦
k	[1]沟勾钩[3]狗苟[5]够购构□{冻住}
kʰ	[1]抠[3]口[5]扣
	
#e	
p	[1]杯背{背起}悲碑卑贝[5]背倍被
pʰ	[1]坯胚[2]陪配赔[5]配佩
m	[2]梅霉莓眉嵋湄枚玫煤媒[3]美镁每[5]妹昧媚魅
f	[1]飞妃[2]肥[3]匪翡[5]废肺痱非
v	[1]威微薇煨危[2]维唯围违为{为人}[3]伟尾委萎伪[5]卫位胃魏慰为
t	[1]堆[5]对队兑
tʰ	[1]推[2]颓[3]腿[5]退褪蜕
l	[2]雷擂[3]蕊累{累积}[5]累类泪
ts	[1]遮[3]者嘴[5]罪醉最
tsʰ	[1]车[3]扯[5]脆
s	[1]赊奢畲[2]蛇[3]舍[5]摄涉射设碎岁
Ø	[2]儿而[3]耳饵[5]二
	
#ue	
l	[3]蕊[5]瑞
s	[2]髓
tʃ	[1]追
tʃʰ	[1]崔催摧吹[2]锤
ʃ	[2]随[3]水[5]税睡
k	[1]龟归规圭硅[3]鬼轨诡[5]贵桂柜跪
kʰ	[1]亏盔[2]魁葵[3]□{将某直的物体折断或崴断}[5]愧溃
x	[1]灰恢辉[2]回[3]悔毁[5]会{会不会}汇惠
	
#ɛu	
Ø	[1]欧[3]偶呕藕[5]沤

#iɛu	
x	[1]齁{齁咸}[2]猴喉[5]侯厚后
	
#iu	
t	[1]丢
