字表	聲母	韻母	聲調		序號
巴-	p	uˠ	1		1684
扒	b	uˠ	6		2143
叭	p	a	1		778
芭	p	a	1		5168
芭-	p	uˠ	1		5169
疤	p	a	1		3956
疤-	p	uˠ	1		3957
捌	p	aʔ	7		2287
笆	p	a	1		4438
笆-	p	uˠ	1		4439
拔	b	aʔ	8		2220
跋	b	aʔ	8		6215
把	p	a	5		2171
把-	p	uˠ	5		2172
靶	p	a	5		7101
靶-	p	uˠ	5		7102
爸	p	a	1		3683
耙	b	uˠ	6		4921
罷	b	a	6		4858
罷	b	a	6		4868
霸	p	a	5		7079
霸-	p	uˠ	5		7080
壩	p	a	5		1114
壩	p	a	5		1213
壩-	p	uˠ	5		1115
壩-	p	uˠ	5		1214
欛	p	a	5		3039
欛-	p	uˠ	5		3040
掰	p	ᴇ	1		2344
白	b	aʔ	8		4047
百	p	aʔ	7		4048
柏	p	aʔ	7		2795
摆	p	a	5		2409
擺	p	a	5		2495
拜	p	a	5		2228
敗	b	a	6		2536
敗	b	a	6		6128
稗	b	a	6		4351
扳	p	ᴇ	1		2161
班	p	ᴇ	1		3820
般	p	ᴇ	1	一~	5128
般-	p	ø	1		
斑	p	ᴇ	1		2562
搬	p	ø	1		2401
頒	p	ᴇ	1		7145
頒	p	ᴇ	1		7184
瘢	p	ᴇ	1		4011
阪	p	ᴇ	5		6959
坂	p	ᴇ	5		1099
板	p	ᴇ	5		2765
版	p	ᴇ	5		3692
闆	p	ᴇ	5		6897
半	p	ø	5		674
扮	p	ᴇ	5		2157
伴	b	ø	6		205
拌	b	ø	6		2214
絆	b	ø	6		4627
絆	b	ø	6		4768
辦	b	ᴇ	6		594
辦	b	ᴇ	6		6373
瓣	p	ᴇ	5		3878
瓣	b	ᴇ	6		3879
邦	p	ɑ̃	1		6499
梆	p	ɑ̃	1		2873
浜	p	ã	1		3284
幫	p	ɑ̃	1		1709
幫	p	ɑ̃	1		1730
綁	p	ɑ̃	5		4644
綁	p	ɑ̃	5		4773
榜	p	ɑ̃	5		2944
膀	p	ɑ̃	5		5066
膀	b	ɑ̃	6		5067
蚌	b	ã	6		5488
棒	b	ɑ̃	6		2896
傍	b	ɑ̃	6		351
蒡	p	ɑ̃	5		5351
磅	p	ɑ̃	5		4253
磅	b	ɑ̃	6		4254
謗	p	ɑ̃	5		5865
謗	p	ɑ̃	5		6017
鎊	p	ɑ̃	5		6687
鎊	p	ɑ̃	5		6848
包	p	ɔ	1		641
苞	p	ɔ	1		5194
胞	p	ɔ	1		5003
褒	p	ɔ	1		5689
褒	p	ɔ	5		5690
雹	b	ɔ	6		7059
薄	b	oʔ	8		5408
薄	b	uᵝ	6		5409
保	p	ɔ	5		289
葆	p	ɔ	5		5327
堡	p	ɔ	5		1162
飽	p	ɔ	5		7237
飽	p	ɔ	5		7276
褓	p	ɔ	5		5691
鴇	p	ɔ	5		7534
鴇	p	ɔ	5		7580
寳	p	ɔ	5		1520
寶	p	ɔ	5		1469
寶	p	ɔ	5		1522
抱	b	ɔ	6		2195
趵	p	ɔ	5		6209
豹	p	ɔ	5		6047
菢	b	ɔ	6		5293
報	p	ɔ	5		1169
報	p	ɔ	5		2191
暴	b	ɔ	6		2675
鮑	b	ɔ	6		7451
鮑	b	ɔ	6		7492
爆	p	ɔ	5		3665
爆	b	ɔ	6		3666
陂	b	i	6		6975
杯	p	ᴇ	1		2758
卑	p	ᴇ	1		679
盃	p	ᴇ	1		4072
悲	p	ᴇ	1		1987
碑	p	ᴇ	1		4237
北	p	oʔ	7		650
孛	b	əʔ	8		1434
貝	p	ᴇ	5		6054
貝	p	ᴇ	5		6120
背	b	ᴇ	6		4996
背	p	ᴇ	5		4997
倍	b	ᴇ	6		311
狽	p	ᴇ	5		3731
狽	p	ᴇ	5		3750
被	b	ᴇ	6		5656
被	b	i	6		5657
備	b	ᴇ	6		354
備	b	ᴇ	6		1230
焙	b	ᴇ	6		3606
蓓	b	ᴇ	6		5364
