字表	聲母	韻母	聲調		序號
村	tsʰ	əŋ	1		2748
皴	tsʰ	əŋ	1		4064
存	z	əŋ	6		1431
忖	tsʰ	əŋ	5		1899
寸	tsʰ	əŋ	5		1523
搓	tsʰ	uᵝ	1		2386
磋	tsʰ	uᵝ	1		4258
撮	tsʰ	əʔ	7		2456
蹉	tsʰ	uᵝ	1		6255
挫	tsʰ	uᵝ	5		2276
措	tsʰ	uᵝ	5		2338
措	z	aʔ	8		2339
銼	tsʰ	uᵝ	5		6644
銼	tsʰ	uᵝ	5		6811
錯	tsʰ	uˠ	1	訓讀，本字爲“差”	6669
錯	tsʰ	uᵝ	1		6670
錯	tsʰ	uᵝ	5		6671
錯	tsʰ	oʔ	7	摩擦，性交	
錯	tsʰ	aʔ	7	~㑚：一種口頭禪，相當於普通話的“他媽的”	
錯	tsʰ	uˠ	1	訓讀，本字爲“差”	6819
錯	tsʰ	uᵝ	1		6820
錯	tsʰ	uᵝ	5		6821
錯	tsʰ	oʔ	7	摩擦，性交	
錯	tsʰ	aʔ	7	~㑚：一種口頭禪，相當於普通話的“他媽的”	
肏	tsʰ	oʔ	7	“錯”的俗字，摩擦，性交	
肏	tsʰ	aʔ	7	“錯”的俗字，~㑚：一種口頭禪，相當於普通話的“他媽的”	
耷	t	aʔ	7		4928
搭	t	aʔ	7		2402
嗒	t	aʔ	7		985
褡	t	aʔ	7		5693
鎝	t	aʔ	7		6689
达	d	aʔ	8		6385
呾	tʰ	aʔ	7		862
沓	t	aʔ	7		3195
妲	t	aʔ	7		1324
達	d	aʔ	8		6462
答	t	əʔ	7		4469
溚	t	aʔ	7		3397
打	t	ã	5		2144
大	d	a	6		1246
大-	d	uᵝ	6		1247
汏	d	a	6		3162
瘩	t	aʔ	7		4016
呆	ŋ	ᴇ	6		838
呆	t	ᴇ	1		839
歹	t	ᴇ	1		3072
逮	d	ᴇ	6		6441
逮	d	i	6		6442
代	d	ᴇ	6		158
岱	d	ᴇ	6		1618
玳	d	ᴇ	6		3806
殆	d	ᴇ	6		3080
待	d	ᴇ	6		1863
怠	d	ᴇ	6		1931
埭	d	a	6		1149
帶	t	ᴇ	5		1704
帶	t	ᴇ	5		1711
帶-	t	a	5		1705
帶-	t	a	5		1712
袋	d	ᴇ	6		5649
紿	d	ᴇ	6		4623
紿	d	ᴇ	6		4772
貸	d	ᴇ	6		6073
貸	d	ᴇ	6		6145
戴	t	ᴇ	5		2126
戴	t	a	5	本字爲“帶”	2127
黛	d	ᴇ	6		7645
丹	t	ᴇ	1		46
担	t	ᴇ	1		2204
担	t	ᴇ	5		2205
眈	t	ᴇ	1		4116
耽	t	ᴇ	1		4931
單	t	ᴇ	1		683
單	z	ø	6		684
單	t	ᴇ	1		973
單	z	ø	6		974
鄲	t	ᴇ	1		6521
鄲	t	ᴇ	1		6533
殫	t	ᴇ	1		3090
殫	t	ᴇ	1		3095
簞	t	ᴇ	1		4494
簞	t	ᴇ	1		4524
胆	t	ᴇ	5		4995
撣	t	ø	5		2349
撣	t	ø	5		2445
擔	t	ᴇ	1		2478
擔	t	ᴇ	5		2479
膽	t	ᴇ	5		5085
旦	t	ᴇ	5		2598
但	d	ᴇ	6		214
萏	d	ø	6		5310
啖	d	ᴇ	6		937
淡	d	ᴇ	6		3336
蛋	d	ᴇ	6		5508
氮	d	ᴇ	6		3147
誕	t	ᴇ	5		5818
誕	t	ᴇ	5		5960
憚	d	ᴇ	6		2009
憚	d	ᴇ	6		2063
彈	d	ᴇ	6		1829
彈	d	ᴇ	6		1833
澹	d	ᴇ	6		3501
當	t	ɑ̃	5		1837
當	t	ɑ̃	1		1838
當	t	ɑ̃	5		3936
當	t	ɑ̃	1		3937
噹	t	ɑ̃	1		1035
璫	t	ɑ̃	1		3821
璫	t	ɑ̃	1		3869
襠	t	ɑ̃	1		5664
襠	t	ɑ̃	1		5705
鐺	t	ɑ̃	1		6720
鐺	t	ɑ̃	1		6782
党	t	ɑ̃	5		426
擋	t	ɑ̃	5		2266
擋	t	ɑ̃	5		2474
檔	t	ɑ̃	5		2860
檔	t	ɑ̃	5		3010
黨	t	ɑ̃	5		7649
宕	d	ɑ̃	6		1462
荡	d	ɑ̃	6		5245
婸	d	ɑ̃	6		1385
碭	d	ɑ̃	6		4197
碭	d	ɑ̃	6		4244
趤	d	ɑ̃	6		6206
蕩	d	ɑ̃	6		5399
盪	d	ɑ̃	6		4102
刀	t	ɔ	1		512
叨	t	ɔ	1	嘮~	771
叨	tʰ	ɔ	1	~光	772
島	t	ɔ	5		1613
島	t	ɔ	5		1632
搗	t	ɔ	5		2297
搗	t	ɔ	5		2392
導	d	ɔ	6		1527
導	d	ɔ	6		1541
蹈	d	ɔ	6		6254
禱	t	ɔ	5		4300
禱	t	ɔ	5		4315
到	t	ɔ	5		541
倒	t	ɔ	5		313
悼	d	ɔ	6		1993
道	d	ɔ	6		6461
盜	d	ɔ	6		4086
盜	d	ɔ	6		4090
稻	d	ɔ	6		4363
得	t	əʔ	7		1873
德	t	əʔ	7		1888
地	d	i	6		1094
的	t	iɪʔ	7		4050
灯	t	əŋ	1		3550
登	t	əŋ	1		4045
燈	t	əŋ	1		3651
蹬	dʑ	yø	6		6264
蹬	t	əŋ	1		6265
等	t	əŋ	5		4462
戥	t	əŋ	5		2119
邓	d	əŋ	6		6494
凳	t	əŋ	5		504
鄧	d	əŋ	6		6529
磴	t	əŋ	5		4268
瞪	t	əŋ	1		4170
鐙	t	əŋ	5		6713
鐙	t	əŋ	5		6855
低	t	i	1		218
羝	t	i	1		4877
堤	d	i	6		1163
滴	t	iɪʔ	7		3437
狄	d	iɪʔ	8		3730
迪	d	iɪʔ	8		6409
籴	d	iɪʔ	8		4544
荻	d	iɪʔ	8		5254
敌	d	iɪʔ	8		2528
笛	d	iɪʔ	8		4447
滌	d	iɪʔ	8		3310
滌	d	iɪʔ	8		3419
嫡	t	iɪʔ	7		1404
翟	d	iɪʔ	8		4895
翟	z	aʔ	8		
翟	d	i	2	諸~（地名，本名“紫堤”）	
敵	d	iɪʔ	8		2552
鏑	t	iɪʔ	7		6696
鏑	t	iɪʔ	7		6852
糴	d	iɪʔ	8		4585
邸	t	i	5		6506
抵	t	i	5		2197
底	t	i	5		1760
砥	t	i	5		4212
詆	t	i	5		5781
詆	t	i	5		5947
弟	d	i	6		1818
帝	t	i	5		1702
娣	d	i	6		1362
第	d	i	6		4454
蒂	t	i	5		5343
棣	d	i	6		2903
遞	d	i	6		6428
遞	d	i	6		6467
締	t	i	5		4674
締	t	i	5		4819
諦	t	i	5		5845
諦	t	i	5		6011
嗲	t	ia	5		998
掂	t	i	1		2312
滇	d	i	6		3417
顛	t	i	1		7164
顛	t	i	1		7206
巔	t	i	1		1659
巔	t	i	1		1662
癲	t	i	1		4038
癲	t	i	1		4043
典	t	i	5		445
踮	t	i	1		6245
點	t	i	5		3578
點	t	i	5		7647
佃	d	i	6		213
甸	d	i	6		3909
店	t	i	5		1761
玷	t	i	5		3807
淀	d	i	6		3321
惦	t	i	5		2004
奠	d	i	6		1281
電	d	i	6		3907
電	d	i	6		7060
鈿	d	i	6		6614
鈿	d	i	6		6771
殿	d	i	6		3105
墊	d	i	6		1138
墊	d	i	6		1189
靛	d	i	6		7090
澱	d	i	6		3499
癜	t	i	5		4030
刁	t	iɔ	1		513
凋	t	iɔ	1		486
貂	t	iɔ	1		6050
雕	t	iɔ	1		7043
扚	t	iɪʔ	7		2147
屌	t	iɔ	5		1583
吊	t	iɔ	5		798
掉	d	iɔ	6		2317
釣	t	iɔ	5		6597
釣	t	iɔ	5		6745
調	d	iɔ	6		5835
調	d	iɔ	6		5995
爹	t	ia	1		3684
跌	t	iɪʔ	7		6216
迭	d	iɪʔ	8		6411
牒	d	iɪʔ	8		3695
碟	d	iɪʔ	8		4240
蝶	d	iɪʔ	8		5568
諜	d	iɪʔ	8		5843
諜	d	iɪʔ	8		6002
疊	d	iɪʔ	8		764
疊	d	əʔ	8		765
疊	d	iɪʔ	8		3941
疊	d	əʔ	8		3942
丁	t	iŋ	1		2
仃	t	iŋ	1		130
叮	t	iŋ	1		779
盯	t	iŋ	1		4105
疔	t	iŋ	1		3947
酊	t	iŋ	5		6536
釘	t	iŋ	5		6593
釘	t	iŋ	1		6594
釘	t	iŋ	5		6740
釘	t	iŋ	1		6741
頂	t	iŋ	5		7135
頂	t	iŋ	5		7174
鼎	t	iŋ	5		7656
定	d	iŋ	6		1466
訂	t	iŋ	5		5754
訂	t	iŋ	5		5903
錠	d	iŋ	6		6662
錠	d	iŋ	6		6831
丟	t	iɤ	1		28
丟	t	iɤ	1		29
冬	t	oŋ	1		470
東	t	oŋ	1		25
東	t	oŋ	1		2760
鼕	t	oŋ	1		7659
董	t	oŋ	5		5335
懂	t	oŋ	5		2074
侗	d	oŋ	6		257
洞	d	oŋ	6		3257
恫	d	oŋ	6		1958
凍	t	oŋ	5		480
凍	t	oŋ	5		488
動	d	oŋ	6		600
動	d	oŋ	6		618
棟	t	oŋ	5		2822
棟	t	oŋ	5		2901
都	t	uᵝ	1		6522
兜	t	ɤ	1		427
篼	t	ɤ	1		4518
抖	t	ɤ	5		2179
陡	t	ɤ	5		6991
蚪	t	ɤ	5		5496
斗	t	ɤ	5		2565
豆	d	ɤ	6		6032
逗	d	ɤ	6		6431
鬥	t	ɤ	5		7422
痘	d	ɤ	6		3982
竇	d	ɤ	6		4405
竇	d	ɤ	6		4416
厾	t	oʔ	7		737
督	t	oʔ	7		4149
嘟	t	uᵝ	1		1009
毒	d	oʔ	8		3117
獨	d	oʔ	8		3739
獨	d	oʔ	8		3779
瀆	d	oʔ	8		3355
瀆	d	oʔ	8		3526
櫝	d	oʔ	8		2915
櫝	d	oʔ	8		3025
犢	d	oʔ	8		3719
犢	d	oʔ	8		3721
牘	d	oʔ	8		3694
牘	d	oʔ	8		3696
讀	d	oʔ	8		5896
讀	d	ɤ	6		5897
讀	d	oʔ	8		5988
讀	d	ɤ	6		5989
黷	d	oʔ	8		7650
黷	d	oʔ	8		7653
堵	t	uᵝ	5		1171
睹	t	uᵝ	5		4153
賭	t	uᵝ	5		6104
賭	t	uᵝ	5		6166
篤	t	oʔ	7		4437
篤	t	oʔ	7		4511
杜	d	uᵝ	6		2750
肚	t	uᵝ	5		4969
肚	d	uᵝ	6		4970
妒	t	uᵝ	5		1310
度	d	uᵝ	6		1767
渡	d	uᵝ	6		3365
鍍	d	uᵝ	6		6679
鍍	d	uᵝ	6		6841
蠹	t	uᵝ	5		5609
端	t	ø	1		4431
端	t	ɑ̃	1	~午	
短	t	ø	5		4189
段	d	ø	6		3101
緞	d	ø	6		4673
緞	d	ø	6		4817
鍛	t	ø	5		6681
鍛	t	ø	5		6840
斷	d	ø	6		2577
斷	t	ø	5		2578
斷	d	ø	6		2581
斷	t	ø	5		2582
堆	t	ᴇ	1		1157
兌	d	ᴇ	6		419
兌	d	ᴇ	6		421
隊	d	ᴇ	6		6957
隊	d	ᴇ	6		7010
對	t	ᴇ	5		1524
對	t	ᴇ	5		1540
吨	t	əŋ	5		815
敦	t	əŋ	1		2546
墩	t	əŋ	1		1198
噸	t	əŋ	5		1034
蹲	t	əŋ	1		6267
驐	t	əŋ	1		7338
盹	t	əŋ	5		4110
躉	t	əŋ	5		6210
躉	t	əŋ	5		6278
囤	d	əŋ	6		1062
沌	d	əŋ	6		3192
炖	t	əŋ	5		3567
盾	d	əŋ	6		4112
遁	d	əŋ	6		6450
鈍	d	əŋ	6		6603
鈍	d	əŋ	6		6749
頓	t	əŋ	5		7146
頓	t	əŋ	5		7182
多	t	uᵝ	1		1239
掇	t	əʔ	7		2315
敠	t	əʔ	7		2543
裰	t	əʔ	7		5680
喥	d	oʔ	8		966
奪	d	əʔ	8		1262
奪	d	əʔ	8		1286
踱	d	oʔ	8		6247
鐸	d	oʔ	8		6719
鐸	d	oʔ	8		6779
朵	t	uᵝ	5		2734
躲	t	uᵝ	5		6289
剁	t	uᵝ	5		551
舵	d	uᵝ	6		5132
惰	d	uᵝ	6		2011
墮	d	uᵝ	6		1161
墮	d	uᵝ	6		1199
俄	ŋ	uᵝ	6		279
峨	ŋ	uᵝ	6		1629
娥	ŋ	uᵝ	6		1363
訛	ŋ	uᵝ	6		5765
訛	ŋ	uᵝ	6		5926
蛾	ŋ	uᵝ	6		5528
鵝	ŋ	uᵝ	6		7548
鵝	ŋ	uᵝ	6		7595
額	ŋ	aʔ	8		7160
額	ŋ	aʔ	8		7205
厄	ŋ	əʔ	8		715
扼	ŋ	əʔ	8		2164
恶	∅	oʔ	7		1965
軛	ŋ	əʔ	8		6299
軛	ŋ	əʔ	8		6338
鄂	ŋ	oʔ	8		6523
惡	∅	oʔ	7		2003
萼	ŋ	oʔ	8		5325
遏	∅	əʔ	7		6458
愕	ŋ	oʔ	8		2023
腭	ŋ	oʔ	8		5055
餓	ŋ	uᵝ	6		7246
餓	ŋ	uᵝ	6		7285
噩	∅	oʔ	7		1028
齶	ŋ	oʔ	8		7679
鱷	ŋ	oʔ	8		7484
鱷	ŋ	oʔ	8		7513
恩	∅	əŋ	1		1957
儿	∅	əl	6		402
儿-	ȵ	i	6		403
儿-	ŋ		6		404
而	∅	əl	6		4912
兒	∅	əl	6		422
兒-	ȵ	i	6		423
兒-	ŋ		6		424
尔	∅	əl	6		1544
耳	∅	əl	6		4925
耳-	ȵ	i	6		4926
迩	∅	əl	6		6408
洱	∅	əl	6		3260
珥	∅	əl	6		3819
爾	∅	əl	6		3688
餌	∅	əl	6		7243
餌	∅	əl	6		7279
邇	∅	əl	6		6489
二	∅	əl	6		90
二	l	iã	6	訓讀，本字爲“兩”	92
二-	ȵ	i	6		91
貳	∅	əl	6		6067
貳	∅	əl	6		6138
貳-	ȵ	i	6		6068
貳-	ȵ	i	6		6139
发	f	aʔ	7		756
發	f	aʔ	7		4046
廢	f	i	5		1766
廢	f	i	5		1791
乏	∅	vaʔ	8		61
伐	∅	vaʔ	8		183
筏	∅	vaʔ	8		4465
閥	∅	vaʔ	8		6884
閥	∅	vaʔ	8		6938
罰	∅	vaʔ	8		4857
罰	∅	vaʔ	8		4863
法	f	aʔ	7		3228
砝	f	aʔ	7		4210
琺	f	aʔ	7		3816
琺	f	aʔ	7		3841
髮	f	aʔ	7		7411
帆	∅	vᴇ	6		1691
番	f	ᴇ	1	~茄	3928
番	pʰ	ø	1	~禺	
蕃	∅	vᴇ	6		5388
幡	f	ᴇ	1		1727
藩	∅	vᴇ	6		5436
翻	f	ᴇ	1		4904
凡	∅	vᴇ	6		497
煩	∅	vᴇ	6		3592
煩	∅	vᴇ	6		3627
樊	∅	vᴇ	6		2971
繁	∅	vᴇ	6		4698
礬	∅	vᴇ	6		4195
礬	∅	vᴇ	6		4278
反	f	ᴇ	5		755
返	f	ᴇ	5		6398
犯	∅	vᴇ	6		3724
泛	f	ᴇ	5		3231
范	∅	vᴇ	6		5208
梵	∅	vᴇ	6		2889
販	f	ᴇ	5		6062
販	f	ᴇ	5		6131
飯	∅	vᴇ	6		7233
飯	∅	vᴇ	6		7272
範	∅	vᴇ	6		4502
方	f	ɑ̃	1		2583
坊	f	ɑ̃	1		1102
芳	f	ɑ̃	1		5174
枋	f	ɑ̃	1		2770
防-	b	ɑ̃	6		6963
妨	f	ɑ̃	5		1319
肪	f	ɑ̃	1		4980
房	∅	vɑ̃	6		2132
房	f	ɑ̃	1		2133
仿	f	ɑ̃	5		171
倣	f	ɑ̃	5		322
舫	f	ɑ̃	5		5127
紡	f	ɑ̃	5		4611
紡	f	ɑ̃	5		4755
訪	f	ɑ̃	5		5773
訪	f	ɑ̃	5		5933
放	f	ɑ̃	5		2525
妃	f	i	1		1300
非	f	i	1		7092
飛	f	i	1		7225
飛	f	i	1		7226
菲	f	i	1		5299
啡	f	i	1		942
扉	f	i	1		2138
緋	f	i	1		4668
緋	f	i	1		4795
霏	f	i	1		7070
肥	∅	vi	6		4977
肥	b	i	6	~皂	4978
淝	∅	vi	6		3334
腓	∅	vi	6		5048
匪	f	i	5		656
斐	f	i	5		2561
榧	f	i	5		2946
翡	f	i	1		4897
誹	f	i	5		5833
誹	f	i	5		5990
吠	f	i	5		812
肺	f	i	5		4988
沸	f	i	1		3212
費	f	i	5		6074
費	∅	vi	6		6075
費	f	i	5		6148
費	∅	vi	6		6149
痱	f	i	1		3993
痱-	b	ᴇ	6		3994
分	f	əŋ	1		516
芬	f	əŋ	1		5167
吩	f	əŋ	1		816
氛	f	əŋ	1		3139
紛	f	əŋ	1		4610
紛	f	əŋ	1		4752
汾	f	əŋ	1		3186
汾	∅	vəŋ	6		
焚	∅	vəŋ	6		3607
粉	f	əŋ	5		4548
份	∅	vəŋ	6		170
奋	f	əŋ	5		1269
忿	∅	vəŋ	6		1915
墳	∅	vəŋ	6		1117
墳	∅	vəŋ	6		1200
憤	f	əŋ	5		2028
憤	∅	vəŋ	6		2029
憤	f	əŋ	5		2064
憤	∅	vəŋ	6		2065
奮	f	əŋ	5		1287
糞	f	əŋ	5		4560
糞	f	əŋ	5		4579
丰	f	oŋ	1		41
封	f	oŋ	1		1529
風	f	oŋ	1		7211
風	f	oŋ	1		7219
峯	f	oŋ	1		1631
烽	f	oŋ	1		3600
楓	f	oŋ	1		2782
楓	f	oŋ	1		2923
蜂	f	oŋ	1		5530
瘋	f	oŋ	1		3962
瘋	f	oŋ	1		4002
鋒	f	oŋ	1		6649
鋒	f	oŋ	1		6812
豐	f	oŋ	1		6038
逢	∅	voŋ	6		6439
馮	∅	voŋ	6		471
馮	∅	voŋ	6		7307
縫	∅	voŋ	6		4691
縫	∅	voŋ	6		4826
諷	f	oŋ	1		5852
諷	f	oŋ	1		5931
奉	∅	voŋ	6		1268
俸	f	oŋ	5		302
俸	∅	voŋ	6		303
鳳	∅	voŋ	6		498
鳳	b	oŋ	6	~仙花	499
鳳	∅	voŋ	6		7530
鳳	b	oŋ	6	~仙花	7531
覅	∅	viɔ	6		5714
缶	f	ɤ	5		4842
否	f	ɤ	5		813
否	pʰ	i	5		814
夫	f	uᵝ	1		1251
肤	f	uᵝ	5		4976
麩	f	uᵝ	1		7626
麩	f	uᵝ	1		7633
敷	f	uᵝ	1		2553
膚	f	uᵝ	5		5073
弗	∅	vəʔ	7		1815
伏	∅	voʔ	8		180
伏	b	uᵝ	6		181
伏	∅	vu	6		182
扶	∅	vu	6		2162
芙	∅	vu	6		5159
佛	∅	vəʔ	8		229
佛	f	əʔ	7		230
孚	f	uᵝ	1		1433
拂	∅	vəʔ	8		2202
苻	∅	vu	6		5204
服	∅	voʔ	8		2714
茯	∅	voʔ	8		5222
氟	∅	vəʔ	8		3140
俘	f	uᵝ	1		287
浮	∅	vu	6		3289
浮	∅	vɤ	6		3290
桴	∅	vɤ	6		2868
符	∅	vu	6		4452
匐	f	uᵝ	5		645
匐	b	oʔ	8		646
袱	∅	voʔ	8		5659
幅	f	oʔ	7		1721
蜉	∅	vɤ	6		5536
福	f	oʔ	7		4310
蝠	f	oʔ	7		5562
輻	f	oʔ	7		6319
輻	f	oʔ	7		6358
甫	f	uᵝ	5		3901
拊	∅	vu	6		2212
斧	f	uᵝ	5		2573
府	f	uᵝ	5		1764
俯	f	uᵝ	5		299
釜	f	uᵝ	5		6595
腑	f	uᵝ	5		5047
輔	f	uᵝ	5		6308
輔	∅	vu	6		6309
輔	f	uᵝ	5		6351
輔	∅	vu	6		6352
腐	∅	vuᵝ	6		5045
腐	∅	vu	6		5046
撫	∅	vu	6		2183
撫	∅	vuᵝ	6		2184
撫	∅	vu	6		2451
撫	∅	vuᵝ	6		2452
父	∅	vu	6		3681
付	f	uᵝ	5		153
附	∅	vu	6		6976
咐	f	uᵝ	5		868
阜	∅	vɤ	6		6956
赴	f	uᵝ	5		6189
复	f	oʔ	7		1231
复	∅	voʔ	8		1232
負	∅	vɤ	6		6057
負	∅	vɤ	6		6123
訃	f	uᵝ	5		5755
訃	f	uᵝ	5		5904
副	f	uᵝ	5		576
婦	∅	vuᵝ	6		1304
婦	∅	vuᵝ	6		1305
婦	∅	vuᵝ	6		1378
婦	∅	vuᵝ	6		1379
傅	f	uᵝ	5		349
傅	∅	vuᵝ	6	師~	350
復	f	oʔ	7		1880
復	∅	voʔ	8		1881
富	f	uᵝ	5		1498
腹	f	oʔ	7		5062
複	f	oʔ	7		5688
駙	∅	vu	6		7318
駙	∅	vu	6		7361
賦	f	uᵝ	5		6102
賦	f	uᵝ	5		6165
蝮	f	oʔ	7		5566
縛	∅	voʔ	8		4686
縛	∅	voʔ	8		4823
縛-	b	oʔ	8		4687
縛-	b	oʔ	8		4824
覆	f	oʔ	7		5715
馥	f	oʔ	7		7302
伽	tɕ	ia	1		210
伽-	k	a	1		211
伽-	g	a	6		212
呷	h	aʔ	7		857
尬	k	a	5		1553
隑	g	ᴇ	6		7017
戤	g	ᴇ	6		
賅	k	ᴇ	1		6086
賅	k	ᴇ	1		6161
該	k	ᴇ	1		5803
該	k	ᴇ	1		5967
改	k	ᴇ	5		2523
丐	k	ᴇ	5		13
盖	k	ᴇ	5		4085
鈣	k	ᴇ	5		6609
鈣	k	ᴇ	5		6748
溉	k	ᴇ	5		3393
蓋	k	ᴇ	5		5362
概	k	ᴇ	5		2936
甘	k	ø	1		3891
杆	k	ø	5		2740
肝	k	ø	1		4972
坩	k	ø	1		1123
泔	k	ø	1		3227
柑	k	ø	1		2797
竿	k	ø	1		4436
尷	k	ᴇ	1		1555
尷	k	ᴇ	1		1556
秆	k	ø	5		4326
赶	dʑ	yɪʔ	7		6192
桿	k	ø	5		2870
敢	k	ø	5		2544
稈	k	ø	5		4347
感	k	ø	5		2026
趕	k	ø	5		6200
橄	k	ᴇ	5		2990
擀	k	ø	5		2466
干	k	ø	1		1731
干	k	ø	5		1732
淦	k	ø	5		3338
紺	k	ø	5		4622
紺	k	ø	5		4759
幹	k	ø	5		1742
榦	k	ø	5		2945
贛	k	ø	5		6118
贛	k	ø	5		6182
肛	k	ɑ̃	1		4971
岡	k	ɑ̃	1		452
岡	k	ɑ̃	1		1614
疘	k	oŋ	1		3948
缸	k	ɑ̃	1		4843
剛	k	ɑ̃	1		527
剛	k	ɑ̃	1		566
崗	k	ɑ̃	5		1611
崗	k	ɑ̃	5		1642
綱	k	ɑ̃	1		4655
綱	k	ɑ̃	1		4747
鋼	k	ɑ̃	1		6657
鋼	k	ɑ̃	1		6755
港	k	ɑ̃	5		3374
杠	k	ɑ̃	5		2753
皋	k	ɔ	1		4053
高	k	ɔ	1		7408
羔	k	ɔ	1		4875
膏	k	ɔ	1		5071
篙	k	ɔ	1		4508
糕	k	ɔ	1		4574
杲	k	ɔ	5		2761
搞	g	ɔ	6		2395
槁	k	ɔ	5		2954
稿	k	ɔ	5		4366
縞	k	ɔ	5		4688
縞	k	ɔ	5		4827
鎬	k	ɔ	5		6692
鎬	k	ɔ	5		6847
告	k	ɔ	1		841
告	k	ɔ	5		842
誥	k	ɔ	5		5825
誥	k	ɔ	5		5977
戈	k	uᵝ	1		2100
疙	k	əʔ	7		3949
哥	k	uᵝ	1		902
胳	k	əʔ	7		5012
胳	k	oʔ	7		5013
割	k	əʔ	7		577
歌	k	uᵝ	1		3056
擱	k	oʔ	7		2378
擱	g	oʔ	8	~淺	2379
擱	k	oʔ	7		2490
擱	g	oʔ	8	~淺	2491
鴿	k	əʔ	7		7545
鴿	k	əʔ	7		7589
佮	k	əʔ	7		239
佮	tʰ	əʔ	7	相當於普通話的“和”	
革	k	əʔ	7		7098
革-	k	aʔ	7		
格	k	aʔ	7		2840
葛	k	əʔ	7		5333
隔	k	aʔ	7		7018
嗝	k	əʔ	7		990
閣	k	oʔ	7		6883
閣	k	oʔ	7		6939
搿	g	əʔ	8		2407
膈	k	aʔ	7		5069
骼	k	aʔ	7		7397
个	g	əʔ	8		35
个	k	uᵝ	5		36
各	k	oʔ	7		793
個	g	əʔ	8		308
個	k	uᵝ	5		309
鉻	k	oʔ	7		6628
鉻	k	oʔ	7		6790
給	tɕ	iɪʔ	7	供~	4636
給	tɕ	iɪʔ	7	供~	4779
根	k	əŋ	1		2839
跟	k	əŋ	1		6223
艮	k	əŋ	5		5143
亘	k	ã	5		103
庚	k	ã	1		1763
耕	k	əŋ	1		4916
賡	k	əŋ	1		6098
賡	k	əŋ	1		6170
羹	k	ã	1		4884
埂	k	ã	5		1141
耿	k	əŋ	5		4932
哽	k	ã	5		912
梗	k	ã	5		2876
鯁	k	ã	5		7455
鯁	k	ã	5		7499
更	k	əŋ	1		2695
更	k	əŋ	5		2697
更-	k	ã	1		2696
工	k	oŋ	1		1670
弓	k	oŋ	1		1813
弓	tɕ	ioŋ	1	彈棉花的弓	
公	k	oŋ	1		434
功	k	oŋ	1		595
攻	k	oŋ	1		2524
供	k	oŋ	5		258
供	tɕ	ioŋ	5	坐如被供奉狀	
供	k	oŋ	1		259
肱	k	oŋ	1		4984
恭	k	oŋ	1		1960
蚣	k	oŋ	1		5494
躬	k	oŋ	1		6287
宮	k	oŋ	1		1480
宮	k	oŋ	1		1481
龔	tɕ	ioŋ	1		7693
龔	tɕ	ioŋ	1		7697
巩	k	oŋ	5		1675
汞	k	oŋ	5		3168
拱	k	oŋ	5		2241
鞏	k	oŋ	5		7105
共	g	oŋ	6		438
貢	k	oŋ	5		6059
貢	k	oŋ	5		6124
勾	k	ɤ	1		637
佝	k	ɤ	1		232
沟	k	ɤ	1		3201
鉤	k	ɤ	1		6622
鉤	k	ɤ	1		6761
溝	k	ɤ	1		3399
篝	k	ɤ	1		4509
苟	k	ɤ	5		5195
狗	k	ɤ	5		3734
枸	k	ɤ	5		2793
垢	k	ɤ	5		1135
够	k	ɤ	5		1241
夠	k	ɤ	5		1242
媾	k	ɤ	5		1397
構	k	ɤ	5		2767
構	k	ɤ	5		2956
購	k	ɤ	5		6108
購	k	ɤ	5		6135
估	k	uᵝ	5		203
沽	k	uᵝ	1		3216
孤	k	uᵝ	1		1440
姑	k	uᵝ	1		1333
菇	k	uᵝ	1		5283
蛄	k	uᵝ	1		5502
辜	k	uᵝ	1		6368
箍	k	uᵝ	1		4486
鴣	k	uᵝ	1		7541
鴣	k	uᵝ	1		7581
轂	k	oʔ	7		3108
轂	k	oʔ	7		6322
古	k	uᵝ	5		768
谷	k	oʔ	7		6030
汩	k	uəʔ	7		3176
股	k	uᵝ	5		4974
骨	k	uəʔ	7		7390
牯	k	uᵝ	5		3710
詁	k	uᵝ	5		5780
詁	k	uᵝ	5		5937
鼓	k	uᵝ	5		7658
穀	k	oʔ	7		4367
臌	k	uᵝ	5		5093
瞽	k	uᵝ	5		4176
蠱	k	uᵝ	5		5507
蠱	k	uᵝ	5		5607
固	k	uᵝ	5		1073
故	k	uᵝ	5		2527
雇	k	uᵝ	5		7039
錮	k	uᵝ	5		6668
錮	k	uᵝ	5		6825
顧	k	uᵝ	5		7167
顧	k	uᵝ	5		7181
瓜	k	ua	1		3874
瓜-	k	uˠ	1		3875
刮	k	uaʔ	7		540
剮	k	ua	5		560
剮	k	ua	5		574
剮-	k	uˠ	5		561
剮-	k	uˠ	5		575
寡	k	ua	5		1506
寡-	k	uˠ	5		1507
卦	k	ua	5		695
卦-	k	uˠ	5		696
挂	k	ua	5		2254
挂-	k	uˠ	5		2255
掛	k	ua	5		2328
掛-	k	uˠ	5		2329
乖	k	ua	1		67
拐	k	ua	5		2217
怪	k	ua	5		1937
噲	kʰ	uᴇ	5		900
噲	kʰ	uᴇ	5		1031
官	k	uø	1		1464
冠	k	uø	1		464
冠	k	uø	5		465
冠	k	uᴇ	1	雞~花	
倌	k	uø	1		310
棺	k	uø	1		2910
關	k	uᴇ	1		439
關	k	uᴇ	1		6906
鰥	k	uᴇ	5		7471
鰥	k	uᴇ	5		7519
觀	k	uø	5		5730
