参考资料	《桐城县志》									
pʰ	[1]铺{动词}[2]蒲菩[3]普脯浦谱[5]铺{名词}曝埠									
f	[1]夫肤敷[2]俘符扶浮[3]甫府腐俯斧抚腑辅否[5]父付傅赋赴附妇负阜富副									
k	[1]姑辜孤[3]古估贾股鼓[5]故固顾雇									
kʰ	[1]枯箍[3]苦[5]裤库									
x	[1]乎呼[2]胡蝴湖狐壶[3]虎浒[5]户戽狐互									
#ʯ										
Ø	[1]淤迂[2]如鱼渔于余儒愚虞娱盂与榆逾愉[3]语雨宇羽乳[5]誉预豫御芋喻裕遇寓玉郁									
n	[3]女屡									
tʂ	[1]猪诸居车诛株朱蛛珠拘驹鞠[3]煮举主矩[5]距著箸据柱驻住注铸锯句聚惧拒具剧									
tʂʰ	[1]区趋驱[2]除储渠褚厨雏殊徐[3]处{~理}鼠[5]处{~长}趣									
ʂ	[1]戌书舒须需枢输虚嘘墟[3]暑薯署黍蜀[5]墅绪庶恕竖树戍序叙									
#a										
p	[1]巴芭疤琶[3]把[5]爸霸把刀把壩罢									
pʰ	[1]拔[2]爬[5]怕									
m	[1]妈[2]麻蟆[3]马码[5]骂									
t	[3]打[5]大									
tʰ	[1]他									
n	[1]拉[2]拿[3]喇哪{文}[5]娜									
tʂ	[1]査{姓氏}渣[5]诈榨炸乍栅									
tʂʰ	[1]叉杈差[2]茶搽查[5]诧岔汊									
ʂ	[1]沙纱[3]傻									
k	[1]家[5]架{白}									
kʰ	[2]跨{白}[3]卡[5]胯{白}									
x	[1]哈[5]下									
ŋ	[1]丫[2]牙[3]哑									
#aʔ										
p	[7]八跋									
m	[7]抹									
f	[7]发法乏伐筏罚									
t	[7]答搭达									
tʰ	[7]踏塔塌榻獭									
n	[7]纳捺腊蜡辣邋癞									
ts	[7]杂眨闸扎铡									
tsʰ	[7]擦插察									
s	[7]洒撒萨杀霎									
k	[7]夹									
kʰ	[7]掐									
x	[7]瞎									
ŋ	[7]轧鸭押压{动词，白}									
#ɔ										
Ø	[2]儿而[3]尔耳饵[5]二贰									
p	[1]包胞褒[3]保堡宝饱[5]报抱暴豹爆鲍雹									
pʰ	[1]抛[2]袍刨[3]跑[5]泡炮									
m	[1]猫[2]毛矛茅[3]卯[5]冒帽貌									
t	[1]刀叨[3]倒{打~}岛祷导[5]到倒{~车}盗道稻									
tʰ	[1]滔涛掏[2]桃陶萄[3]讨[5]套									
n	[1]捞唠[2]劳牢铙挠[3]脑恼老[5]闹									
ts	[1]遭糟[3]早枣澡蚤[5]皂造躁灶									
tsʰ	[2]曹槽[3]草[5]糙									
s	[1]骚臊[2][3]嫂扫{动词}[5]									
tʂ	[1]朝昭招沼[3]爪找[5]罩赵兆肇召照诏									
tʂʰ	[1]抄超钞[2]巢朝潮[3]吵炒									
ʂ	[1]烧捎梢稍[2]韶芍[3]少{多~}[5]少{~年}绍邵稍									
ʐ	[2]饶[3]扰绕[5]绕									
x	[1]蒿薅[2]豪毫[3]郝好[5]好号浩									
ŋ	[1]□{叫}[2]熬敖[3]袄咬[5]懊傲奥拗									
#eʔ										
p	[7]北百柏伯白铂									
pʰ	[7]迫拍魄									
m	[7]陌墨默麦脉									
t	[7]得德									
tʰ	[7]特									
n	[7]肋勒									
ts	[7]贼则择泽窄摘责									
tsʰ	[7]侧测恻拆坼策册厕									
s	[7]瑟塞色									
tʂ	[7]辄折哲浙									
tʂʰ	[7]澈撤									
ʂ	[7]摄涉舌设									
k	[7]革格隔									
kʰ	[7]刻克客咳									
x	[7]吓核									
#e										
tʂ	[1]遮[3]者[5]蔗									
tʂʰ	[1]奢赊[2]蛇[3]舍[5]社射赦扇									
k	[2]给{~你}									
#ɛ										
p	[3]摆[5]拜败稗									
pʰ	[2]排牌[5]派									
m	[2]埋[3]买[5]卖迈									
t	[1]呆[3]歹[5]待怠殆戴代袋贷带大{~夫}									
tʰ	[1]胎[2]台苔抬[5]太泰态									
n	[2]来[3]乃奶[5]耐奈赖癞									
ts	[1]灾栽斋[2]宅[3]宰载[5]载{~载}再在债寨									
tsʰ	[1]猜钗差{~差}[2]才财材裁柴豺[3]彩睬采[5]菜蔡									
s	[1]腮筛[5]赛晒									
k	[1]该街秸阶{白}[3]改解{~手}[5]溉丐盖芥介{白}概戒{白}									
kʰ	[1]开揩[3]凯楷[5]慨									
x	[2]孩鞋还[3]海蟹[5]害亥骇									
ŋ	[1]哀[2]挨埃[3]蔼霭[5]爱碍艾隘									
#əʔ										
p	[7]不									
pʰ	[7]仆瀑扑									
m	[7]木沐目牧穆牡									
f	[7]复弗拂佛缚福蝠幅腹覆服伏									
t	[7]独读牍笃督毒									
tʰ	[7]突秃									
n	[7]鹿绿六陆录禄									
tʂ	[7]只织汁职质直植值殖侄质执									
ts	[7]卒足									
tʂʰ	[7]尺秩赤									
tsʰ	[7]斥促									
ʂ	[7]石湿实拾室失饰食识十释									
s	[7]涩虱宿俗肃夙粟速									
ʐ	[7]日入									
k	[7]个									
x	[7]黑									
#o										
p	[1]玻波播簸[3]跛									
pʰ	[1]坡颇[2]婆[5]破剖									
m	[1]摸[2]模魔磨摩[3]母拇某亩[5]募墓暮慕磨茂贸幕									
t	[1]多[3]朵躲[5]舵剁惰堕									
tʰ	[1]拖[2]驼驮鸵[3]妥[5]唾									
n	[1]捋摞[2]罗挪罗锣骡螺[3]裸[5]糯懦									
ts	[3]左佐[5]坐座做									
tsʰ	[1]搓[5]锉矬错措									
s	[1]娑蓑梭唆[3]锁所琐									
tʂ	[1]着啄									
k	[1]哥歌戈过{时间~了}锅[3]果裹[5]个过									
kʰ	[1]轲科窠苛颗磕[3]可[5]课									
x	[2]何河荷和禾[3]火伙[5]贺祸货									
ŋ	[1]额[2]讹蛾鹅俄[3]我[5]饿									
#oʔ										
p	[7]脖勃帛钵拨博薄剥驳									
pʰ	[7]泼									
m	[7]没末沫莫膜寞									
t	[7]夺铎									
tʰ	[7]脱托									
n	[7]落洛骆诺酪络乐烙									
ts	[7]撮{一~毛}作昨									
s	[7]索缩嗍									
ʐ	[7]若弱									
k	[7]鸽割葛各阁胳角									
kʰ	[7]磕渴壳									
x	[7]赫喝合盒壑鹤霍或惑									
ŋ	[7]厄扼轭鄂恶凶恶									
#ia										
Ø	[1]鸦[2]芽衙[3]雅[5]讶亚									
tɕ	[1]嘉加[3]假贾[5]驾嫁假稼架{文}价									
ɕ	[1]虾{文}[2]霞瑕遐暇[5]下{文}夏									
#iaʔ										
Ø	[7]押									
tɕ	[7]甲									
tɕʰ	[7]洽恰									
ɕ	[7]辖狭峡侠									
#ʯa										
tʂ	[1]抓[3]爪									
ʂ	[3]耍									
#ua										
Ø	[1]蛙哇[2]娃[3]瓦[5]洼									
k	[1]瓜[3]寡[5]挂卦褂									
kʰ	[1]夸[3]垮[5]跨{文}胯{文}									
x	[1]花[2]华{中~}划{~船}[5]化华{姓氏}画话划{计~}									
#ʯaʔ										
ʂ	[7]刷									
#uaʔ										
Ø	[7]挖袜									
k	[7]刮									
x	[7]猾滑									
#ie										
Ø	[1]耶椰[2]爷[3]也冶野[5]夜									
t	[1]爹									
tɕ	[1]嗟[3]姐[5]借									
tɕʰ	[2]茄[3]且[5]妾									
ɕ	[1]些[2]邪斜偕[3]写[5]谢卸泻泄血穴雪解{姓氏}懈									
#ieʔ										
Ø	[7]叶噎谒									
p	[7]别鳖憋									
pʰ	[7]撇									
m	[7]灭篾蔑									
t	[7]跌迭叠牒谍蝶									
tʰ	[7]铁贴帖									
n	[7]捏孽列烈裂劣业									
tɕ	[7]劫接捷杰节截洁揭竭									
tɕʰ	[7]切									
ɕ	[7]胁薛亵歇									
#uəʔ										
Ø	[7]物									
#ʯeʔ										
Ø	[7]热悦阅月越曰粤									
tʂ	[7]倔绝{文}厥掘决诀桌卓啄{文}琢									
tʂʰ	[7]缺戳									
#ʯe										
tʂ	[2]瘸									
ʂ	[1]靴									
Ø	[3]惹									
#iɛ										
Ø	[2]癌									
tɕ	[1]阶{文}皆[3]械解{文}[5]界戒{文}阶{文}介{文}届									
tɕʰ	[5]懈									
#ʯɛ										
tʂ	[5]拽									
tʂʰ	[1]揣[5]踹									
ʂ	[1]衰摔[3]甩[5]帅率蟀									
#uɛ										
Ø	[1]歪[3]崴[5]外									
k	[1]乖[3]拐[5]怪									
kʰ	[5]快块筷会{~计}									
x	[2]怀槐淮[5]坏									
#iɔ										
Ø	[1]幺妖邀腰要{~求}夭[2]尧摇谣姚肴[3]杳舀咬{文}[5]要耀									
p	[1]膘标彪瀌[3]表									
pʰ	[1]飘漂{~浮}[2]瓢嫖[3]瞟[5]漂{~亮}票									
m	[1]瞄[2]苗描[3]藐渺秒[5]庙妙谬									
t	[1]刁貂雕[3]屌[5]吊钓掉调									
tʰ	[1]挑[2]条调{~调}[5]跳									
n	[2]聊辽撩燎寥[3]了[5]尿廖{姓氏}料									
tɕ	[1]浇焦椒骄娇交郊胶教{动词}[3]缴剿矫绞狡铰搅饺[5]叫教{~育}轿校{~对}较									
tɕʰ	[1]锹悄[2]樵瞧乔桥[3]巧[5]俏鞘									
ɕ	[1]萧嚣消宵霄硝销肖淆[3]小晓[5]啸笑孝效校									
#ioʔ										
Ø	[7]岳约乐{~乐}药钥跃									
n	[7]掠略疟虐									
tɕ	[7]爵脚									
tɕʰ	[7]雀鹊确									
ɕ	[7]学削屑									
#oʔ										
tʂ	[7]镯拙									
tʂʰ	[7]绰									
#uoʔ										
Ø	[7]沃									
k	[7]国郭									
kʰ	[7]括扩阔廓									
x	[7]获活豁									
ɕ	[7]说									
#uo										
Ø	[1]屙窝倭									
x	[5]熯									
#iəʔ										
