参考资料	《安徽岳西方言的同音字汇》					
#调值	[1]²¹ [2]³⁵ [3]²²⁴ [5]⁵² [6]³³ [7]²¹³					
#ɿ						
ts	[1]资姿兹[3]子梓紫姊					
tsʰ	[1]差{参~}[2]慈辞词祠瓷姿磁[3]此[5]踢刺次[6]字自柿已					
s	[1]师狮司丝思厕{茅~}斯撕私[3]死史使驶[5]四肆[6]事寺士					
#ʅ						
tʂ	[1]之芝支枝肢知桅脂[3]止趾纸址指[5]志痣至置致智滞痔[7]只织职质执汁蛰掷蜘					
tʂʰ	[1]痴[2]持匙迟驰[3]齿耻[5]斥[6]直植值治侄[7]赤尺秩					
ʂ	[1]施尸诗[2]时[3]始屎[5]式{~样}试世势[6]石食实十什拾市示视是氏誓[7]适释识饰失室逝湿					
ʐ	[7]日					
#i						
p	[1]屄[3]比彼[5]毙敝蔽弊[7]壁璧碧逼毕必笔					
pʰ	[1]批披[2]匹皮疲脾琵枇[3]鄙痞丕[5]屁[6]备鼻蓖币被避[7]辟僻					
m	[1]眯咪[2]眉迷[3]米					
t	[1]低[3]低抵[5]的滴递蒂[7]敌帝					
tʰ	[1]梯剔[2]题提啼蹄堤[3]体[5]替剃屉嚏[6]笛地弟第[7]踢					
l	[2]狸犁梨黎离篱璃[3]李里裹鲤理礼[6]吏利痢例厉励丽荔[7]力笠粒历律率					
tɕ	[1]基饥肌几{~乎}机鸡{唱}箕[3]几己挤纪[5]记李寄计系季继祭际济[7]绩击激积脊即鲫辑及急级吉					
tɕʰ	[1]期欺妻溪蛆[2]其棋旗祁寄骑岂齐脐徐[3]启取起[5]器弃气汽契砌去趣[6]籍技妓集聚[7]戚吃七漆乞讫缉					
ȵ	[2]疑宜仪谊尼倪泥[3]拟[6]义议艺毅[7]逆					
ɕ	[1]西牺希稀需[3]喜嬉洗[5]戏细絮[6]席习系序[7]锡析昔恰息媳膝戌吸					
Ø	[1]医伊衣依[2]夷姨移通[3]已以椅[5]忆亿意[6]易异翼[7]乙一益译逸					
#u						
p	[3]补[5]布[7]不					
pʰ	[1]铺[2]菩蒲脯[3]普捕圃谱[5]铺埠[6]部步簿[7]扑朴仆					
m	[2]谋模[3]母姆拇亩[6]幕茂贸墓募[7]目牧没木睦					
f	[1]夫肤麸敷[2]浮俘符扶[3]否府腑斧腐辅[5]富副付傅腐{豆~}[6]服父伏负妇[7]福蝠腹覆					
k	[1]姑孤辜[3]古估股鼓[5]故固雇顾[7]谷骨					
kʰ	[1]枯箍[2]葫[3]苦[5]库裤[7]哭酷					
x	[1]乎呼[2]胡湖狐壶糊[3]虎浒[6]瓠户护[7]					
Ø	[1]巫诬乌污[2]吴无[3]武舞鹉五伍午侮[5]恶悟[6]戊雾误[7]屋握					
#ʯ						
tʂ	[1]拘蛛朱殊珠猪居车[3]主举煮矩[5]剧句驻注铸据[7]局烛嘱触祝粥竹筑橘桔					
tʂʰ	[1]区[2]厨滁除储渠殊[3]鼠处[5]处[6]具俱住柱[7]畜屈出					
ɳ	[3]女[7]入					
ʂ	[1]书输舒虚[3]许暑薯[5]恕署[6]树竖熟[7]束属叔术述					
Ø	[1]迂[2]儒愚娱于盂愉鱼渔余如[3]乳寓雨语吕宇禹羽旅[6]玉遇芋裕喻虑誉与预[7]疫					
#a						
p	[1]巴疤爸粑笆芭扒[3]把[5]罢霸[7]八					
pʰ	[1]趴[2]爬扒{~手}耙[5]怕[6]拔稗					
m	[1]妈[2]麻[3]马码[6]骂[7]抹					
f	[6]罚[7]法发					
t	[3]打[6]大[7]答					
tʰ	[1]他[6]达[7]塔塌沓踏榻					
n	[2]拿[3]哪[7]纳捺					
l	[1]拉[7]腊蜡辣癞					
ts	[7]杂砸					
tsʰ	[7]擦					
s	[3]撒洒[7]萨撒					
tʂ	[1]查渣[3]鲊[5]诈榨炸[7]札扎闸铡					
tʂʰ	[1]叉杈差[2]茶搽[5]岔[7]察					
ʂ	[1]杉沙纱[3]傻[7]杀煞					
k	[1]家[5]架嫁[7]夹					
kʰ	[3]卡[5]胯[7]掐					
ŋ	[1]丫[2]牙芽伢[3]哑[6]轧[7]鸭压					
x	[1]虾哈[6]下[7]瞎					
#ia						
tɕ	[1]加嘉佳[3]假贾[5]驾价[7]钾甲					
ɕ	[2]霞[6]夏厦{~门}[7]狭峡					
Ø	[2]衙[5]亚[7]押					
#ua						
