繁体	简体	声韵	声调	注释		阴平：334	阳平：312
丕	丕	pʰi	334			阴上：423	阳上：312
偏	偏	pʰie	334			阴去：55	阳去：22
剖	剖	pʰʊɤ	334			阴入：5	阳入：2
噴	喷	pʰeŋ	334				
坯	坯	pʰɛ	334				
姘	姘	pʰiŋ	334				
批	批	pʰi	334				
披	披	pʰi	334				
拋	抛	pʰɐɯ	334				
拼	拼	pʰiŋ	334				
攀	攀	pʰa	334				
泡	泡	pʰɐɯ	334				
漂	漂	pʰiɐɯ	334				
潘	潘	pʰø	334				
烹	烹	pʰa~	334				
篇	篇	pʰie	334				
胚	胚	pʰɛ	334				
鋪	铺	pʰu	334				
頗	颇	pʰʊɤ	334				
飄	飘	pʰiɐɯ	334				
他	他	tʰa	334				
偷	偷	tʰɘɯ	334				
吞	吞	tʰeŋ	334				
坍	坍	tʰa	334				
天	天	tʰie	334				
廳	厅	tʰiŋ	334				
拖	拖	tʰa	334	白			
拖	拖	tʰʊɤ	334	文			
挑	挑	tʰiɐɯ	334				
推	推	tʰɛ	334				
攤	摊	tʰa	334				
梯	梯	tʰi	334				
汀	汀	tʰiŋ	334				
添	添	tʰie	334				
湯	汤	tʰɔ~	334				
滔	滔	tʰɐɯ	334				
灘	滩	tʰa	334				
聽	听	tʰiŋ	334				
胎	胎	tʰɛ	334				
臺	台	tʰɛ	334	天～，～州			
苔	苔	tʰɛ	334	舌～			
貪	贪	tʰø	334				
通	通	tʰoŋ	334				
乖	乖	kua	334				
交	交	kɐɯ	334				
佳	佳	kʊɤ	334				
光	光	kuɔ~	334				
公	公	koŋ	334				
冠	冠	kua	334	衣～			
剛	刚	kɔ~	334				
功	功	koŋ	334				
加	加	kʊɤ	334				
勾	勾	kɘɯ	334				
君	君	kyŋ	334				
哥	哥	kʊɤ	334				
嘉	嘉	kʊɤ	334				
圭	圭	kuɛ	334				
均	均	kyŋ	334				
姑	姑	ku	334				
孤	孤	ku	334				
官	官	kua	334				
家	家	kʊɤ	334				
居	居	ky	334				
岡	冈	kɔ~	334				
崗	岗	kɔ~	334				
工	工	koŋ	334				
干	干	kie	334	～濕			
干	干	kie	334				
庚	庚	ka~	334				
戈	戈	kʊɤ	334				
扛	扛	kɔ~	334				
拘	拘	ky	334				
捐	捐	kyø	334				
更	更	ka~	334	～换，五～			
柑	柑	kie	334				
根	根	kiŋ	334				
棺	棺	kua	334				
歌	歌	kʊɤ	334				
歸	归	ky	334				
江	江	kɔ~	334				
泔	泔	kie	334				
溝	沟	kɘɯ	334				
瓜	瓜	kʊɤ	334				
甘	甘	kie	334				
篙	篙	kɐɯ	334				
粳	粳	ka~	334				
糕	糕	kɐɯ	334				
綱	纲	kɔ~	334				
缸	缸	kɔ~	334				
羔	羔	kɐɯ	334				
羹	羹	ka~	334				
耕	耕	ka~	334				
肝	肝	kie	334				
膏	膏	kɐɯ	334				
膠	胶	kɐɯ	334				
蚣	蚣	koŋ	334				
規	规	kuɛ	334				
觀	观	kua	334	參～			
詭	诡	kuɛ	334				
該	该	kɛ	334				
豇	豇	kɔ~	334				
跟	跟	kiŋ	334				
車	车	ky	334	～馬炮			
軍	军	kyŋ	334				
郊	郊	kɐɯ	334				
鈞	钧	kyŋ	334				
鉤	钩	kɘɯ	334				
鋼	钢	kɔ~	334				
鍋	锅	kʊɤ	334				
閨	闺	kuɛ	334				
關	关	kua	334				
駒	驹	ky	334				
高	高	kɐɯ	334				
鰥	鳏	kua	334				
龜	龟	ky	334				
刊	刊	kʰø	334				
區	区	kʰy	334				
圈	圈	kʰyø	334	圓～			
坑	坑	kʰa~	334				
坤	坤	kʰueŋ	334				
堪	堪	kʰø	334				
奎	奎	kʰuɛ	334				
寛	寛	kʰua	334				
崑	昆	kʰueŋ	334				
嵌	嵌	kʰa	334				
康	康	kʰɔ~	334				
揩	揩	kʰa	334				
摳	抠	kʰɘɯ	334				
敲	敲	kʰɐɯ	334				
昆	昆	kʰueŋ	334				
枯	枯	kʰu	334				
棵	棵	kʰʊɤ	334				
樞	枢	kʰy	334				
