来源：	岳俊丽 2012《晋语沁源县王陶话语音研究》；Hynuza 整理录入
ɻ	［3］扰［5］饶绕
k	［1］羔高糕哥［3］膏搞稿［5］告
kʰ	［3］考拷烤［5］犒靠
x	［1］嵩毫豪嚎壕浩［3］好{很~}［5］好{爱~}号耗
ŋ	［1］熬奥［3］祆［5］傲
#iɔ	
p	［1］彪标膘［3］表俵
pʰ	［1］漂{~浮}飘瓢嫖［5］漂{~白}票
m	［1］苗描渺［3］秒藐［5］妙庙
t	［1］刁貂雕钓［5］吊掉
tʰ	［1］调条粜［3］挑［5］跳
ȵ	［3］咬［5］尿
l	［1］辽疗聊僚廖嘹撩燎镣料缭［3］了
tɕ	［1］交郊娇浇骄胶椒焦蕉教{~书}窖觉{睡觉}荞［3］茭狡绞饺搅剿缴［5］娇叫轿较教{教育}
tɕʰ	［1］悄敲乔侨桥鞘［3］□{鸟}巧［5］俏窍翘鞘
ɕ	［3］小晓［5］酵宵消逍萧硝销箫霄器孝效校笑
Ø	［1］妖腰邀尧肴姚窑谣摇遥舀要跃［3］杳［5］耀
#ɚ	
Ø	［1］儿而［3］尔耳饵［5］二贰
#uɚ	
Ø	［3］那*{录入者注：兀儿的合音}
#ai	
p	［1］拜背{~米}赔［3］摆稗［5］败贝背{~脊}倍焙辈臂佩
pʰ	［1］排牌胚陪培裴坯［5］派沛配
m	［1］埋枚玫莓梅媒煤霉［3］买每［5］迈卖妹昧
t	［1］呆怠［5］代带待贷袋逮戴
tʰ	［1］胎台抬苔臺态［5］太泰
n	［3］乃［5］内奈耐
l	［1］来［5］赖癞
ts	［1］灾栽斋［3］宰载崽［5］再在债寨
tsʰ	［1］猜才材财裁豺［3］采彩睬［5］菜蔡
s	［1］柴腮鳃筛［5］赛晒
z	［1］奶{指乳房}
tʂ	［3］者
k	［1］该概［3］改［5］丐盖溉
kʰ	［1］开［3］凯慨楷
x	［1］核鞋［3］海［5］亥骇害
Ø	［1］哀埃挨艾［3］癌矮蔼隘［5］爱碍
#uai	
t	［1］堆［5］队对兑
tʰ	［1］推蜕［3］腿□{撞}［5］退
l	［1］雷［5］擂
ts	［5］拽罪
tsʰ	［1］炊崔催［5］粹
s	［1］衰［5］率{~领}帅蟀碎
k	［1］乖［3］拐［5］怪
kʰ	［1］盔［5］刽块快筷
x	［1］槐灰恢徽回苘悔讳绘桧贿晦徵［5］□{个}怀淮坏汇会彗惠彙慧
Ø	［1］歪外
#ei	
p	［1］卑悲碑
m	［3］美
t	［1］低钉蹄［3］底抵［5］地弟帝递第订
tʰ	［1］堤剔梯提题屉听［3］体［5］剃涕替嚏
l	［1］厘梨狸离犁璃黎篱履［3］礼李里理鲤［5］厉吏丽利励例隶痢
ts	［1］脐贼［3］挤井［5］祭净
tsʰ	［1］妻齐稀
s	［1］西［3］洗［5］细婿
