#来源	由Pekkhak（啵啵）轉錄自徐芳《江西万年石镇方言研究》
#调值	［1］³³［2］³⁵［3］²¹［5］²⁵［6］²¹³［7］²²［8］⁴
#符号说明	-白=文*俗?待考
#ɿ	
ts	［1］撕知蜘支枝肢栀资姿咨脂兹滋辎之芝［3］紫纸只{～有}姊旨指子梓滓止趾址［5］滞制{～定}製{～造}智致雉至置志誌痣掷炙
tsʰ	［1］疵眵痴嗤［2］雌池驰瓷糍迟慈磁辞词祠持［3］此侈耻齿［5］刺翅次稚伺{～候}寺痔［6］赐自字似{相～}祀已治仕柿
s	［1］斯厮施私师狮尸屍司丝思诗［2］时鲥［3］豕死矢屎使史驶始［5］世势誓舐氏四肆俟试饲［6］逝是示视嗜士事市侍恃
#i	
p	［3］彼鄙比［5］蔽闭臂秘痹庇［7］痹笔毕必逼碧璧
pʰ	［1］蓖批披［2］皮疲琵枇脾{～气}［3］脾{～胃}秕丕［5］臂屁［6］蔽弊币毙陛被{～卧}婢避备稗［7］匹僻辟
m	［1］眯［2］谜糜弥眉楣［3］米靡尾-［5］泌［7］密觅
t	［1］低［3］抵底［5］帝蒂
tʰ	［1］堤梯［2］题提蹄啼璃狸［3］体［5］替涕剃屉［6］弟第递地［7］踢剔
tɕ	［1］鸡稽饥肌基幾{～乎}机讥饥屐［3］挤几{茶～}己幾{～个}嘴-［5］祭迟慈磁辞词祠持［3］此侈耻齿［5］际济{救～}荠剂计继繫{～鞋带}髻寄冀纪记既醉-季鲫［7］急级给吉即戟积迹脊绩击激
tɕʰ	［1］蛆妻溪奚欺栖［2］齐脐畦奇骑岐祁鳍其棋期旗祈随-［3］取娶启企起杞岂［5］趣砌契器弃忌气汽翠-［6］聚技妓［7］缉{～鞋}泣七漆讫乞籍藉戚寂
ȵ	［2］泥宜仪尼疑［3］蚁你拟［5］腻［6］遇艺谊义议毅［7］日-匿逆溺
ɕ	［1］须鬚需西犀牺嬉熙希稀虽-［2］徐兮携遂隧［3］洗玺徙喜蟢髓-［5］絮细婿系{院～}岁-戏［6］序叙绪繫{联～}［7］吸悉息熄媳惜昔析
∅	［1］伊医衣依［2］移夷姨饴沂［3］倚椅矣已以［5］刈缢肄意异忆亿抑翼译［6］易益［7］揖乙一逸液腋
#u	
p	［3］补捕［5］布佈怖［7］卜
pʰ	［1］铺{～开}仆{～倒}［2］蒲菩脯［3］谱普浦甫脯［5］铺{～子}［6］部簿步［7］朴
m	［2］模慕［3］母拇［6］暮慕墓募［7］幕木目穆牧
f	［1］呼乎夫肤时敷孵麸［2］胡湖狐壶俘符扶芙［3］虎游腑俯斧抚釜腐辅［5］阜付赋赴计富副［6］户沪互护傅父附妇负［7］福复腹覆
t	［1］都□{茅房}［3］堵赌肚笃［5］妒□{皮肤上凸起的小痘痘}
tʰ	［2］徒屠途涂图［3］土吐{～痰}［5］吐{～了}兔［6］杜度渡镀
n	［2］奴［3］努［6］怒
l	［2］卢炉芦鸬庐如儒柔揉［3］鲁槽虏卤汝乳［5］录［6］路赂露鹭鹿［7］褥禄
ts	［1］租周舟州洲［3］祖组阻肘帚［5］铸昼咒［6］宙术{白～}［7］竹筑祝粥烛嘱
tsʰ	［1］粗初抽［2］储锄绸稠筹仇酬［3］褚楚础丑瞅［5］醋臭［6］助纣［7］促畜{～牲}促触
s	［1］苏酥梳疏蔬枢收［3］所黍署数{～钱}手首守［5］素诉塑庶恕数{～学}手漱兽［6］受寿授售［7］速叔
k	［1］姑孤［3］古估股鼓［5］故固锢雇顾［7］穀{～物}谷{山～}
kʰ	［1］枯［3］苦［5］库裤［5］酷［7］哭
∅	［1］乌污坞淤［2］吴吾梧鬍无巫诬［3］伍午武舞侮鹉舞{做}［5］恶{可～}［6］误悟务芳戊［7］屋
#y	
tɕ	［1］猪诸居车{～马炮}诛朱珠拘驹蛛株［3］煮举主矩［5］著据锯註注蛀句剧［7］橘
tɕʰ	［1］墟渠巨拒距柱区驱惧吹焌黢趋［2］除厨雏瞿垂槌锤［3］处{～理}杵拄［5］处{～所}［6］苎住俱具柜［7］出屈
ȵ	［2］鱼渔愚［3］女语［6］御禦寓
ɕ	［1］书舒虚嘘输殊［2］薯谁［3］暑鼠许水［5］睡［6］竖树畜{～牧}［7］恤
