武義同音字表							
简体	繁體	吳拼	IPA	备注			
资	資	tsy1	tsɿ24				
姿	姿	tsy1	tsɿ24				
咨	咨	tsy1	tsɿ24				
脂	脂	tsy1	tsɿ24	~油：豬油			
之	之	tsy1	tsɿ24	百分~一			
紫	紫	tsy3	tsɿ445				
指	指	tsy3	tsɿ445	戒~			
子	子	tsy3	tsɿ445				
籽	籽	tsy3	tsɿ445				
知	知	tsy3	tsɿ445	~識			
雌	雌	tshy1	tsʰɿ24				
此	此	tshy3	tsʰɿ445				
齿	齒	tshy3	tsʰɿ445				
刺	刺	tshy5	tsʰɿ53	~猬			
次	次	tshy5	tsʰɿ53				
斯	斯	sy1	sɿ24				
筛	篩	sy1	sɿ24	米~			
私	私	sy1	sɿ24				
师	師	sy1	sɿ24				
狮	獅	sy1	sɿ24				
蛳	螄	sy1	sɿ24				
司	司	sy1	sɿ24				
丝	絲	sy1	sɿ24				
思	思	sy1	sɿ24				
死	死	sy3	sɿ445				
使	使	sy3	sɿ445				
史	史	sy3	sɿ445				
驶	駛	sy3	sɿ445				
时	時	sy3	sɿ445	~節			
试	試	sy5	sɿ53				
疏	疏	sy5	sɿ53	生~			
自	自	sy5	sɿ53	~刎			
瓷	瓷	zy2	zɿ423				
糍	糍	zy2	zɿ423				
慈	慈	zy2	zɿ423				
辞	辭	zy2	zɿ423				
词	詞	zy2	zɿ423				
祠	祠	zy2	zɿ423				
嗣	嗣	zy2	zɿ423				
巳	巳	zy4	zɿ334				
祀	祀	zy4	zɿ334				
士	士	zy4	zɿ334				
仕	仕	zy4	zɿ334				
市	市	zy4	zɿ334				
逝	逝	zy6	zɿ31				
字	字	zy6	zɿ31				
牸	牸	zy6	zɿ31	水~：未生育的母水牛			
寺	寺	zy6	zɿ31				
饲	飼	zy6	zɿ31	~奶：餵奶			
事	事	zy6	zɿ31				
碑	碑	pi1	pi24				
卑	卑	pi1	pi24				
屄	屄	pi1	pi24				
比	比	pi3	pi445				
闭	閉	pi5	pi53				
蔽	蔽	pi5	pi53				
毙	斃	pi5	pi53				
臂	臂	pi5	pi53				
秘	秘	pi5	pi53				
沛	沛	phi5	pʰi53				
譬	譬	phi5	pʰi53				
屁	屁	phi5	pʰi53				
皮	皮	bi2	bi423				
脾	脾	bi2	bi423				
彼	彼	bi2	bi423				
坒	坒	bi2	bi423	一~磚：一層磚			
被	被	bi4	bi334	被子			
倍	倍	bi6	bi31				
佩	佩	bi6	bi31				
避	避	bi6	bi31				
痹	痹	bi6	bi31				
备	備	bi6	bi31				
篦	篦	bi6	bi31				
琵	琵	bi	bi21	~琶			
枇	枇	bi	bi21	~杷			
迷	迷	mi2	mi423				
弥	彌	mi2	mi423				
眉	眉	mi2	mi423				
楣	楣	mi2	mi423				
每	每	mi4	mi334				
美	美	mi4	mi334				
敏	敏	mi4	mi334				
未	未	mi5	mi53	副詞			
未	未	mi6	mi31	副詞			
非	非	fi1	fi24				
飞	飛	fi1	fi24				
妃	妃	fi1	fi24				
匪	匪	fi3	fi445				
痱	痱	fi5	fi53				
维	維	vi2	vi423				
惟	惟	vi2	vi423				
唯	唯	vi2	vi423				
肥	肥	vi2	vi423				
微	微	vi2	vi423				
未	未	vi6	vi31	地支之一			
味	味	vi6	vi31				
地	地	di6	di31	荡地：落若干荡地（在很多地方）			
猪	豬	li1	li24				
脶	腡	li2	li423				
驴	驢	li2	li423				
离	離	li2	li423				
篱	籬	li2	li423				
梨	梨	li2	li423				
厘	釐	li2	li423				
莱	萊	li3	li445	大~口：地名			
吕	呂	li4	li334				
李	李	li4	li334	姓			
里	裡	li4	li334	城~			
理	理	li4	li334				
鲤	鯉	li4	li334				
𣥼	𣥼	li5	li53	~飯：盛飯；裝			
榈	櫚	li5	li53	棕~：棕樹			
履	履	li5	li53	~坦：地名			
厉	厲	li6	li31				
隶	隸	li6	li31				
利	利	li6	li31				
吏	吏	li6	li31				
泪	淚	li6	li31				
里	里	li6	li31	一~			
狸	狸	li6	li31	狐~			
齑	齏	ci1	ʨi24	~菜：一種醃菜			
稽	稽	ci1	ʨi24				
支	支	ci1	ʨi24				
枝	枝	ci1	ʨi24				
肢	肢	ci1	ʨi24				
栀	梔	ci1	ʨi24				
岐	岐	ci1	ʨi24				
饥	飢	ci1	ʨi24				
饥	饑	ci1	ʨi24				
肌	肌	ci1	ʨi24				
之	之	ci1	ʨi24	走~旁			
芝	芝	ci1	ʨi24				
基	基	ci1	ʨi24				
机	機	ci1	ʨi24				
纸	紙	ci3	ʨi445				
姊	姊	ci3	ʨi445				
旨	旨	ci3	ʨi445				
麂	麂	ci3	ʨi445				
止	止	ci3	ʨi445				
址	址	ci3	ʨi445				
己	己	ci3	ʨi445				
纪	紀	ci3	ʨi445	年~			
杞	杞	ci3	ʨi445				
嘴	嘴	ci3	ʨi445				
穄	穄	ci5	ʨi53	蘆~：高粱			
计	計	ci5	ʨi53	夥~			
寄	寄	ci5	ʨi53				
致	致	ci5	ʨi53				
至	至	ci5	ʨi53				
置	置	ci5	ʨi53				
志	志	ci5	ʨi53				
志	誌	ci5	ʨi53				
痣	痣	ci5	ʨi53				
记	記	ci5	ʨi53				
既	既	ci5	ʨi53				
暨	暨	ci5	ʨi53				
醉	醉	ci5	ʨi53				
季	季	ci5	ʨi53				
