#調值	[1]21 [2]24 [3]53 [5]44		
1	ɚ	陰平21	日, 而
2	ɚ	陽平24	兒
3	ɚ	上聲53	耳
4	ɚ	去聲44	二, 貳
5	i	陰平21	以, 醫, 液, 益, 伊, 衣, 揖, 䴬, 乙, 一, 溢, 依
6	i	陽平24	姨, 役, 毅, 遺, 疫, 譯, 移
7	i	上聲53	已, 尾, 椅, 蟻
8	i	去聲44	義, 憶, 億, 意, 異, 藝, 姨, 儀, 翼, 議, 肄, 易
9	u	陰平21	屋, 杌, 烏, 沃, 汚
10	u	陽平24	悟, 蜈, 梧, 吳
11	u	上聲53	捂, 午, 伍, 五
12	u	去聲44	誤, 悟, 惡, 兀
13	y	陰平21	慾, 獄, 玉, 浴, 裕, 欲, 淤
14	y	陽平24	於, 余, 虞, 榆, 盂, 餘, 于, 愚, 魚
15	y	上聲53	雨, 禹, 羽, 葦, 語
16	y	去聲44	宇, 娛, 遇, 愉, 寓, 渭, 育, 郁, 域, 慰, 緯, 喻, 豫, 愈, 芋, 禦, 譽, 與, 御, 預
17	a	陰平21	阿
18	ia	陰平21	鴨, 鴉, 押, 丫
19	ia	陽平24	芽, 衙
20	ia	上聲53	鴉, 雅, 啞
21	ia	去聲44	亞
22	ua	陰平21	挖, 窪
23	ua	陽平24	娃
24	ua	上聲53	瓦
25	ua	去聲44	娃, 瓦, 窪{溝~~：山溝}
26	iɛ	陰平21	噎, 頁, 曳, 葉, 僷{倭~：順當，好}
27	iɛ	陽平24	爺
28	iɛ	上聲53	夜, 野, 也
29	iɛ	去聲44	夜, 爺
30	yɛ	陰平21	粤, 悅, 閱, 曰, 越, 月
31	uɤ	陰平21	窩, 踒, 萵, 倭, 阿
32	uɤ	上聲53	兀{~個：那個}
33	uɤ	去聲44	臥
34	yɤ	陰平21	躍, 約, 鑰, 瘧, 藥, 岳, 虐, 嶽, 樂
35	iai	陽平24	涯, 癌
36	uai	陰平21	歪, 懀
37	uai	上聲53	歪{~~斜斜}
38	uai	去聲44	外
39	uei	陰平21	偎, 危, 威
40	uei	陽平24	違, 為, 圍
41	uei	上聲53	僞, 煨, 偉, 兀, 委
42	uei	去聲44	外, 渭, 衛, 魏, 胃, 謂, 慰, 位, 餧, 為
43	iau	陰平21	要, 么, 吆, 腰, 邀, 妖, 約
44	iau	陽平24	堯, 遙, 姚, 搖, 謠, 窰
45	iau	上聲53	舀
46	iau	去聲44	要, 靿, 鷂, 耀
47	iɤu	陰平21	優, 幽, 憂
48	iɤu	陽平24	尤, 蚰, 猶, 游, 郵, 由, 油, 魷
49	iɤu	上聲53	有, 酉, 友
50	iɤu	去聲44	幼, 又, 誘, 釉, 右, 柚
51	iã	陰平21	煙, 胭, 閹
52	iã	陽平24	沿, 閻, 鹽, 緣, 芫, 簷, 延, 筵, 言, 研, 嚴, 顔
53	iã	上聲53	演, 衍, 輦, 黶, 掩
54	iã	去聲44	堰, 燕, 硯, 雁, 諺, 嚥, 宴, 豔, 釅, 厭, 焰, 驗, 炎
55	uã	陰平21	彎, 灣, 剜, 豌
56	uã	陽平24	完, 玩, 丸, 頑
