#来源	Pekkhak（啵啵）整理自顏森《高安（老屋周家）方言的语音系统》																																								
#说明	這份資料記錄的並非高安市區方言，其面貌與高安市區方言存在一定的差異																																								
#符号说明：-白=文*俗?待考																																									
#调值	［1］⁵⁵［2］²⁴［3］⁴²［5］³³［6］¹¹［7］³［8］¹［0］⁰																																								
#a																																									
tɕ	［1］遮家=傢=加=嘉=佳［3］假=贾=者［5］驾=架=嫁=稼=价=□{依照：～我样做；～这条路走}																																								
tɕʰ	［1］车［3］□{搞不清～：搞不清楚}																																								
ɕ	［1］赊［2］蛇［3］捨［5］赦舍［6］社射麝																																								
∅	［2］耶{～稣教}爷［3］也野［6］夜［0］呀																																								
#ɔ																																									
p	［1］波菠坡玻［5］簸{动词}																																								
pʰ	［2］婆［3］颇跛［5］破																																								
m	［1］摸［2］魔磨{～刀}馍［3］磨?{用嘴唇、牙床磨碎食物}［6］磨{～子}［0］么拇{大指～俚：大拇指}																																								
f	［2］和={～气}［3］火伙［5］货［6］祸和={搀和：～到一起}																																								
t	［1］多［3］朵躲岛［5］剁																																								
tʰ	［1］拖=［2］驼=坨陀［3］妥椭［6］惰𮃄=																																								
l	［1］囉{～唆}屙□{～新：崭新}［2］罗锣箩骡螺脶蛾{～眉月：月牙儿}捼{揉搓}［6］糯摞［0］囉{语气词}□{牛～牛～：小孩缠住大人，使人心烦}																																								
ts	［3］左{姓；～手；～边}［5］左{姓；～手；～边}□{打～：击木游戏}																																								
tsʰ	［1］搓梭［5］锉莝措错矬［6］坐座																																								
s	［1］蓑𥆝{眼睛偷偷地扫视}［3］锁琐［0］唆{罗～}																																								
k	［1］哥歌戈［2］哥{～～}［5］个箇{这}［0］箇{的}																																								
kʰ	［1］科窠［3］可［5］课																																								
ŋ	［1］我［2］蛾鹅俄讹［3］我=［6］饿卧恶?{～药：毒药}																																								
h	［1］拖［2］驼驮河何荷{～花}［6］舵大{～栗：板栗}贺𮃄［0］荷{薄～}																																								
∅	［1］阿{～胶}［0］呵{语气词}																																								
#uɔ																																									
k	［3］果裹錁{金银～锭}［5］过																																								
∅	［1］锅窝蜗莴□{～官箇人：戏台上跑龙套的}［2］禾和{～尚}［6］卧?{～毯：垫的床单}																																								
