漢字	拼音	IPA	注釋		語系	語片	方言	地理	政區	分佈	位點	人口	相關	作者	名牌									
呢	ȵi																							
呢	n																							
膩	ȵi																							
梨	li																							
履	li																							
利	li																							
利	lie																							
利	liʔ																							
痢	l																							
諮	tsə																							
資	tsə																							
姿	tsə																							
姊	tsə																							
姊	tɕi																							
次	tsʰə																							
瓷	zə																							
糍	zə		麻糍zə粿																					
自	zə		zə自舒（自在、舒爽）																					
自	dzeʔ		dzeʔ自家（自己）																					
私	sə																							
司	sə																							
死	sə																							
四	ɕi																							
四	sə																							
肆	ɕi																							
肆	sə																							
致	tɕi																							
致	tsəɯ																							
遲	dʑi		dʑi遲到																					
遲	dɐi		dɐi遲來（晚到）																					
雉	dzəɯ																							
稚	dʑi																							
師	səɯ		səɯ師父																					
師	sə		老師sə																					
師	ɕi		ɕi師長																					
獅	sə		sə獅子頭																					
獅	ɕi		舞獅ɕi子																					
獅	səɯ		螺獅səɯ山																					
脂	tɕi		胭脂tɕi																					
脂	tsə		血脂tsə																					
指	tɕi		tɕi指南針手指頭tɕi																					
指	tsəɯ		戒指tsəɯtsə指甲																					
旨	tɕi																							
至	tɕi																							
祭	tɕi																							
祭	tsəɯ																							
鴟	tɕʰi																							
鴟	tsʰə																							
示	ʑi																							
屍	ɕi																							
鈰	ʑi																							
矢	ɕi																							
屎	ɕi																							
嗜	ʑi																							
視	ʑi																							
二	ȵi																							
二	ə																							
貳	ȵi																							
肌	ki																							
饑	ki		ki饑荒																					
饑	kɐi		腹饑kɐi																					
几	ki		香火几ki（祭祀供桌）																					
幾	kɐi		kɐi幾多時																					
冀	ki																							
器	kʰi																							
棄	kʰi																							
祈	ɡi																							
鰭	ɡi																							
耆	ɡi																							
伊	i																							
懿	i																							
夷	i																							
姨	i																							
肄	i																							
你	ȵi																							
厘	li																							
李	li																							
理	li																							
裡	li																							
裡	lie																							
鯉	li																							
吏	li																							
茲	tsə																							
滋	tsə																							
子	tsə																							
梓	tsə																							
磁	zə																							
慈	zə																							
字	zə																							
司	sə																							
絲	sə																							
思	sə																							
伺	zə																							
伺	ʑi																							
辭	zə																							
詞	zə																							
祠	zə																							
巳	zə																							
巳	ʑi																							
祀	zə																							
祀	ʑi																							
似	zə																							
似	ʑi																							
寺	zə	zə																						
寺	ʑi	ʑi																						
嗣	zə	zə																						
嗣	ʑi	ʑi																						
飼	zə	zə																						
飼	ʑi	ʑi																						
置	tɕi	ʨi																						
置	tsə	tsə																						
癡	tɕʰi	ʨʰi																						
恥	tɕʰi	ʨʰi																						
持	dʑi	ʥi																						
峙	dʑi	ʥi																						
痔	dʑi	ʥi																						
治	dʑi	ʥi																						
輜	tsə																							
廁	tsʰɐʔ																							
廁	tsʰə																							
俟	ʑi																							
士	ʑi																							
士	zəɯ																							
事	ʑi		炊事ʑi班																					
事	zəɯ		話事zəɯ（講話）																					
史	ɕi		ɕi史官																					
史	səɯ		歷史səɯ																					
使	ɕi		ɕi使節ɕi使館																					
使	səɯ		好使səɯsəɯ使（用、放）																					
駛	ɕi		駕駛ɕi證																					
駛	səɯ		səɯ駛步																					
芝	tɕi		靈芝tɕi																					
芝	tsə		麻芝tsə																					
之	tɕi																							
之	tsy																							
之	tsə																							
址	tɕi																							
址	tsə																							
止	tɕi																							
止	tsə																							
趾	tɕi																							
趾	tsə																							
志	tɕi																							
誌	tɕi																							
痣	tɕi																							
嗤	tɕʰi																							
齒	tɕʰi																							
齒	tsʰəɯ																							
齒	tsʰə																							
詩	ɕi																							
詩	sə																							
始	ʑi																							
始	zəɯ																							
試	ɕi																							
試	səɯ																							
時	ʑi		ʑi時節																					
時	zəɯ		多時zəɯ																					
鰣	ʑi																							
市	ʑi																							
恃	ʑi																							
侍	ʑi																							
而	ʑi																							
而	ə																							
耳	ȵi																							
耳	ʑi																							
耳	ə																							
餌	ȵi																							
餌	ə																							
基	ki																							
姬	ki																							
己	ki																							
紀	ki																							
記	ki																							
欺	kʰi																							
起	kʰi																							
起	xi																							
杞	ki																							
棋	ɡi																							
其	ɡi																							
旗	ɡi																							
期	ɡi																							
忌	ɡi																							
疑	ȵi																							
擬	ȵi																							
嘻	xi																							
嘻	ɕi																							
嬉	xi																							
禧	xi																							
熙	xi																							
喜	xi																							
醫	i																							
意	i																							
矣	i																							
怡	i																							
貽	i																							
已	i																							
以	i																							
異	i																							
機	ki																							
鉿	ka																							
鉿	kʰa																							
譏	ki																							
饑	ki		ki饑餓																					
饑	kɐi		腹饑kɐi																					
幾	ki		茶幾ki																					
幾	kɐi		kɐi幾多錢																					
既	ki																							
豈	kʰi																							
氣	kʰi																							
汽	kʰi																							
祈	ɡi																							
沂	i																							
毅	ȵi																							
希	xi																							
稀	xi																							
依	i																							
衣	i																							
累	ləɯ		ləɯ累積																					
累	lɐi		累lɐi																					
累	lɐʔ		勞累lɐʔ命																					
嘴	tɕy																							
髓	zue																							
髓	zy																							
隨	zue																							
揣	tsʰuai																							
揣	tsʰuɐʔ																							
吹	tɕʰy		tɕʰy吹哨																					
吹	tsʰue		tsʰue吹捧																					
炊	tɕʰy		tɕʰy炊煙																					
炊	tsʰue		tsʰue炊事班																					
垂	dzue																							
睡	zue																							
瑞	zue																							
蕊	lue																							
規	kue																							
規	kuɐi																							
詭	kue																							
虧	kue		kue虧虛																					
虧	ky		喫虧ky																					
窺	kue																							
跪	kue																							
跪	ky																							
危	ue																							
偽	ue																							
麾	xue																							
麾	xuɐi																							
毀	xue																							
委	ue																							
喂	ue																							
為	ue																							
為	uɐi																							
壘	lue																							
類	lue																							
淚	lue																							
淚	ləɯ																							
醉	tsuɐi																							
翠	tsʰue																							
猝	tsʰɐʔ																							
綏	sue																							
綏	səɯ																							
雖	sue																							
雖	səɯ																							
悴	dzue																							
粹	dzue																							
遂	zue																							
隧	zue																							
穗	zue																							
穗	zəɯ																							
穗	dʑy																							
追	tsue																							
槌	dzue																							
槌	dʑy																							
錘	dzue																							
錘	dʑy																							
墜	dzue																							
墜	dʑy																							
衰	sue																							
衰	suai																							
蓑	so																							
摔	suai																							
率	suai		統率suai																					
率	lɐʔ		效率lɐʔ																					
錐	tsue																							
錐	tsuɐi																							
水	ɕy		泉水ɕy																					
水	sue		sue水獺																					
誰	zue																							
龜	kue																							
龜	ky																							
軌	kue																							
癸	ɡue																							
晷	kue																							
愧	ɡue																							
季	kue																							
季	ky																							
季	ki																							
葵	ɡue																							
逵	ɡue																							
夔	ɡue																							
揆	ɡue																							
櫃	ɡue																							
帷	vi																							
帷	ue																							
位	ue																							
維	vi																							
維	ue																							
惟	vi																							
惟	ue																							
遺	i																							
唯	vi																							
唯	ue																							
飛	fi																							
飛	pi																							
非	fi																							
匪	fi																							
沸	fi																							
痱	fi																							
痱	pi																							
妃	fi																							
菲	fi																							
費	fi																							
肥	fi																							
肥	bi																							
肥	vi																							
薇	vi		紫薇vi星																					
薇	mi		薔薇mi花																					
微	ue		ue微信																					
微	mi		笑微微mi																					
微	vi		vi微波爐																					
尾	mi																							
未	mɐi		副詞（無有）																					
未	vi		vi未免																					
味	ue		ue味（新音）																					
味	vi		vi味精																					
味	mi		mi味道																					
歸	kuɐi		kuɐi歸來																					
歸	kue		當歸kue（藥名）																					
鬼	kuɐi																							
貴	ky		死貴ky																					
貴	kue		kue貴賤																					
巍	ue																							
魏	ue																							
揮	xue																							
輝	xue																							
徽	xue																							
諱	xue																							
卉	xue																							
威	ue																							
畏	ue																							
慰	ue																							
違	ue																							
圍	ue																							
葦	ue																							
偉	ue																							
緯	ue																							
胃	ue																							
謂	ue																							
蝟	ue																							
匯	uɐi																							
褒	pɐɯ																							
保	pɐɯ																							
堡	pɐɯ																							
寶	pɐɯ																							
報	pɐɯ																							
袍	pɐɯ																							
抱	bɐɯ																							
抱	buə																							
暴	bɐɯ																							
毛	mɐɯ																							
冒	mɐɯ																							
帽	mɐɯ																							
刀	tɐɯ																							
叨	tɐɯ																							
倒	tɐɯ																							
島	tɐɯ																							
到	tɐɯ																							
倒	tɐɯ																							
滔	tʰɐɯ																							
討	tʰɐɯ		探討tʰɐɯ																					
討	tʰuə		tʰuə討飯儂tʰuə討（取、摘、娶）																					
套	tʰɐɯ																							
掏	dɐɯ																							
禱	dɐɯ																							
桃	dɐɯ																							
逃	dɐɯ																							
陶	dɐɯ																							
萄	dɐɯ																							
濤	dɐɯ																							
濤	tʰɐɯ																							
稻	dɐɯ																							
道	dɐɯ																							
導	dɐɯ																							
盜	dɐɯ																							
腦	nɐɯ																							
惱	nɐɯ																							
勞	lɐɯ																							
撈	lɐɯ																							
嘮	lɐɯ																							
牢	lɐɯ																							
老	lɐɯ																							
遭	tsɐɯ																							
糟	tsɐɯ																							
早	tsɐɯ																							
棗	tsɐɯ																							
蚤	tsɐɯ																							
澡	tsɐɯ																							
躁	tsɐɯ																							
燥	tsɐɯ		tsɐɯ燥熱																					
燥	sɐɯ		乾燥sɐɯ																					
灶	tsɐɯ																							
操	tsʰɐɯ		體操tsʰɐɯ																					
操	sɐɯ		sɐɯ操（姓氏）																					
草	tsʰɐɯ		tsʰɐɯ草坪																					
草	tsʰuə		茅草tsʰuə																					
曹	tsɐɯ																							
皂	tsɐɯ																							
造	dzɐɯ																							
騷	sɐɯ																							
臊	sɐɯ																							
掃	sɐɯ		sɐɯ掃興																					
掃	suə		suə掃帚																					
嫂	sɐɯ																							
嫂	suə																							
高	kɐɯ																							
膏	kɐɯ																							
羔	kɐɯ																							
糕	kɐɯ																							
稿	kɐɯ		禾稿kɐɯ（稻草）																					
告	kɐɯ																							
考	kʰɐɯ																							
烤	kʰɐɯ																							
靠	kʰɐɯ																							
犒	kʰɐɯ																							
熬	ŋɐɯ																							
傲	ŋɐɯ																							
蒿	xɐɯ																							
薅	xɐɯ																							
好	xɐɯ																							
耗	xɐɯ																							
豪	ɦɐɯ																							
毫	ɦɐɯ																							
號	ɦɐɯ																							
浩	ɦɐɯ																							
爊	ɐɯ																							
襖	ɐɯ																							
懊	ɐɯ																							
奧	ɐɯ																							
懊	ɐɯ																							
包	pɐɯ																							
胞	pɐɯ																							
豹	pɐɯ																							
爆	pɐɯ																							
鮑	bɐɯ																							
飽	bɐɯ																							
刨	bɐɯ																							
泡	pʰɐɯ																							
拋	pʰɐɯ																							
炮	pʰɐɯ																							
跑	pʰɐɯ																							
茅	mɐɯ																							
貓	mɐɯ																							
貓	miɐɯ																							
卯	mɐɯ																							
貌	mɐɯ																							
鐃	nɐɯ																							
撓	nɐɯ																							
鬧	nɐɯ																							
罩	tsɐɯ																							
抓	tsa																							
爪	tsɐɯ																							
找	tsɐɯ																							
笊	tsa																							
笊	dza																							
抄	tsʰɐɯ																							
鈔	tsʰɐɯ																							
炒	tsʰɐɯ																							
吵	tsʰɐɯ																							
巢	zɐɯ																							
梢	sɐɯ																							
捎	sɐɯ																							
捎	ɕiɐɯ																							
稍	sɐɯ		等稍sɐɯ																					
潲	sɐɯ																							
魈	ɕiɐɯ																							
筲	sɐɯ		sɐɯ筲箕																					
交	kɐɯ																							
交	kiɐɯ																							
郊	kɐɯ																							
膠	kɐɯ																							
教	kɐɯ																							
絞	kiɐɯ																							
狡	kiɐɯ																							
鉸	kɐɯ		kɐɯ鉸剪（剪刀）																					
搞	kɐɯ																							
攪	kɐɯ		kɐɯ攪屎棍																					
攪	kiɐɯ		打攪kiɐɯ																					
教	kɐɯ																							
較	kɐɯ		計較kɐɯ																					
較	kiɐɯ		kiɐɯ較對																					
酵	kɐɯ																							
窖	kɐɯ																							
校	kɐɯ		kɐɯ校場																					
校	ɡɐɯ		ɡɐɯ校對																					
覺	kɐʔ		自覺kɐʔ																					
覺	kyɐʔ		kyɐʔ覺悟																					
覺	kyeʔ		kyeʔ覺醒																					
覺	kiɐɯ		午覺kiɐɯ																					
覺	kɐɯ		睏覺kɐɯ																					
敲	kʰɐɯ																							
巧	kʰɐɯ		kʰɐɯ巧奪																					
巧	kʰiɐɯ		kʰiɐɯ巧妙																					
咬	ŋɐɯ																							
孝	xɐɯ																							
肴	ɦiɐɯ																							
肴	iɐɯ																							
淆	ɦiɐɯ																							
淆	iɐɯ																							
效	ɦɐɯ																							
校	ɦɐɯ		ɦɐɯ校長																					
校	ɦiɐɯ		ɦiɐɯ考校																					
坳	ɐɯ																							
拗	ɐɯ																							
飆	piɐɯ																							
標	piɐɯ																							
表	piɐɯ																							
飄	pʰiɐɯ																							
漂	pʰiɐɯ																							
票	pʰiɐɯ																							
嫖	biɐɯ																							
瓢	biɐɯ																							
鰾	biɐɯ																							
描	miɐɯ																							
苗	miɐɯ																							
苗	mɐɯ																							
貓	miɐɯ																							
貓	mɐɯ																							
藐	miɐɯ																							
渺	miɐɯ																							
秒	miɐɯ																							
廟	miɐɯ																							
妙	miɐɯ																							
燎	liɐɯ																							
焦	tɕiɐɯ																							
椒	tɕiɐɯ																							
剿	tɕiɐɯ																							
鍬	tɕʰiɐɯ																							
繰	tɕʰiɐɯ																							
悄	tɕʰiɐɯ																							
俏	tɕʰiɐɯ																							
樵	dʑiɐɯ																							
樵	ʑiɐɯ																							
瞧	dʑiɐɯ																							
瞧	ʑiɐɯ																							
消	ɕiɐɯ																							
宵	ɕiɐɯ																							
霄	ɕiɐɯ																							
硝	ɕiɐɯ																							
銷	ɕiɐɯ																							
小	ɕiɐɯ		ɕiɐɯ小鬼																					
小	səɯ		səɯ小号																					
小	sa		大小sa																					
笑	tɕʰiɐɯ																							
笑	ɕiɐɯ																							
鞘	tɕʰiɐɯ																							
鞘	ɕiɐɯ																							
朝	dʑiɐɯ		南北朝dʑiɐɯ鲜																					
朝	tɕiɐɯ		二月花朝tɕiɐɯ（花朝节）																					
超	tɕʰiɐɯ																							
潮	dʑiɐɯ																							
趙	dʑiɐɯ																							
兆	dʑiɐɯ																							
肇	dʑiɐɯ																							
肇	dzɐɯ																							
召	tɕiɐɯ																							
昭	tɕiɐɯ																							
招	tɕiɐɯ																							
沼	tɕiɐɯ																							
照	tɕiɐɯ																							
詔	tɕiɐɯ																							
燒	ɕiɐɯ																							
少	sɐɯ																							
少	ɕiɐɯ																							
韶	ʑiɐɯ																							
紹	ʑiɐɯ																							
紹	zɐɯ																							
邵	ʑiɐɯ																							
堯	ȵiɐɯ																							
饒	ȵiɐɯ																							
擾	ʑiɐɯ																							
擾	ȵiɐɯ																							
擾	iɐɯ																							
繞	ʑiɐɯ																							
繞	ȵiɐɯ																							
驕	kiɐɯ																							
嬌	kiɐɯ																							
矯	kiɐɯ																							
喬	ɡiɐɯ																							
橋	ɡiɐɯ																							
轎	ɡiɐɯ																							
囂	xiɐɯ																							
枵	xiɐɯ																							
妖	iɐɯ																							
邀	iɐɯ																							
腰	iɐɯ																							
要	iɐɯ																							
夭	iɐɯ																							
要	iɐɯ																							
樂	lɐɯ		要																					
樂	lɐʔ		lɐʔ樂平（地名）快樂lɐʔ																					
樂	ŋɐʔ		音樂ŋɐʔ																					
搖	iɐɯ																							
謠	iɐɯ																							
窯	iɐɯ																							
姚	iɐɯ																							
舀	iɐɯ																							
耀	iɐɯ																							
刁	tiɐɯ																							
貂	tiɐɯ																							
雕	tiɐɯ																							
鳥	tiɐɯ		麻雀鳥tiɐɯ																					
鳥	ȵiɐɯ		候鳥ȵiɐɯ																					
吊	tiɐɯ																							
釣	tiɐɯ																							
挑	tʰiɐɯ																							
糶	tʰiɐɯ																							
跳	tʰiɐɯ																							
條	diɐɯ																							
掉	diɐɯ																							
調	diɐɯ																							
尿	ɕyẽ		ɕye尿屎																					
尿	sa		尿																					
尿	ȵiɐɯ		ȵiɐɯ尿酸																					
聊	liɐɯ																							
遼	liɐɯ																							
撩	liɐɯ																							
寥	liɐɯ																							
廖	liɐɯ																							
了	liɐɯ																							
瞭	liɐɯ																							
料	liɐɯ																							
簫	ɕiɐɯ																							
蕭	ɕiɐɯ																							
嘯	ɕiɐɯ																							
澆	kiɐɯ																							
繳	kiɐɯ																							
叫	kiɐɯ		kiɐɯ叫花雞																					
叫	kɐɯ		kɐɯ叫花子																					
叫	kɔ̃		kɔ̃叫花胚																					
叫	iɐɯ		叫iɐɯ																					
叫	ɐɯ		叫ɐɯ																					
竅	kʰiɐɯ																							
堯	ȵiɐɯ																							
曉	xiɐɯ																							
麼	meʔ																							
麼	mɐʔ																							
杳	miɐɯ																							
剖	pʰai																							
剖	pʰu																							
剖	pʰo																							
某	məɯ																							
某	mɐɯ																							
畝	məɯ																							
畝	muə																							
牡	məɯ																							
牡	mɐɯ																							
牡	muə																							
拇	mɐʔ																							
拇	moʔ																							
母	moŋ		親家母moŋ																					
母	muə		父母muə親																					
母	məɯ		母																					
茂	mɐɯ																							
戊	muə																							
戊	vuə																							
貿	mɐɯ																							
兜	təɯ																							
抖	təɯ																							
陡	təɯ																							
鬥	təɯ																							
偷	tʰəɯ																							
透	tʰəɯ																							
頭	dəɯ																							
投	dəɯ																							
豆	dəɯ																							
逗	dəɯ																							
逗	təɯ																							
甩	xuɐʔ		xuɐʔ甩手（擺手、揮手）																					
甩	suai		suai甩幹																					
耨	nəɯ																							
樓	ləɯ																							
摟	ləɯ																							
簍	ləɯ																							
漏	liəɯ																							
陋	liəɯ																							
走	tsəɯ																							
奏	tsəɯ																							
湊	tsʰəɯ																							
叟	səɯ																							
嗽	səɯ																							
勾	kəɯ																							
鉤	kəɯ																							
溝	kəɯ																							
狗	ku																							
苟	kəɯ																							
垢	kəɯ																							
彀	kəɯ																							
夠	kəɯ																							
構	kəɯ																							
購	kəɯ																							
媾	kəɯ																							
摳	kʰəɯ																							
口	kʰəɯ																							
叩	kʰiəɯ																							
扣	kʰiəɯ																							
寇	kʰəɯ																							
蔻	kʰəɯ																							
藕	ŋiəɯ																							
偶	ŋəɯ																							
吼	xəɯ																							
侯	ɦəɯ																							
喉	ɦəɯ																							
猢	ɦəɯ																							
猴	ɦəɯ																							
厚	ɡu																							
後	ɦəɯ		ɦəɯ後土（後土皇地）																					
後	u		u後頭																					
后	ɦiəɯ		ɦiəɯ后羿																					
候	ɦəɯ																							
驅	kʰye																							
謳	ɐɯ																							
歐	əɯ																							
區	kʰye																							
嘔	əɯ																							
甌	əɯ																							
甌	iəɯ																							
毆	əɯ																							
鷗	əɯ																							
漚	əɯ																							
慪	əɯ																							
否	fəɯ																							
富	fuə																							
副	fuə																							
浮	vuə																							
浮	fuə																							
阜	vuə																							
阜	puə																							
負	vuə																							
負	fuə																							
婦	vuə																							
婦	fuə																							
婦	uə																							
複	foʔ																							
謀	məɯ																							
謀	mo																							
矛	mɐɯ																							
眸	məɯ																							
眸	mo																							
紐	ŋɐɯ																							
紐	ŋəɯ																							
扭	ȵiəɯ																							
扭	ȵiɐɯ																							
留	ləɯ																							
榴	ləɯ																							
劉	ləɯ																							
流	ləɯ																							
硫	ləɯ																							
琉	ləɯ																							
柳	ləɯ																							
溜	ləɯ																							
揪	tsəɯ																							
酒	tsəɯ																							
秋	tsʰəɯ																							
就	dzəɯ																							
就	dzəɯʔ																							
就	dʑi																							
就	dʑiʔ																							
修	səɯ																							
羞	səɯ																							
秀	səɯ																							
鏽	səɯ																							
繡	səɯ																							
宿	səɯ		星宿səɯ																					
宿	soʔ		soʔ宿舍																					
宿	seʔ		住宿seʔ																					
囚	zəɯ																							
袖	zəɯ																							
肘	təɯ		手肘təɯ																					
肘	tsəɯ		三肘tsəɯ																					
晝	təɯ		təɯ晝pa(午後、下午)																					
晝	tsəɯ		tsəɯ晝夜																					
抽	tsʰəɯ																							
醜	tsʰəɯ																							
綢	dzəɯ																							
稠	dzəɯ																							
籌	dzəɯ																							
紂	dzəɯ																							
宙	dzəɯ																							
鄒	tsəɯtɕiəɯ		鄒tsəɯ（姓氏）胡鄒tɕiəɯ																					
皺	tsəɯ																							
縐	tsəɯ																							
愁	ʑiɐɯ																							
驟	zəɯ																							
餿	səɯ																							
餿	ɕiɐɯ																							
搜	seʔ																							
颼	səɯ																							
搜	səɯ																							
瘦	səɯ																							
瘦	ɕiɐɯ																							
漱	suə																							
周	tsəɯ																							
舟	tsəɯ																							
洲	tsəɯ																							
州	tsəɯ																							
帚	tsəɯ																							
咒	tsəɯ																							
醜	tsʰəɯ																							
臭	tsʰɐɯ																							
收	səɯ																							
手	səɯ		səɯ手機																					
手	tɕʰye		衫手tɕʰye																					
首	səɯ																							
守	səɯ																							
獸	səɯ																							
讎	zəɯ																							
酬	dzəɯ																							
受	zəɯ																							
壽	zəɯ																							
授	zəɯ																							
售	dzəɯ																							
柔	zəɯ																							
柔	ȵiɐɯ																							
揉	zəɯ																							
揉	ʑiəɯ																							
鳩	kəɯ																							
鬮	kəɯ																							
九	kəɯ																							
久	kəɯ																							
韭	kəɯ																							
灸	kəɯ																							
究	kəɯ																							
救	kəɯ																							
丘	kʰəɯ																							
求	ɡəɯ																							
球	ɡəɯ																							
仇	dzəɯ																							
舅	ɡəɯ		ɡəɯ舅爹																					
舅	ɡiɐʔ		ɡiɐʔ舅奶																					
咎	kəɯ																							
糾	kəɯ																							
究	kəɯ																							
臼	ɡəɯ																							
舊	ɡəɯ																							
柩	ɡəɯ																							
牛	ŋəɯ																							
休	səɯ																							
朽	xiəɯ																							
嗅	xiəɯ																							
憂	iəɯ																							
優	iəɯ																							
尤	iəɯ																							
郵	iəɯ																							
有	iəɯ																							
友	iəɯ																							
又	iəɯ																							
右	iəɯ																							
宥	iəɯ																							
佑	iəɯ																							
油	iəɯ																							
遊	iəɯ																							
悠	iəɯ																							
猶	iəɯ																							
由	iəɯ																							
酉	iəɯ																							
莠	iəɯ																							
莠	səɯ																							
誘	iəɯ																							
釉	iəɯ																							
柚	iəɯ																							
彪	piɐɯ																							
謬	mɐɯ																							
謬	miɐɯ																							
丟	təɯ																							
糾	kəɯ																							
幽	iəɯ																							
幼	iəɯ																							
耽	tã																							
貪	tʰã																							
探	tʰã		勘探tʰã																					
探	tʰæ̃		窥、张、望																					
潭	dã		水潭dã																					
潭	dæ̃		鷹潭dæ̃																					
潭	duə̃		水窟潭duə̃																					
譚	dæ̃																							
南	na		敲南na無（敲木魚）																					
南	nã		nã南天門																					
男	nã																							
男	nuã																							
婪	lã																							
簪	tsæ̃		tsæ̃簪花																					
參	sæ̃		人參sæ̃																					
參	tsʰã		tsʰã參軍																					
慘	tsʰã																							
蠶	zæ̃																							
感	kæ̃																							
感	kã																							
堪	kʰæ̃																							
龕	kʰæ̃																							
坎	kʰæ̃																							
砍	kʰæ̃																							
勘	kʰæ̃																							
含	ɦæ̃																							
含	ɦã																							
含	ɡæ̃																							
函	ɦã																							
撼	ɦã																							
憾	ɦã																							
庵	æ̃																							
諳	æ̃																							
暗	æ̃																							
擔	tæ̃																							
擔	tã																							
膽	tã																							
坍	tʰã																							
毯	tʰã																							
痰	dã																							
談	dã																							
淡	dã																							
藍	lã																							
籃	lã																							
欖	lã																							
攬	lã																							
覽	lã																							
纜	lã																							
濫	lã																							
慚	dzã																							
暫	dzã																							
三	sã																							
柑	kæ̃																							
泔	kæ̃																							
甘	kæ̃																							
敢	kæ̃																							
敢	kuə̃																							
橄	kæ̃																							
瞰	kæ̃																							
蚶	xæ̃																							
喊	xã																							
邯	ɦæ̃																							
酣	xã																							
站	dzã																							
賺	dzã																							
斬	tsã																							
蘸	tsã																							
讒	zã																							
讒	dzã																							
饞	zã																							
饞	dzã																							
杉	sã																							
尷	kã																							
減	kã																							
鹻	kã																							
鹹	ɦã																							
鹹	ã																							
陷	ɦã																							
攙	tsʰã																							
懺	tsʰã																							
監	kã		kã監督																					
監	kiẽ		kiẽ監控																					
鑒	kã		台鑒kã																					
鑒	kæ̃		kæ̃堅拔																					
鑒	kiẽ		kiẽ鑒別																					
嵌	kʰã		kʰã嵌瓷板																					
嵌	kʰiẽ		鑲嵌kʰiẽ																					
岩	ŋã																							
銜	ŋã																							
銜	ɦã																							
艦	kʰã																							
艦	kiã																							
艦	kiẽ																							
貶	piẽ																							
黏	ȵiẽ																							
廉	liẽ																							
鐮	liẽ																							
簾	liẽ																							
奩	liẽ																							
斂	liẽ																							
斂	liẽ																							
殮	liẽ																							
尖	tɕiẽ																							
殲	tɕiẽ																							
殲	tɕʰiẽ																							
簽	tɕʰiẽ																							
僉	tɕʰiẽ																							
潛	dʑiẽ																							
漸	dʑiẽ																							
暹	ɕiẽ																							
暹	ɕiẽ																							
纖	ɕiẽ																							
纖	tɕʰiẽ																							
沾	tɕiẽ																							
沾	tsã																							
沾	tʰiẽ																							
粘	ȵiẽ																							
瞻	tɕiẽ																							
瞻	tsã																							
占	tɕiẽ																							
占	tsã																							
陝	ɕiẽ																							
閃	ɕiẽ																							
贍	zã																							
染	ʑiẽ																							
染	ȵiẽ																							
冉	ʑiẽ																							
檢	kiẽ																							
臉	liẽ																							
鉗	ɡiẽ																							
儉	ɡiẽ																							
驗	ȵiẽ																							
險	xiẽ																							
淹	iẽ																							
閹	iẽ																							
掩	iẽ																							
厭	iẽ																							
炎	iẽ																							
鹽	iẽ																							
閻	ȵiẽ																							
閻	iẽ																							
簷	iẽ																							
豔	iẽ																							
焰	iẽ																							
劍	kiẽ																							
欠	kʰiẽ																							
嚴	ȵiẽ																							
儼	ȵiẽ																							
釅	ȵiẽ																							
鍁	xiẽ																							
崦	iẽ																							
掂	tiẽ																							
點	tiẽ																							
墊	diẽ																							
店	tiẽ																							
添	tʰiẽ																							
忝	tʰiẽ																							
舔	tʰiẽ																							
甜	diẽ																							
拈	ȵiẽ																							
鯰	ȵiẽ																							
念	ȵiẽ																							
僭	tɕiẽ																							
僭	kiẽ																							
蒹	kiẽ																							
謙	kʰiẽ																							
歉	kʰiẽ																							
嫌	ɦiẽ																							
嫌	iẽ																							
泛	fã																							
凡	vã																							
凡	fã																							
帆	vã																							
帆	fã																							
範	vã																							
範	fã																							
犯	vã																							
犯	fã																							
梵	vã																							
梵	fã																							
答	tɐʔ																							
搭	tɐʔ																							
踏	dɐʔ																							
納	nɐʔ																							
拉	la																							
雜	dzɐʔ																							
雜	zɐʔ																							
蛤	kɐʔ																							
鴿	kɐʔ																							
喝	xɐʔ																							
喝	xuɐʔ																							
合	ɦɐʔ																							
佮	kɐʔ																							
盒	ɦɐʔ																							
榻	tʰɐʔ																							
塔	tʰɐʔ																							
塌	tʰɐʔ																							
臘	lɐʔ																							
蠟	lɐʔ																							
鑞	lɐʔ																							
卅	sɐʔ																							
磕	kʰɐʔ																							
盍	ɦɐʔ																							
劄	tɐʔ																							
眨	tsɐʔ																							
插	tsʰɐʔ																							
閘	zɐʔ																							
煠	zɐʔ		烫、煮																					
霎	sɐʔ																							
夾	kɐʔ																							
袷	kɐʔ																							
恰	kʰɐʔ																							
恰	kʰiɐʔ																							
掐	kʰɐʔ																							
狹	ɦɐʔ																							
峽	ɦɐʔ																							
洽	iɐʔ																							
甲	ka																							
匣	ɦɐʔ																							
狎	ɦɐʔ																							
鴨	ɐʔ																							
押	ɐʔ																							
壓	ɐʔ																							
聶	ȵiɐʔ																							
鑷	ȵiɐʔ																							
獵	liɐʔ																							
接	tɕiɐʔ																							
妾	tɕʰiɐʔ																							
捷	dʑiɐʔ																							
輒	tɕiɐʔ																							
攝	ɕiɐʔ																							
涉	ʑiɐʔ																							
靨	iɐʔ																							
魘	iɐʔ																							
厭	iɐʔ																							
葉	iɐʔ																							
劫	kiɐʔ																							
怯	kʰiɐʔ																							
業	ȵiɐʔ																							
脅	iɐʔ																							
貼	tʰiɐʔ																							
帖	tʰiɐʔ																							
迭	diɐʔ																							
牒	diɐʔ																							
蝶	diɐʔ																							
諜	diɐʔ																							
協	ɦiɐʔ																							
協	iɐʔ																							
俠	ɦiɐʔ																							
挾	ɡiɐʔ																							
法	fɐʔ																							
乏	vɐʔ																							
乏	fɐʔ																							
稟	pɪŋ																							
品	pʰɪŋ																							
賃	lɪŋ																							
