漢字	拼音	IPA	注釋		語系	語片	方言	地理	政區	分佈	位點	人口	相關	作者	名牌									
芽	ŋa																							
衙	ŋa																							
雅	ŋa																							
訝	ŋa																							
迓	ŋa																							
蝦	ɡa		ɡa蝦蟆																					
蝦	ɦa		ɦa蝦蟆草																					
蝦	xɐʔ		xa蝦蚣																					
嚇	xɐʔ																							
霞	ɦa																							
遐	ɦa																							
瑕	ɦa																							
下	ɦa																							
夏	ɦa																							
廈	səɯ		消瘦səɯ																					
廈	ɕiɐɯ		髁髁瘦ɕiɐɯ																					
暇	ɦa																							
夏	ɦa																							
丫	a																							
丫	ɐʔ																							
鴉	a																							
鴉	o																							
啞	u																							
啞	a																							
亞	a																							
嗟	tsə																							
嗟	tɕie																							
姐	tɕi																							
姐	tsəɯ																							
借	tɕie																							
且	tɕʰie																							
且	tsʰəɯ																							
藉	dzɐʔ																							
褯	zɐʔ																							
些	ɕie																							
些	sə																							
寫	ɕie																							
瀉	ɕie																							
卸	ɕie																							
卸	səɯ																							
邪	ʑie																							
斜	ʑie																							
謝	dʑie		多謝dʑie																					
謝	ʑie		ʑie謝疊山（姓名）																					
爹	tie																							
遮	tɕie																							
者	tɕia		之乎者tɕia也																					
者	tɕie		第三者tɕie																					
蔗	tɕie																							
車	tɕʰie		腳踏車tɕʰie																					
車	kye		kye車馬炮																					
扯	tsʰəɯ		扯tsʰəɯ（拉）																					
扯	tsəɯ		扯tsəɯ（撕）																					
蛇	dʑye		蛇dʑye																					
蛇	ʑie		四角蛇ʑie																					
蛇	dzue		蛇dzuedzue蛇子(蛇蛋）																					
射	ʑie		ʑie射箭																					
射	dzəɯ		dzəɯ射獵																					
奢	səɯ																							
奢	ɕie																							
賒	səɯ																							
賒	ɕie																							
舍	səɯ																							
赦	ɕie																							
舍	ɕie		ɕie舍弗得宿舍ɕie																					
社	ʑie																							
惹	ȵiẽ																							
耶	ie																							
椰	ie																							
爺	ye		老爺ye（義父、乾爹）																					
爺	ie		老天爺ie大爺ie																					
冶	iẽ																							
也	ia																							
也	iɐʔ																							
野	ie																							
夜	ie																							
傻	sa																							
耍	sa																							
瓜	kua																							
蝸	kua																							
蝸	uə																							
寡	kua																							
剮	kuɐʔ																							
咵	kʰua																							
垮	kʰua																							
跨	kʰua																							
娃	ua																							
瓦	ua																							
花	xua																							
化	xua																							
華	ua		中華ua																					
華	ua		ua華國鋒																					
蛙	ua																							
窪	ua																							
補	puə																							
譜	pʰuə																							
譜	puə																							
布	puə		夏布puə																					
布	pu		pu布告																					
鋪	pʰuə																							
普	pʰuə																							
浦	pʰuə																							
鋪	pʰuə																							
怖	puə																							
菩	buə																							
蒲	buə		菖蒲buəbuə蒲扇																					
脯	buə		buə脯頭（胸脯）																					
脯	pʰuə		pʰuə脯果																					
部	buə																							
簿	buə																							
步	buə																							
捕	buə																							
埠	buə																							
模	mo																							
模	muə																							
暮	muə																							
墓	muə																							
募	muə																							
慕	muə																							
都	tuə		首都tuə																					
都	toʔ		toʔ副詞																					
都	teʔ		teʔ副詞																					
堵	tuə																							
賭	tuə																							
肚	tuə		豬肚tuə																					
妒	tuə																							
蠹	tuə																							
土	tʰuə																							
吐	tʰuə																							
兔	tʰuə																							
途	duə																							
鈽	duə																							
屠	duə																							
圖	duə																							
徒	duə		duə徒弟																					
徒	dɐʔ		dɐʔ徒步																					
肚	duə		duə肚腹																					
杜	duə																							
度	duə																							
渡	duə																							
鍍	duə																							
奴	nuə																							
努	nuə																							
怒	nuə																							
盧	luə																							
爐	luə																							
鹵	luə																							
魯	luə																							
櫓	luə																							
虜	luə																							
露	luə																							
路	luə																							
賂	luə																							
租	tsuə																							
祖	tsuə																							
組	tsuə																							
做	tso																							
粗	tsuə																							
醋	tsuə																							
錯	tsʰo		tsʰo錯誤																					
錯	tsʰeoʔ		tsʰeoʔ錯雜																					
措	tsʰuə																							
蘇	suə																							
酥	suə																							
素	suə																							
塑	suə																							
訴	suə																							
嗉	suə																							
辜	kuə																							
孤	kuə																							
箍	kʰuə		kʰuə箍桶匠																					
姑	kuə																							
估	kuə																							
古	kuə																							
賈	ka		ka賈寶玉																					
賈	kuə		商賈kuə																					
股	kuə																							
鼓	kuə																							
蠱	kuə		kuə蠱術																					
故	kuə																							
顧	kuə																							
固	kuə																							
雇	kuə																							
枯	kʰuə																							
苦	kuə																							
庫	kʰuə																							
褲	kʰuə																							
梧	ŋuə																							
吾	ŋu																							
吳	ŋo																							
蜈	ŋə		ŋə蜈蚣																					
五	ŋo																							
巳	ŋo		端午ŋo節																					
午	ŋuə		ŋuə午時茶																					
伍	ŋo		老伍ŋo頭																					
伍	ŋuə		落伍ŋuə																					
悟	ŋo		孫悟ŋo空																					
悟	ŋuə		覺悟ŋuə																					
誤	ȵo		ŋo誤傳																					
誤	ŋuə		錯誤ŋuə																					
呼	xuə																							
虎	xuə																							
滸	xuə																							
戽	xuə																							
乎	xuə																							
乎	uə																							
壺	uə																							
瓠	ɦuə																							
胡	uə																							
狐	uə																							
湖	uə																							
鈑	pã																							
戶	uə																							
滬	uə																							
互	uə																							
護	uə																							
瓠	uə																							
烏	uə																							
汙	uə																							
塢	uə																							
惡	uə																							
惡	ɐʔ																							
女	na		兒女nana女婿																					
女	nã		nã女兒nã女兒毛																					
女	ȵye		ȵye女廁婦女ȵye																					
廬	luə																							
驢	lye																							
呂	lye																							
侶	lye																							
旅	lye																							
慮	lye																							
濾	lye																							
蛆	tɕʰye																							
疽	tɕʰye																							
胥	sye																							
胥	ɕye																							
絮	ɕiɐʔ																							
絮	ɕye																							
徐	ʑye		ʑye徐言																					
徐	zə		虛徐zə																					
徐	dʑye		dʑye徐（姓氏）																					
序	ʑye																							
緒	ʑye																							
敘	ʑye																							
豬	ta																							
著	dɐʔ		dɐʔ著力																					
著	tɐʔ		tɐʔ著衫（穿衣服）																					
著	tɕyeʔ		名著tɕyeʔ																					
著	dʑyɐʔ		dʑyɐʔ著急																					
褚	tye																							
褚	tɕʰye																							
除	duə		duə除衫(脫衣服)																					
除	dʑye		dʑye除夕乘除dʑye																					
儲	dʑye																							
苧	dye		苧麻																					
苧	dʑye		苧麻																					
箸	dʑie		筷子																					
阻	tsuə																							
初	tsʰuə																							
楚	tsʰuə		清楚tsʰuə																					
楚	tɕʰye		tɕʰye楚留香（姓名）																					
鋤	za																							
鋤	sa																							
疏	ɕye		ɕye疏通																					
蔬	suə																							
梳	sa		sa梳頭																					
梳	suə		suə梳妝																					
所	so																							
疏	suə		suə疏遠																					
諸	tɕye																							
煮	tɕye		tɕye煮粉																					
煮	iẽ		iẽ煮粥																					
處	tɕʰye		tɕʰye處理																					
處	tɕʰyeʔ		tɕʰyeʔ處裡（家裡）																					
書	ɕie		讀書ɕie																					
書	ɕye		ɕye書畫																					
舒	ɕye		自舒ɕye（舒服）																					
舒	suə		suə舒慶春（姓名）																					
鼠	tɕʰie																							
暑	ɕye																							
黍	ɕye																							
庶	ɕye																							
恕	ɕye																							
墅	ʑye																							
薯	ʑye																							
署	ɕye																							
孺	ʑye		ʑye孺子																					
儒	ʑye		ʑye儒教																					
如	ʑye		諸如ʑye																					
如	ye		ye如果																					
如	lo		lo如意																					
汝	ʑye																							
居	kye																							
居	kye																							
車	kye		kye車馬炮																					
車	tɕʰie		火車tɕʰie																					
舉	kye		中舉kye																					
鋸	kə		鋸kə（名詞）																					
鋸	ɡəɯ		鋸ɡəɯ（動詞）																					
劇	ɡieʔ		ɡieʔ劇烈																					
劇	ɡyeʔ		越劇ɡyeʔ																					
據	kye		論據kye																					
墟	xə		趕墟xə（趕集）																					
去	kʰə		歸去kʰə																					
去	kʰye		逝去kʰie																					
渠	ɡye		ɡye管道																					
渠	ŋə		ŋə渠儂(他、他們)																					
巨	ɡye																							
距	ɡye																							
拒	ɡye																							
遽	ɡye																							
魚	ŋə																							
漁	ŋə																							
女	ȵye		婦女ȵye																					
女	nã		nã女兒																					
女	na		na女婿																					
語	ȵye																							
禦	yə		防禦yə																					
御	ȵye		ȵye御賜																					
虛	xye		氣虛xye																					
虛	xye																							
噓	xye																							
許	xɐi		xɐi許配																					
許	xye		允許xye																					
淤	ye																							
於	ye																							
餘	ye																							
餘	ye																							
與	ye																							
與	ieʔ																							
譽	ye																							
預	ye																							
豫	ye																							
夫	puə																							
夫	fuə																							
膚	fuə																							
甫	pʰuə																							
甫	fuə																							
釜	vuə		刀斧vuə																					
釜	puə		puə斧頭																					
釜	fuə		fuə斧頭																					
府	fuə																							
腑	fuə																							
俯	fuə																							
賦	fuə																							
傅	fuə																							
付	fuə																							
敷	fuə																							
俘	fuə																							
撫	vuə		vuə撫養																					
撫	fuə		fuə撫州																					
孵	buə		buə孵子（孵蛋）																					
孵	fuə		fuə孵化																					
浮	vuə		vuə浮華																					
浮	fuə		fuə浮腫																					
赴	fuə																							
赴	puə																							
訃	puə		puə訃告																					
訃	fuə		fuə訃文																					
符	vuə		vuə符籙																					
符	fuə		fuə符號																					
扶	buə		buə扶梯																					
扶	vuə		vuə扶持																					
扶	fuə		fuə扶貧																					
釜	vuə		破釜vuə沉舟																					
釜	fuə		加壓釜fuə																					
腐	vuə		vuə腐爛																					
腐	uə		豆腐uə																					
輔	fuə																							
父	vuə		vuə父親大儂																					
父	uə		師父uə																					
附	vuə		vuə附會																					
附	fuə		fuə附件																					
毋	vuə		vuə毋（姓氏）																					
毋	muə		muə毋懼貪																					
巫	vuə																							
巫	uə																							
誣	vuə																							
誣	uə																							
無	vuə		vuə無常鬼																					
無	muə		muə無（没有）																					
無	mɐɯ		敲南無mɐɯ（木鱼）																					
無	mo		南無mo阿弥陀佛																					
無	uə		uə無聊																					
舞	vu		vu舞弊																					
舞	moŋ		moŋ舞龍燈																					
舞	muə		鼓舞muə																					
舞	uə		跳舞uə																					
侮	vu																							
侮	uə																							
武	vu																							
武	uə																							
鵡	vu																							
鵡	uə																							
霧	vuə																							
霧	muə																							
務	vuə																							
務	uə																							
縷	lye																							
縷	ləɯ																							
屢	lye																							
屢	lue																							
趨	tɕʰye																							
趨	tsʰue																							
取	tɕʰye		tɕʰye取笑																					
取	tsʰəɯ		tsʰəɯ取錢																					
娶	tɕʰye																							
趣	tsʰue																							
趣	tɕʰye																							
聚	dʑye																							
聚	ʑye																							
需	ɕye																							
鬚	ɕye		掛鬚ɕye																					
鬚	səɯ		鬍鬚səɯ																					
須	ɕye		必須ɕye																					
鎢	uə																							
續	ʑioʔ																							
蛛	tɕye																							
株	tɕye																							
誅	tɕye																							
駐	dʑye																							
注	tɕye																							
廚	dʑye																							
柱	dʑye																							
住	tɕye																							
芻	tsʰue																							
雛	zye																							
數	suə																							
數	ɕye																							
珠	tɕye																							
朱	tɕye																							
主	tɕye																							
注	tɕye																							
鑄	tɕye																							
樞	ɕye																							
輸	ɕye																							
戍	ɕyeʔ																							
殊	ʑye																							
豎	ʑye																							
樹	dzəɯ		棕樹dzəɯ																					
樹	ʑye		樹ʑye人（人名）																					
樹	dʑye		一蓬樹dʑye																					
儒	ʑye																							
乳	ʑye																							
拘	kye																							
駒	kye																							
俱	ɡye																							
矩	kye																							
句	ɡye																							
區	kʰye																							
驅	kʰye																							
瞿	kye		kye瞿（姓氏）																					
瞿	ɡye		通瞿ɡye																					
具	ɡye																							
懼	ɡye																							
虞	ȵye																							
愚	ȵye																							
娛	ȵye																							
遇	ȵye																							
寓	ȵye																							
寓	ye																							
籲	xye																							
籲	ye																							
迂	ye																							
於	ye																							
盂	ye																							
雨	ye																							
雨	yeʔ																							
禹	ye																							
宇	ye																							
羽	ye																							
芋	ye																							
羽	ye																							
逾	ye																							
逾	ye																							
榆	ye																							
愉	ye																							
愈	ye																							
喻	ye																							
裕	ye																							
呆	ŋɐi																							
戴	tai		tai戴（穿戴）																					
戴	tɐi		tɐi戴（姓氏）																					
胎	tʰɐi																							
台	dɐi		dɐi臺灣																					
台	tʰɐi		tʰɐi台州																					
態	tʰɐi																							
貸	dɐi																							
貸	dɐi																							
台	dɐi		dɐi臺灣																					
苔	tʰɐi																							
抬	dɐi																							
殆	dɐi																							
待	dɐi																							
怠	dɐi																							
代	dɐi																							
袋	dɐi																							
乃	nɐi																							
耐	nɐi																							
來	li		li來歸歸來li																					
來	lɐi		將來lɐilɐi來年																					
災	tsɐi																							
栽	tɕi																							
栽	tsɐi																							
宰	tsɐi																							
載	tsɐi																							
再	tsɐi																							
載	tsɐi																							
猜	tsʰai																							
采	tsʰɐi																							
睬	tsʰɐi																							
睬	tsʰeʔ																							
彩	tsʰɐi																							
菜	tsʰɐi																							
裁	zɐi		zɐi裁縫																					
裁	dzɐi		dzɐi裁判																					
材	zɐi		棺材zɐi																					
材	dzɐi		dzɐi材料																					
才	zɐi		文才zɐi																					
才	dzɐi		dzɐi才子																					
纔	zɐi																							
財	zɐi		永財zɐi（人名）																					
財	dzɐi		發財dzɐi																					
在	zɐi		自在zɐi																					
在	dzɐi		實在dzɐi																					
腮	sɐi																							
腮	sɐi																							
賽	sai																							
該	kɐi																							
改	kɐi																							
溉	kʰɐi																							
概	kʰɐi																							
開	kʰai																							
凱	kʰai																							
愷	kʰai																							
慨	kʰɐi																							
呆	ŋɐi																							
礙	ŋɐi																							
海	xɐi																							
孩	ɦai																							
孩	ɦai																							
亥	ɦɐi																							
哀	ɐi																							
埃	ɐi																							
唉	ɐi																							
唉	ɐi																							
愛	ɐi																							
貝	pɐi																							
沛	pʰɐi																							
帶	tai																							
泰	tʰai																							
太	tʰai																							
大	tʰai																							
奈	nai																							
賴	lã																							
癩	lai		lai癩皮蛤蟆																					
