IPA	調類	調值	調型	字				
ʦɿ	1	33	˧	知支枝肢资姿咨兹滋之芝汁织蜘□(擦掉：把唾沫～啊它)				
ʦɿ	2	13	˩˧	侄直值职殖植				
ʦɿ	3	31	˧˩	紫纸姊旨子梓止址				
ʦɿ	5	55	˥	滞制智栀致雉稚脂指至置治志痣执质掷只趾寺				
ʦɿ	7	24	˨˦	自字痔				
ʦʰɿ	1	33	˧	疵痴嗤				
ʦʰɿ	2	13	˩˧	雌池驰瓷迟慈磁辞词祠持				
ʦʰɿ	3	31	˧˩	此侈耻齿□(理：莫～它)□(～药)				
ʦʰɿ	5	55	˥	菜刺赐翅次				
ʦʰɿ	7	24	˨˦	秩赤（文）斥尺（文）				
sɿ	1	33	˧	斯厮撕施是豉私师狮尸司丝思厕诗湿				
sɿ	2	13	˩˧	饲时拾(～起来)实失食蚀实(鼻塞，鼻子～哒)				
sɿ	3	31	˧˩	死矢屎使史驶始				
sɿ	5	55	˥	誓逝四肆示视嗜似祀嗣士仕柿试市恃室识式适释				
pi	1	33	˧	逼				
pi	2	13	˩˧	皮疲脾				
pi	3	31	˧˩	彼俾鄙比(～较)篦				
pi	5	55	˥	蔽（文）币（文）毙闭（文）陛臂避痹必				
pi	7	24	˨˦	鼻笔毕弼碧璧壁（文）				
pʰi	2	13	˩˧	庇琵枇匹(一～布)				
pʰi	5	55	˥	屁				
pʰi	7	24	˨˦	譬（文）僻辟劈（文）				
mi	2	13	˩˧	迷（文）弥				
mi	3	31	˧˩	米				
mi	5	55	˥	秘泌密蜜觅汨幂				
ti	2	13	˩˧	堤第地				
ti	3	31	˧˩	底抵弟				
ti	5	55	˥	低递隶				
ti	7	24	˨˦	帝的(目～)滴嫡笛敌狄				
tʰi	1	33	˧	梯				
tʰi	2	13	˩˧	题提蹄啼				
tʰi	3	31	˧˩	体				
tʰi	5	55	˥	替涕剃屉				
tʰi	7	24	˨˦	踢剔				
li	2	13	˩˧	泥犂黎离篱璃尼梨厘狸疑				
li	3	31	˧˩	礼你李里理鲤拟				
li	5	55	˥	厉励丽荔腻利痢吏泪立笠粒栗匿力逆溺				
li	7	24	˨˦	历				
ʨi	1	33	˧	鸡稽饥肌基机屐				
ʨi	3	31	˧˩	挤脐剂己杞几嘴				
ʨi	5	55	˥	祭际济计继系(～鞋带)髻寄技妓冀纪记既季寂				
ʨi	7	24	˨˦	藉忌集辑急级给(供～)及疾吉即鲫极积脊籍绩击激				
ʨʰi	1	33	˧	妻溪欺				
ʨʰi	2	13	˩˧	齐奇骑岐祁鳍其棋旗				
ʨʰi	3	31	˧˩	启企起岂祈				
ʨʰi	5	55	˥	契器弃气汽泣去（白）				
ʨʰi	7	24	˨˦	蛆七漆讫乞戚吃				
ɕi	1	33	˧	犀奚兮牺嬉熙希稀				
ɕi	3	31	˧˩	洗喜				
ɕi	5	55	˥	西细系岁戏				
ɕi	7	24	˨˦	婿习袭吸雪悉膝息熄媳惜昔席夕锡析				
i	1	33	˧	宜仪伊医衣依				
i	2	13	˩˧	移夷姨遗				
i	3	31	˧˩	倚椅矣已以				
i	5	55	˥	艺缢谊意异毅逸忆抑翼译易				
i	7	24	˨˦	乙一益				
pu	2	13	˩˧	菩				
pu	3	31	˧˩	补捕卜				
pu	5	55	˥	布怖部簿步埠不仆倒				
pʰu	1	33	˧	铺(～设)				
pʰu	2	13	˩˧	蒲				
pʰu	3	31	˧˩	跛颇谱普浦甫朴				
pʰu	5	55	˥	铺(店～)				
pʰu	7	24	˨˦	扑				
mu	3	31	˧˩	亩母拇				
mu	5	55	˥	暮慕墓募幕寞忘				
mu	7	24	˨˦	磨末沫莫摸陌木目穆牧				
fu	1	33	˧	呼乎瓠夫肤跗脚面敷孵(～小鸡)麸				
fu	2	13	˩˧	胡湖狐壶瓠胡俘符扶芙浮伏				
fu	3	31	˧˩	虎浒府腑俯斧抚釜腐辅				
fu	5	55	˥	户沪互护付赋傅赴讣父附富副负				
fu	7	24	˨˦	妇复忽佛缚福幅蝠复腹覆服				
lu	5	55	˥	鹿禄				
ʦu	7	24	˨˦	卒筑祝足烛				
su	1	33	˧	苏酥梳疏蔬				
su	5	55	˥	素诉数(名词)				
ku	1	33	˧	姑孤箍估				
ku	3	31	˧˩	古盬牯股鼓骨谷				
ku	5	55	˥	故固锢雇顾				
kʰu	1	33	˧	枯窟				
kʰu	3	31	˧˩	苦				
kʰu	5	55	˥	库裤酷				
kʰu	7	24	˨˦	哭				
u	1	33	˧	乌污坞巫诬侮				
u	2	13	˩˧	吴蜈吾梧无				
u	3	31	˧˩	我五伍午武舞鹉				
u	5	55	˥	饿误悟恶(可～)务雾胃谓猬沃				
u	7	24	˨˦	物勿屋				
ly	3	31	˧˩	吕屡				
ʨy	1	33	˧	猪居车(～马炮)诛蛛株朱珠驹				
ʨy	2	13	˩˧	除储渠厨瞿				
ʨy	3	31	˧˩	煮举拄主矩				
ʨy	5	55	˥	著(显～)箸诸据锯巨拒距聚注蛀铸拘俱句具惧				
ʨy	7	24	˨˦	驻柱住橘菊局				
ʨʰy	1	33	˧	趋区驱吹炊黢蛐(～～)				
ʨʰy	2	13	˩˧	徐				
ʨʰy	3	31	˧˩	处杵取娶				
ʨʰy	5	55	˥	去趣				
ʨʰy	7	24	˨˦	出屈				
ɕy	1	33	˧	书舒墟虚嘘须需枢输殊树				
ɕy	3	31	˧˩	暑鼠署(专～)薯(白～)许水（白）				
ɕy	5	55	˥	序叙绪庶恕戍血恤术述秫竖				
y	1	33	˧	淤迂芋				
y	2	13	˩˧	驴如鱼渔余儒愚虞娱于盂榆逾愉				
y	3	31	˧˩	女旅汝语与(给～)缕乳吁宇禹羽履				
y	5	55	˥	虑滤御誉预豫遇寓愈喻裕律率疫郁玉				
y	7	24	˨˦	入域				
pa	1	33	˧	巴芭疤爸琶杷八				
pa	2	13	˩˧	爬钯耙				
pa	3	31	˧˩	把				
pa	5	55	˥	霸欛坝罢				
pa	7	24	˨˦	帕				
pʰa	5	55	˥	怕				
pʰa	7	24	˨˦	拔				
ma	1	33	˧	妈				
ma	2	13	˩˧	麻□(很:～薄的)				
ma	3	31	˧˩	蟆马码				
ma	5	55	˥	骂				
ma	7	24	˨˦	抹				
fa	1	33	˧	花发				
fa	2	13	˩˧	华铧划桦滑猾伐筏罚				
fa	3	31	˧˩	法(～子)				
fa	5	55	˥	化				
fa	7	24	˨˦	乏				
ta	1	33	˧	搭				
ta	3	31	˧˩	打				
ta	7	24	˨˦	答达妲耷跶(摔,～跟头)				
tʰa	1	33	˧	他				
tʰa	7	24	˨˦	踏搨沓塔榻塌獭溻				
la	1	33	˧	拉				
la	2	13	˩˧	拿□(在地上爬)				
la	3	31	˧˩	哪				
la	5	55	˥	那				
la	7	24	˨˦	纳腊蜡捺辣				
ʦa	1	33	˧	渣				
ʦa	2	13	˩˧	茶榨炸查调(～察)				
ʦa	5	55	˥	诈濽(溅：～一身的水)				
ʦa	7	24	˨˦	蔗杂札眨闸扎轧凿				
ʦʰa	1	33	˧	叉杈差（～别）岔汊（三～港）				
ʦʰa	2	13	˩˧	茬				
ʦʰa	3	31	˨˩	扯（白）哆（张开：～起嘴巴）				
ʦʰa	7	24	˨˦	搽插擦尺（白）赤（白）				
sa	1	33	˧	沙纱杉鲨裟				
sa	2	13	˩˧	□(吝啬：好～）				
sa	3	31	˧˩	洒傻耍撒（～手）				
sa	7	24	˨˦	萨杀				
ka	1	33	˧	家（白）痂（白）				
ka	2	13	˩˧	蛤(～蟆)				
ka	3	31	˨˩	嘎(～白的)				
ka	5	55	˥	尬架（白）驾（白）嫁（白）				
kʰa	1	33	˧	咖抓(又)				
kʰa	3	31	˨˩	咯咳嗽咔卡				
kʰa	7	24	˨˦	掐				
ŋa	1	33	˧	桠丫（白）鸦(又)腌(~臢)				
ŋa	2	13	˩˧	伢芽（白）牙（白）				
ŋa	3	31	˨˩	哑（白）				
ŋa	5	55	˥	额				
ŋa	7	24	˨˦	轧(又)鸭（白）压（白）				
xa	1	33	˧	瘕(喉咙沙哑)虾（白）哈(～一口气)哈(缝隙2：一条～)				
xa	3	31	˨˩	哈(～宝)				
xa	7	24	˨˦	吓				
a	5	55	˥	阿				
pia	3	31	˨˩	□(象声词：枪声)				
pia	7	24	˨˦	壁（白）				
pʰia	3	31	˨˩	□(很：～淡的)				
pʰia	7	24	˨˦	劈（白）				
tia	1	33	˧	爹（白）				
tia	2	13	˩˧	提（白）				
tia	7	24	˨˦	□（～紧点）				
tʰia	3	31	˨˩	□（下垂：～肩膀）				
lia	1	33	˧	嗲(小孩爱哭或撒娇：那小儿～得很)				
lia	3	31	˨˩	惹（白）				
lia	5	55	˥	□(～腔)				
ʨia	1	33	˧	家（文）加痂（文）嘉佳				
ʨia	2	13	˩˧	茄				
ʨia	3	31	˧˩	假贾姓姐（白）				
ʨia	5	55	˥	架（文）驾（文）嫁（文）稼价借（白）介				
ʨia	7	24	˨˦	夹甲拃(拇指与食指之间的距离)				
ʨʰia	5	55	˥	□（逗小孩的动作，手捂住脸突然松开）				
ʨʰia	7	24	˨˦	恰洽吃（白）				
ɕia	1	33	˧	虾（文）				
ɕia	2	13	˩˧	霞瑕遐暇斜（白）				
ɕia	3	31	˧˩	写（白）				
ɕia	7	24	˨˦	夏狭峡瞎辖□(炫耀：～得很)				
ia	1	33	˧	鸦丫（文）亚夜（白）鸭（文）				
ia	2	13	˩˧	牙（文）芽（文）衙涯崖（文）				
ia	3	31	˧˩	野（白）也（白）雅哑（文）				
ia	7	24	˨˦	押压（文）				
kua	1	33	˧	瓜呱				
kua	3	31	˧˩	寡剐				
kua	5	55	˥	挂卦				
kua	7	24	˨˦	刮				
kʰua	1	33	˧	夸				
kʰua	3	31	˧˩	垮跨骻				
kʰua	7	24	˨˦	挎(～包)				
xua	5	55	˥	画				
xua	7	24	˨˦	话				
ua	1	33	˧	蛙洼哇娲鸹(老～子)				
ua	3	31	˧˩	瓦搲(～水)哇哕(呕吐)				
ua	5	55	˥	滑				
ua	7	24	˨˦	挖袜				
ʨya	1	33	˧	抓				
ʨya	5	55	˥	髽□(踢：～他一脚)				
ʨʰya	2	13	˩˧	□(串：一～葡萄)				
ʨʰya	7	24	˨˦	踹(字潦草：写得像鸡～的)				
ɕya	7	24	˨˦	涮(～洗)刷唰(打或甩一耳光)				
ya	2	13	˩˧	甩(又音)				
ya	5	55	˥	□(绕路：～小路)				
pə	7	24	˨˦	百柏伯白				
pʰə	7	24	˨˦	拍				
mə	7	24	˨˦	昧□(鲁莽：～里～气)搣(～开)				
tə	7	24	˨˦	得德				
tʰə	7	24	˨˦	特忑				
lə	7	24	˨˦	肋勒				
ʦə	1	33	˧	遮				
ʦə	3	31	˧˩	者				
ʦə	7	24	˨˦	折褶哲辙浙则侧窄摘责				
ʦʰə	3	31	˧˩	扯（文）				
ʦʰə	7	24	˨˦	车(马～)撤贼测拆(~开)泽择(~菜)宅策册				
sə	1	33	˧	奢赊				
sə	2	13	˩˧	蛇畲(姓)				
sə	3	31	˧˩	舍				
sə	5	55	˥	麝赦舍社涉舌				
sə	7	24	˨˦	射摄蜇设瑟虱塞(阻～)色				
kə	1	33	˧	开				
kə	5	55	˥	盖				
kə	7	24	˨˦	葛各阁搁胳格革隔				
kʰə	3	31	˧˩	□(勒住使不舒服：绳子～人)				
kʰə	7	24	˨˦	刻克客咳				
xə	7	24	˨˦	核黑赫吓(恐～)				
pie	1	33	˧	鳖憋				
pie	3	31	˨˩	瘪(球～哒)				
pʰie	3	31	˧˩	□(～哒脚)				
pʰie	7	24	˨˦	别撇(～嘴巴)				
mie	1	33	˧	咩				
mie	7	24	˨˦	灭篾				
tie	1	33	˧	跌爹（文）				
tie	5	55	˥	蝶				
tie	7	24	˨˦	叠碟牒谍迭				
tʰie	7	24	˨˦	帖铁				
lie	5	55	˥	例热				
lie	7	24	˨˦	聂(姓)镊蹑猎业（白）列烈裂孽劣				
ʨie	1	33	˧	街（文）				
ʨie	2	13	˩˧	捷				
ʨie	3	31	˧˩	解（文）				
ʨie	5	55	˥	□(前加成分：～湿的)界（文）芥（文）疥（文）届（文）戒（文）				
ʨie	7	24	˨˦	接劫杰揭节截结洁				
ʨʰie	3	31	˧˩	且				
ʨʰie	7	24	˨˦	砌妾怯切				
ɕie	1	33	˧	些				
ɕie	2	13	˩˧	邪斜（文）谐携协				
ɕie	3	31	˧˩	写（文）				
ɕie	5	55	˥	泻谢				
ɕie	7	24	˨˦	卸懈胁薛泄歇蝎屑				
ie	2	13	˩˧	爷				
ie	3	31	˧˩	也（文）野（文）				
ie	5	55	˥	耶夜（文）叶页业（文）				
ʨye	1	33	˧	□(骂：～人)				
ʨye	7	24	˨˦	绝厥决诀掘倔蕨獗				
ʨʰye	7	24	˨˦	缺撅(翘：～起屁股)				
ɕye	1	33	˧	靴				
ɕye	5	55	˥	穴				
ye	3	31	˨˩	抈惹				
ye	5	55	˥	𠮷(～口)				
ye	7	24	˨˦	掘悦阅月越曰粤				
e	1	33	˧	二贰				
e	2	13	˩˧	儿而				
e	3	31	˧˩	尔耳饵				
e	7	24	˨˦	日				
po	1	33	˧	波菠玻				
po	2	13	˩˧	婆剖				
po	5	55	˥	簸魄				
po	7	24	˨˦	薄(～荷)钵拨勃博泊迫				
pʰo	5	55	˥	破薄(厚～)				
pʰo	7	24	˨˦	坡泼				
mo	2	13	˩˧	魔摩馍模摹膜				
mo	7	24	˨˦	墨默				
to	1	33	˧	多惰桗哆(～嗦)				
to	2	13	˩˧	驼驮舵				
to	3	31	˧˩	朵躲				
to	5	55	˥	剁				
to	7	24	˨˦	夺铎踱𫡧(捣击：搞杈棍～)沓(一～纸)				
tʰo	3	31	˧˩	妥椭軃(垂下：衣服～到地下哒)				
tʰo	7	24	˨˦	拖唾脱托蜕				
lo	1	33	˧	糯啰□(衣服下滑)				
lo	2	13	˩˧	挪罗锣箩骡螺脶				
ʦo	3	31	˧˩	裸嘍(吐词不清：讲话喜欢～)				
ʦo	7	24	˨˦	诺落烙骆酪洛络乐(快～)				
ʦo	1	33	˧	坐座				
ʦo	3	31	˧˩	左佐				
ʦʰo	7	24	˨˦	拙作酌桌卓琢啄浊捉镯浞				
ʦʰo	7	24	˨˦	搓锉矬矮措错昨着(～衣)绰戳				
so	1	33	˧	蓑梭唆嗍				
so	3	31	˧˩	锁琐所				
so	7	24	˨˦	塑说索朔缩				
so	5	55	˥	□(坏话：～话子)				
ko	1	33	˧	歌哥锅戈				
ko	3	31	˧˩	果裹				
ko	5	55	˥	个过				
ko	7	24	˨˦	割郭				
kʰo	1	33	˧	科				
kʰo	3	31	˧˩	可棵颗				
kʰo	5	55	˥	课□(很：～绿的)				
kʰo	7	24	˨˦	渴括阔廓扩叩壳(～子)				
xo	1	33	˧	荷(薄～)				
xo	2	13	˩˧	河何荷禾和				
xo	3	31	˧˩	火伙				
xo	5	55	˥	贺货祸				
xo	7	24	˨˦	喝(～彩)豁活蠚鹤霍藿或惑获				
o	2	13	˩˧	蛾鹅俄				
o	5	55	˥	卧窝蜗鄂恶(善～)握				
lio	5	55	˥	略掠弱				
ʨio	7	24	˨˦	嚼脚觉(知～)角爵				
ʨʰio	7	24	˨˦	却确雀鹊□(捉弄：～得很，类似赣语“雀博”)				
ɕio	7	24	˨˦	削学				
io	5	55	˥	虐				
io	7	24	˨˦	若约药钥跃岳乐(音～)				
kuo	7	24	˨˦	国鸽				
pai	2	13	˩˧	排牌簰				
pai	3	31	˧˩	摆				
pai	5	55	˥	拜败跛(脚瘸：～子)				
pʰai	3	31	˧˩	捭（两手平伸间的距离）				
pʰai	5	55	˥	派				
mai	2	13	˩˧	埋				
mai	3	31	˧˩	买				
mai	5	55	˥	卖迈麦脉				
fai	2	13	˩˧	怀槐淮				
fai	7	24	˨˦	坏				
tai	1	33	˧	呆				
tai	2	13	˩˧	台苔抬				
tai	3	31	˧˩	逮歹傣				
tai	5	55	˥	戴贷待怠殆代袋带				
tai	7	24	˨˦	大				
tʰai	1	33	˧	胎				
tʰai	5	55	˥	态太泰汰				
lai	2	13	˩˧	来				
lai	3	31	˧˩	乃奶				
lai	5	55	˥	耐奈赖癞				
ʦai	1	33	˧	灾栽斋				
ʦai	2	13	˩˧	豺柴才材财裁				
ʦai	3	31	˧˩	宰载(年～)				
ʦai	5	55	˥	再载(～重)在债寨				
ʦʰai	1	33	˧	猜钗差(出～)				
ʦʰai	3	31	˧˩	彩采踩				
ʦʰai	5	55	˥	蔡				
sai	1	33	˧	腮鳃筛				
sai	3	31	˧˩	□(理睬)				
sai	5	55	˥	赛晒				
kai	1	33	˧	该皆阶街（白）				
kai	3	31	˧˩	改解（白）				
kai	5	55	˥	溉丐械（白）届（白）界（白）介（白）疥（白）戒（白）				
kʰai	1	33	˧	揩				
kʰai	3	31	˧˩	凯慨楷				
kʰai	5	55	˥	概				
ŋai	1	33	˧	哀埃挨（～住）				
ŋai	2	13	˩˧	捱呆岩				
ŋai	3	31	˧˩	蔼矮				
ŋai	5	55	˥	碍爱艾隘				
xai	2	13	˩˧	孩鞋还（～有）				
xai	3	31	˧˩	海				
xai	5	55	˥	亥害骇				
kuai	1	33	˧	乖				
kuai	3	31	˧˩	拐				
kuai	5	55	˥	怪				
kʰuai	1	33	˧	会				
kʰuai	3	31	˧˩	□（打：～他几耳光）				
kʰuai	5	55	˥	快筷				
kʰuai	7	24	˨˦	块				
uai	1	33	˧	外歪				
uai	3	31	˧˩	□（摇晃：船两边～）				
ʨyai	3	31	˧˩	拽转(～格)				
ʨʰyai	3	31	˧˩	揣犬				
ɕyai	1	33	˧	衰摔甩				
ɕyai	5	55	˥	帅率蟀				
pei	1	33	˧	杯背碑卑悲				
pei	2	13	˩˧	培陪赔裴				
pei	5	55	˥	贝辈倍被婢备弊（白）币（白）闭（白）蔽（白）敝（白）				
pei	7	24	˨˦	北				
pʰei	1	33	˧	胚坯批丕				
pʰei	5	55	˥	沛配佩譬（白）				
mei	2	13	˩˧	枚媒煤眉楣霉媚迷（白）谜（白）				
mei	3	31	˧˩	每美				
mei	5	55	˥	妹寐				
fei	1	33	˧	恢灰非飞妃挥辉				
fei	2	13	˩˧	回茴肥				
fei	3	31	˧˩	贿悔毁匪翡				
fei	5	55	˥	晦汇废肺吠疿费				
fei	7	24	˨˦	会绘惠慧				
tei	1	33	˧	堆				
tei	3	31	˧˩	□(买东西，成批的：～货)□(颠簸：身子连～是～)				
tei	5	55	˥	对碓队兑				
tʰei	1	33	˧	推				
tʰei	2	13	˩˧	颓				
tʰei	3	31	˧˩	腿				
tʰei	5	55	˥	退褪				
lei	2	13	˩˧	雷				
lei	3	31	˧˩	儡蕊垒馁磊耒				
lei	5	55	˥	内类累				
ʦei	5	55	˥	罪最缀赘醉				
ʦʰei	1	33	˧	催				
ʦʰei	5	55	˥	碎脆翠粹				
kuei	1	33	˧	圭闺规龟归				
kuei	3	31	˧˩	诡轨鬼				
kuei	5	55	˥	鳜桂癸柜贵				
kʰuei	1	33	˧	盔魁溃亏窥				
kʰuei	2	13	˩˧	傀奎逵葵				
kʰuei	3	31	˧˩	跪				
kʰuei	5	55	˥	愧□(坑)				
kʰuei	7	24	˨˦	刽桧				
uei	1	33	˧	煨为(～什么)位未味				
uei	2	13	˩˧	危为(作～)维惟唯违围				
uei	3	31	˧˩	伪委尾伟苇纬				
uei	5	55	˥	卫微魏威畏慰□(使弯曲：～椅子)				
ʨyei	1	33	˧	追锥椎				
ʨyei	2	13	˩˧	槌锤				
ʨyei	5	55	˥	坠				
ʨʰyei	2	13	˩˧	垂				
ɕyei	1	33	˧	崔虽				
ɕyei	2	13	˩˧	髓随绥谁				
ɕyei	5	55	˥	税睡瑞遂隧				
ɕyei	7	24	˨˦	穗				
yei	7	24	˨˦	芮				
pau	1	33	˧	褒包胞鲍				
pau	2	13	˩˧	袍刨				
pau	3	31	˧˩	保堡宝饱				
pau	5	55	˥	报暴豹爆曝				
pau	7	24	˨˦	抱菢(～小鸡)				
pʰau	1	33	˧	泡抛				
pʰau	3	31	˧˩	跑				
pʰau	5	55	˥	炮泡(～在水里)雹				
mau	1	33	˧	帽猫冇(～事)□(冒失：考试莫～)				
mau	2	13	˩˧	毛锚矛谋				
mau	3	31	˧˩	卯				
mau	5	55	˥	冒貌茂贸				
tau	1	33	˧	刀叨				
tau	2	13	˩˧	桃逃淘陶萄				
tau	3	31	˧˩	祷岛倒(打～)				
tau	5	55	˥	到倒(～水)导				
tʰau	1	33	˧	掏涛				
tʰau	3	31	˧˩	讨				
tʰau	5	55	˥	套				
lau	2	13	˩˧	劳捞牢涝				
lau	3	31	˧˩	脑恼老				
lau	5	55	˥	唠闹□(肚里缺少油或吃东西贪心：～得很)□(毒：～老鼠)				
ʦau	1	33	˧	遭糟朝(今～)召昭招沼				
ʦau	2	13	˩˧	朝(～代)潮				
ʦau	3	31	˧˩	早枣蚤澡皂爪找				
ʦau	5	55	˥	罩笊赵兆照				
ʦʰau	1	33	˧	操抄钞超				
ʦʰau	2	13	˩˧	曹槽巢				
ʦʰau	3	31	˧˩	草炒吵				
ʦʰau	5	55	˥	糙造				
sau	1	33	˧	骚臊梢捎稍烧				
sau	2	13	˩˧	勺芍苕(～儿：蠢)				
sau	3	31	˧˩	扫嫂少(多～)				
sau	5	55	˥	潲(猪食)诏少(～年)韶(～关)绍邵				
kau	1	33	˧	高膏篙羔糕				
kau	3	31	˧˩	稿搞				
kau	5	55	˥	告窖教（白:～书)觉（白:睏～）				
kʰau	1	33	˧	敲（白）				
kʰau	3	31	˧˩	考烤铐				
kʰau	5	55	˥	靠犒				
ŋau	2	13	˩˧	熬挠坳				
ŋau	3	31	˧˩	袄咬扰				
ŋau	5	55	˥	懊奥				
xau	1	33	˧	蒿薅嚆(～佬)				
xau	2	13	˩˧	豪壕毫号(称～)				
xau	3	31	˧˩	好(～坏)				
xau	5	55	˥	好(喜～)耗浩号(～数)				
au	2	13	˩˧	饶桡				
au	3	31	˧˩	绕				
piau	1	33	˧	标彪猋				
piau	2	13	˩˧	瓢嫖				
piau	3	31	˧˩	表裱婊				
piau	7	24	˨˦	病（白）				
pʰiau	1	33	˧	飘漂(～泊)				
