#符号说明：-白=文/书*俗?待考	
#调值	[1]22 [9]33 [2]45 [3]55 [5]41 [6]35 [7]2 [8]5
#ɿ	
ʦ [1]□满足 [3]嘴 [5]醉	
s [2]髓	
#i	
p [1]蓖鄙篦 [3]比 [5]蔽敝弊斃闭庇痹避	
pʰ [1]批 [2]彼皮={皮带}疲脾琵枇肥 [3]疕 [5]屁鼻 [6]币吠备	
m [1]抿 [2]迷谜弥 [3]米美	
f [1]非飞榧妃挥辉徽 [3]贿毁匪翡 [5]废肺费	
v [1]微威薇 [2]维惟唯违围帷 [3]伪萎委伟苇纬 [5]畏 [6]卫为位未味胃谓猬	
t [1]低□{听到}[3]底{鞋底}抵	
tʰ [1]梯妻泣戚{姓}凄悽 [2]堤提蹄齐脐荠糍 [3]体 [5]替 [6]自-{自个}	
n [2]倪仪谊尼疑呢 [5]逆溺 [6]义艺议二肄匿异忆译只{只有}	
l [2]来篱璃梨厘狸 [6]隶厉励丽荔利痢	
ʦ [3]姊 [5]祭际济剂	
s [1]西犀 [3]死 [5]细壻四-	
ʨ [1]知蜘支枝肢脂之芝 [3]指止址旨 [5]滞制智致稚至置志痣炙峙	
ʨʰ [1]尸痴□{看望}[2]池驰持疵 [3]耻齿 [5]刺斥 [6]痔治	
ɕ [1]施匙诗 [2]时 [3]豉屎 [5]世□{xiuŋ35～：赶紧，匆忙，也指人身体好}势氏示视试恃侍式 [6]誓市	
k [1]饥肌基机讥奇姬 [3]几己给{供给}[5]既计继寄冀纪季寂	
kʰ [1]栖奚欺羁 [9]柿 [2]奇岐祁其棋期旗 [3]启岂祈起={一起}[5]契器弃气汽 [6]技忌	
x [1]兮牺熙希稀嘻 [9]啼 [2]题迟蒂 [3]玺喜 [5]系戏 [6]第地={地步}你	
∅ [1]伊医衣依尹 [2]宜姨沂遗怡贻 [3]矣已以 [5]意毅易{交易}亿翼	
#u	
p [9]肚{腹肚}[3]补 [5]□{萝卜坏了}	
pʰ [1]铺 [2]菩脯葡 [3]谱普浦蒲捕 [5]瀑 [6]布{公布}部簿步埠讣	
m [2]模摹 [6]慕募幕	
f [1]呼乎夫肤麸芙 [2]浒戽壶敷胡{姓}湖狐俘符幅蝴 [3]府腑俯甫抚釜腐辅 [5]付赋傅富副缚{束缚}[6]户沪互护赴附妇负	
t [9]底{脸盆底部}都{都城}[3]堵赌肚{豬肚}犊 [5]妒昼	
tʰ [1]粗初烧-□{食物烧焦}[2]徒={叛徒}屠途涂图 [3]土楚础 [5]醋 [6]杜度渡镀助	
n [2]奴 [6]怒	
l [1]鹭鹿□{搅动}[2]庐炉芦鸬虏卢儒 [6]路露陆	
ʦ [1]租 [3]祖组阻走{跑}[5]灶	
s [1]苏酥梳疏 [9]六 [3]所数{动词}[5]素诉塑数{名詞}竖朔墅	
k [1]姑孤辜 [3]古估牯股鼓□{～脓：化脓}[5]故固锢雇顾 [6]跍{蹲着}	
kʰ [1]箍枯虎 [9]哭 [3]吐{吐痰}苦 [5]酷库裤	
ŋ [2]吴 [3]五伍 [6]误悟	
x [5]吐={呕吐}兔□{将小孩送给别人养}[6]渠{他}[2]徒-{徒弟}	
∅ [1]乌污巫诬侮 [2]吾梧{梧桐}胡{胡须}无 [5]恶{可惡}戊 [6]务雾	
#y	
pʰ [9]□{sən22～：媳妇}[2]瓠扶 [3]斧	
t [1]猪 [9]竹	
tʰ [1]蛆□{保留}[3]取娶 [5]趣翠 [6]聚-{聚会}	
n [9]肉 [2]牛	
l [1]绿 [2]驴 [6]虑滤累	
s [1]须需虽 [2]徐隨绥 [5]叙绪续戍遂隧 [6]絮序穗	
ʨ [1]诛蛛株朱珠追锥 [9]粥烛 [3]煮拄主嘱 [5]著注蛀铸	
ʨʰ [3]处{相处}鼠{老鼠}[2]除储锄雏 [5]处{处所}树触	
ɕ [1]蔬书舒枢输={运输}殊熟赎 [9]叔 [3]暑署薯水蜀鼠{鼠目寸光}[5]税戌恤述 [6]恕瑞	
k [1]居车{车马炮}拘驹 [3]举□{污垢}矩 [5]据巨拒距聚=?俱句具惧剧	
kʰ [1]趋区驱躯 [9]曲{酒曲}[2]渠瞿 [6]旧	
x [1]虚嘘输-{输赢}吁 [9]杵畜{畜牲}槌锤 [2]厨 [3]许雨 [6]驻住	
∅ [2]如於余-{多余}愚虞娱迂于禹榆 [6]御誉预豫遇寓芋逾愉愈喻裕郁育狱欲浴	
#a	
p [1] 巴芭疤 [9] 百 [3] 把 [5]霸坝爸罢	
pʰ [1]白- [9]拍 [2]爬琶杷钯 [5]怕帕 [6]耙稗□{霸占}	
m [1] 麦 [9] 妈 [2] 麻 痲 蟆 [5]骂	
f [1]花 [2]华划铧 [5]化{融化}[6]画话化{文化}	
t [3]打	
