	注释：-白讀					
k	[7]夾峽劫莢篋頰愜					
kʰ	[7]怯					
ɡ	[8]業鄴					
h	[8]協脅俠					
∅	[7]曄燁[8]葉{姓}					
#in						
p	[1]賓濱檳斌彬[2]貧瓶頻屏憑[3]稟[5]儐擯鬢篦[6]臏嬪					
pʰ	[1]繽[3]品牝					
b	[2]民氓岷瑉[3]敏閔憫黽湣[6]面-					
t	[1]珍徵[2]陳塵藤[5]鎮[6]陣					
tʰ	[5]趁					
l	[2]鄰麟鱗磷粼[3]您恁-[6]悋吝					
ts	[1]真津蒸[2]秦[3]振拯賑疹珍軫[5]進晉證[6]盡贐藎					
tsʰ	[1]親[5]凊稱櫬					
s	[1]新身申辛紳[2]神辰丞臣承[3]矧[5]信訊塍迅[6]慎腎剩燼					
dz	[2]人仁[6]認					
k	[1]巾斤筋跟均根[3]緊謹瑾囡{~仔，小孩}[5]艮絹[6]近覲饉					
kʰ	[1]輕-[2]勤芹					
ɡ	[2]銀垠珢					
h	[1]興-[2]眩-{頭~}[3]很狠[6]恨					
∅	[1]因恩姻殷茵[2]雲云寅芸耘					
#it						
p	[7]畢必筆[8]鼻弼辟					
pʰ	[7]匹疋					
b	[8]宓蜜密謐					
t	[7]得-[8]直值姪贄					
tʰ	[7]敕飭					
ts	[7]陟瘠脊職織質[8]疾嫉蒺					
tsʰ	[7]七					
s	[7]失息室熄[8]實食植					
dz	[8]日					
k	[7]吉桔佶[8]䊕					
kʰ	[7]乞					
ɡ	[8]屹訖吃迄紇					
∅	[7]一乙[8]佚佾鷸聿					
#iaŋ						
t	[1]張[2]長芸[3]長[1]漲帳脹帳[6]丈仗杖					
tʰ	[5]暢					
l	[2]涼良糧娘量梁[3]兩魎[6]諒量亮輛					
ts	[1]章漳樟將漿[3]掌蔣獎槳[1]將障醬瘴					
tsʰ	[1]昌槍猖娼悵鏘[2]場償戕嬙牆腸[3]搶廠敞昶氅[5]唱倡昶[6]匠橡象像					
s	[1]雙相商傷湘襄鑲[2]常詳祥裳翔[3]想賞上[5]相[6]上尚					
dz	[2]禳釀[3]嚷壤攘[6]讓					
k	[1]薑巍僵羌緝[2]強[3]繈強[6]鴛					
kʰ	[1]腔鏗-					
ɡ	[1]钘[3]仰[6]仰					
h	[1]香鄉薌[3]響享饗[5]向餉					
∅	[1]央秧殃泱鴦[2]洋羊佯揚楊陽飏旸[3]養瀁氧[5]映怏盎鞅[6]樣漾恙養癢					
#iak						
l	[8]略掠					
ts	[7]爵酌芍勺斫[8]著著					
tsʰ	[7]雀鵲綽					
s	[7]削屑					
dz	[8]若磐弱藥					
k	[8]劇矍					
kʰ	[7]卻怯					
ɡ	[8]虐瘧					
h	[7]謔					
∅	[7]約[8]藥躍鑰					
#ioŋ						
t	[1]中忠[2]重[5]中[6]仲重					
tʰ	[1]衷[2]蟲[3]塚壕寵[5]暢-					
l	[2]龍隆窿[3]壟[5]躘					
ts	[1]鐘終盅舂[2]從[3]種腫踵[5]眾種[6]從{~兄弟}					
tsʰ	[1]沖充仲蓯[5]縱銃					
s	[1]嵩淞-[2]松淞[3]悚竦聳[6]頌訟誦					
dz	[2]戎絨仍茸礽					
k	[1]弓宮供躬恭[2]窮[3]拱龔琪[5]供[6]共					
kʰ	[1]芎穹跫[2]瓊[3]恐[6]虹-					
ɡ	[2]邛筇					
h	[1]胸凶洶匈[2]雄					
∅	[1]邕雍癰饔[2]榕容庸融溶慵鏞[3]勇俑踴湧[5]壅擁[6]用詠					
#iok						
t	[7]竹竺築[8]軸逐迪妯					
tʰ	[7]畜					
l	[8]六綠錄陸					
ts	[7]燭足囑祝叔-					
tsʰ	[7]促矗觸蹙捉蹵					
s	[7]叔俶菽宿淑肅夙[8]熟孰俗續塾贖蜀					
dz	[8]肉弱被褥褥					
k	[7]菊掬鞠[8]局跼侷					
kʰ	[7]曲麯					
ɡ	[8]玉鈺獄					
h	[7]畜蓄旭馥郁彧頊					
∅	[8]育毓欲慾煜鬻浴					
#iũ						
t	[1]張-{姓}[2]場-[3]長{隊~}[5]帳-脹-[6]丈-{~人}					
n	[2]娘-糧-量-{商~}梁-{姓}[3]兩-[6]讓-量-					
ts	[1]章-樟-漿-漳-[3]槳-掌-{手~}蔣-{姓}[5]醬-[6]癢-上-					
tsʰ	[1]鯧-槍-[2]牆-[3]搶-[5]唱-[6]象-像-					
s	[1]箱-廂-相-{~思}鑲-[3]賞-[5]相-{~片}[6]想-尚-{和~}					
k	[1]薑-荊-{蒲~ }					
kʰ	[1]腔-					
h	[1]香-鄉-					
∅	[1]鴦-[2]洋-羊-楊-{姓}溶-[3]養-[6]樣-					
#u						
p	[2]匏[3]斧-[5]富-[6]婦-孵-					
pʰ	[2]浮-					
b	[2]無[3]武舞鵡侮撫憂嫵[6]霧務					
t	[1]蛛[2]廚躕[3]抵[8]揬					
ts	[1]朱珠蛛茲資姿諸硃[2]磁慈瓷[3]主子梓[5]注註蛀鑄[6]柱住駐					
tsʰ	[2]疵[3]此[5]厝次					
s	[1]輸師私思[2]詞辭殊祠[3]使死史駛[5]四賜[6]事似士祀俟姒					
dz	[6]裕自					
k	[1]龜-[3]久-韭-[5]灸句[6]舊-舅-					
kʰ	[1]丘-邱-[6]臼-					
ɡ	[2]牛-					
h	[1]夫膚敷俘桴孚[2]扶符浮芙[3]府腐甫俯腑[5]付副富赴賦[6]腐{豆~}父婦傅附					
∅	[1]汙迂[3]禹雨羽[6]有-					
#ua						
p	[5]簸-					
pʰ	[5]破-					
b	[2]磨					
m	[2]麻					
t	[5]帶-[6]大-舵-					
tʰ	[1]拖-[6]豸-{蟲~}					
l	[2]籮[5]瀨[6]賴{姓}					
ts	[1]抓[2]蛇-[3]紙-[5]漈[6]誓-{咒~}					
tsʰ	[5]蔡{姓}[6]娶-					
s	[1]沙-鯊-痧-[3]耍刷					
k	[1]歌-呱[2]柯-{姓}[5]掛蓋-芥-					
kʰ	[1]誇誇垮跨[3]可-{小~}[5]掛-					
ɡ	[3]我-[6]外-					
h	[2]划{~算}[6]禍-					
∅	[1]蛙娃窪[3]瓦倚-{相~}					
#uaʔ						
p	[7]缽[8]鈸					
pʰ	[7]潑-					
b	[7]抹-[8]末-{粉~}					
tʰ	[7]獺-屜-					
l	[7]辣[8]捋{~頭毛}					
s	[7]煞殺-{~雞}					
dz	[8]熱-					
k	[7]割-葛-{~根}刮					
kʰ	[7]闊-渴-					
h	[7]喝-[8]伐-{步~}					
∅	[8]活-					
#ue						
p	[1]杯飛-[2]培賠陪[5]貝背輩[6]背{違~}倍佩					
pʰ	[1]胚-坯-[2]皮-[5]配[6]被-{棉~}					
b	[2]梅媒煤莓[3]尾-[6]未-					
t	[2]兌頹					
tʰ	[5]退褪					
l	[3]餒					
ts	[5]最贅[6]罪					
tsʰ	[1]炊-吹-[3]髓[6]揣					
s	[1]衰[2]垂-[5]帥稅歲卒說					
dz	[2]蕤[6]銳					
k	[1]檜-[2]葵-{~扇}[3]果-{~子}粿[5]過-					
kʰ	[1]魁[5]課-					
ɡ	[2]外					
h	[1]灰[2]回迴[3]火-夥賄[5]貨-[6]會					
∅	[1]煨鍋-碨					
#ueʔ						
tsʰ	[7]嘬{~湯}					
s	[7]說-					
k	[7]郭{姓}					
kʰ	[7]缺-					
ɡ	[8]月-					
h	[7]血-					
∅	[7]挖-					
#uɛ						
k	[1]瓜[5]卦怪-{相~}					
kʰ	[5]掛{~念}					
h	[1]花華嘩[2]鏵[5]化					
∅	[6]話畫[8]畫{~畫}劃-{計畫}					
#ui						
p	[2]肥-[5]痱-沸[6]吠-					
pʰ	[5]屁-					
t	[1]追隹堆騅[2]捶搥[5]對[6]隊墜					
tʰ	[1]梯-推-[2]錘槌[3]腿[6]墜-{拖墜}					
l	[1]鐳[2]雷擂[3]累{積~}蕊壘[6]類累{拖~}					
ts	[1]錐椎[3]水-[5]醉[6]瘁悴					
tsʰ	[1]吹炊崔催[3]髓揣啐惴[5]翠碎喙脆					
s	[1]雖荽蓑[2]誰垂隋隨陲[3]水[5]睡戍祟邃[6]瑞穗-遂燧					
k	[1]規歸閨龜皈圭奎窺[2]逵葵馗[3]鬼宄[5]桂貴季癸[6]跪櫃					
kʰ	[1]虧開-[1]軌傀[5]愧悸氣{喘~}					
ɡ	[2]危嵬巍[6]魏偽					
h	[1]飛輝揮非微暉扉[2]肥淝瓷{訓}[3]匪毀[5]諱廢費肺[6]惠慧					
∅	[1]威葳[2]為國維唯違帷桅遺[3]委偉諉葦[1]慰畏尉[6]位為胃謂渭					
#uai						
k	[1]乖[3]拐蒯[5]怪					
kʰ	[5]快塊					
h	[2]懷槐淮[6]壞					
∅	[1]歪					
#uã						
p	[1]般-搬-[2]盤-[3]阪-[5]半-[6]拌-絆-					
pʰ	[1]潘-{姓}[1]判-[6]伴-					
m	[1]幔-瞞-[2]鰻-瞞-[3]滿-					
t	[1]單-[2]壇-彈-{~棉花}[5]旦-{小~}[6]段-彈-					
tʰ	[1]灘-攤-[3]炭-					
n	[2]欄-攔-[5]僆{鸡～：小母鸡}[6]爛-					
ts	[1]煎-[2]泉-[3]盞-[6]賤-濺-					
tsʰ	[1]䉔{起~}[5]閂-					
s	[1]山-[2]嵼[5]散-傘-線-汕-					
k	[1]官-棺-肝-乾-{魚乾}[2]寒-[3]趕-寡[6]汗-					
kʰ	[1]寬{~行}[5]查快{~活}					
h	[1]歡-[6]岸-焊-{~錫}					
∅	[1]安-鞍-[3]碗-[5]晏{日~}[6]旱-換-					
#uĩ						
p	[1]方-{姓}楓-[6]飯-					
m	[2]門-[3]晚-{~季}[6]問-					
t	[3]轉-[5]頓-{一~飯}[6]斷-					
tʰ	[2]傳-{~宗}[5]褪-{~衫}					
n	[3]軟-[6]卵-					
ts	[1]磚-[2]全-[5]鑽-					
tsʰ	[1]穿-					
s	[1]孫-{姓}酸-[3]損-[5]算-					
k	[1]光關-[3]捲廣-{~東}[3]寡[5]貫-{錢~}卷-券-					
kʰ	[1]寬-{~一行}[5]勸-					
h	[1]荒-昏-[2]園-橫-[6]遠-					
∅	[2]黃-[3]阮-{姓}[5]畏-					
#uãi						
s	[6]檨					
∅	[1]閂{門聲}[6]緩-					
#un						
p	[1]分-[3]本畚[5]糞-[6]笨					
pʰ	[1]奔責潘-{洗米水}[2]盆墳[5]噴-					
b	[2]文門紋雯旻[3]吻刎蚊捫[6]問悶					
t	[1]敦墩暾鈍[2]唇豚屯臀[3]盾楯[5]頓噸[6]遁屯沌					
tʰ	[1]吞椿暾[2]豚					
l	[2]輪倫綸圇[3]碖忍-[6]論崙閏					
ts	[1]尊遵蹲樽[2]存船-[3]准凖隼[5]俊圳竣峻駿					
tsʰ	[1]春村伸-[3]蠢忖舛[5]寸					
s	[1]孫飧蓀猻[2]巡循醇純旬[3]筍榫損[5]舜巽遜[6]順					
k	[1]君軍[2]裙[3]滾[5]棍[6]郡					
kʰ	[1]坤昆鯤鹍焜菌[2]群[3]捆窘懇墾[5]困睏					
h	[1]分芬昏熏勳婚紛吩薰[2]渾墳汾痕焚魂雲-餛[3]粉[5]訓奮糞馴[6]混份渾					
∅	[1]溫瘟氤蘊[2]雲-勻緩-[3]允穩狁吮殞隕[5]慍蘊溫[6]運韻鄆暈					
#ut						
p	[7]不[8]勃渤					
b	[8]沒歿物勿					
t	[7]咄[8]突凸秫					
tʰ	[7]怵禿黜					
l	[8]律率訥					
ts	[7]卒[8]秫-					
tsʰ	[7]出					
s	[7]戌恤率[8]術述					
k	[7]骨[8]滑掘猾					
kʰ	[7]屈窟					
h	[7]忽弗佛惚笏紱黻[8]佛核-					
∅	[7]熨鬱					
#uan						
p	[1]般搬[2]盤磐瘢蹣[3]阪阪舨[5]半絆[6]叛拌					
pʰ	[1]潘拌[5]泮判[6]伴					
b	[1]蹣[3]晚滿輓懣					
t	[1]端偳[2]團[3]短[5]斷{決~}[6]緞篆斷					
tʰ	[1]湍[2]傳椽團-[3]踹[5]煆					
l	[2]戀鑾鸞欒[3]曖煖軟戀[6]亂					
ts	[1]專磚耑顓[2]全泉[3]轉囀[5]鑽攢[6]詮撰					
tsʰ	[1]穿川銓湍[2]船[3]喘歂[5]纂篡串釧竄爨					
s	[1]宣萱酸諼[2]旋璿漩[3]選[5]算蒜[6]羨					
dz	[3]軟					
k	[1]官棺關觀冠[2]婘懸-[3]館琯管盥[5]灌罐眷貫觀[6]倦縣					
kʰ	[1]寬[2]拳圈惓[3]款綣					
ɡ	[2]元原源頑[3]阮{訓，我們}[6]願					
h	[1]番翻歡[2]煩還礬環繁垣[3]反返[5]販幻泛奐喚煥[6]凡患犯範飯宦					
∅	[1]彎冤灣剜鴛[2]完員丸袁紈鐐[3]宛婉阮腕[5]怨[6]援緩媛					
#uat						
p	[7]撥缽[8]拔跋鉞					
pʰ	[7]潑					
b	[7]抹秣[8]末沫襪					
t	[7]掇綴啜輟[8]奪					
tʰ	[7]脫					
l	[7]劣[8]捋埒辣					
ts	[7]拙茁[8]絕					
tsʰ	[7]撮蕞啜					
s	[7]說					
k	[7]決抉訣譎[8]橛					
kʰ	[7]缺闊闕					
ɡ	[8]月刖					
h	[7]法發髮[8]乏罰活伐閥					
∅	[7]斡[8]越粵閱					
