#漢字	音標	注釋	声母	韵母	声调
#簡稱	/	汝城方言字表			
#全稱	/	汝城方言汉字音表			
#版本	/	2024/10/19			
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f			
#韻母	/	#韻母順序，用逗號分開。如：a,o,e			
#聲調	/	33 1 1a 陰平 ꜀,45 2 1b 陽平 ꜁,21 3 2 上 ꜂,24 5 3a 陰去 ꜄,44 6 3b 陽去 ꜅			
#說明	/	制作者：汝人			
牵	kʰa5	白读	kʰ	a	5
淡	tʰa1	白读	tʰ	a	1
拉	lai1	白读	l	ai	1
买	mai1	白读	m	ai	1
拖	tʰai1	白读	tʰ	ai	1
哽	kaŋ3	白读	k	aŋ	3
坑	kʰaŋ1	白读，粪~	kʰ	aŋ	1
网	maŋ3	白读	m	aŋ	3
望	maŋ6	白读	m	aŋ	6
硬	ŋaŋ6	白读	ŋ	aŋ	6
上	saŋ1	白读	s	aŋ	1
生	saŋ1	白读	s	aŋ	1
甥	saŋ1	白读	s	aŋ	1
牲	saŋ1	白读，头~	s	aŋ	1
争	tsaŋ1	白读	ts	aŋ	1
坑	xaŋ1	白读	x	aŋ	1
行	xaŋ2	白读，走；银~	x	aŋ	2
交	kau1	白读	k	au	1
巧	kʰau2	白读	kʰ	au	2
孝	kʰau5	白读，大~子	kʰ	au	5
鸡	kɛi1	白读	k	ɛi	1
个	kɛi5	白读	k	ɛi	5
来	lɛi2	白读	l	ɛi	2
米	mɛi3	白读	m	ɛi	3
泥	nɛi2	白读	n	ɛi	2
我	ŋɛi1	白读	ŋ	ɛi	1
蚁	ŋɛi3	白读	ŋ	ɛi	3
使	sɛi3	白读	s	ɛi	3
细	sɛi5	白读	s	ɛi	5
低	tɛi1	白读	t	ɛi	1
提	tɛi2	白读	t	ɛi	2
啼	tɛi2	白读	t	ɛi	2
抵	tɛi3	白读	t	ɛi	3
底	tɛi3	白读	t	ɛi	3
弟	tʰɛi1	白读	tʰ	ɛi	1
剃	tʰɛi5	白读	tʰ	ɛi	5
替	tʰɛi5	白读	tʰ	ɛi	5
齐	tsʰɛi2	白读	tsʰ	ɛi	2
柿	tsʰɛi2	白读	tsʰ	ɛi	2
巾	kɛŋ1	白读	k	ɛŋ	1
筋	kɛŋ1	白读	k	ɛŋ	1
冷	lɛŋ1	白读	l	ɛŋ	1
含	xɛŋ2	白读	x	ɛŋ	2
肯	xɛŋ3	白读	x	ɛŋ	3
朽	ŋɛu3	白读，木头腐烂	ŋ	ɛu	3
浮	pɛu2	白读	p	ɛu	2
泡	pʰɛu1	白读	pʰ	ɛu	1
毒	tɛu6	白读	t	ɛu	6
守	tsɛu3	白读，~屋：看家	ts	ɛu	3
厚	xɛu1	白读	x	ɛu	1
后	xɛu1	白读	x	ɛu	1
微	mi2	白读，~风细雨	m	i	2
鱼	ȵi2	白读	ȵ	i	2
额	ȵi5	白读，~头	ȵ	i	5
渠	tɕi1	白读，他	tɕ	i	1
养	iaŋ1	白读		iaŋ	1
张	iaŋ1	白读，装		iaŋ	1
长	iaŋ3	白读，~幼：妯娌		iaŋ	3
胀	iaŋ5	白读		iaŋ	5
丈	tʰiaŋ1	白读	tʰ	iaŋ	1
肠	tiaŋ2	白读	t	iaŋ	2
场	tiaŋ2	白读	t	iaŋ	2
长	tiaŋ2	白读，~短	t	iaŋ	2
翘	ɕiau2	白读	ɕ	iau	2
朝	iau1	白读		iau	1
求	ɕiəu2	白读，寻找	ɕ	iəu	2
粟	ɕiəu2	白读，番~：玉米	ɕ	iəu	2
宿	ɕiəu5	白读	ɕ	iəu	5
有	iəu1	白读		iəu	1
着	iəu5	白读，穿		iəu	5
昼	iəu5	白读		iəu	5
