字目	音节	声调	注释	备注		
踭	tsaŋ	44	脚～，脚跟			
睜	tsaŋ	44				
蒸	tʂin	44				
爭	tsaŋ	44				
征	tʂin	44				
鎮	tʂin	31				
震	tʂin	31				
振	tʂin	31				
陣	tʂʰin	31				
圳	tʂun	53	深～，地名			
診	tʂin	44				
疹	tʂin	44				
枕	tʂim	31				
臻	tʂin	44				
榛	tʂin	44				
斟	tʂim	44				
偵	tʂin	44				
針	tʂim	44				
砧	tsem	44	～板			
真	tʂin	44				
貞	tʂin	44				
珍	tʂin	44				
蔗	tʂa	53				
浙	tʂet	1	～江			
褶	tsap	1	百～裙			
者	tʂa	31				
蟄	tʂʰit	5	驚～			
哲	tʂet	1				
折	tsap	1	～疊			
折	tʂet	1	～斷			
遮	tʂa	44				
趙	tʂʰau	31				
罩	tsau	53				
照	tʂau	53				
詔	tʂau	53				
笊	tsau	53	～撈，～籬			
兆	tʂʰau	31				
召	tʂʰau	53				
沼	tʂau	53				
找	koŋ	44				
找	tsau	31				
昭	tʂau	44				
招	tʂau	44				
瘴	tʂoŋ	53	～氣			
賬	tʂoŋ	53				
障	tʂoŋ	53	保～			
脹	tʂoŋ	53				
帳	tʂoŋ	53				
杖	tʂʰoŋ	31				
仗	tʂoŋ	53				
丈	tʂʰoŋ	31				
漲	tʂoŋ	53				
掌	tʂoŋ	31				
樟	tʂoŋ	44				
彰	tʂoŋ	44				
張	tʂoŋ	44				
章	tʂoŋ	44				
蘸	tsiam	31	～糖			
戰	tʂen	53				
綻	tsan	53	破～			
湛	kʰam	44	～紅，地名			
棧	tsʰan	31				
站	tsʰam	31				
占	tʂiam	44	～卜			
占	tʂam	53				
盞	tsan	31	燈～			
斬	tsam	31				
展	tsen	31				
瞻	tʂiam	44				
氈	tʂen	44				
粘	ŋiam	13	～貼			
沾	tʂam	44				
寨	tsʰai	31				
債	tsai	53				
宅	tsʰet	5				
齋	tsai	44				
摘	tsak	1				
榨	tsa	53	～油			
詐	tsa	53				
炸	tsa	53	用油～；～彈			
柵	tsʰap	5	鐵～欄			
乍	tsa	53				
眨	pen	31	～眼			
鍘	tset	1	～刀			
閘	tsʰap	5	～門			
劄	tsat	1				
楂	tsa	44				
渣	tsa	44				
紮	tsat	1				
贈	tsen	53				
鋥	tʂʰaŋ	13	～光			
憎	tsen	44				
賊	tsʰet	5				
澤	tsʰet	5				
擇	tʰok	5	～菜			
擇	tsʰet	5				
責	tsit	1				
則	tset	1				
躁	tsʰau	53				
造	tsʰau	31				
灶	tsau	53				
皂	tsʰau	53				
繰	tsʰiau	44	～衫脚			
澡	tsʰau	53				
棗	tsau	31				
蚤	tsau	31				
早	tsau	31				
鑿	tsʰok	5				
糟	tsau	44	酒～			
遭	tsau	44				
葬	tsoŋ	53				
髒	tsʰoŋ	31				
贓	tsoŋ	44				
灒	tsan	53				
贊	tsan	53				
暫	tsʰiam	31				
撍	tsem	31	～印，蓋印			
簪	tʂam	44				
在	tsʰai	31				
再	tsai	53				
載	tsoi	53	～重			
宰	tsai	31				
栽	tsai	44				
災	tsai	44				
韻	iun	31				
運	ʂu	31				
運	iun	31				
孕	in	31				
允	iun	44	～許			
雲	iun	13				
耘	iun	13				
芸	iun	13				
勻	iun	13				
躍	iok	1				
嶽	ŋok	5				
樂	lok	5				
閲	iet	5				
粵	iet	5				
越	iet	5				
悅	iet	5				
月	ŋiet	5				
約	iok	1				
曰	iet	5				
願	ŋien	31				
院	ien	53				
怨	ien	53				
遠	ien	31				
轅	ien	13				
緣	ien	13				
源	ŋien	13				
圓	ien	13				
園	ien	13				
援	ien	44				
員	ien	13				
原	ŋien	13				
袁	ien	13				
元	ŋien	13				
淵	ien	44				
冤	ien	44				
鬱	iuk	1				
譽	i	53	榮～			
禦	ŋi	31				
豫	i	53				
獄	ŋiuk	5				
預	i	31				
裕	i	53				
喻	i	31				
遇	ŋi	31				
欲	iuk	5				
域	vet	1				
浴	iuk	5				
玉	ŋiuk	5				
語	ŋi	44				
與	i	44				
雨	i	31				
宇	i	44				
漁	ŋ	13				
愚	ŋi	13				
虞	i	13				
榆	i	31				
愉	i	31				
逾	i	31	～期			
魚	ŋ	13				
余	i	13				
汙	vu	44				
於	i	44				
迂	i	44				
鼬	iu	53	黄～			
誘	iu	53				
釉	iu	53				
祐	iu	31				
柚	iu	31				
佑	iu	31				
幼	iu	31				
右	iu	53				
又	iu	53				
酉	iu	31				
有	iu	44				
友	iu	44				
遊	iu	13				
猶	iu	13				
郵	iu	13				
油	iu	13				
由	iu	13				
尤	iu	13				
優	iu	13				
憂	iu	44				
悠	iu	44				
幽	iu	44				
用	iuŋ	31				
踴	iuŋ	31				
蛹	iuŋ	31				
湧	iuŋ	31				
詠	iun	31				
勇	iuŋ	31				
俑	iuŋ	31				
甬	iuŋ	31				
永	iun	44				
臃	iuŋ	44				
壅	iuŋ	44				
擁	iuŋ	31				
雍	iuŋ	44				
傭	iuŋ	31				
庸	iuŋ	13				
