字目	音节	声调	注释	备注		
若	iok	5				
潤	iun	31				
閏	iun	31				
鋭	iui	53				
瑞	ʂui	31				
芮	iui	53	姓			
蕊	lui	13				
軟	ŋion	44				
阮	ŋien	31				
褥	ŋiuk	5				
入	ŋip	5				
辱	iuk	5	侮～			
乳	i	44	豆腐～			
蠕	no	13	～動			
儒	i	13				
茹	ku	44				
如	i	13				
肉	ŋiuk	1				
揉	iu	13				
柔	iu	13				
鎔	iuŋ	13				
融	iuŋ	13				
榮	iuŋ	13				
蓉	iuŋ	13				
絨	iuŋ	13				
容	iuŋ	13				
茸	iuŋ	13				
戎	iuŋ	13				
日	ŋit	1				
仍	in	13				
扔	in	44				
認	ŋin	31				
韌	ŋiun	31	～性			
軔	ŋiun	31				
紉	iun	53	縫～			
妊	ŋim	31	～娠			
任	ŋim	31	姓；責～			
刃	ŋiun	31				
忍	ŋiun	44				
仁	in	13				
壬	ŋim	31				
人	ŋin	13				
熱	ŋiet	5				
惹	ŋia	44				
繞	ŋiau	31				
擾	iau	44	～亂			
饒	ŋiau	13				
讓	ioŋ	31				
嚷	ioŋ	31				
攘	ioŋ	31				
壤	ioŋ	31	土～			
瓤	noŋ	13	瓜～			
染	ŋiam	31				
冉	ŋiam	31				
然	ien	13				
羣	kʰiun	13				
裙	kʰiun	13				
燩	hok	1	～炍，煎			
確	kʰok	1				
雀	tsiok	1	麻～			
卻	kʰiok	1				
瘸	kʰio	13				
缺	kʰet	1				
勸	kʰen	31				
券	kʰen	53				
犬	kʰen	31				
顴	kʰen	13				
權	kʰen	13				
拳	kʰen	13				
泉	tsʰan	13				
荃	tsʰen	13				
全	tsʰen	13				
圈	kʰen	44				
趣	tsʰi	53				
去	hi	53				
娶	tsʰi	31				
取	tsʰi	31				
曲	kʰiuk	1				
瞿	kʰi	53				
佢	ki	13	他			
驅	kʰi	44				
趨	tsʰi	44				
區	kʰi	44	～域			
屈	kʰiuk	1				
俅	kʰiu	13				
泅	tsʰiu	13	～水			
求	kʰiu	13				
囚	tsʰiu	13				
鰍	tsʰiu	44				
鞦	tsʰiu	44				
秋	tsʰiu	44				
丘	ʂiu	44				
瓊	kʰiun	13				
窮	kʰiuŋ	13				
親	tsʰin	44	～家			
磬	kʰin	53				
慶	kʰin	53				
請	tsʰiaŋ	31				
頃	kʰin	44				
擎	kʰiaŋ	13				
晴	tsʰiaŋ	44				
晴	tsʰiaŋ	13				
情	tsʰin	13				
輕	kʰiaŋ	44				
傾	kʰin	44				
清	tsʰin	44				
卿	kʰim	44				
青	tsʰiaŋ	44				
撳	kʰim	53				
唚	sim	53				
沁	sim	44				
寢	tsʰim	31				
擒	kʰim	13				
勤	kʰin	13				
禽	kʰim	13				
琴	kʰim	13				
芹	kʰiun	13				
侵	tsʰim	44				
怯	kʰiap	1				
妾	tsʰiap	1				
且	tsʰia	31				
茄	ka	44	番～，西紅柿			
切	tsʰet	1				
竅	kʰiau	53				
翹	kʰiau	53				
鞘	siau	44	刀～蕭簫嘯悄			
殼	hok	1				
俏	tsʰiau	53				
巧	kʰau	31				
瞧	tsʰiau	13				
樵	tsʰiau	13				
橋	kʰiau	13				
蕎	kʰiau	13				
僑	kʰiau	13				
喬	kʰiau	13				
鍬	tsʰiu	44				
敲	kʰau	44				
搶	tsʰioŋ	31				
牆	sioŋ	13				
強	kioŋ	31	勉～			
強	kʰioŋ	31	加～			
強	ʂun	13				
槍	tsʰioŋ	44				
腔	kʰioŋ	44				
羌	kioŋ	44				
嵌	kʰiam	13				
欠	kʰiam	53				
遣	kʰen	31				
淺	tsʰen	31				
錢	tsʰen	13				
潛	siam	13	～力			
鉗	kʰiam	13				
掮	ken	44				
虔	kʰen	13				
前	tsʰen	13				
簽	tsʰiam	44				
謙	kʰiam	44				
遷	tsʰen	44				
遷	tʰin	13				
鉛	ien	13				
牽	kʰen	44				
千	tsʰen	44				
恰	kʰiap	1				
洽	kiap	1	～談			
薺	tsi	53				
器	hi	53				
氣	hi	53				
契	kʰe	53	～約			
泣	kʰip	1				
汽	hi	53				
啓	kʰi	53				
豈	kʰi	53				
起	ʂi	31				
乞	net	1	～討			
臍	tsʰi	13				
騎	kʰi	13				
旗	kʰi	13				
齊	tsʰe	13				
棋	kʰi	13				
祈	kʰi	13				
奇	kʰi	13				
其	kʰi	13				
岐	kʰi	44	～嶺，地名			
棲	tsʰi	44				
欺	kʰi	44				
期	kʰi	13				
淒	tsʰi	44				
戚	tsʰit	1				
柒	tsʰit	1				
妻	tsʰi	44				
七	tsʰit	1				
曝	puk	1				
瀑	puk	1				
譜	pʰu	31				
樸	pʰok	1				
普	pʰu	44				
僕	pʰuk	1	～倒			
脯	pʰu	13				
菩	pʰu	13				
鋪	pʰu	44	～設；店～			
撲	pʰok	1				
剖	pʰeu	31				
頗	pʰo	44				
魄	pʰak	1	～力			
破	pʰo	53				
迫	pet	1				
婆	pʰo	13				
潑	pʰat	1				
坡	pʰo	44				
蘋	pʰun	13				
憑	pʰuŋ	13				
憑	pen	53	靠			
評	pʰun	13				
萍	pʰun	13				
瓶	pʰun	13				
屏	pʰun	13				
坪	pʰiaŋ	13				
平	pʰun	13				
聘	pʰun	53	～請			
品	pʰun	31				
頻	pʰun	13				
貧	pʰun	13				
姘	pʰun	44	～居			
拼	pʰun	44	～命；～音			
撇	pʰet	1	～開			
票	pʰiau	53				
瓢	pʰiau	13				
嫖	pʰiau	13	～賭			
飄	pʰiau	44				
漂	pʰiau	44				
漂	pʰiau	53	～亮			
騙	pʰen	53	～人			
片	pʰen	31				
篇	pʰen	44				
偏	pʰen	44				
譬	piak	1				
譬	pʰit	1				
僻	pʰut	1				
辟	pʰut	1				
屁	pʰi	53				
匹	pʰut	1				
脾	pʰi	13				
疲	pʰi	13				
皮	pʰi	13				
劈	pʰiak	1				
披	pʰi	44				
批	pʰi	44				
碰	pʰuŋ	53	～到			
捧	puŋ	31				
膨	pʰaŋ	13				
篷	pʰuŋ	13				
蓬	pʰuŋ	13				
棚	pʰaŋ	13				
彭	pʰaŋ	13				
朋	pʰen	13				
烹	pʰuŋ	44				
盆	pʰun	13				
噴	pʰun	53	～水			
配	pʰi	53				
佩	pʰi	53				
沛	pʰi	53				
賠	pʰoi	13				
裴	pʰi	13				
培	pʰi	13				
陪	pʰi	13				
炮	pʰau	53				
泡	pʰau	44	三月～，一種野果			
泡	pʰau	53	～菜			
跑	pʰau	44				
麅	pʰau	13				
袍	pʰau	13				
刨	pʰau	13				
刨	pʰau	53				
拋	pʰau	44				
龐	pʰaŋ	13				
螃	pʰoŋ	13				
旁	pʰoŋ	13				
彷	foŋ	31				
滂	pʰoŋ	13				
襻	pʰan	53	紐～			
叛	pan	31				
盼	pʰan	31				
判	pʰan	53				
盤	pʰan	13				
磐	pʰan	13	～石			
攀	pʰan	44				
潘	pʰan	44				
派	pʰai	53				
牌	pʰai	13				
排	pʰai	13				
拍	pʰok	1				
怕	pʰa	53				
帕	pʰa	53				
琶	pʰa	13				
耙	pʰa	13				
爬	pʰa	13				
杷	pʰa	13				
慪	eu	53	～氣			
藕	ŋeu	31				
嘔	eu	31				
偶	neu	31	配～；～然			
毆	eu	31				
歐	eu	44				
甌	eu	44				
漚	eu	53				
女	ŋi	31				
糯	no	53	～米			
懦	no	53	～弱			
諾	nok	1	～言			
挪	na	13	～用			
瘧	ŋiok	1	～疾			
虐	ŋiok	1	～待			
暖	non	44				
怒	nu	31				
努	nu	31				
奴	nu	44				
齈	nuŋ	53	鼻～～，鼻涕多			
弄	luŋ	31				
膿	nuŋ	44				
濃	nuŋ	44				
儂	nuŋ	44				
農	nuŋ	44				
拗	au	31	～龍眼，摘			
紐	neu	31				
扭	ŋiu	31	～轉			
牛	ŋiu	13				
佞	ŋin	53				
凝	ŋin	13	～固			
寧	nen	13	～可			
鑷	ŋiap	1				
躡	ŋiap	1	～手～脚			
孽	ŋiap	5				
聶	ŋiap	1				
捏	net	1	白			
尿	ŋiau	53				
嬲	liau	53	坐～			
鳥	ŋiau	44				
娘	ŋioŋ	13				
念	ŋiam	31				
碾	tsʰen	53	～米			
黏	ŋiam	13	～米			
鮎	ŋiam	13	～魚			
年	ŋien	13				
蔫	ien	44				
拈	ŋiam	44	～起來，揀，			
膩	ni	53				
溺	ŋiok	5				
匿	nok	1	～名信			
逆	ŋiak	5	～風			
擬	ni	31				
你	ni	44				
倪	ŋi	13				
泥	nai	13				
尼	ni	13				
能	nen	13				
嫩	nun	31				
內	nui	53				
鬧	nau	31				
腦	nau	31				
惱	nau	44	得人～，令人討厭			
惱	nau	31				
鐃	ŋiau	13				
撓	ŋiau	13				
囊	noŋ	13				
腩	nam	44	牛～			
揇	nam	31	抱			
難	nan	13	～易			
難	nan	53	患～			
南	nam	13				
男	nam	13				
耐	nai	31				
奈	nai	53				
奶	nai	44				
奶	nen	53	白			
乃	nai	44				
捺	nai	53				
娜	na	31				
那	na	31				
哪	na	31				
拿	na	44				
穆	muk	1				
慕	mu	53				
幕	mu	53				
墓	mu	53				
募	mu	53				
牧	muk	1				
目	muk	1				
木	muk	1				
畝	meu	44				
拇	mu	44				
牡	meu	44	～丹			
母	mu	44				
某	meu	44				
謀	meu	13				
默	met	5				
墨	met	5				
陌	met	1	～生			
沫	mat	5	泡～			
末	mat	5				
抹	mat	1	～布			
魔	mo	13				
饃	mo	13				
磨	mo	13	～刀			
磨	mo	53	石～			
摩	mo	13				
模	mo	13				
摹	mo	13				
摸	mo	44				
謬	miu	31				
命	miaŋ	31				
銘	miaŋ	13				
鳴	mun	44				
明	mun	44				
名	miaŋ	13				
憫	men	44				
閩	men	31				
敏	men	44				
皿	men	44				
民	mun	44				
蔑	met	5	竹～			
滅	met	5				
妙	miau	31				
藐	miau	31	～視			
渺	miau	31				
秒	miau	31				
瞄	miau	44				
描	miau	44				
苗	miau	44				
面	men	31				
緬	men	31				
愐	men	31	想			
娩	men	44	分～			
勉	men	44				
免	men	44				
綿	men	13				
棉	men	13				
眠	mun	44	～床			
蜜	met	5				
密	met	5				
覓	met	1				
秘	pi	53				
泌	pi	53				
米	mi	31				
謎	mi	13				
迷	mi	13				
夢	muŋ	31				
蠓	muŋ	13				
懵	muŋ	31	～懂			
猛	maŋ	44				
朦	muŋ	13				
盟	men	13				
蒙	muŋ	13				
萌	men	13				
虻	maŋ	13	牛～			
悶	mun	31				
門	mun	44				
媚	mi	13				
寐	mi	31				
昧	mi	31				
妹	moi	53				
美	mi	44				
每	mi	44				
黴	moi	13				
楣	mi	13				
媒	moi	13				
梅	moi	13				
眉	mi	13				
枚	moi	13				
沒	mut	5				
么	iau	44	～二三			
貌	mau	31				
貿	meu	31				
帽	mau	31				
冒	mau	31				
茂	meu	31				
卯	mau	44				
茅	mau	13				
矛	mau	13	～盾			
毛	mau	44				
貓	miau	53				
蟒	maŋ	44	～蛇			
莽	maŋ	44				
茫	moŋ	13				
盲	maŋ	13				
忙	moŋ	13				
芒	moŋ	44	～果			
謾	man	31				
慢	man	31				
漫	man	31				
幔	man	31				
蔓	man	31				
滿	man	44				
蠻	man	13				
鰻	man	13	～魚			
饅	man	13	～頭			
瞞	man	13				
邁	mai	31				
賣	mai	31				
麥	mak	5				
脈	mak	1				
買	mai	44				
埋	mai	13				
罵	ma	53				
碼	ma	44				
馬	ma	44				
蟆	ma	13				
痳	ma	13				
麻	ma	13				
媽	ma	44				
略	liok	5				
濾	li	31				
慮	li	31				
緑	liuk	5				
率	lut	5	速～			
率	sut	1	～領			
律	lut	5				
縷	leu	31				
履	li	31				
屢	lui	44				
鋁	li	44				
旅	li	31				
捋	lot	5	～衫袖			
呂	li	44				
驢	lu	13				
絡	lok	5				
落	lok	5				
洛	lok	5				
鑼	lo	13				
籮	lo	13				
騾	lo	13				
羅	lo	13				
螺	lo	13				
論	lun	31	～語；～文			
輪	lun	13				
淪	lun	13				
崘	lun	13				
倫	lun	13				
侖	lun	13				
掠	liok	5				
亂	lon	31				
卵	lon	31				
鸞	lan	13				
鷺	lu	53	～鷺			
露	lu	53				
録	liuk	5				
路	lu	31				
賂	lu	53				
祿	luk	1				
鹿	luk	5				
陸	liuk	5				
櫓	lu	44				
魯	lu	44				
鹵	lu	44				
鹵	tsəŋ	53				
鸕	lu	13				
爐	lu	13				
蘆	lu	13				
盧	lu	13				
漏	leu	31				
陋	leu	31				
摟	leu	31				
樓	leu	13				
壟	liuŋ	44	地～			
攏	luŋ	44				
隴	luŋ	31				
聾	luŋ	44				
籠	luŋ	44				
龍	liuŋ	13				
隆	luŋ	13				
六	liuk	1				
柳	liu	31				
餾	liu	53	蒸～水			
劉	liu	13				
榴	liu	13				
硫	liu	13				
琉	liu	13				
留	liu	13				
溜	liu	44				
溜	liu	13				
令	lin	31				
另	laŋ	31	～tsʰI另外			
嶺	liaŋ	44	～崗			
領	liaŋ	44	衫～			
齡	laŋ	44				
鈴	laŋ	13				
零	laŋ	13				
淩	lin	13	～角			
陵	lin	13				
伶	lin	13				
賃	lin	53	租～			
吝	net	1	～嗇			
檁	lin	13				
鱗	lin	44				
磷	lim	44				
臨	lim	13				
鄰	lin	13				
淋	lim	13	～菜，澆菜			
林	lim	13				
獵	liap	5				
裂	let	5				
烈	let	5				
劣	lot	1				
列	let	5				
廖	liau	31				
料	liau	31	～li，料子			
料	liau	53	材～			
療	liau	13				
燎	liau	31	火～眉毛			
燎	liau	13				
寮	liau	13				
遼	liau	13				
撩	liau	44	～起來			
寥	liau	31				
聊	liau	13				
諒	lioŋ	53				
輛	lioŋ	13				
靚	liaŋ	53				
量	lioŋ	31	數～			
量	lioŋ	13	～長短			
亮	lioŋ	53				
兩	lioŋ	44	斤～			
兩	lioŋ	31	～只			
糧	lioŋ	13				
粱	lioŋ	13				
蜋	loŋ	13				
梁	lioŋ	13				
涼	lioŋ	13				
良	lioŋ	13				
戀	len	31				
鏈	len	31				
殮	liam	31				
練	len	31				
楝	len	31	苦～樹			
臉	len	44				
斂	liam	31				
鐮	liam	13				
簾	liam	13				
聯	len	13				
憐	lin	13				
廉	liam	13				
蓮	len	13				
連	len	13				
麗	li	31				
壢	lak	1	圳～，水渠			
隸	li	31				
曆	lit	5	～史			
勵	li	31				
厲	li	31				
痢	li	31				
笠	lip	1				
栗	lit	5				
荔	li	31	～枝			
例	li	31				
利	li	31				
立	lip	5	～正			
力	lit	5				
鯉	li	44				
禮	li	44				
裏	li	31				
理	li	44				
李	li	31				
籬	li	13				
離	li	13				
黎	lai	13				
璃	li	13	玻～			
犁	lai	13				
梨	li	13				
狸	li	13				
厘	li	13				
冷	laŋ	44				
楞	lin	13				
類	lui	31				
淚	lui	31				
累	lui	53				
肋	let	5				
壘	lui	31				
儡	lui	31				
磊	toi	44	～花燒，酒名			
雷	lui	13				
了	liau	31				
勒	let	5				
澇	lau	13				
酪	lok	5				
姥	lau	31				
老	lau	31				
嘮	lau	13				
勞	lau	13				
牢	lau	13				
撈	lau	13				
浪	loŋ	31				
朗	loŋ	31				
廊	loŋ	13				
狼	loŋ	13				
郎	loŋ	13				
爛	lan	31				
濫	lam	31				
攬	lam	31				
懶	nan	44				
欄	lan	13				
籃	lam	13				
蘭	lan	13				
攔	lan	13				
襤	lam	13				
藍	lam	13				
癩	lat	1	疤～			
癩	lai	31				
攋	lai	31				
賴	lai	31				
萊	loi	13				
來	loi	13				
鑞	lap	1				
蠟	lap	1				
臘	lap	1				
辣	lat	5				
闊	fat	1				
擴	kʰok	1	～大			
廓	kok	1				
括	kat	1	包～			
睏	kʰun	53				
困	kʰun	53				
捆	kʰun	31				
琨	kʰun	44				
崑	kʰun	44				
昆	kʰun	44				
坤	kʰun	44	乾～			
潰	kʰui	53				
愧	kʰui	53				
傀	kui	31				
魁	kʰui	13				
葵	kʰui	13				
逵	kʰui	13				
奎	kʰui	13				
虧	kʰui	44				
窺	kʰui	44				
盔	kʰui	44				
礦	kaŋ	31	～石			
礦	kʰoŋ	53	文，煤～			
曠	kʰoŋ	53				
眶	kʰioŋ	44				
況	kʰoŋ	31				
狂	kʰoŋ	13				
筐	kʰioŋ	44				
匡	kʰioŋ	44				
款	kʰan	31	貨～			
寛	kʰon	44				
筷	kʰai	53				
塊	kʰai	53				
快	kʰai	53				
跨	kʰa	44				
侉	kʰa	44				
誇	kʰa	44				
褲	fu	53				
酷	kʰuk	1				
庫	kʰu	53				
苦	kʰu	31	～難			
苦	fu	31	～瓜			
哭	kʰuk	1				
枯	kʰu	44				
寇	kʰeu	53				
扣	kʰeu	53				
口	kʰeu	31				
瞘	kʰeu	44	眼～			
摳	kʰeu	44				
控	kʰuŋ	53				
恐	kʰiuŋ	31				
孔	kʰuŋ	31				
空	kʰuŋ	44	～虚			
坑	haŋ	44				
懇	kʰen	31				
墾	kʰen	31				
肯	kʰen	31	文			
肯	hen	31	白			
課	kʰo	53				
客	kʰak	1	～氣			
刻	kʰet	1				
克	kʰet	1				
渴	hot	1				
可	kʰo	31				
咳	kʰet	1				
顆	kʰo	44				
磕	kʰap	5	～頭			
棵	kʰo	44				
科	kʰo	44				
靠	kʰau	53				
銬	kʰau	53				
犒	kʰau	53				
烤	kʰau	31				
拷	kʰau	44				
考	kʰau	31				
炕	kʰoŋ	53				
囥	kʰoŋ	53				
抗	kʰoŋ	53				
糠	hoŋ	44	米～			
慷	kʰoŋ	31				
康	kʰoŋ	44				
磡	kʰam	53				
看	kʰon	53	～見			
檻	kʰiam	44	白			
砍	kʰam	31				
坎	kʰam	31				
堪	kʰam	44				
勘	kʰam	53				
刊	kʰan	44				
楷	kʰai	31				
慨	kʰai	31				
凱	kʰai	31				
開	kʰoi	44				
揩	kʰai	31				
卡	kʰa	31	～片			
駿	tsun	31				
珺	kiun	44				
峻	tsun	31				
郡	kiun	31				
俊	tsun	31				
鈞	kiun	44				
菌	kʰun	44	細～			
軍	kiun	44				
君	kiun	44				
均	kiun	44				
倔	kʰiuk	1	～强			
钁	kui	53				
覺	kok	1				
覺	kau	53				
爵	tsiok	1				
絶	tsʰet	5				
厥	kʰet	1				
訣	ket	1				
掘	kʰiuk	1				
決	ket	1				
絹	ken	44				
雋	tsun	31	～秀			
眷	kʰen	31				
倦	kʰen	31				
錈	ken	31				
卷	ken	31				
鵑	ken	44				
娟	ken	44				
捐	ken	44				
懼	kʰi	53				
鋸	ki	53				
據	ki	31				
劇	kʰiak	1	戲～			
聚	tsʰi	53				
距	kʰi	44				
具	kʰi	53				
拒	kʰi	44				
句	ki	53				
巨	kʰi	44				
舉	ki	31				
矩	ki	31	埠～			
橘	kit	1				
鋦	kʰiuk	5				
焗	kuk	5	～油			
菊	kʰiuk	1				
桔	kit	1				
局	kʰiuk	5				
駒	ki	44				
居	ki	44				
拘	ki	44				
舊	kʰiu	53				
舅	kʰiu	44				
就	tsʰiu	31				
救	kʰiu	13				
救	kiu	53				
柩	kiu	53				
咎	kiu	53				
臼	kʰiu	44				
酒	tsiu	31				
韭	kiu	31	～菜			
久	kiu	31				
九	kiu	31				
鬮	kʰeu	44	拈～，抽簽			
鳩	keu	44				
揪	tsʰiu	44				
糾	keu	44	～纏			
究	kiu	53				
窘	tsiuŋ	31	～迫			
迥	tsiuŋ	31				
競	kin	53				
鏡	kiaŋ	53				
靜	tsʰin	31				
境	kin	53				
靖	tsʰin	31				
敬	kin	53				
淨	tsʰiaŋ	31				
竟	kin	53				
徑	kaŋ	53				
警	kin	31				
頸	kiaŋ	31				
景	kin	31				
井	tsiaŋ	31				
驚	kiaŋ	44				
鯨	kin	44				
精	tsin	44				
經	kin	44	～驗～；～綫			
粳	kaŋ	44	～米			
睛	tsin	44				
晶	tsin	44				
莖	kin	44				
荊	kin	44				
京	kin	44				
盡	tsʰin	31				
禁	kim	53				
進	tsin	53				
浸	tsʰim	53				
晉	tsin	31	～升			
勁	kin	53				
近	kʰiun	44	遠～			
近	kʰiun	53	～視			
謹	kiun	31				
錦	kim	31				
緊	kin	31				
僅	kiun	31				
襟	kʰim	44				
筋	kin	44				
津	tsin	44				
金	kim	44				
今	kin	44				
斤	kin	44				
巾	kin	44				
借	tsia	53				
疥	kai	53				
界	kai	53				
屆	kai	53				
芥	kai	53				
戒	kai	53				
介	kai	53				
解	kai	31				
潔	ket	1				
截	tsʰet	5				
節	tset	1				
結	ket	1				
傑	kʰet	5				
捷	tsʰiap	5				
劫	kiap	1	搶～			
街	kai	44				
揭	ket	1				
階	kai	44				
接	tsiap	1				
皆	kai	44				
酵	kau	53	發～			
窖	kau	53				
教	kau	44	～書			
教	kau	53	～育			
叫	kiau	53				
繳	kiau	31	～費			
鉸	kau	31				
僥	hiau	44				
剿	tsiau	31				
腳	kiok	1				
絞	kau	31				
狡	kau	31				
角	kok	1				
嚼	tsiok	1				
驕	kiau	44				
嬌	kiau	44				
膠	kau	44				
蕉	tsiau	44	～嶺，地名			
焦	tsiau	44				
椒	tsiau	44				
郊	kau	44				
交	kau	44				
醬	tsioŋ	53				
降	hoŋ	44	投～			
降	koŋ	53	下～			
匠	sioŋ	31				
講	koŋ	31				
獎	tsioŋ	13				
槳	tsioŋ	13				
蔣	tsioŋ	13				
韁	kioŋ	44				
疆	kioŋ	44				
礓	kioŋ	44				
薑	kioŋ	44				
漿	tsioŋ	44				
僵	kioŋ	44				
將	tsioŋ	44	～軍			
將	tsioŋ	53	大～			
豇	koŋ	44				
江	koŋ	44				
鑒	kam	53				
艦	kam	53				
濺	tsʰen	31				
諫	kan	31				
餞	tsʰen	31	～行			
鍵	kʰen	53				
薦	tsen	53				
澗	kan	31				
劍	kiam	53				
箭	tsen	53				
踐	tsʰen	31				
賤	tsʰen	31				
漸	tsʰiam	31				
腱	kʰen	31				
健	kʰen	31				
建	ken	53				
見	ken	53				
件	kʰen	31				
鹹	ham	13				
簡	kan	31				
襉	kan	31				
檢	kiam	31				
儉	kʰiam	31				
筧	kan	31	竹～			
減	kam	31				
堿	kiam	31				
揀	kan	31				
剪	tsen	31				
殲	siam	13	～來			
艱	ken	44				
箋	tsen	44				
監	kam	44				
監	kam	53				
煎	tsen	44	～堆，一種食品			
搛	kiam	44				
間	kan	44	空～；車～			
間	kan	31	～斷			
堅	ken	44				
堅	ʂin	53				
兼	kiam	44				
肩	ken	44				
奸	kan	44				
尖	tsiam	44				
駱	lok	5				
駕	ka	53				
稼	ka	53				
嫁	ka	53				
架	ka	53				
鉀	kap	1				
賈	ka	31	姓			
假	ka	31	真～；～期			
胛	kap	1	肩～			
甲	kap	1				
夾	kiap	5				
嘉	ka	44				
裌	kiap	5				
家	ka	44				
痂	ka	44				
佳	ka	44				
加	ka	44				
繼	ki	53				
鯽	tsit	1				
績	tsit	1				
濟	tsi	53				
劑	tsi	53				
髻	kit	1				
際	tsi	53				
跡	tsiak	1	脚～，脚印			
寂	siuk	1				
寄	ki	53				
祭	tsi	53				
記	ki	53				
紀	ki	31	～律			
既	ki	53				
計	ke	53	～劃			
季	kui	53	～節			
忌	kʰi	53				
技	kʰi	44				
擠	tsi	44				
幾	ki	44	～乎			
幾	ki	31	～個			
戟	kit	1				
脊	tsit	1				
籍	tsʰit	5				
藉	tsʰit	5				
輯	sip	5	編～			
集	sip	5				
極	kʰit	5	積～			
疾	tsʰit	5				
級	kʰip	1				
急	kip	1				
即	tsit	1				
吉	kit	1				
及	kʰip	5				
饑	ki	44				
譏	ki	44				
雞	kai	44				
擊	kit	1				
激	kit	1				
機	ki	44				
緝	sip	5				
基	ki	44				
屐	kʰiak	5	木～			
肌	ki	44				
鑊	vok	5	～頭			
藿	kʰok	1				
獲	fet	5				
獲	vok	1				
霍	kʰok	1				
惑	fet	5				
貨	fo	53				
或	fet	5				
夥	fo	31				
火	fo	31				
活	fat	5				
豁	fo	53				
餛	fun	13	～飩			
魂	fun	13				
渾	fun	31	～濁			
混	fun	31	相～			
葷	fun	44				
婚	fun	44				
昏	fun	44				
繪	fi	31				
穢	voi	53				
檜	kʰai	53				
諱	vi	31				
慧	fi	31				
會	fi	31				
會	kʰai	53	～計			
賄	fi	31				
匯	fi	31				
惠	fi	31				
晦	fi	31				
毀	fi	53				
悔	fi	31				
茴	fi	13	～香			
回	fi	13				
麾	fi	44				
輝	fi	44				
揮	fi	44				
恢	hoi	44				
灰	hoi	44				
謊	foŋ	44				
晃	foŋ	31				
簧	voŋ	13				
蝗	foŋ	13				
黃	voŋ	13				
皇	foŋ	13				
慌	foŋ	44				
荒	foŋ	44				
煥	fon	31				
喚	fon	31				
換	fon	31				
患	fam	31				
宦	fon	31				
幻	fam	53				
緩	fon	31				
環	fan	13				
桓	fan	13				
歡	fon	44				
壞	fai	53				
懷	fai	13				
槐	fai	13				
淮	fai	13				
劃	vak	5				
樺	fa	13				
話	va	53				
畫	fa	31	～li，畫兒			
畫	fa	53	～圖			
化	fa	53				
驊	fa	13				
鏵	fa	13				
滑	vat	5				
猾	vat	5	狡～			
華	fa	13				
花	fa	44				
護	fu	31				
滬	fu	53				
瓠	fu	13				
戽	fu	53	～水			
戶	fu	44	～檻			
戶	fu	31	一～人家			
互	fu	44				
滸	fu	31	水～			
許	hi	31				
虎	fu	31				
湖	fu	13				
壺	fu	13				
胡	fu	13				
狐	fu	13				
忽	fut	1				
呼	fu	44				
乎	fu	13				
候	heu	31				
後	heu	31				
厚	heu	31				
瘊	heu	13	～子			
猴	heu	13				
喉	heu	13				
侯	heu	13				
宏	fen	13				
弘	fen	13				
轟	vaŋ	13				
衡	fen	13				
橫	vaŋ	13	～陂，地名；～直			
恒	hen	13				
亨	haŋ	44				
亨	ʂu	31				
恨	hen	31				
狠	hen	44				
很	hen	44				
痕	hen	31				
黑	het	1				
鶴	hok	5				
赫	hak	1				
賀	fo	31				
盒	hap	5				
核	het	5	～心			
荷	kʰai	44	～擔，挑擔			
荷	ho	13				
河	ho	13				
和	fo	13				
何	ho	13				
合	hap	5	結～			
合	kap	1	～水，地名；一～米			
禾	vo	13				
喝	kot	1	～採			
號	hau	31	～數			
號	hau	13	呼～			
浩	hau	44				
耗	hau	53				
郝	hau	31	姓			
好	hau	31	～壞			
好	hau	53	喜～			
蠔	hau	13	～油			
壕	hau	13				
豪	hau	13				
毫	hau	13				
航	hoŋ	44				
杭	hoŋ	44				
行	hoŋ	44	銀～			
行	haŋ	13	～爲；品～			
憾	ham	53	遺～喊			
翰	hon	53				
撼	ham	31				
銲	hon	31	電～			
漢	hon	53				
悍	ʂun	13				
旱	hon	44				
汗	hon	31				
罕	hon	31				
韓	hon	13				
寒	hon	13				
函	ham	13				
含	ham	13				
鼾	hon	44	～聲			
憨	ham	44				
酣	ham	44				
蚶	ham	44	～子			
駭	hoi	31				
害	hoi	31				
亥	hoi	31				
海	hoi	31				
還	fan	13	～原			
孩	hai	13				
過	ko	53				
裹	ko	31				
馃	ko	31				
果	ko	31				
國	ket	1				
郭	kok	1				
棍	kun	53				
滾	kʰun	31				
袞	kʰun	31				
櫃	kʰui	53				
劊	kʰai	53				
跪	kʰui	53				
貴	kui	53				
桂	kui	53				
詭	kui	31				
癸	kʰui	13				
鬼	kui	31				
軌	kʰui	53				
歸	kui	44				
龜	kui	44				
閨	kui	44				
規	kui	44				
圭	kui	44				
逛	koŋ	53				
廣	koŋ	31				
光	koŋ	44				
罐	kon	53				
灌	kon	53				
慣	kan	53				
貫	kon	53				
冠	kon	44				
冠	kon	53	～軍			
館	kon	31				
管	kon	31				
觀	kon	44				
鰥	kan	44	寡			
關	kan	44				
棺	kon	44				
官	kon	44				
官	ʂu	31				
怪	kai	53				
拐	kai	31	～杖			
掛	ka	53				
卦	ka	53				
寡	ka	31				
剮	ka	31	刀～			
刮	kat	1				
瓜	ka	44	西～			
顧	ku	53				
雇	ku	53				
故	ku	53				
固	ku	53				
穀	kuk	1				
鼓	ku	31				
牯	ku	31	牛～，公牛			
骨	kut	1				
股	ku	31				
古	ku	31				
姑	ku	44				
