tsɿ	[24]姿资脂只枝支滋之肢咨辎芝	[42]子姊紫纸籽至止趾址只（~有）	[44]自字志誌痣指旨		3			
tsʰɿ	[24]瓷词祠雌磁辞饲迟兹鸱呲（~牙子）	[42]此□（把纸~平，抹平）齿	[44]刺赐翅次		3			
sɿ	[24]思斯狮尸私是时司丝施撕师	[42]死屎史使驶	[44]四似寺是市事士视示始祀试氏		3			
tʂʅ	[24]知蜘(文)直执值职姪	[42]稚	[44]智织置质治植制汁雉殖掷滞		3			
tʂʰʅ	[24]吃□（杈~差~(能力不强）) 池驰痴持	[42]耻	[44]尺赤		3			
ʂʅ	[24]十拾实食石蚀	[44]失湿适释世督室识式			2			
ʐʅ	[44]日				1			
ɚ	[42]耳饵	[44]二			2			
pa	[24]巴疤粑叭拔跋爸琶趴扒	[42]把靶㞎	[44]八把（刀~子）霸坝罢耙		3			
pʰa	[24]帕爬（~倒（卧倒））钯（钉~）	[42]怕			2			
ma	[24]妈麻蔴□（~砖头）蚂	[42]马蚂（~蚁）	[44]骂抹（~布）□（~笼头、帽子）蚂（~蚱）		3			
fa	[24]乏罚阀□（~子(原草皮）)	[42]髪发法□（拟声词：~地一下飞掉了）			2			
va	[24]挖（~耳朵、把脸~烂了（抓））	[42]瓦□（~麦子（抄））	[44]袜挖（~苜蓿根）洼（地~进去）咧（下陷）		3			
ta	[24]褡达大父亲耷鞑靼瘩	[42]打	[44]大大小答搭垯		3			
tʰa	[24]他它踏褟	[44]塌塔獭榻蹋搨溻遢			2			
na	[24]拿那（~说的（他））	[42]哪	[44]那（~些）纳捺呐衲		3			
la	[24]拉垃啦旯剌	[42]喇	[44]辣蜡腊□（~稀）邋		3			
tsa	[24]楂渣扎杂炸（~油果）铡闵砸眨（娃娃~奶（吸取））	[42]咋拃砟（煤的一种）	[44]炸（~弹）诈榨咂□（把人给~咧（整治））栅奓		3			
tsʰa	[24]差（~错）叉杈察茶搽咱茬碴诧	[42]蹅（踩）镲衩	[44]插擦岔□（⿰氵岔：水～子）汊		3			
sa	[24]沙纱砂痧撒	[42]洒傻撒□（~子（抄粮食的器具））	[44]杀靸□（把麦子~一~）煞啥厦		3			
ka	[24]尕	[42]扌葛顶撞			2			
kʰa	[42]卡				1			
xa	[24]哈	[42]瞎下（~头）吓			2			
a	[24]啊（答应声）				1			
pia	[24]□（~倒了（摔倒）~你一团（啐一口）~大字报（张贴））				1			
pʰia	[24]□（抽打象声词）	[42]□（把腿~开（叉开）~~腿（八字腿））	[44]		3			
mia	[24]□（羊羔的叫声）				1			
ȵia	[24]压□（他们）				1			
tɕia	[24]家加稼枷佳袈□（把娃娃~码上（骑在脖子上））	[42]假（真~）贾	[44]甲裌嫁驾架假（放~）夹价□（~一个楔子（塞进去））		3			
tɕʰia	[24]卡（~子（发卡））拤（用两只手搂住腰）	[42]卡（~嗓子）	[44]掐恰		3			
ɕia	[24]匣虾霞辖峡狭暇瑕侠	[42]夏下（~蛋（文））			2			
ia	[24]鸦桠（树~）杈亚牙芽衙讶丫涯蚜伢	[42]哑雅	[44]押鸭		3			
tʂua	[24]抓	[42]爪			2			
tʂʰua	[24]歘				1			
ʂua	[24]唰	[42]耍	[44]刷		3			
ʐua	[24]挼				1			
kua	[24]瓜呱	[42]寡刮（～脸、搜～）剐	[44]挂卦褂刮（~风）		3			
kʰua	[24]夸誇	[42]垮	[44]跨挎胯		3			
xua	[24]花华铧划（~船）哗猾		[44]划（计~）画化桦华（~山）		2			
