tsa	3	杂扎楂眨蔗	
tsa	5	砸炸栅诈榨凿奓[～开]䋎[～衣，缝衣服]	
tsʰa	1	杈差叉	
tsʰa	3	插[～腰]擦扯[～草]	
tsʰa	5	岔衩□[(煮)]	
sa	1	杉痧赊□[～栏，围栏]畬[(菜园)]	
sa	2	蛇	
sa	3	刹[～车]撒洒杀傻舍刷耍	
sa	5	煞[～白]	
ta	2	答[～案]达	
ta	3	搭答[～应]打□[～落，丢失]	
tʰa	1	他=她=它=	
tʰa	3	趿[～鞋]塌遢塔拓[～印]踏[～实]□[～neng3，脏]	
tʰa	5	沓踏[～步]□[～米，舂米]	
na	2	纳捺	
na	3	衲[～鞋]	
na	5	拿	
la	1	垃拉邋	
la	2	□[～过去，爬，蠕動]	
la	5	喇腊蜡辣	
ka	1	家嘎□[～～，肉的兒語]□[叽～，繁琐]□[(噎住)]	
ka	2	□[(钝)]	
ka	3	夹	
ka	5	嫁架-	
kʰa	1	咖	
kʰa	3	卡掐	
kʰa	5	□[～裆，胯下]	
xa	1	□[～痒，挠]	
xa	2	蛤	
xa	3	□[(笨)]瞎	
xa	5	吓	
xa	6	虾□[(庄稼坏死)]	
ŋa	1	丫[脚～]□[～开，张開]阿軛[牛～，架在牛脖子上的器具]	
ŋa	2	牙芽衙□[～盘，祭奠用的肉盘]	
ŋa	3	鸭压轧押哑伢[～崽，青年男子]□[～鱼，嘴巴扁的鱼]	
ŋa	5	□[(拥挤)]砑[～进去，塞進去]	
po	1	菠波播□[～sɿ3，蜘蛛]	
po	2	婆驳泊勃搏	
po	3	拨钵	
po	5	簸薄[～荷]	
pʰo	1	坡	
pʰo	3	泼	
pʰo	5	破剖迫魄	
mo	1	摸抹□[(动作慢)]	
mo	2	磨[(动词)]魔摩模蘑沫□[～的，什么]	
mo	3	木末漠牡姆墓目牧沐幕睦	
mo	5	□[～开，挪開]陌默	
mo	6	莫没磨[(名词)]	
fo	2	佛	
tso	2	拙镯琢作=[～业]浊	
tso	3	捉桌捽[(抓)]□[(换)]	
tso	5	左□[打～，亲吻]	
tso	6	坐座	
tsʰo	1	搓	
tsʰo	3	撮□[嫩～]	
tsʰo	5	戳挫错着凿[～子]绰龊□[～水，喂猪的泔水]	
so	1	蓑梭	
so	2	说	
so	3	锁所缩索	
so	5	勺芍烁朔□[～多，啰嗦]硕	
to	1	多	
to	2	咄夺坨-驮砣	
to	3	躲朵	
to	5	惰堕剁	
to	6	垛舵	
tʰo	1	拖	
tʰo	2	坨=驼鸵	
tʰo	3	托脱妥椭	
tʰo	5	拓[开～]	
no	2	挪	
no	3	暖-	
no	5	诺懦摞	
no	6	糯	
lo	1	啰[～嗦]	
lo	2	锣箩螺乐	
lo	3	落烙弱	
lo	5	洛络□[(衣服等松垮)]	
lo	6	骆	
ko	1	歌郭锅哥	
ko	3	果裹角[牛～]鸽割-[～草]粿[～粑]	
ko	5	过个各	
ko	6	□[方位指示代詞，～里，那里]	
kʰo	1	科蝌	
kʰo	2	扩阔	
kʰo	3	可苛柯瞌壳渴	
kʰo	5	课廓敤[(放)]	
xo	1	蠚[～人，扎人]喝=	
xo	2	河合[～作]荷	
xo	3	喝火伙□[冲～，起哄]	
xo	5	活货获惑贺合[～意]盒	
xo	6	和[搅～]祸	
ŋo	1	饿莴屙[～屎]涡	
ŋo	2	鹅蛾讹禾□[～子，怎么]	
ŋo	3	我恶握厄鳄噩	
ŋo	5	龌沃卧□[～烂，脏]	
kɤ	3	渠[第三人稱代詞,她他它)]	
kɤ	5	割-[～一刀]锯[～子]	
kʰɤ	5	去	
xɤ	5	吓	
ŋɤ	1	二贰	
ŋɤ	2	儿而	
ŋɤ	3	日耳[～环]	
ŋɤ	5	□[菜～，没熟透]	
pε	1	□[～蛋，屁]	
pε	3	剥伯柏百北	
pε	5	□[～出，放出]	
pʰε	1	□[～倒，喝令牛停止]	
pʰε	2	拍[～照]	
pʰε	3	拍[球～]	
pʰε	5	白	
mε	1	搣[～开，撕開]	
mε	2	明[～日，明天]	
mε	3	脉麦墨梅[杨~]默[～神，思考]	
fε	2	或	
fε	5	□[～时，立马]	
vε	1	哇[～～哭]	
vε	3	抈[(折断)]	
vε	5	歪[撞~]	
tsε	2	折则责仄择	
tsε	3	者窄摘浙	
tsʰε	1	车	
tsʰε	2	彻测策侧厕澈	
tsʰε	3	拆[～开]册撤	
tsʰε	5	贼□[～～，情人]	
sε	1	奢畲=[～族]□[～开，张開]	
sε	2	色[好～]涉设摄	
sε	3	色[颜～]塞[堵～]	
sε	5	折[～本]社舌	
sε	6	射	
tε	2	德	
tε	3	得	
tʰε	2	特	
nε	3	□[～得很，烦躁得很]	
nε	5	□[(小),~~子：小孩兒]	
lε	3	热肋烈	
lε	5	勒□[(打)]	
ŋε	1	□[(語氣詞嗯)]	
