来源：	王琳 2015 《祁门箬坑方言研究》
#符号说明：-白=文/书*俗?待考	
#调值	［1］¹¹ ［2］⁵⁵⁴ ［3］³⁵ ［5］²¹² ［6］³³ ［7］³²⁴
#ɿ	
ts	［1］雌撕{（新）}资姿咨兹滋辎［3］紫子梓滓姊仔□{背～：背}□{有～：有点儿}□{葱～：葱白}
s	［1］斯厮撕{旧}私司丝思□{落～：茄子}［2］瓷糍慈磁伺辞词祠嗣饲［3］此死巳［5］刺赐次四肆似□{打～：打喷嚏}［6］自字祀寺□{～悠悠：颤悠悠}
#i	
p	［1］蓖碑卑悲［3］比［5］贝蔽闭臂弼{～马温}［6］秘-泌庇［7］笔毕必弼{任～时}北逼碧璧壁{墙～}荸□{～水：往茶杯里加茶水；～酒：第二、三次倒酒}
pʰ	［1］披［2］俾皮疲脾婢痹琵枇匹{一～马}［3］彼被{～kuːɐ1：被子}鄙□{～蛇：蜥蜴}［5］屁［6］敝弊币被{～迫}避备鼻［7］□{女阴}
m	［2］迷弥靡眉楣媚［3］米美薇［6］谜秘=密蜜墨默觅
f	［1］非飞妃［2］肥［3］匪榧翡［5］废肺吠费
v	［1］威［2］桅危为{作～，～什么}维惟唯微讳围=苇纬［3］萎委尾伟［5］畏［6］伪喂位卫未味魏胃谓
t	［7］的嫡滴
tʰ	［6］地［7］踢剔
n	［2］黎离{～别，～开半寸}篱璃梨厘狸笠榴-{石～}□{无～指：无名指}□{箬～灯：点煤油的}［3］李里{被kuːɐ1～：被里}里{i7～：这里}里{公～}理鲤你［6］厉励利痢吏立栗力［7］粒
tsʰ	［7］七漆□{小孩用的木竹碗}
s	［1］尿［7］□{黄～：黄鼠狼}楔悉膝瑟塞蟋
tɕ	［1］稽知蜘支枝肢岐脂饥{～饿}饥{～荒}肌之芝基箕几{～乎}几{茶～}机讥□{何～：哪里}纪{年～}［3］纸只{～有}旨指{（又）}止趾址己纪{世～，姓～}几{～个}□{～起脚：踮脚}［5］智寄致稚至冀置志{～愿}志{县～}痣记忌既季［6］妓［7］翅执汁急级给质吉织职戟屐掷炙击激侧-唧
tɕʰ	［1］痴嗤欺［2］池驰稘{豆～：豆秸}侈奇骑迟祁鳍持祈其棋期旗蜞□{～毛：拔毛}［3］企徛雉耻痔齿起杞岂启{～明星}指{（又）}［5］器弃气汽计{（又）}［6］技治蛰及侄饬直值殖植［7］湿秩泣
ɕ	［1］兮施牺师狮尸诗嬉熙希稀［2］匙豉时鲥蛳□{烫～：过去用炭火烤的熨斗}［3］是屎柿俟使史驶始市喜蟢囟□{～饼：髻}□{～皮：顽皮}［5］徙戏试式［6］佘氏示视嗜士仕事侍十什{（又）}拾实食蚀莳□{～公：曾祖父}□{mɤŋ3～甲：马齿苋}□{～肉：瘦肉}□{末脚～：最小的孩子}［7］矢涩吸虱失室识饰适释
∅	［1］伊医衣依尹［2］宜仪谊移夷姨疑饴沂遗［3］蚁议倚椅拟矣已以［5］忆亿抑［6］艺义易{难～}易{交～}意肄异毅入日翼□{咬不～：咬不动}［7］揖乙一逸□{～些：这些；～个：这个}
#u	
p	［1］卜{萝～}［3］补［5］布{～鞋}布{～告、～置}怖
pʰ	［1］铺{～床}麸［2］蒲菩□{～鸡：斑鸠}□{大蒜～：蒜头；松树～：松球}［3］谱普浦脯{胸～}脯{杏～}部簿甫殕辅蹼{鸭～}［5］铺{店～}讣=［6］步埠伏{孵：～小鸡}［7］捕朴{～素，～实}卜{～卦}扑仆{～人}仆{～倒}栿{地～}醭
m	［2］模{～子，～范}摹□{发～：小孩开始上学}［3］母{丈～，舅～}拇亩［6］暮慕墓募目穆牧□{～子树：乌桕树}［7］木
f	［1］夫肤敷［2］俘抚符扶芙浮□{～呐：江米酒过滤下来的水}［3］府腑俯斧父釜妇阜［5］付赋傅赴附富副负［6］腐缚服［7］复{～兴}复{回～，～婚}福幅蝠复{～写}腹覆讣-伏{进～：入伏}
v	［1］乌污巫诬□{～倒：瞪着}［2］吴吾狐-{～狸}胡{～子}胡{～梯：梯子}无糊-{～起来，面～}［3］五伍午坞武舞侮鹉［5］恶{暮韵，可～}［6］误悟瓠{～呐：瓠子}务雾戊沃［7］握屋
t	［1］都{～城}都{～是，～去}嘟□{凸}□{nu2～：一种花}［3］朵{量词}堵赌睹肚{猪～：猪的胃}［5］妒□{花～：花蕾}［7］笃督□{锅～灰：锅烟子；碗～：碗底}
tʰ	［2］徒屠途涂{糊～，～改}图［3］土肚{～子}杜［5］吐{～痰，呕～}兔［6］度渡镀踱独读牍犊毒
n	［2］奴卢炉芦鸬庐撸□{～tu1：一种花}［3］努鲁橹虏搂{～柴：抱柴火}搂{～抱}［6］怒路赂露鹭鹿禄碌□{kʰu1～柿：刨花}［7］□{～饭：做饭；～田：春耕；～酒：摆酒席}□{一～泥：一团泥}□{茄子～：请客时吃的红烧的正方形肉块}
ts	［1］租［3］祖组阻
tsʰ	［1］粗［5］醋［6］族［7］措撮猝促
s	［1］苏酥［2］□{一种焰火}［5］素诉塑［7］速嗍
tʃ	［7］竹筑祝粥烛嘱瞩□{气～病：气喘}□{杵}
tʃʰ	［1］初［3］楚础［6］助浊逐轴［7］畜{～牲，～牧}触
ʃ	［1］梳疏{～远，注～}蔬搜{～查}［2］锄［3］所数{～一～}［5］庶恕数{心里有～}［6］熟蜀属［7］叔淑束
k	［1］姑孤菇［3］古估牯股鼓□{手～：上臂}□{草～：蒲团}［5］故固雇顾［7］谷{～子}谷{山～}
kʰ	［1］箍枯□{～nu6柿：刨花}［2］渠{第三人称代词}［3］苦［5］库裤去-［7］哭酷
x	［1］呼乎［2］梧胡{姓～，～说}湖狐={～假虎威}壶葫{～芦}糊={～涂}［3］虎浒户沪［5］□{拨拉}［6］戽互护斛获
#y	
n	［2］驴［3］吕旅屡履［6］虑滤累{劳～}累{连～，积～}类泪律率{百分～}
ts	［3］嘴［5］缀醉［7］卒
tsʰ	［1］蛆趋［2］徐瞿随［3］取娶［5］趣翠粹骤［6］序绪聚遂隧集习［7］疾
s	［1］须{必～}须{胡～}需虽绥荽［3］髓［5］絮□{肚～眼：肚脐眼}［7］戍戌率{～领}
tʃ	［1］猪诸居车{～马炮}诛蛛株朱{～笔，～红}朱{～砂}珠拘驹追锥裾［3］褚煮举主矩［5］著据锯驻注{～册}注{～意，赌～}蛀铸句癸［6］剧{～烈}剧{戏～}［7］桔
tʃʰ	［1］枢区驱吹炊［2］除储渠{水～}厨垂={～直}槌锤□{kʰɔ̃2～：蚯蚓}橱葵-［3］苎杵鼠巨拒距拄柱跪□{落～：地方}［5］处{相～}处{人事～}去={～掉}［6］箸住俱具惧柜［7］出□{动词，折}
ʃ	［1］书舒墟虚嘘输{～赢}输{运～}［2］薯殊垂-{～下来}睡谁［3］暑黍署许竖水□{～袜：袜子}［5］术{算～}述［6］叙树瑞
